ParlaMint-NO_2002-06-18.ana.ud2644e82	The representative of Heidi Sørensen will make a private proposal.
ParlaMint-NO_2002-06-18.ana.ud2644e85	On behalf of the representative Bjørn Jacobsen and myself, I would like to make a proposal on environmental certification of timber and timber.
ParlaMint-NO_2002-06-18.ana.ud2644e90	The proposal will be dealt with in a regulatory manner. Before we deal with today's map, the President has been asked a number of questions about how long you expect the debate to last Friday. It is impossible to say – it depends on the activity of the deposit representatives – but in 2000 the last meeting of the session was finished at 9.30 p.m. 19.15 a.m. and 2001 p.m. 9:30. – This for preliminary information. Otherwise, the Lamentations meeting was finished yesterday at 5 p.m. 03.05. We are a couple of hours after the scheduled schedule for today's meeting. If all the committees debate as they have foreseen, the clock could be both 2 and 3 at night. This for information before we start the negotiations. At the request of the Committee on Energy and the Environment, the President will propose that matters be referred to the Committee on Energy and the Environment. 1 to 5 is dealt with as a whole – and considers it to be adopted.
ParlaMint-NO_2002-06-18.ana.ud2644e156	At the request of the Committee on Energy and the Environment, the President will propose that the debate be limited to 1 hour and 35 minutes and that speaking time be allocated to the groups as follows: Working Party 25 minutes, Right 20 minutes, Advance Party 15 minutes, Socialist Left Party and Christian People's Party 10 minutes, Center Party, Left and Coast Party 5 minutes each. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2002-06-18.ana.ud2644e167	There has been a long and warm spring on Stortinget. It has been hot inside the walls, not least because of the work on the climate communication, and it has been record hot in large parts of the country. We've also read that there are large forest fires out of control in Colorado, U.S.A., and there are huge floods in China. Whether it's due to climate change or not, it's not good to say, but it's important to remember what's behind what we're doing. We're going to do what we can to stop the global warming of the atmosphere. We can't solve the whole problem here in Norway, but we have to do ours, so that what's done together means something. We have to sweep at our own door and keep order in our house. Translated into concrete policies, this means that we must now start the job of meeting our commitments under the Kyoto Protocol. That has been the goal of the setting we are discussing today. The government promoted an additional message to the paperback Workers' Party promoted last year and together these two messages contain a number of measures that will lead to greater control of greenhouse gas emissions. SV has tried to play an offensive and constructive role in this work, and we believe that we have achieved a good result. The government has proposed – and the majority of the Committee supports – an early allowance system for the non-CO2 industry and an allowance system from the Kyoto period has been proposed to start in 2008. Overall, the reduction measures that are now being adopted will place Norway in a solid position to meet its commitments under the Kyoto Protocol. Of course, the 2005 early quota system has created the greatest disagreement. SV went out early and supported the proposed system. The reasons for that are many. In the supplementary communication, the government proposes that the part of the industry exempted from the CO2 tax be subject to an allowance system from 2005. The target is a 20 pst reduction in emissions. from 1990 to the end of the period, in 2007. The proposal has met with strong criticism from the industrial community. This was not unexpected. It was more unexpected that it met such resistance from the Workers' Party – unexpectedly because the Workers' Party promoted a nearly identical proposal on quota obligations from 2008. The working party will argue that the broad distinction between these two systems is that the Government’s proposal is to be implemented early, as from 2005, and that the proposed system is too narrow. The solution of the working party was to propose an even narrower system, which also rewarded closures. In the opinion of SV, the proposed alternative of the Workers' Party was a bubble and a voluntary system, a combination of a play with numbers and an unfinished quota system. It seems to bear the mark of a need to do something other than the Government. This is not the SV's way of running politics. First of all, we want a policy that leads to a better climate. Then it is better that it is a political opponent that promotes the proposal. The criticism of the early allowance system can be summarised as follows: the system will not lead to trade because most of the reductions have already been implemented. Those who have something to reduce have already done so. Further reductions are now either impossible or very expensive. On the other hand, industry wants a system of voluntary agreements and offers even greater reductions on its part. For SV, these counter-arguments have not been good enough to go against the quota system. The reason is that there is so much flexibility built in that none of what the industry achieves with a voluntary agreement is impossible to do with the early system. Joint implementation is open both in sectors, between enterprises and with non-quota actors and with actors in other countries. This provides opportunities for reductions and conversion both within Norway and in other countries. In the SV’s view, the early system also provides a basis for important good practice when the Kyoto period begins in 2008. SV has had a good dialogue with the industry in its work on climate communication, and has taken into account several of the objections raised by the industry. As a result of this dialogue, we have, among other things: called for reductions since 1990 to be included, for enterprises with a special situation in the reference year 1990 to be taken into account and for the allocation of allowances to holdings to be carried out in dialogue with holdings. In the opinion of the SV, this has resulted in the quota system becoming more flexible and applicable to industry. In addition, SV proposed a research and development programme for new technologies in the ETS sector, funded as a split layer between country and enterprise. Unfortunately, SV remained alone on this proposal. However, SV was able to ensure that any infringement fees are ploughed back to the industry for action and conversion. Industry has claimed that there will not be much trade between companies. Now, of course, it remains to be seen. But believing that an allowance system is solely a matter of an enterprise selling an allowance to another enterprise is a fundamental flaw. An oil cargo transported from the Gulf to Europe was purchased and sold 200 times before reaching the refinery. Similarly, a trading system of carbon allowances will develop. This device is already in the socket. We have great faith that the Norwegian financial and industrial environment will be involved in the carbon market – a market that, according to the analysts, will amount to as much as DKK 200 billion per year. years when the Kyoto period begins. It has been claimed that it is pointless to start a quota system in Norway before it has started in other countries. But the fact is that Norway is not alone in starting a national system. The same applies to Denmark, the United Kingdom, the EU and others. In fact, the allowances systems are not the same, and maybe we have to live with inequalities for a few years to figure out what kind of system works best in the long term. The aim is to harmonise the different allowances systems with each other, and the SV is in favour of several approaches that allow such harmonisation. Nevertheless, Norway is completing its system before the EU, so it is important that we set up a system that can lead the EU’s final system of allowances. With regard to the use of the system, there is one thing that I want to get closer to. It opens up the possibility for eligible enterprises to purchase allowances through the CDM. This is particularly relevant for enterprises that have no possibility of reducing their own emissions either at home or in cooperation with other enterprises. It is with amazement that I have recorded in this debate the resistance of some actors to the early use of the mechanism. The green development mechanism is a tool that can enable both capital and environmental technologies to be transferred from the rich to the poor part of the world – funds that are additional to current aid. Enterprises in Norway may make reductions in developing countries and have access to the allowances they represent. This concept is an important part of the Kyoto Protocol and such projects have been in progress since 2000. For SV, it is important that the green development mechanism works well and leads to real reductions. Here the government has not been ready enough, according to our concepts. This scheme lacks clear quality requirements, not least as regards the possibility of including forest measures in the previous allowance system. This is why we agree with the Working Party on quota requirements from the CDM. This is essential for this mechanism to work and for real emission reductions. We need to develop good control mechanisms to ensure that no one is wondering. We need to know that the reference path, or baseline, as it is called in the technical language, is correct. No one should believe that we avoid problems with this in an early stage. That is precisely why we cannot agree with the Labour Party that we should not use the green development mechanism in the early quota system. SV believes that it is essential that the Kyoto period from 2008 to 2012 leads to real reductions and that it is important to gain experience as soon as possible. A well-managed system of projects under the Clean Development Mechanism must be developed in the field, with testing and failure. If we wait until 2008, we'll waste valuable time. So to the measures: SV has been concerned with implementing measures leading to reductions in CO2 and other greenhouse gas emissions before the quota system enters into force in 2005. We have therefore made several proposals on this, both in the vote and in our own document No. Eight proposals. SV is pleased that we have had an impact on several of these, both the investigation of measures to electrify the base, an introduction programme for biofuels and the requirement for alternative sources of heating in buildings of more than 1000 m2. These are measures that will contribute to an important change in energy policy, and which SV is well pleased to have put in place. But SV also had many other proposals for action to reduce greenhouse gas emissions. We are therefore less pleased that the government parties have no longer made any effort to propose or to support actions that can be implemented before 2005. When the climate notification is adopted today, it is important that this does not become a sleep cushion, especially given that several of the measures actually require funding from the State budget. The government sits on the budget comrade Progress Party's mercy. There is therefore every reason to keep an eye on the follow-up to this message – and I can promise that SV will. Finally, I would like to recommend the Committee's position and the proposals made by SV alone or with other parties.
ParlaMint-NO_2002-06-18.ana.ud2644e227	The representative has addressed the proposals to which she referred. It's going to be line change.
ParlaMint-NO_2002-06-18.ana.ud2644e232	As the rapporteur stated in his statement, SV has provided the Government with a majority in favour of the 2005 proposal for a narrow national quota system. But this is just one of many actions discussed in this setting. And except in the case of the quota system, the setting shows that the working party is in agreement with SV on a number of comments and suggestions. We agree to ask the Government to draw up an action plan for the gradual conversion of fossil fuel heating to heating with new, renewable energy sources. It is a measure that can lead to large reductions in CO2 emissions. We agree that from 2003 a temporary and equal aid scheme for new and renewable energy sources should be set up equivalent to a half-electricity charge per year. 1 January 2002. We agree that the pollution law will be based until 2008. We agree that a hydrogen fund should be set up to strengthen hydrogen as an alternative fuel, and we are united, as the rapporteur was in favour, on a number of concrete requirements that should be imposed on quotas that can be achieved through joint implementation and the green development mechanism. So in all of these areas, the Workers' Party and SV stand together. But the government parties aren't in. My question to the representative Malvik is therefore: On the basis of these proposals that the Workers' Party and SV agree, but where the government parties are not involved, does SV agree that the Workers' Party and SV are more offensive than the Government in terms of concrete actions?
ParlaMint-NO_2002-06-18.ana.ud2644e239	I am very pleased that the Workers' Party is working with us on a number of proposed measures to come into force before the quota system in 2005. We have long argued that proposing a national quota system and then leaning back and waiting until 2005, is not the SV strategy. We want to take action quickly in a wide range of sectors. It is also a reality that if we can reduce emissions in sectors other than industry, it will also benefit industry in the long term. Our Kyoto target is to increase emissions by only 1 pst from 2008 to 2012. relative to 1990 levels. This means that all measures taken in sectors other than industry will reduce the pressure to achieve further reductions in industry. We think that is very good industrial policy and good environmental policy. As for the debate on who is most offensive, I think there is little doubt that the sum of the CO2 emissions that SV has entered into, both with the Workers' Party and not least with those we are alone, will show who wins the competition for who is most offensive.
ParlaMint-NO_2002-06-18.ana.ud2644e248	The rapporteur was concerned about this with an early quota system. In its position as I and in the majority of its comments, there are some indications of an early trading of allowances in order to limit the injury to Norwegian industry. The competitiveness of industry must be safeguarded. The country’s revenue from the infringement fee shall be returned to industry in the form of support for the environment and conversion measures or research into environmental technologies. The system shall take into account the nature of the arrangements to which the EU decides to connect. It shall not be possible to buy freely through the cheapest measures in developing countries. However, in total, these leads are such that it is unclear whether there will be any trading of allowances in Norway from 2005. That is something we in the Progress Party are happy about. If it turns out that it would be impossible to introduce a national quota system or a national CO2 tax with regard to the competitiveness of Norwegian industry, would SV let Norwegian industry compete in the same way as its foreign competitors?
ParlaMint-NO_2002-06-18.ana.ud2644e257	As I referred to in my post, SV was alone proposing a conversion programme for the quota sector. We proposed an innovation and research programme that would have meant that until 2005, the ETS sector would have the opportunity to pursue an offensive conversion policy. This selects the Progress Party not to support. It is a reality that if you are to take the climate noise seriously, which the Progress Party does not do, you have to take some tough measures. A national allowance system is needed to set up a system that reduces emissions. Thus, it is also a system that prepares us for the Kyoto period from 2008 to 2012, when we have an international system. When it comes to adapting to other countries, we say, as I referred to instead, that we want harmonisation with other countries. It's a line that the government has also laid down. On my question to the Council of State on how to treat gas power plants within the quota system — it is within the system — the answer is clear: Gas power plants are within the EU's ETS directive. Then it is also natural that we follow it up in Norway. There will be a level playing field at the same time as the quota obligation for gas power plants. It is an important environmental policy victory for SV.
ParlaMint-NO_2002-06-18.ana.ud2644e266	It is interesting to hear who is most offensive in environmental policy. The Vaggen Malvik suggests that there may be a game of numbers; others may say that it may be a game of words. I think this one can weigh a little bit over and over again. There are different angles that you could have. I think the intention here is really very good for everyone. My question to Vaggen Malvik concerns a proposal that goes on biofuels, as they are so offensive. A Document No has been submitted. Eight proposals from representatives of SV. In fact, they refer to this proposal without mentioning anything more about it, while the Workers' Party and the Centre are the most offensive in this context and promote the following proposals: ‘The Government asks the Government to implement an introduction programme for the use of biofuels.’ I just wonder how SV looks at this.
