ParlaMint-NO_2002-06-17-upper.ana.ud2447e177	There is no record.
ParlaMint-NO_2002-06-17-upper.ana.ud2447e191	On behalf of the Labour Party and the Socialist Left, I would like to make the following proposal: ‘The decision of the nodule is not accepted. Note: the third paragraph of Section 1 is assumed to be replaced by the following: «Consumer» means a natural person who is not principally engaged in business activities. A consumer is also considered to be an association which is not principally engaged in business activities, provided that the contract serves the personal purposes of its members.» Paragraph 17 is assumed to be replaced by the following:‘Things sold ‘as it is’ The agreement that the item has been sold ‘as it is’ or with similar general reservations shall not be weighted in the assessment of the defect.’;» Paragraph 29, second paragraph, is assumed to be replaced by the following: «In determining whether costs are unreasonable within the meaning of the second sentence of the first subparagraph, attention shall be paid to the value of a defect, the importance of the defect and whether other powers can be exercised without significant disadvantage to the consumer.» Paragraph 38, the new third paragraph, is assumed to be replaced by the following: «Prepayment in the purchase of a consumer may be agreed only if there are particular reasons the seller can demonstrate. Such special reasons would exist if the seller needed financing in order to complete the product, or because of time reasons or the nature of the product, it would be reasonable to make advance payments.» The third and fourth paragraphs become the fourth and fifth paragraphs.§ 42, the title is assumed to be replaced by the following:‘Return after delivery. The third paragraph of Section 42 is assumed to be replaced by the following: ‘Unless otherwise agreed, the consumer has the right to exchange the item within 14 days of the delivery of the item. On exchange, the consumer can choose between another thing with value equal to the purchase price or a right to a corresponding reduction in the price of another purchase by the seller within one year of returning the item [[receipt]] Paragraph 62, second paragraph, is assumed to be replaced by the following:‘The law applies to agreements concluded before the law enters into force.’ 10 should be presumed to be deleted.’
ParlaMint-NO_2002-06-17-upper.ana.ud2447e246	The representative Anne Helen Rui, on behalf of the Labour Party and the Socialist Left, made the proposal she referred to.
ParlaMint-NO_2002-06-17-upper.ana.ud2447e249	On behalf of the Right Party and the Christian People's Party, I am delighted to make the following suggestions: ‘The decision of the nodule is not accepted.Note: the fourth paragraph of Section 1 is assumed to be deleted.’
ParlaMint-NO_2002-06-17-upper.ana.ud2447e261	Petter Løvik has put forward on behalf of the Right and Christian People's Party the proposal he referred to. Several have not asked for the word. The President will first vote on the proposal of the Right and Christian People's Party and then on the proposal of the Labour Party and the Socialist Left Party.
ParlaMint-NO_2002-06-17-upper.ana.ud2447e279	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2002-06-17-upper.ana.ud2447e293	On behalf of the Right Party and the Christian People's Party, I will present the following proposals: ‘The decision of the nodule is not accepted.Note:1. § 3, the title, should be assumed to be replaced by the following:‘Reimbursement for assistance. Self-proprietary interest’2. Paragraph 3, second paragraph, is assumed to be replaced by the following:‘For work paid by the public, no remuneration may be claimed or received by the client other than a proportion prescribed by the regulation given by the ministry.’»
ParlaMint-NO_2002-06-17-upper.ana.ud2447e314	Petter Løvik has put forward on behalf of the Right and Christian People's Party the proposal he referred to. Several have not asked for the word.
ParlaMint-NO_2002-06-17-upper.ana.ud2447e325	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2002-06-17-upper.ana.ud2447e339	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2002-06-17-upper.ana.ud2447e355	On behalf of the Progress Party, I would like to make the following proposals: «The decision of the nodule is not accepted.Note:§ 6. The title of the paragraph should be assumed to be replaced by the following:‘Lives for regular passenger transport of motor vehicles’§ 7. The title of the paragraph should be assumed to be replaced by the following:‘Lives for scheduled passenger services’.§ 9. The title of the paragraph should be assumed to be replaced by the following:‘Personnel carriage rights by occasional motor vehicle’, the fifth paragraph of Section 29 shall be presumed to be replaced by ‘The Ministry may provide for the right to withdraw rights if the holder of the licence imposes a enforceable judgment in respect of acts of violence, victory or sedition.’.
