Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e74	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RUI	Rui, Anne Helen	F	1950	
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e95	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e98	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEOW	Width, Per Ove	M	1939	
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e113	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e116	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.MICM	Momyr, Michael	M	1956	
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e135	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e156	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e170	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RUI	Rui, Anne Helen	F	1950	
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e187	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e200	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e214	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-04-18-upper	ParlaMint-NO_2002-04-18-upper.ana.ud2246e230	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-04-18	2002-04-18	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-04-18	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
