ParlaMint-NO_2002-06-18-2.ana.ud2212e76	Can the President ask for a withdrawal in silence? Please, Councillor Børge Burnde!
ParlaMint-NO_2002-06-18-2.ana.ud2212e81	Thank you for that, I hope not all retreat in silence. It is very gratifying that the bulk of the population joins the Government's proposal for a more offensive climate policy. This approach is historic because it means that Norway is rapidly preparing for the Kyoto Agreement and implementing national emission reductions. The fourth year’s report from the Intergovernmental Panel on Climate Change clearly shows the need for action. Man-made climate change is probably already a fact. The climate is getting warmer, wetter and wilder. According to measurements, 1998 was by far the warmest year on earth, with 2001 being second place. But 1999 and 2000 were also warm years. Now we hear that the average temperature of the earth in recent times has never been as high as in the first quarter of this year. This is very worrying, and is signals of a globe with rising fever. In addition to the risk of more rainfall and extreme weather, there is cause for concern about climate change in Arctic regions in our areas. Not only is the polar bear threatened by the ice cap pulling northwards and the polaris perhaps disappearing, but also the Gulf Stream may be affected by climate change. Nevertheless, we face the greatest human challenges in poor countries. Countries that have contributed little to man-made climate change will paradoxically note the greatest consequences. 800 million people are starving, and 20 pst. of the world's population lacks access to clean water. Climate change does not improve this situation. This is primarily the case for poor people, who have little opportunity to move or adapt in other ways. However, we can still limit changes by cutting our emissions, and we can reduce the adverse effects of climate change in Norway and other countries through adaptation measures. The Government wanted Norwegian ratification to take place so early that Norway could contribute to the entry into force of the Kyoto Protocol at the Johannesburg Summit in August/September. I would like to pay tribute to the Stortinget who gave priority to this matter, so that Norway, as one of the first industrialised countries, could ratify the Protocol on 30 May. Later, the EU and Japan have also followed suit. With the positive signals we have from Russia and Eastern Europe, I still have a good hope that the agreement will come into force during the year. It was a strong setback for international climate work when last year the United States decided to stand outside the Kyoto Protocol. Fortunately, most other countries have opted for this commitment together, and the Protocol remains an important instrument for reducing the emissions of these countries. The protocol has a forward-looking content – with differentiated obligations, international quota trade and project-based cooperation. The promise of a more offensive climate policy is an important part of the policy base of the Co-operation Government. The proposals for national policies promoted by the Workers' Party last year were not sufficient. Therefore, the additional notification is more concrete and offensive as regards actions in Norway up to the first commitment period of the Kyoto Agreement from 2008. In line with the Sem Declaration, one of the proposals in the Additional Communication is an early national allowance system. With this in place from 2005, Norway will have committed to all greenhouse gas emissions where possible. For more than 10 years, emissions from large parts of industry have been exempted from instruments such as CO2 taxes, while other sectors have had to pay. For the Government, it has been important to design instruments that both ensure the implementation of sensible emission reduction measures and that do not result in unnecessary closures and relocations of industries that will be profitable when the Kyoto Agreement enters into force. The proposed quota system takes account of these considerations. The allowances will be allocated free of charge, the starting point for the total allocation being a 20 pst reduction. in relation to 1990 emissions, adjusted for closures and re-establishments. If industry achieves the emission target, the allowance system itself will not incur any costs for the companies. The measures implemented by the enterprises could cost money, but these costs will be the same regardless of the instrument used by the authorities to achieve them. Industry itself says that there is room for further emission reductions in the sector. Security valves have also been introduced into the system in the form of an infringement fee and opening for the use of allowances approved under the Kyoto Protocol also in the previous allowance system. The use of the CDM will contribute to technology transfer and investment in developing countries. In order to ensure a real climate impact, we need to impose very strict requirements on the follow-up and control of actions under this mechanism, to which a majority of the Committee has agreed. An allowance system is a market-based solution in which businesses themselves will find the best solutions for how to take emission reductions – with a reward for creativity and effort. The use of the allowance system also refers to the long-term allowance system for 2008-2012, which was proposed by the previous government and on which there is broad agreement. The government wants to design the allocation and other details of the system in close dialogue with the industry, and I am pleased that this process has the support of a majority in Stortinget. While the quota system is an essential part of a more ambitious climate policy, the Government also provides for concrete action in a number of other areas in relation to the initial notification in order to reduce national greenhouse gas emissions by 2008. We want more climate-friendly instruments in the waste sector. The government will apply the final treatment tax to waste in a way that is also adapted to climate policy. It will also be considered a ban on the landfilling of all today's degradable waste, which is degrading and emitting methane gas, when it would be much more appropriate to treat it in a different way. The Government will facilitate new solutions for the production and use of energy. The government's objective is to reduce the use of mineral oils for heating by 25 pst. for the period 2008 to 2012, compared to the average for the period 1996 to 2000. In a short time, the government will also present an action plan for waterborne heat. The efficiency of power production on the base is low. There is therefore a significant potential for reduced emissions through power input from countries. During this morning's meeting I noticed that the Labour Party in this debate is trying to ride two horses. It is claimed that the Government’s proposals entail excessive costs for industry and that the Government has too low a level of ambition in its actions towards industry. The working party's alternative is not crystal clear, but since already abandoned industry is included in the emissions target while the target is not to be reached before the end of the period, this is clearly less ambitious than the Government's approach. It is striking that the Workers' Party less than a year after they made their own climate announcement, criticises this government for being a little ambitious. As I have gone through, point by point we have put forward proposals for concrete measures that involve a more offensive climate policy than the workers' party government has led. The fact that the Workers' Party in its opposition situation is struggling with new promises and money without interference, we are beginning to get used to. However, such conduct is not credible. When the Kyoto Protocol enters into force, the main challenge for the international community will be to establish a global climate regime that also limits emissions from the United States and developing countries. The government is working to launch a negotiation process as soon as possible that could lead to new international agreements based on the Climate Panel reports. It is urgent – and will require a great deal of effort – to have a regime all over the world sees itself serving. In Kyoto, there were ten years left until the beginning of the first commitment period, 2008–2012. Today, there are only ten years left until 2013 – and we have not yet begun to talk about how the commitments will be designed. The government wants Norway to be on the international front to provide the basis for a further reduction in greenhouse gas emissions. We will not achieve this without demonstrating for ourselves that we are able to pursue a national policy that provides emission reductions. The support of the Storting majority for the more offensive climate policy of the Government is a good thing to have for a Norwegian Environment Minister in the international negotiations we are facing.
ParlaMint-NO_2002-06-18-2.ana.ud2212e130	It's going to be line change.
ParlaMint-NO_2002-06-18-2.ana.ud2212e133	Having heard the speech to the Minister for the Environment, I have to say that it seems to me that the most important thing for the Minister for the Environment is to try to create the impression that the Government has a better environmental policy than the Workers' Party. That's wrong. We think the proposal from the Government, which SV supports, is too ambitious, while at the same time it will take the break of parts of the process industry. Let's go a little bit further into the seams. The central question must be: Will the government's arrangement lead to a better environment in the early phase? The answer to that is no, in our opinion, because there is no guarantee that there will be a reduction in emissions, but there will most likely be fewer jobs in the industry we are talking about. That's how several of the companies we're talking about here won't be able to take a 20 pst. reduction without closures and, where appropriate, creations of enterprises in other countries that are not as concerned with the environment as we are. It is also the case that the regime of the Government will allow them to choose to buy freely through cheap measures in developing countries. Is that good environmental policy? It is also such that they can choose to pay the infringement fee, as the signals indicate that the government will set very low if they do not have the power to pay the claim for 20 pst. reduction. Is that good environmental policy? And the argument that it's important to practice in quota trading before 2008 seems to me to fall on its own unfairness. Bright Holtsmark in the Statistical Central Bureau has said that no one needs to train to pay taxes, and characterises the proposal as a matter of symbolism that lacks professional justification. I must say that I agree. In addition, in this setting, there is a wide range of other measures that government parties choose to vote against – measures that would have led to a better environment and that would have led to a better climate. My simple question to the Minister for the Environment is as follows: Why is it so important for this government to sacrifice jobs in the process industry for a scheme that is in addition no guarantee of reduced emissions, i.e. a better climate?
ParlaMint-NO_2002-06-18-2.ana.ud2212e146	This additional message represents the first crossroads where we will now also show nationally that we are willing to follow up the strict international commitments we have agreed to. The government thought that the previous government's climate communication did not contain enough action. We have put in place several measures that were not there, in relation to electrification, in relation to oil-fire conversion, and we have also put in place measures in the waste sector, which reduce national greenhouse gas emissions. In addition, we have proposed a national quota system that is carefully designed, which takes into account the competitiveness of the industry and also takes into account the fact that the process industry remains in Norway. However, we have had a challenge in relation to the EU and ESA, which is the competition authority in the EU, in view of the fact that this part of industry has not been subject to a CO2 tax. We have made a proposal to assess whether this part of the industry should reduce its greenhouse gas emissions by 20 pst. The working party fell off. In Stortingen, the Co-operation Government has been supported by this national quota system, with the votes of SV. This is a necessary measure to provide a more offensive climate policy and also to have a climate action against this sector. But as the setting also says, this government guarantees that we will design the system in close cooperation with the industry. There shall be no loss of industrial jobs due to this system. But we get a more offensive climate policy by also providing this part of industry with greenhouse gas reductions. The attempt of the working party to ride two horses by believing that their system should involve major greenhouse gas reductions while not affecting the industry falls on their own unfairness. I think it's actually been pretty well revealed earlier here today – actually by the Progress Party. This system will not have to deliver until 2007, while our system will deliver as early as 2005, when the quota obligation begins.
ParlaMint-NO_2002-06-18-2.ana.ud2212e153	Listening to the exchange of lines between the Council of State and the Workers' Party on who has the best industrial policy, it is, at least for me, a rather strange debate. I said in my post that the working party's quota system is about as bad as the SV and the government parties have cooked together. What we have noticed along the way in the process of climate communication is the dialogue that the Council of State has had with industry. That dialogue has taken place through the media, and there has been talk of each of its languages by the Council of State and industry, and the Council of State has probably spoken past the industry. It is clear that it is worrying for us who have a sense of business that there is no better dialogue between a government council and industry. Fortunately, the government parties have also realised this, because that must be the basis for promoting the I proposal. It simply requires the Council of State to engage in a dialogue with industry so as not to endanger serious harm and the loss of valuable jobs. Then I could imagine, as I was in the line to SV, that there are some leads here, among other things. as regards competitiveness and the infringement fee, and the nature of the scheme in the EU and the possibility to connect. If these leaders make it impossible to put in place a strange quota system or a curious levy, will the Norwegian Council of State then leave industry alone and not plague them with any more strange measures?
ParlaMint-NO_2002-06-18-2.ana.ud2212e166	The representative of Korsberg may have heard at the beginning of my speech that I referred to the climate challenge as the greatest environmental challenge that we may have ever faced globally. Of course, when faced with such an environmental challenge, one can lean back and do nothing, as the Progress Party chooses to do, or do what the Government proposes, that we should also try to deliver greenhouse gas reductions nationally in Norway. That's what this message is. And then I've said that in relation to the process industry, which has no climate action today, this system should be carefully designed and also so that no industrial jobs will be lost in Norway because of this greenhouse gas regime and this quota system. I think we're going to have a very good dialogue with the industry when this big business decision is available. It will be good for Norwegian industry, and there will also be a way to prepare for what comes after 2008. It will also be good in relation to climate policy. But it is interesting that the Progress Party has now become so involved in the competitive sector. It's not long since I read in some newspaper that it really wasn't that dangerous if we lost any thousand jobs in the competitive sector. I also have to say that the phase-in of oil billions through the public sector may not be exactly the right way to deal with this part of industry. In other areas, however, the government parties and the Progress Party stand together in relation to the fact that this year this industry will receive DKK 12 billion in tax relief. Last year, there were 12 billion dollars in tax incentives to deal with. Of course, with regard to the comment that has now been made on a proposal, that the Government should have an open and good dialogue with industry, it is in agreement with the Government that it is designed in the Committee. I have no problem dealing with this. It's a matter of course, and it's actually in the message as well.
ParlaMint-NO_2002-06-18-2.ana.ud2212e177	SV is pleased that a national quota system has now been put in place since 2005, and is particularly pleased that the use of gas is within the system. In addition, we got both the Government and the Workers' Party to participate in several of the SV's proposals for measures that will reduce greenhouse gas emissions – i.e. before 2005 – and create many new jobs. These include the electrification of the base, the requirements for air or water-borne heat in all new buildings over 1000 m2, the placing on biofuels and measures for energy recovery in industry. But SV also had many other proposals for action to reduce emissions. What we are less satisfied with is that the government parties have no longer extended to support SV's many early action. When government parties were unable to support the Workers’ Party’s and SV’s proposal to introduce a support scheme for new renewable energy equivalent to half the electricity charge, this is very regrettable, not least in the light of the EU Renewable Energy Directive currently under assessment by the Government. If we stick to the EU's goal of increasing the share of renewable energy, we will not avoid introducing support schemes for such energy production. And pending the announced green certification market, it will be very good climate policy to introduce these temporary support schemes. But it was an outstretched hand that the government parties chose not to accept. My questions to the Council of State are therefore: When will the Government come back with proposals for a stronger commitment to new, renewable energy? What kind of strategy does the Government have to bring the Budget Comrade Progress Party into such a commitment? The point is that the money for all good purposes is to be distributed, or rather not distributed; then it is the climate hosted in the Progress Party that is to support under the government's climate exposure. I cannot escape the idea that this is the real reason for the lack of support for the SV's many offensive climate action by the government parties.
ParlaMint-NO_2002-06-18-2.ana.ud2212e188	First of all, I would like to take the opportunity to thank the rapporteur for the good work he has done in the committee. Of course, I'm also glad, on behalf of the government parties, that we have now got through the national quota system. This means much that Norway should be able to achieve the objectives set out in the Kyoto Agreement, demonstrable progress before 2005. It does not help to have a result in 2007, we need to start delivering as early as 2005. It's very important. So it's true that even though SV has had an outstretched hand, we haven't found each other at all points, and that would have been very surprising. But I wouldn't be so pessimistic if I had been SV, in relation to what is also possible in an environmental cooperation with the Progress Party. Although the Progress Party is not exactly the most offensive in the climate issue, the government parties have good experience in making a compromise with them in connection with the revision this year, as we managed to continue, for example. an increase of 35 million in the protection against the coniferous forest. kr in addition to the original budget of the Government. As far as renewable energy is concerned, the Sem Declaration states that on the day of a CO2-free technology, with the support of an equivalent electricity charge, this will also apply to renewable energy sources. I notice that SV would like us to grant at least half of the electricity charge in support of this renewable energy as soon as possible, and I take that with me. But this is a matter that needs to be discussed in relation to the annual budgets, and that is not the only budget input that has come from the Storting to the Government in the last few days. We're going to sit down and make a list, and see how we're going to make this fit.
ParlaMint-NO_2002-06-18-2.ana.ud2212e198	I really think that everyone is very concerned about succeeding in climate policy. In today's edition of the Evening Post, in the article «Clear, ready, climate», journalist Agnar Kaarbø comments on the work on climate communication. He calls for reasoning about today's fossil energy consumption – coal, oil and gas – and he presents both a benevolent and a less benevolent interpretation of the work. The benevolent interpretation – I like it best – is like this: ‘Technology developments in the form of less energy-intensive cars, environmental requirements for housebuilders and gas power stations which, to date, unknownly deflect annoying CO2 emissions, make Kyoto work a real challenge.’ From this point of view, I would like to hear the views of the Council of State on the following issue: Now that the process industry is to be given such a strong focus in terms of quotas, is not the sector that is facing major increases in emissions, that is, the petroleum sector? Should it not have had more stringent requirements? I also want to add: what about the Snow White extension? In relation to it, there will also be quite a lot of CO2 emissions. Actually, I have to add that it is only the Center Party that could ask this question, because we have said no to Snow White, and we have said no to the early quota system of the Government and the SV. Now we can easily pair with that we say no to everything! [[Laughter]] But I will then hurry to say that the position we have taken here will protect both the environment and the existing industrial enterprises in the districts. I meet the views of the Council of State.
ParlaMint-NO_2002-06-18-2.ana.ud2212e210	There were many questions at once. The representative, Enger, has a very sympathetic way of presenting his message, so I can avoid saying what I have felt in the last few days about the Central Party's environmental policy. I think, among other things: in the debates we have had on national parks and civil protection, etc., but I will deal with them in the best possible way. In the case of the petroleum sector, it is the case that it is subject to a CO2 tax. It is one of the world’s highest CO2 taxes, and compared to a reduction requirement, which the process industry is now faced with, the CO2 tax is much stronger. If you asked the process industry if it would have had CO2 tax instead of allowances, I think the national quota system would have appeared to be very comfortable. The government's position is that we should continue the Norwegian CO2 tax until 2008, when we get the Kyoto system in place. In fact, this CO2 tax has been so high that it has led to a number of measures on the base of the oil sector to reduce greenhouse gas emissions. Environmental investments have been chosen instead of paying taxes. Then, in the future, we will see how this dialogue with industry becomes with regard to the national quota system. I feel that it is important – and I will also help – to put some of the fight that we have had in the last few months behind us, and that we must try to achieve a broad consensus in the Storting regarding the design of this national quota system when the proposition comes. There are also many clarifications in relation to the EU, and there will be a good dialogue with the implicated actors in the future.
