ParlaMint-NO_2002-12-17.ana.ud1638e61	The representative of Sylvia Brustad will make a private proposal.
ParlaMint-NO_2002-12-17.ana.ud1638e64	On behalf of the representative Jens Stoltenberg and myself, I would like to propose a government loan or guarantee scheme for those who find it difficult to pay exceptional high electricity costs, to increase the rates of light and heat in the housing aid to become more consistent with the real costs and to assess changes or exemptions from the NVE's invoicing regulations.
ParlaMint-NO_2002-12-17.ana.ud1638e69	The representative of Øystein Djupedal will make a private proposal.
ParlaMint-NO_2002-12-17.ana.ud1638e72	On behalf of the representatives of Kristin Halvorsen, Hallgeir H. Langeland and myself, I would like to propose a new assessment of all aspects of the Snow White Development.
ParlaMint-NO_2002-12-17.ana.ud1638e77	The proposals will be dealt with in a regulatory manner. At the request of the Committee on Energy and the Environment, the President will propose that matters be referred to the Committee on Energy and the Environment. 1 and 2 are dealt with as a whole – and consider it to be adopted.
ParlaMint-NO_2002-12-17.ana.ud1638e104	At the request of the Committee on Energy and the Environment, the President will propose that the debate be limited to 1 hour and 25 minutes and that speaking time be allocated to the groups as follows: Working Party 20 minutes, Right 15 minutes, Advance Party 10 minutes, Socialist Left Party 10 minutes, Christian People's Party 15 minutes, Center Party, Left and Coast Party 5 minutes each. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government. Furthermore, it will be suggested that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2002-12-17.ana.ud1638e115	The Energy and Environment Committee today presents its position on St.meld. No 38 for 2001-2002, on oil and gas activities. The Committee has had a good process in this matter, consultation with interested parties, and the fractions have had broad contact with oil companies, environmental organisations and fisheries organisations from different parts of the country. I would like to thank the members of the committee and the committee secretary for their solid work. Petroleum activities are of major importance to the Norwegian community. In 2001, it accounted for approx. 23 pst. of gross domestic product and 45 pst. of Norwegian exports. The Committee is therefore united in its view that it is important to ensure that petroleum activities become a significant contributor to the financing of the welfare society and to industrial development throughout the country in the future. However, it is not unexpected that there will be disagreement in the Committee on the extent of these activities in the future and how we will achieve a satisfactory balance between the environment, fisheries and oil and gas activities. The entire Committee agrees with comments that point to the challenges of increasing the extraction rate of oil and gas in existing fields and points to the need for authorities to establish framework conditions to stimulate this. An offensive strategy is needed to exploit established fields in the form of tail production, and we need to get further search in smaller fields. This also allows new and smaller companies to apply to extract such fields. Oil and gas activities are of major importance to other industries and not least to technological developments for the supplier industry. This is also agreed by the entire committee. As the rapporteur, I have found it right to point out a number of comments where all parties in the committee have been in agreement in their views. In my opinion, it is important in a case like the one we have to deal with today, that there is the broadest possible response to the policy put forward by the Government. It is important to maintain stability in the political leadership of oil and gas activities. It is one of the advantages Norway may have compared to some other oil producing countries. That is why I am pleased that the government parties and the Workers' Party, and partly the Advance Party, have gathered on some comments and otherwise support the content of the notification. Let me then comment a little bit further on the course the majority of the committee wants to follow. The notification is based on what it calls the long-term development path, which aims to ensure that the oil will generate significant revenues from a 50-year perspective and gas from a 100-year perspective. To achieve this, it requires both increased extraction in existing fields and the opening of new oil and gas provinces for exploration and extraction of petroleum products. There are huge gains if you can increase the extraction rate of the oil fields to 50 p.p., from today approx. 44 pst. This is a key challenge for rightholders and operators. However, it is also important that the Ministry of Oil and Energy assess whether there are sufficient incentives today to achieve such a goal. To get a development that the long-term development path describes, new search areas and new findings are also needed. 60 pst. the value creation of the long-term development pathway is based on oil and gas resources that have not yet been found. It is assumed that about one tenth of Norway’s total petroleum resources, or one quarter of its expected resources, are in the Barents Sea. Activities in the north are therefore a prerequisite for the desired development path. While there are still some exploration areas in the North Sea that can produce results, optimism is greatest for new petroleum findings in the Norwegian Sea and the Barents Sea. There must be a requirement in this context to ensure that such exploration and extraction can take place without significant adverse effects on the environment and so that the rich fish resources do not become harmful. The requirement for zero emissions at sea is crucial in this context and requires close cooperation between oil companies and research institutes. Strict requirements are required for petroleum activities in the northern regions. The government has in the Sem statement specifically addressed this, and I quote from it: ‘The cooperative government will carry out an impact assessment of all-year petroleum activities in the northern sea areas of Lofoten and northwards. Until such a plan is in place, the Barents Sea shall not be opened further to petroleum activities.» It is on this basis that the majority of the Committee, the Labour Party and the Government Parties, ‘provides that this impact assessment will be sufficiently thorough and comprehensive to provide a sound basis for addressing the issue of further petroleum activities in the area’. This does not mean, as some tabloid media describe it, that it is now free from the north. The impact assessment is precisely aimed at identifying possible problems with petroleum activities in the northern regions, and any problems that need to be assessed once the investigation and consultation opinions have emerged. But now there are hardly any people who believe that such investigations have quite clear conclusions. Therefore, political leadership is also required in this case to assess what is relevant, the seriousness of any problems and the specific requirements to be imposed on rightholders and operators. The main considerations are, of course, the value creation potential of the petroleum industry on the one hand, and the consideration of fisheries and environmental interests on the other. It is the hope and belief of the majority that these issues can find good solutions based on the extensive work that has been done in the past in the northern regions and which is updated and continued in the impact assessment. There has been a widespread perception that oil and gas come almost from the seabed by themselves and that the incomes of society are safe incomes. This is, of course, a completely wrong opinion. In some way, if we are to secure our future revenues from this activity, it will require constant technological breakthroughs, in seismics, extractive techniques, transport systems, etc. Not least for our entire industrial environment, with the possibility of large deliveries to operators, this is of great importance. But if we are to succeed in keeping a good, technologically strong supplier industry, the activity on Norwegian base must be stable. Mountain and valley activities will lead to the disappearance of competence from such enterprises. This is what makes a good combination of exploration and extraction so important. As in all other sectors, market developments are central. We've seen throughout our oil era the great variations that are on the price side. Of course, the price of oil and gas is crucial for future revenues. The majority of the Committee points out that the Government will follow the development of the market balance in the oil market and refers to current practices whereby the Government informs the Stortinget in an appropriate manner in the case of any production regulatory measures. It is important that conditions are facilitated for us to have a competitive oil and gas industry in Norway, while at the same time being able to compete internationally. This, together with close cooperation with the international oil companies, could also contribute to the participation of the Norwegian supplier industry in projects internationally. However, there are clear indications that our supplier industry is losing competitiveness. It will be important for this part of our business to be able to adapt skills and cost levels to ensure delivery in the future. Following the assessment of the Joint Committee, it is particularly important to have good cooperation with Russia on oil and gas activities in the north. Russia has large oil and gas resources in these areas, and it is important that good cooperation on health, environment and safety can be achieved in their development, and that sufficient account is taken of the fishing resources in the area and of the reproductive capacity of the fish. It helps little if, on our side in the Barents Sea, we impose a number of exploration and extraction requirements, unless the same caution is applied to larger neighbouring areas. We are facing major challenges in the further development of our petroleum resources. There has been no significant finding of oil fields since 1986. The long-term development path will ensure our level of well-being from a 100-year perspective. However, it requires considerable efforts to ensure this value creation in co-existence with fisheries and with a good environmental profile. Today's debate is a very important debate in this respect. Let me add a couple of sentences about the exceedances of Snow White. It is very regrettable and unacceptable that such an important project fails so decisively on the planning and investment side, not least because both the position and opposition on the Stortinget asked critical questions to the builder about the plans and profitability of the project. It is crucial for subsequent projects to be decided by the Storting that individual builders can trust that the calculations and investment calculations presented are quality-proof and good enough to make such important decisions.
ParlaMint-NO_2002-12-17.ana.ud1638e166	It's going to be line change.
ParlaMint-NO_2002-12-17.ana.ud1638e169	Environment and industry must work together. It has been and is a prerequisite for the oil and gas activities and other industries in Norway. In this context, I would like to thank in particular the representative of Onarheim, but also the government parties, for the constructive cooperation during the examination of this communication. For they might as well have ended up in a majority with SV, which would spend future investment in the oil sector on welfare goods. We know how it would work. At that time, revenue would have disappeared in the long term, and welfare would have been threatened. Industry is now in a serious situation. We see that more and more rigs are put into circulation. More and more people are being sanctioned and terminated. It also referred to the majority of the Committee in its comments. The majority, consisting of the Workers' Party, the Advance Party, SV and the Center Party, say that we are facing a serious deterioration in Norwegian industry and other competitive activities. This isn't on the right. I would therefore like to receive an assessment from the representative of Onarheim on this issue. So finally, when the representative says that it's unacceptable with the exceedances of Snow White, it's a little alarming, because according to the Council of State, the Minister of Oil and Energy, has said, it's accepted by the Government. Then my question is, what does the representative of Onarheim put in that it is ‘unacceptable’ with such exceedances?
ParlaMint-NO_2002-12-17.ana.ud1638e178	The representative Klungland points to the industry situation – I don't think the representative needs to worry that I don't have the same concern that he has. It's important that we now have a steady development, as I said in my post, that we have activities going, so that we don't get a mountain and valley situation. On the other hand, we do not exclude that the companies themselves also have a significant responsibility, and this is not least in relation to cost development and wage development. There are also a number of factors that need to be considered in order for these companies to be able to compete, not only in Norway, but also internationally. Otherwise, I have no problem agreeing that it is important that we now look at this with fresh and new eyes to see how we are going to make this part of our industry work properly. When it comes to my conclusion, I have to say that I said that because I am quite upset that you can have such a big deviation from a calculation, even though it is a difficult and complicated project that you start on Snow White. When I say that is unacceptable, it is to give a signal also from those who basically have a very friendly attitude to the oil companies, that more attention must be paid to getting correct calculations and proper development plans, so that you do not get into this situation again and again. I think it is absolutely vital for confidence in this industry that you can prove that you have really gone deep into the issues and can provide realistic calculations.
ParlaMint-NO_2002-12-17.ana.ud1638e189	In the newspaper last Saturday we could read this big headline: «Yes to oil drilling in the Barents Sea». And I quote: ‘A day of joy, right-wing energy and environmental politician Leif Frode Onarheim believes that the majority of Stortingen facilitates oil activities in the Barents Sea.’ After reading this, I began to wonder if the representative of Onarheim and I had the same setting to deal with us. But after reading further down the article, I found the following: ‘Yes, I believe this decision can open up oil business. But the impact assessment will determine how the activity can be’... “Even he wants and hopes for activity in the Barents Sea.” On the basis of this, I would like to ask the representative of Onarheim what decision he refers to in the article. The only proposal for a decision that says this is the Progress Party, and at least we are in the vote alone on this. Or is it that Onarheim and the government parties support our proposal, so that he gets the activity he wants from the newspaper, and that we can have the joy of the day that both Onarheim and the oil industry obviously look forward to?
