ParlaMint-NO_2002-05-29.ana.ud356e28	The called alternate of the Akershu County, Harald Espelund, has taken the seat.
ParlaMint-NO_2002-05-29.ana.ud356e54	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Council of State Laila Dava State Council Ingjerd Shostat Council Ansgar Gabrielsen The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We will then start with the first main questions, from the representative Olav Gunnar Ballo.
ParlaMint-NO_2002-05-29.ana.ud356e73	I have a question for the Social Minister. In the context of the 2002 State budget, the Stortinget adopted a series of measures to be implemented by the Government, which were asked by the Government to take the initiative in relation to drug users. The government asked the government to improve the provision of drug users in the municipalities. It was requested that comprehensive action packages be developed for the provision of care and treatment for drug users. The majority also asked for a full review of the laws relating to mental health protection and the social care law, as well as other laws that mention drug abuse, on the basis of the objective that the responsibility for treatment should also be assigned to healthcare professionals. It is unlikely that the Storting has given clearer signals that the supply of drug users needs to be improved. The Social Minister has also been high on the ground and the flag to take initiatives against drug users. Now we see that the government and the Minister of Social Affairs are right-wing in the field by area, and these are areas decided by the Storting that the Government should follow up. What does the Minister for Social Affairs intend to do to follow up on the three areas I have mentioned now and in other areas related to drug use?
ParlaMint-NO_2002-05-29.ana.ud356e84	It is necessary to strengthen the specialist health service for drug users and also to clarify the responsibility of the specialist health service for this group. This is firm. This was also taken into account by this government at the time of accession. The Ministry of Health has already been responsible for health measures for drug users as from 1 January of this year, such as medically assisted rehabilitation and low-threshold health services. Substantial increases in appropriations for these purposes were also proposed, to which the Storting also joined. It has also been consulted on a proposal to transfer the specialist health service of drug users from the county to the state of regional health establishments. The transfer of responsibility must take place in a way that ensures an up-to-date and good offer to users. It must also be possible for healthcare undertakings to assume responsibility for the specialist health services. Health businesses are now facing major challenges related to the implementation of the hospital reform and have asked for more time to prepare for the acquisition of these drug institutions. In the light of these observations in the consultation round, it is submitted for implementation on 1 January 2004. There is a lot of pressure on the work on the bill to be promoted for Stortinget. It is important that we have a place of responsibility for measures that have the character of specialist health care. It is the transfer of responsibility that is deferred. And it is not that drug users now have to wait longer for new measures. This case concerns the location of the service and the division of responsibilities between social health services. A number of those heard during the consultation round also pointed out that they wanted a future change in the organisation of the other interventions and that this should be done at the same time. The postponement also makes this possible. We are also working on getting a whole in the drug service, that responsibility should be made clear, that there should be enough capacity, that quality should be good enough and that responsibility is clear and clear.
ParlaMint-NO_2002-05-29.ana.ud356e99	I see the Social Minister's answer as an explanation of why the Government does not follow up the Storting's decision to the extent and at the rate that the Storting has expectations of. I also record that the Stortinget has assumed that there must be a closeness to the treatment offer, precisely because it is the housing offer that needs to be improved, and that it is a comprehensive offer that we are talking about, including with regard to mental health protection. How, then, will the Minister of Social Affairs explain that now there is support for the Municipality of Oslo, which wants to put out drug services for competition, and that, if necessary, there will also be an offer for treatment to take place in Sweden?
ParlaMint-NO_2002-05-29.ana.ud356e106	I am very pleased with that supplementary question, because the starting point for the government's policy is that we should have sufficient competence and capacity here at home. Treatment abroad will be a niche – an offer that can be suitable for some. But that should be the exception, not the rule. I have made myself clear that treatment abroad is assessed if it can give users a better offer, and if the offer is professional. This is linked to Denmark and Sweden because the legislation that is tolerable is similar to ours. The starting point must be the needs of the users. In the case of some offers such as: Acute detoxification, offers abroad may be relevant for some. In the case of longer-term treatment courses, social rehabilitation, offers abroad will be poorly suited. When returning to society, getting help to live, get into work, establish social networks and be included, it has to be done in the community here at home.
ParlaMint-NO_2002-05-29.ana.ud356e115	There will be follow-up questions – Sigbjørn Molvik.
ParlaMint-NO_2002-05-29.ana.ud356e118	In the context of the next year’s presentation of the government’s financial approach, the municipal economic proposition, the municipal minister admitted that the tighter financial regime for 2003 could mean a lower welfare offer in the municipalities. Care and organisation of actions, e.g.: in the case of housing for drug addicts, municipal responsibility is to a large extent. That is why we rely on well-functioning municipalities to make progress in this work. The question then arises: does the Minister of Social Affairs think that next year an economic approach for Norwegian municipalities that, according to the Minister of State for the Interior, will result in restrictions on welfare schemes is a good starting point for improving the situation of drug users?
ParlaMint-NO_2002-05-29.ana.ud356e123	Because this year, 250 million has been added. kr more than the previous government had committed, and it has contributed to the municipal economic proposition of NOK 22.5 billion for what goes on for free revenues. Later corrected by the Council of State, cf. Page 2865 But I do not hide that it is a challenge in relation to the work done by municipalities in terms of welfare services. In any case, the objective is to make it possible to prioritise, and it has also been shown that municipalities have the ability to prioritise, for example: both prevention and, in particular, care for the elderly, despite the tight financial framework. But it's clear this is a challenge.
ParlaMint-NO_2002-05-29.ana.ud356e132	Ola D. Lukewarm – for follow-up questions.
ParlaMint-NO_2002-05-29.ana.ud356e135	The Minister of Social Affairs signaled early after she had taken over the department, that there was going to be a lot of work to do with drug treatment. Then we see that, among other things, the reform of responsibilities or the assumption of responsibilities is postponed on time. It will go over a year and a half from now until it is clear how the state will take over responsibility. Is it following in the right way? What happens in this vacuum that will now be until 1 January 2004? It was an argument at the time of the hospital reform that it had to happen quickly, so you didn't get such a vacuum. Now this will apply to all drug services. So the Council of State also says it's going to be bet. How does it harmonize with the proposal in the revised national budget, where several million people are taken from drug users’ interventions and transferred to this new directorate, rather than using it as a means of action for drug users?
ParlaMint-NO_2002-05-29.ana.ud356e142	It is clear that the Government has a focus on the provision of drug users and that the measures already proposed by the Government in 2002 will be followed up. As regards the follow-up to drug reform, it is also established. Hearing opinions also ensure the simultaneous entry into force of drug reform I and II that this will be implemented at the same time. We have made a great deal of progress in the field of drug-reform. We've got a lot of useful input. What we're working on now is a review and a transposition, and we've also proposed in the revised national budget 5 million. precisely to review the institutions concerned by this work. We will also make proposals for the Storting which allow for simultaneous implementation.
ParlaMint-NO_2002-05-29.ana.ud356e149	John I. Alvheim – for follow-up questions.
ParlaMint-NO_2002-05-29.ana.ud356e152	Let me first say how pleased I am that the Minister of Social Affairs took a positive view of detoxification and treatment abroad. In this area, they are much better both in Denmark and Sweden than we are in Norway. With regard to the reform of responsibilities and the transfer of specialised health services for drug users to enterprises, the government here seems to commit a serious breach of promises. As late as March 20 this year, the Health Minister confirmed in Stortinget’s Question Time that this would happen from 1 January 2003. My question is: is there any written evidence that companies do not want this reform from 1 January 2003 and are these documents available to the Stortinget?
ParlaMint-NO_2002-05-29.ana.ud356e159	The health undertakings to assume responsibility must be able to do so, and this is the overall assessment of the Government. When health businesses face major challenges related to the implementation of the hospital reform and have asked for more time to prepare for the acquisition of these drug institutions, the Government has also taken this into account when we have said that 2004 is the current year for implementation. But I maintain that this is a total assessment the government has made, and that the intention and ambition that we should have an implementation of the drug reform where responsibility is made clear is firm.
ParlaMint-NO_2002-05-29.ana.ud356e164	Let's move on to the next main question.
ParlaMint-NO_2002-05-29.ana.ud356e167	I have a question for the Davøy Council. When cash support was introduced, the main argument was that it should give better time to parents and children together. It's a goal that the Workers' Party fully shares. We have to make sure that it is possible to combine work and care for their own children. Therefore, the 1980s and 1990s were a story of a strong expansion of maternity leave, a greater possibility of withdrawing the time accounting system, a greater chance of caring for their own children. So in 1997 we got over the table without prior investigation a proposal to introduce a cash support at a cost of NOK 3 billion. According to Valgerd Svarstad Haugland, the then Minister for Children and Family Affairs, at a big meeting on Wednesday 10 June 1998 it was a response to the time squeeze, the time pressure of the 1990s, that many parents feel. [[The President clubs]]
ParlaMint-NO_2002-05-29.ana.ud356e176	Time's up. The question must come now.
ParlaMint-NO_2002-05-29.ana.ud356e179	... that parents don't have any more time with the kids. And then I ask the Council of State, Will she reconsider the cash support scheme when the goal is not achieved?
ParlaMint-NO_2002-05-29.ana.ud356e184	First of all, the starting point for the question is wrong. There's been more time with the kids. There are 1,300 more years' work with the children. This means that thousands of parents have more time with their children, perhaps not in full-time jobs, to say that, but they have reduced working hours. We know that. The size has also recently addressed an evaluation of the cash support where this is obtained, and probably results in the same figure, only that the survey says that parents use approx. 2.5 more hours a week for their children. So someone might think that this is too small. But we had three goals with the cash support. One was more time – that's right. The second was the freedom of choice for parents. The third was that they wanted greater justice for those who did not have kindergarten space compared to those who had been given kindergarten space and were thus subsidized by the state. So we've had three purposes of the cash support, and everyone's more or less fulfilled. The most important thing for me is that the freedom of choice for the parents is present. I think parents know what's best for their child. The possibility of getting more time for the children is very common. It's actually 75 pst today. by parents who have children of a cash-assisted age who withdraw cash support to a greater or lesser extent. It tells me that this is also a wish from the parents. But freedom of choice is not fully respected until we have full childcare coverage, and that is what we work together to ensure. The cash support will not be terminated if it is up to me.
ParlaMint-NO_2002-05-29.ana.ud356e194	In the same debate in 1998, the Minister for Children and Family Affairs at that time, Mr Haugland, said that ‘the time pressure will decrease, and the need to spend more time on care tasks will increase. This is the very core of what we want to achieve with cash support. The Council of State now says that 1 300 years' worth of this. This means that you pay approx. 2.5 million. kr per. A year’s work you get with the children. Is there not a better way to spend the money, which makes sure that many more people have more time with their children, that at least there can be adjustments in the cash support so that we can get better time for parents and children between them? At the same time, we know that the nursery was given a stop when the cash support came. It ranged from 10,000 to 12,000 places per year in the 1980s and 1990s to about 12,000. 3000 places per year. This is what has led to the fact that freedom of choice is not real, because you just don't have a kindergarten to go to.
ParlaMint-NO_2002-05-29.ana.ud356e203	I think I share Mr Giske's concern about the timing. We know that toddlers' parents are in time together, and many would probably want to be more with the children. But we've given an opportunity. That possibility was not present before the cash support came. At least you must not give the impression after the new study that about all the billions that go to the cash support go to those who are now a little more at home with their children. It's actually 75 pst. by the parents who are currently using the cash support to a greater or lesser extent. Then I would like to say that while we were receiving the cash support, the 6 year-old reform came. I do not overlook the fact that this too has had a significant impact on kindergarten development. Otherwise, the representative Geske knows well all the issues related to why we don't have enough kindergartens. These include: that the use of the instrument has not been good enough. That's what we work together to try to solve.
ParlaMint-NO_2002-05-29.ana.ud356e210	There will be follow-up questions – Eirin Fallet.
ParlaMint-NO_2002-05-29.ana.ud356e213	It is enough that we disagree on the policy instrument to be used to create a better everyday life for our kids. I guess that's why we're in different parts as well. So we just have to live with that. But I would like to ask the Council of State to think again about the cash support, because the Government is now holding the key to whether we can spend the money in a much better way. What it boils down to with this survey and the evaluation of the cash support that we have recently implemented is, in fact, that the parent demand is a nursery place. Of course, all the parties work intensively to find solutions on how to get full babysitting. But here it's $3 billion that goes to something that we're now very disagreed about is the best solution. [[President clubs]] There's no shame in turning, as it's called in the mountain-wet rules. [[The President Clubs Again]]
ParlaMint-NO_2002-05-29.ana.ud356e220	It is later that questioners too can be hit by the time bracket, not only by young children’s parents.
ParlaMint-NO_2002-05-29.ana.ud356e223	I would like to state that it is actually not the case today that those who withdraw cash support are essentially parents who have not been given kindergarten. I want to make it firm. In fact, there are some parents who write letters to the Minister for Children and Family stating that they are very happy to receive cash support, which has actually given them the opportunity to either work a little less or to spend periods with the children. So it's not like that. I know that the Workers' Party has wanted to get the most into kindergarten, but there are some people who want alternatives, and I'm glad we have. It's a little exciting discussion we have just today after the new study, because I set up as the head of the Nursing Association when the cash support was introduced, and what that organisation and also the Workers' Party were concerned about at the time was that we were going to lose a lot of labour, that most would run home and be home with their children. That hasn't turned on yet. People want to work something, and maybe be a little bit more with the kids, which has also happened.
ParlaMint-NO_2002-05-29.ana.ud356e230	May Hansen – for follow-up questions.
