ParlaMint-NO_2002-10-23.ana.ud1679e28	The representative of Steinar Bastesen will make a private proposal.
ParlaMint-NO_2002-10-23.ana.ud1679e31	It is a proposal from me that no amendments to current fisheries laws are being taken into account until the Stortinget has received an evaluation report on the impact of the significant legislative changes that were made during the previous enlargement period.
ParlaMint-NO_2002-10-23.ana.ud1679e36	The representative, Odd Roger Enoksen, will make a private proposal.
ParlaMint-NO_2002-10-23.ana.ud1679e39	On behalf of Inger Enger and myself, I would like to make proposals on minimum requirements for the filling of warehouses in hydropower plants.
ParlaMint-NO_2002-10-23.ana.ud1679e44	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2002-10-23.ana.ud1679e66	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: State Council Valverd Reply City Haugland State Council Lars Sponheim State Council Ingjerd Schou The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Øystein Hedstrøm.
ParlaMint-NO_2002-10-23.ana.ud1679e85	I have a question for our honourable Minister of Agriculture. At a 25th anniversary at Kalne's agricultural school, the Council of State issued very remarkable opinions on Norwegian agriculture. He said that farmers are ‘become political beings’ who ‘have become entrenched’. And then again, the whole cooperative mindset is the Taliban. These are very perceptive opinions against Norwegian agricultural policy and the Norwegian peasantry. So what has the Council of State done to change the cooperative during the reign of the Tripartite Government? Indeed, the cooperative still has its regulatory privileges and is exempt from competition law, so that Kari and Ola have to pay more for Norwegian food. When the Council of State says that the cooperation is the Taliban, does it not mean – when he has not done anything to change this that matters in practice – that the policy he stands for is a Taliban policy?
ParlaMint-NO_2002-10-23.ana.ud1679e92	It was violent. I can confirm that it's been 25 years since I left Kalne's agricultural school, and in that context, where I met my former fellow students, I reflected around some of the accusations and statements that have been made to me as a politician over the years. It was then that a newspaper had turned up. I don't think we should put so much emphasis on this, just to say that in the situation we have had in Norwegian agriculture over time, where in some areas there has been a purely monopoly situation, where the Stortinget has asked for competition, several actors, the Government is working on this and getting it done. We see examples of this today, for example. in the milk sector, where there is work to achieve sensible and good competition – not because a person wants to make Tine worse, but competition actually makes it possible, for example: the milk sector and the major former monopolistic Tine are improving. In this way, we contribute to an embellishment in many areas of agriculture, which contributes to greater freedom for farmers to be self-employed, without breaking out the child with the bathing water, as it is also part of the proposal on agricultural policy. Because we need a strong political framework for agricultural policy in Norway, we need an opportunity to take care of an agricultural sector as far north as possible and with such small gardens spread over a huge area as we have in Norway.
ParlaMint-NO_2002-10-23.ana.ud1679e97	I would like to quote what the Council of State has said to Sarpsborg Arbeiderblad, i.e. the local authority: the agriculture ‘has been the whole of the Taliban in its inpoding of cooperatives’. And then, "When farmers want to do something, they call on the state." In addition, he says that there must be "something about the dairy farmers in this country", i.e. that each dairy farmer receives, on average, NOK 350,000 per year in subsidies. I agree with the Council of State that there must be a strong structural change in Norwegian agriculture, so that the remaining farmers can become robust, and meet the world of reality into the future. But when the Council of State says that Norwegian agriculture is the Taliban, does he not have to propose radical changes in agricultural policy in order to get away from the Taliban policy he represents?
ParlaMint-NO_2002-10-23.ana.ud1679e104	It was this – and the joy I shared with my fellow students – that what was learned about the market in Norwegian agriculture 25 years ago, and it was also true to me through five years of agricultural economics studies, was very limited. It was one country, one brand and one market. So what you needed to know about the market was the phone number of the major cooperatives. Besides that, you would learn the theory of production. There's probably been a good policy in a construction period, where we needed standard marks and rational production across the country, but that time is over. Agricultural products are now facing mature markets, markets requiring differentiated products, and this means that we need to change some of the market regimes. We're working on that. The majority itself has asked for competition in the dairy sector. We're working on that. We are recently looking up this issue today. Everyone knows that restoring competition in a market where it has been a monopoly is a very difficult job, but we're working on it. Similarly, we are trying to facilitate farmers to cooperate more and in various ways to build more differentiated agriculture on the supply side. The milk sector is the area facing the greatest changes in the future.
ParlaMint-NO_2002-10-23.ana.ud1679e111	Let's move on to the next main question.
