ParlaMint-NO_2002-03-22.ana.ud407e41	The representative of Inga Marte Thorkildsen will make a private proposal.
ParlaMint-NO_2002-03-22.ana.ud407e44	On behalf of myself, Olav Gunnar Ballo, Anne Helen Rui and Bjarne Håkon Hanssen, I have the pleasure of promoting a Document No. 8-proposals for legislative changes to ensure medical evaluation, medical treatment or monitoring, if appropriate, of those who are at risk.
ParlaMint-NO_2002-03-22.ana.ud407e49	The representative of Morten Ørsal Johansen will make a private proposal.
ParlaMint-NO_2002-03-22.ana.ud407e52	On behalf of Kenneth Svendsen, Øyvind Korsberg and myself, I would like to make suggestions to surrender some of the outstanding claims to Oslo Airport A/S.
ParlaMint-NO_2002-03-22.ana.ud407e57	The representative, Ola D. Glötvold, will make a private proposal.
ParlaMint-NO_2002-03-22.ana.ud407e60	On behalf of the representatives Eli Sollied Överaas, Sigbjørn Molvik and myself, I will make proposals for transparency in the proceedings of regional health companies.
ParlaMint-NO_2002-03-22.ana.ud407e65	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2002-03-22.ana.ud407e80	No one has asked for the floor. [[Fotation, see page 2119]]
ParlaMint-NO_2002-03-22.ana.ud407e97	No one has asked for the floor. [[Fotation, see page 2119]]
ParlaMint-NO_2002-03-22.ana.ud407e117	During the spring, the Stortinget will deal with a major report on the care of the elderly. The government has said that it will present a message summarising the impact of the older people’s initiative adopted by the Stortinge in 1997. The government has also said that the Storing Message should look forward. The government’s decision to provide a separate forecast of the situation in the care of the elderly is clear in line with the wishes of the Stortinge. Good and dignified care for the elderly is a fundamental asset of well-being. Many older people still experience unworthy services in the care of the elderly. It's unworthy of Norway. For this reason, the treatment of the new EEAS is very important in the spring. This interpellation aims to involve the Storting in a debate already in advance of the completion of the Government's notification. Interpellence can therefore also be understood as an initiative for broad cooperation in the Grand Duchy to do something for those who do not today receive what they deserve, and, of course, to ensure good quality for all those who will gradually need care for the elderly. From many quarters it is claimed that the ageing effort adopted in 1997 has failed. The Labour Party does not agree. I have recently had the pleasure of traveling around many places in the country, and I have visited and seen many new nursing homes and nursing homes that have been realized through the 1997 retirement plan. It's been inspiring. Many older people have gained a significant improvement in the quality of life as a result of measures taken in the wake of the ageing plan. Local authorities have been strongly criticised for their over-estimated commitment to the construction of nursing homes and too little to build a sufficient number of nursing homes. I agree that there is a need for more hospitals, but I believe that the criticism of the municipalities that they have built a significant number of nursing homes is exaggerated. Firstly, I sincerely believe that the municipalities have followed strong political signals about investing in nursing homes. In addition, many people who have received such a good offer through the nursing home and home care that they do not need a sick home. It is clearly wrong to claim that care homes have consistently been bombed on the target population. At the same time, I believe that there is every now and then a basis for claiming that the nursing homes are often not suitable for offering good luck and care. From this point of view, it can be seen that a main task for the Government in the forthcoming big business announcement will be to outline how the municipalities that still have too few health homes can meet this need in such a way that they are not discriminated against in relation to the municipalities that have already implemented the development. So I assume that this spring's downgrading treatment will end with a clear strategy to ensure that all municipalities will have the number of places of care they need to meet the norm, which is a coverage of 25 pst. of all residents over 80 years of age. In practice, this applies in particular to the construction of hospitals. But care for the elderly is not good even if the buildings are good. A new initiative must now be taken in the care of the elderly. We now need to provide an elderly care that is professionally good for everyone. Reports show that for many older people today, basic welfare benefits are not covered. The size must commit itself that this cannot continue. The question is, how will we proceed to get it done? I believe a fundamental recognition is important: the municipalities do not offer poor care for the elderly because the municipal politicians lack the same strong social commitment that we have in this room. If care for the elderly is to be continuously strengthened, the financial capacity of municipalities to provide care must also be strengthened, because: Increased quality of care for the elderly is closely linked to the number of professionals who work in care at all times. I have seen that the Minister of Social Affairs is considering strengthening the quality regulation. I will not oppose it if the Minister of Social Affairs is credible in explaining how the municipalities are to be able to comply with the regulations. However, if the regulation is to be used to further dilute municipal priority deficits, the Minister of Social Affairs cannot count on the Workers' Party's support. An offensive invitation to cooperation with Kommune-Norway may also form the basis for introducing a quality regulation into the home-based care system, as well as the basis for allowing health supervision to put power behind its supervision. Many call for the introduction of a minimum standard for staffing in the care of the elderly. I also believe that this could be an appropriate proposal, but also that introduced in ‘war’ with the municipalities. For this reason, I would like to challenge the Social Minister very clearly: how will she and the Government involve the municipal sector in the work she is now going to do with the forthcoming report on the care of the elderly? We know that the time coming is marked by an increasing number of older people, and we are getting older. Many of these will need professional care for the elderly. A professionally good care for the elderly needs professionals. We are facing a formidable recruitment challenge. Recruitment is closely related to pay and employment. Without better pay and employment than we find in the care of the elderly today, we will not succeed. A professional standard has to be set. In Oslo, you are not allowed to drive a cab without having qualified by taking the ‘Droskey’. But in Oslo's old age care you can start the day. This is why the forthcoming Single European Act must address the recruitment challenge thoroughly. What should be our strategy to raise the status of elderly care as a job? I don't think we can succeed without a future shaped by employees who can often say to themselves: I do an important job, I know my profession and know what I'm doing. I am in favour of the professional content of what we do – and, perhaps most importantly, my work is valued by society. We are unfortunately far away from such a reality today. With the risk of being pompous, I would say that the quality of any society can really be measured by the ability of society to give its elderly a care of dignity. Therefore, the policy focus on quality, content and ethics in the care of the elderly is fundamental. That is why I also ask the Minister for Social Affairs the following questions: What can we do to improve the quality of Norwegian care for the elderly? Do we simply need a quality reform?
ParlaMint-NO_2002-03-22.ana.ud407e147	Yes, there is a need for a quality reform in Norwegian care for the elderly, and the government is already fully engaged in this work. The starting point for quality work must be the individual, that older people in need of assistance are offered, that the assistance is adapted to the individual's needs for care and that the assistance takes care of the individual's personal integrity and dignity. We are about to complete the action plan for the care of the elderly. The Elder Plan has helped to improve the building conditions for better care for the elderly. Hospitals are undergoing significant standard raising, which is necessary in order to ensure better living conditions for the elderly — as single rooms with a private bath and better working conditions for employees. We know that building conditions affect quality. A recent report from SINTEF shows that new ways of building, unless housing groups, provide greater proximity between residents and caregivers, and that both residents and relatives experience this as a quality boost. The challenge now will be to fill the new hospitals and nursing homes with high-quality services. The cancellation will soon receive a big message about the completion of the old-age plan. I will also present in this report the further work on improving the quality of services, and aim for the next year to present a separate communication on the content and quality of care for the elderly. Municipalities are responsible for ensuring that people who need it are provided with care and care services and that they are of good quality. The State provides municipalities with a framework through laws, regulations and administrative provisions, and is through the county councils for the supervision of services. Today, we have a quality directive on nursing homes, which requires municipalities to set up systems to ensure that users of care services are satisfied with basic needs. For services regulated by the Social Services Act, such as nursing homes and home care services, there is no regulation but guidelines. The regulation and guidelines apply to quality system requirements. In addition, there is a more non-obligatory guide on the content of the services themselves. This is unforgiving for both the municipalities and the users. I want to draw up an overall quality regulation to clarify to the municipalities and users the requirements that should be imposed on the content of the services, whether the municipality itself provides them or orders them from others. Clear quality standards that oblige municipalities are important not least in order to ensure a good offer to patients who are not themselves able to take care of their own interests. We also see that many municipalities are struggling to meet the requirements of good practice, and that this can lead to legal certainty for the users. In order to help improve the procedures of the municipalities, we have developed a process guide for care services that describes the requirements for good practice in a simple and transparent way. The Social and Health Directorate will follow-up on this. I want to strengthen the supervisory authority. From 1 January 2003, the State Health Authority will also be given overall responsibility for the social services, which represent a large proportion of the elderly. From the same time, supplementary supervision of services provided outside institutions under the Social Services Act will also be carried out. Supervision works and produces results. The rule is that municipalities address deficiencies and deviations pointed out by the supervisory authorities, so that the services change to the best of the user. But unfortunately there are also some cases where the municipalities do not comply with the supervision. It is important that supervision is able to follow up, and I am now looking at the means of supervision and whether supervision should also have access to e.g.: imposing fines in cases of non-compliance. I also look at how the supervision is to be carried out, and have addressed to the Health Inspectorate the need for more unannounced supervision. As part of the supervisory activities, the Health Authority conducts studies that provide valuable knowledge for the development of better services. Health surveillance has just published a report on the supervision of health services by county doctors for old-age dentures, which, despite good quality and extensive action in many municipalities, reveals a serious failure in the supply of dentures. A recent survey has also been carried out by the National Expertise Centre for Age Judiciary, which shows that the legal certainty of this group is not sufficiently ensured. This issue has been discussed at least throughout the 1990s, and I think it is high time that the need for regulatory regulation was met. I would therefore like to send a comprehensive proposal to consult during the spring on the legal regulation of the use of coercion and other measures without the agreement of the services of people with dementia. The aim is to prevent and limit the use of coercive measures in the care of dementes. At the same time, we need to ensure that coercive measures which are necessary in the light of professional and ethical considerations in order to ensure the necessary care and care and to prevent them from harming themselves or others are regulated. Measures are also needed to ensure adequate professional investigation and diagnosis of dementia. Where coercion is used in the provision of services, knowledge plays a central role. International studies show that training of staff in organisation for the least possible use of coercion, ethics and law considerably reduces the use of physical coercive measures. But it is also the case that commitment and ability to show respect for other people must go hand in hand with the professional competence of the service providers. My goal is to strengthen the proportion of staff with vocational training and to give priority to continuing training of personnel and actions towards unskilled persons. We can compare two nursing homes with the same economic conditions and equivalent premises and yet see that the quality of the individual's supply is higher in one hospital than in the other. Why? – Because quality is also about good management, competence, attitudes and organisation. Adequate financial resources are of course a prerequisite for quality, but there are several factors that need to be strengthened in order to improve quality. That is why I want to focus on quality development and management in health and social services. Good management is also of central importance in contributing to the development of employment and working conditions that make employees want to stay at work and that other workers want to stay there. This returns a better quality for the users. A report by the consulting firm Agenda highlights that good management and working environment can be crucial in order to deliver good services in a cost-effective way. Quality is also about being offered services at the right level. The cooperation between hospitals and municipalities must function in such a way that ready-to-print patients with care needs are discharged from hospitals and taken care of by the care services in the municipalities. The Ministry is now working to amend the municipal payment regulation for patients who have been treated in order to stimulate better cooperation. To achieve the objective of simpler and better care for the elderly, we also need to look at the law that governs the sector. It is an objective for me that legislation ensures universal services through common priorities and objectives for both health and social services. I want the regulation of services to be easy to understand for users and easy to practice for municipalities. Today’s system of one healthcare law and another social services law makes it difficult for users to inform themselves about their rights and exercise their rights through complaints. Through the organisation of central social and health management, we have taken the first steps towards equal treatment, complaint and supervision. It is necessary to improve the quality of treatment in municipalities. Common legislation combined with increased training will be important contributions. This work will be followed up by the fact that, as mentioned above, we will have a common system of supervision for care services under the Local Health and Social Services Act as of 1 January 2003. I also want to work to ensure that we have the same complaint rules in this field, so that the user should never be in doubt about what to complain about and where to address his complaint. We need to provide consistent and comprehensive quality services to all older people, whether they live in nursing homes, old-age homes, in their own original home or in nursing homes. The needs of the user and not the place of residence shall determine the services to be provided and the legislation applicable. The aim must therefore be to regulate similar services in the same way whether you live in a nursing home or in your own home. I also want to review today's legislation on financial and user payment schemes with critical eyes. It's e.g. large differences in user payment schemes between institutions and nursing homes even where the same type of service is provided. It must be an objective that we should have user payment schemes that are understandable to users and relatives, who are perceived to be fair. It may be difficult for users to understand that there must be two completely different self-payment schemes where similar services are provided.
