Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-06-21-upper	ParlaMint-NO_2002-06-21-upper.ana.ud1069e89	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-21	2002-06-21	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-21	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TAN	Nistad, Thore A.	M	1949	
ParlaMint-NO-en_2002-06-21-upper	ParlaMint-NO_2002-06-21-upper.ana.ud1069e103	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-21	2002-06-21	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-21	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2002-06-21-upper	ParlaMint-NO_2002-06-21-upper.ana.ud1069e126	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-21	2002-06-21	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-21	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TAN	Nistad, Thore A.	M	1949	
ParlaMint-NO-en_2002-06-21-upper	ParlaMint-NO_2002-06-21-upper.ana.ud1069e129	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-21	2002-06-21	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-21	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEOW	Width, Per Ove	M	1939	
ParlaMint-NO-en_2002-06-21-upper	ParlaMint-NO_2002-06-21-upper.ana.ud1069e179	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-21	2002-06-21	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-21	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TAN	Nistad, Thore A.	M	1949	
ParlaMint-NO-en_2002-06-21-upper	ParlaMint-NO_2002-06-21-upper.ana.ud1069e182	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-21	2002-06-21	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-21	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RUI	Rui, Anne Helen	F	1950	
ParlaMint-NO-en_2002-06-21-upper	ParlaMint-NO_2002-06-21-upper.ana.ud1069e217	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-21	2002-06-21	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-21	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TAN	Nistad, Thore A.	M	1949	
ParlaMint-NO-en_2002-06-21-upper	ParlaMint-NO_2002-06-21-upper.ana.ud1069e242	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-21	2002-06-21	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-21	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TAN	Nistad, Thore A.	M	1949	
ParlaMint-NO-en_2002-06-21-upper	ParlaMint-NO_2002-06-21-upper.ana.ud1069e256	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-21	2002-06-21	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-21	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TAN	Nistad, Thore A.	M	1949	
ParlaMint-NO-en_2002-06-21-upper	ParlaMint-NO_2002-06-21-upper.ana.ud1069e272	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-21	2002-06-21	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-21	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TAN	Nistad, Thore A.	M	1949	
ParlaMint-NO-en_2002-06-21-upper	ParlaMint-NO_2002-06-21-upper.ana.ud1069e288	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-21	2002-06-21	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-21	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RUI	Rui, Anne Helen	F	1950	
