ParlaMint-NO_2002-03-08.ana.ud2419e49	The representative of Kenneth Svendsen will make a private proposal.
ParlaMint-NO_2002-03-08.ana.ud2419e52	On behalf of Per Erik Monsen and myself, I have the exquisite pleasure of promoting a proposal to equalise private rental of boat pitches and boat associations in terms of VAT obligations.
ParlaMint-NO_2002-03-08.ana.ud2419e57	The proposal will be dealt with in a regulatory manner. Before the matters on the current map are dealt with, the President will propose that the morning meeting – if necessary – continue beyond the scheduled time of 9 p.m. 15 to the current map has been completed. – No objections have been raised to the President’s proposal and it is deemed to have been adopted.
ParlaMint-NO_2002-03-08.ana.ud2419e79	Last Monday we could read in the Evening Post: «Crise mood in Aetat as unemployment increases». They added that frustrations, sick reports and redundancies prefigure the scene at a time when unemployment increases at a record speed. Labour Director Lars Wilhelmsen told Evening Post that the situation is very difficult, and that the department is unable to provide the service that users are entitled to. He further pointed out that the introduction of the new legislation on return money creates problems, and at the top of the whole, they have had some unexpected problems with the introduction of a whole new treatment system. Aetat also reports that the target achievement in the field of re-entry has been weak in recent years, following a positive trend in the last three years. The number of job-seekers who have to wait for a job is increasing and the rent in the establishment has informed the Ministry of the expected failure to achieve the target, both in the case of measures for the disabled and in the case of ordinary job-seekers. This is not a new signal. At the end of January of this year we could read that adding to Oslo and in Hordaland experienced being killed by frustrated clients. In retrospect, such messages have crept in from all over the country. To name a few: Aetat Finnmark reports killing strokes and high work pressure. Some collapsed at work, and some offices have a sick leave of 20 p.m. Aetat Nordland reports that they have less satisfied users and very tired employees. The time that is left, agrees to donate money. The looking up tool is a front-end word. Rarely have I received so many requests from the stated and frustrated added to Aetat as after this case was signed up. When it comes to sickness absence in the floor, this is twice the height of Aetat compared to other etatas it's natural to compare with. Last year, the total sick absence was 9.3 p.m., and the sick absence has risen very much in the last few years. This can be seen as a strong indicator that the floor is at the breaking point. They also claim that there are several reasons for this. Firstly, Norwegian Civil Service Team reports that it has had a staffing of nearly 1 000 annual work since 1995. Even if the unemployment rate went down in this period, we know that Aetat was also assigned more new tasks. I know that there might be a slight inconvenience about this number of nearly 1,000 year works, if that's right – maybe the Council of State is operating with other numbers, I don't know – but that's actually not the main point. The most important thing is that the department has the staff required by the work situation. Eetat should work towards those groups that need help. As with other States, the budget must work effectively, carry out conversion and quality assurance work. Of course, such processes should continue. But it might seem that they added to Aetat now have reached a limit and have become what I would call a conversion strain. In other words, more conversion in the form of reduced manning and conversion can be difficult to achieve within the framework of a defensive work environment. Now we register that the number of users on re-entry has increased sharply, 11 pst. in the last year, this group currently represents more than 50 pst. of the abstinence. It goes without saying that users on reintroduction are more labour-intensive than ordinary unemployed. The new regulatory framework for the payment of reintroduction money launched on 1 January 2002 has created great frustration. Users now feel that the situation is chaotic. Money is paid late, and the message cards are working badly. Many have suffered significant reductions in their performance, and several users report major economic problems. This situation wears them added to Aetat. In addition, wear them with a lot of extra work and problems associated with the introduction of a new computer system. I'm aware that the new computer system, the so-called step 2, came into use two days ago, on March 6. One would think that this would correct a part of the difficult situation, but I have also been told that some offices have such old machinery that they cannot use the new system. On top of all of this, we also see an increasing trend towards higher unemployment. The government's 30 million budget cut. 2002 was also not a problem for the ethos. The Director-General told us clearly about this. It is positive that the department now allocates 15 million to the department. Extra kroner. I see this as an expression that the government has understood that the cut of $30 million. kr was not considered and the short-term savings wish was at the cost of efforts for qualification and dissemination. But there is still at least a new 15 million missing. to reach the budgetary level to which the Government of Stoltenberg provided. In the course of the budgetary procedure in December, the Labour Party shall warn against this cut. Consider the important role to be played by Aetat in combating unemployment and the need for resources to be seen in the context of other important policy areas, not least in the context of the commitments on an inclusive working life. If this agreement is to succeed, we must also take our responsibility seriously. The Labour Party stated that the team had to be manned in relation to the important tasks that the team was to do, and that it was unwise to reduce its administrative resources. If Aetat is still to be an instrument for the political management of labour market policies, they must have conditions under which to live. I think that Aetat is the most important qualification seat in Norway. The combination of dissemination and qualification is precisely the means needed to make full use of both the labour market and its user potential. Now it's rumored, and it's perhaps more than rumor, that the Council of State wants to tone down the traditional dissemination work and to leave it more to private actors, so that Aetat will thus become more a department for people with disabilities. I can imagine asking the Council of State if this is just a rumor, or if it's such that the Government is now launching a change in Aetat's tasks. If so, has the Council of State considered the professional aspect by taking from Aetat the broad market competence of which the unemployed are new when they are reintroduced through Aetat?
ParlaMint-NO_2002-03-08.ana.ud2419e107	It's a good delivery gel to deal with facts and not rumors. I don't want to go into a line where Aetat is going to end up communicating. On the other hand, I want to deal with the fact that Stortinget has decided that Aetat will not operate with commercial communication. Aetat shall continue to operate as part of its ordinary activities the type of distribution, free of charge, with which the establishment has always operated. At the same time, Aetat has to deal with the fact that, in the extension of the Stoltenberg Government’s proposal and the Storting decision, it is such that commercial dissemination is to be carried out by persons other than Aetat, and Aetat must also provide services to private intermediaries. I also want to make it clear in the introduction that we have not cut the allocation to Aetat. What we have done is not to follow up a proposal from the Stoltenberg government to increase the appropriations for Aetat, but Aetat has today as large resource frameworks as they had last year. I also want to clarify that Aetat – among other things. as a result of the constant change in the course of previous governments in what Aetat is going to do – has had a great deal of uncertainty as to the tasks and direction of development of the establishment. Much of the frustration that exists in the building is due to the constant changes in the course – which, first and foremost, the Stoltenberg government and former governments of the same colour must take responsibility for. When e.g. Last year's sick leave was as high as it was, I think the representative Upbeøen Hansen might be looking elsewhere than at this government to find the explanation for it. Let me then go a little bit more specifically to the themes involved in the Uppebøen Hansen interpellation. One main objective of the conversion of the calculation of rehabilitation and re-employment benefits was to make visible that these life-stay benefits are short-term benefits and not pensions, and that the aim of rehabilitation and re-employment is to return to working life. Rehabilitation and resettlement allowances are therefore now calculated in accordance with the same principle as benefits under unemployment — of earnings prior to the disease. The amendments to the new refurbishment and rehabilitation legislation were fully designed to be cost-neutral. Another main objective of the changes in the calculation rules was to release administrative resources for more active assistance to persons during resettlement. The former legislation was complicated and resulted in an unfavourable division of labour between the social security system and Aetat. In the past, it was the social security fund that calculated and paid the reintroduction money, even if Aetat had assumed responsibility for the reintroduction itself. With the implementation of the new calculation rules, Aetat has been able to calculate the return money. Thus, users can initially relate to one establishment. In a short time, Aetat will also take over the payment of the reinsurance benefits. Thus, the basis has also been laid for improving the deviation between assigned and paid reinsurance benefits, a deviation such as the Riksauditionen in a Document No. 1 has pointed out a few years ago. The new calculation rules are well adapted to the Aetat methodology for the follow-up of users and the new legislation is provided for the release of resources at Aetat to enable them to be used for active assistance to users, rather than the use of resources for administration. In particular follow-up with the use of a notification card has been introduced. This is a well-known method, which has been seen as a good follow-up method for Aetat users. Through the notification cards, Aetat will be able to catch at an early stage different kinds of infringements of the reintroduction so that users will be able to obtain a better follow-up if problems arise as regards the implementation of the reintroduction measure. Let me also give you a brief account of the background of the new payment procedures and the rules for calculating the refund. The payment procedure for the refund has been changed. The refund is now paid in arrears on the basis of the notification cards submitted every 14 days, rather than – as in the past – once a month as partial advance payments. In the transition from partial advance payments to late payments, a one-off shift in payments has occurred. There is a necessary consequence of the changes. The carry-overs in the payments resulted in the beneficiaries receiving reimbursements in January of the year at times and for periods of time other than those they were accustomed to under the old system. I now expect that the payments have largely entered the 14-day cycle that the new rules add up to. For some, this conversion has resulted in a perceived decline in performance. But it hasn't. Overall, they will be paid about the same amount as before. In line with the main objectives behind the conversion – which, as I have been involved, was to change the calculation rules to clarify the short-term performances – a number of concrete performance changes have been made at the same time. Firstly, the contribution is now calculated on the basis of income over the last three years, as for unemployment benefits. Secondly, the reinsurance allowance is reaching retirement income and is 66 pst. of the previous income, with a minimum performance of 1,6 G – against previous 1 G. Thirdly, the formerly tested dependent supplement has been discontinued and replaced by a standard standard child supplement, such as for day-care recipients. Fourthly, the social welfare of households has been abolished, as it was, in addition to being highly administratively resource-intensive, a small system that resulted in unintended discrimination against beneficiaries. Similar social benefits are also not available for any other social security benefits. The transitional scheme for household social assistance was originally proposed for three years but was reduced to one year in the context of the budgetary procedure in autumn 2001. Fifthly, there is a new and far more accurate grant for childcare, which is targeted at expenditures incurred by participating inreduction measures. And sixthly, access to ‘free income’ without gradation of return payments has been removed, as most beneficiaries of return payments will be in full-time recovery measures, and also in the light of their health situation, there is limited opportunity to have labour income alongside. Those who nevertheless have the opportunity to have paid work in addition to the rest of the week may now increase their work up to 60 pst. – against previous 50 pst. - before the return money goes away. In general, I find these changes well-founded. Overall, they build up the social welfare system in a better and more targeted way while providing sufficient incentives for transition to ordinary work. It is difficult for me to reject the fact that some beneficiaries may come out somewhat worse than before, as the assumption of cost neutrality will necessarily lead to greater targeting of benefits resulting in fewer and fewer benefits. However, transitional rules have been put in place to ensure that those who were already in the process of being reinstated at the end of the year receive about the same level of performance. Over the course of the year, we will assess whether adjustments may be needed to prevent adverse outcomes for individuals from occurring in different groups. Although the new legislation involves simplifications that are intended to release administrative resources in the long term, the introduction has unfortunately led to unsatisfactory service for Aetat’s users and put a strong pressure on the establishment and its employees. Aetat has therefore reinforced its efforts to provide information and support to users, in particular on filling out the notification cards, notification cards that the State Council itself has not been able to fill in correctly – but it may be that he was not well qualified. In order to enable Aetat to provide better service in the context of the introduction of the new rules on return benefits, the Government of the revised national budget will propose to strengthen the establishment by 15 million. kr – not on the basis of a recognition that Aeta’s overall framework for the current year is too small, but simply because of the very special problems encountered in the introduction of the new rules. The reporting card system will be reviewed in the light of the experience that the agency is currently doing. I will continue to follow the situation in Aetat very carefully. We're already working on a plan for a fundamental reorganization of the building. We will inform the Storting about that later. In addition, Aetat has implemented the following: Attribution aid will be paid as monthly payments. The money will continue to be paid every 14 days.A telephone centre will be established at Aetat’s service centre in Mo, which will answer users’ enquiries about the notification cards.The control of the notification cards has been temporarily simplified, so that several cards will be dealt with in a shorter period of time.
ParlaMint-NO_2002-03-08.ana.ud2419e170	I thank the Council of State for your answer. It is important to have a common understanding that they have been added to Aetat with a high level of labour pressure for the introduction of a new legislation on reintroduction money and reintroduction aid. These problems and the general resource situation indicate that this will have a clear impact on those looking for Aetat. The Council of State states that the financial framework for Aetat is the same as last year's, and that's right. But the change that has happened is that one has entered into a commitment agreement on an inclusive working life, and in this context, the Stoltenberg government has put in 30 million. kr. That's what the Bondevik government hasn't followed up on. I understand that Aetat is in many ways at a crossroads with the signals contained in the Sem statement about the changes in the tasks of the establishment. I agree with the statement that Aetat should be a qualification seat. But one doesn't have to understand it this way -- and I don't interpret it this way -- that traditional communication is going to go away. If the establishment is to be future-oriented and pursue active labour market policies, it is important that the establishment combines traditional dissemination with qualification measures for the disabled. This is also in line with Aetat’s 2002 letter of award. In other words, Aetat is going to use the entire spectrum of tools, and that's what I would call broad market competence. But I registered what the Council responded to in its first article. So a little bit about the measures that were put in place in connection with the introduction of new legislation on reintroduction. It is not satisfactory that users were informed about the change of rules as early as December last year. It is also not satisfactory that the changes in the rules applied from 1 January of this year. I would like to remind you that when Stortinget dealt with this matter in June 2000, the Labour Party said to its spokesman that when it comes to sick pay, rehabilitation, rehabilitation and disability, it had to be seen in conjunction with the Sandman Committee's setting. On the basis of this, the Labour Party sent its member, Karl Eirik Schjøtt-Pedersen, a letter to the Council of State in December, asking for a postponement of the rule change, and specifically the right to set a free amount next to a reintroduction, so that a person should see this in the context of the Sandman Committee's setting. Then you can discuss whether the performances have decreased for some. One can also discuss the principle of cost neutrality. I thought in many ways that it was very uninteresting. Obviously, you never listen to anything from those who get more performances. At least it is important for the Storting to address the problems that have arisen for those who have had less separation.
ParlaMint-NO_2002-03-08.ana.ud2419e183	This cost neutrality system is not indifferent. We must not introduce a system in Norway that is such that we cannot adjust any performance at any time because it means that someone is getting worse. We must be able to have a general claim that benefits should be proportionate, not only to what individuals themselves have received in the past, but also to what others receive in similar situations. It must be possible to implement changes to systems in Norway that give greater fairness between groups and at the same time clarify the purpose of the scheme. And the changes that have been made with regard to reintroduction and reintroduction aid thus serve this purpose. I repeat at the same time what I said earlier: we are going through a review to see if the outcomes for some are so unfortunate that we should do something about it. But essentially, I believe that the changes adopted by the Storting have the right character. So until the introduction problems and the question of changes should have been introduced on 1 January. Of course, you can always say that problems get smaller if we push them in front of us. However, the implementation problems associated with this new system would have come regardless of whether we had waited until 1 March, 1 July, 1 October or 2014. These are problems that have to do with the transition from one system to another. I can't see that the problem in itself would be easier for someone by knowing that we had closed our eyes and said that we were waiting a while and hoping it would pass.
ParlaMint-NO_2002-03-08.ana.ud2419e192	The labour market is facing its greatest crisis ever. At the same time as unemployment is on its way up and new heavy tasks have been created, the current government of the Stoltenberg government is reducing the proposal for appropriations for Aetat. Inhuman pressure on the staff of the department leads to a record high number of searches. In Fredrikstad, 28 pst are reported. sick leave in Aetat. At an office in Oslo Centre, the sick leave shall be fully up to 60 p.m. It is a paradox that just the Labour Market Act shows such figures, while the Government and the social partners have signed an agreement on an inclusive working life. If there is to be something more than words, the Labour Market Act must be given conditions that enable employees to do their job. However, there are reports of unsustainable situations across the country — unsustainable for job seekers and resettlement clients, unsustainable for employees. Cursed clients respond in their distress for lack of assistance with threats and physical handcuffs. The employees are frustrated not to do their job and get burned out and sick. Government policy to cut $30 million. the budget of the Stoltenberg Government for the establishment of the labour market has been completely misplaced and is far from being corrected by an additional allocation of half of the cut. In addition, when new rules onrehabilitation and rehabilitation money areimplemented without apparent administrative preparation, the disaster is total. Difficult forms, declines in the level of payments and changes in payment procedures have created unintended difficulties for many. We get countless reports from people about re-entry that fights to get back to work and that say they meet the wall because of the new rules. Unpredictability of payments results in more people not being able to manage current expenditure. It tells about debt collection requirements and about degrading trips to the social services. We have agreed in this Chamber that we want to combat poverty. Then we cannot live with this situation, which creates new poor ones. It is urgent for the Government to come back with concrete measures on how to improve this situation.
ParlaMint-NO_2002-03-08.ana.ud2419e207	Rehabilitation and re-employment benefits are, as part of unemployment benefits and sickness benefits, social security benefits for living. They are provided to persons during a conversion period when they are without income from work as a result of health problems. The main purpose of the conversion is to make it visible that rehabilitation and resettlement benefits are short-term benefits, not pensions, and thus that the aim of the benefit is to bring him back to work. Another main purpose of the amendments is for the calculation rules to release administrative resources for more active assistance to persons during resettlement. In the past, it was the social security fund that calculated and paid the reinsurance money, while Aetat administered the benefit itself. This resulted in difficulty in capturing changes in performance. At the time of the implementation of the new calculation rules, Aetat has been able to calculate the recovery money. Thus, users are more likely to relate to one establishment. Later, the department will also take over the payments themselves. A large part of the reductions for those who have received less of these benefits are due to the disappearance of support for household expenditure. This was a support for living that covered the same kind of expenditure that was intended to be covered by the actual living benefit, i.e. reintroduction money. Here, too, there are transitional arrangements. Persons subject to the transitional arrangements may choose to maintain the aid in 2002 or to receive new support for the supervision of children. I would like to mention that the fact that the income itself falls away does not mean that you have less chance of income from work until the benefits also fall away. In addition, it must be pointed out that while re-training, it is a point to learn the best and the fastest possible way to get back to work. The changes that have taken place collectively have not weakened the return options. There is only one redistribution between different beneficiaries. Unfortunately, some practical problems have arisen with regard to the notification cards of Aetat. They have to be solved, and my impression is that these problems are now in the process of being overcome.
ParlaMint-NO_2002-03-08.ana.ud2419e226	I don't know, but I wonder if it was the Council of State that was involved in the comparison between sickness and unemployment benefits and professional recruitment. Here's a difference, a significant difference. Sick pay is paid in a transitional phase until you can return to work. In other words, you don't know how long you're sick. Unemployment benefits are calculated on the basis of the sending of a report card, because one is considered to be a jobseeker. A return benefit is paid to a person who has entered into an agreement for a longer study, or – I was about to say – an upgrade of their previous competence, in order to get to work. The time period that this will last is more predictable. So I can't understand the arguments about the big savings potential that you see here by turning this into two payments a month instead of one. Personally, I must at least say as follows: It must then be more expensive to make two such rounds instead of one. In any event, this case clearly shows that there is an urgent need for a pooling of social services, social services and the labour market situation. Then we could have an effect on the competence that the different offices hold today. Today it acts almost as if there are watertight bulkheads between the individual offices, and not least between the different responsibilities. We need better interaction, and this is urgent. In connection with the subsequent treatment of the Stortinget Ot.prp. No 29, which goes into what is agreed between LO, NHO and the state, to do, which is now under consideration in the committee, and where I am the case rapporteur, one will just look at some of these problems in order to get people back to work and to reduce sick leave in Norway. One of the most important points is: on the so-called ‘organisation grant’ to the establishments. Here, from the Government's side, you have added up to NOK 250 in an organization grant, and we'll get back to that when this is dealt with in this room later, because that's at least a sum that's too small. But one thing I hope the Council of State can admit here, and that is that at least the information has been too bad. It has been too late for information to users, and it has been partly too bad. That's what has put a lot of people in a special pinch. It should have gone inwards. It should also be considered to help those people who have received a debt collection claim because they have not been able to pay their rent, and those who have received a debt collection claim because the child care payment – and the payment for a number of other benefits – is due only once a month. This should at least take inwards and make sure that something is done about it.
ParlaMint-NO_2002-03-08.ana.ud2419e239	I must admit that I was quite sorry when I heard the introduction of the Council of State today. Away was an offensive state council focusing on users and cooperation with employees. And we heard the same lesson that we've heard from many before him, focusing on bureaucracy, on computational systems and that we've figured this out for people. In practice, it has been shown how this works, and it has now been shown that this has gone quite wrong for many. I also think it is a little late for the majority here to wake up and see what happened when the conversion of the return system was introduced, in particular the principle that the conversion would be cost-neutral, which SV was only about believing was no principle. There are not large social security benefits that have increased the differences in this country. That's not where it is. So if we're going to have a redistribution on behalf of the poorest, we're going to have to aim that the social security benefits you get are so that you can live off them and do it. In a recovery phase, it's just that you have to recover health, take courage and have faith that this is just going on. But what's going on now? Now people just have to focus on bills, bills, bills -- am I okay, am I okay, am I okay? And the worst thing about such a situation that you put people in now when you haven't managed to plan this in a sensible way is that people actually have to go to the social office. And then what happens? Well, then the law comes in there, which says you're going to realize your values before you get help. Sell the car! Sell the house! Do we think it's kind of in the moment that people face and manage to do a re-introduction? No, this is under any criticism. I have a specific question for the Council of State. I know that the Council of State has now implemented a number of measures. I'm not particularly impressed with them. But what is most important now is that those who have come into economic ruin because of this mess will be covered their expenses, including the extra expenses that are incurred because they do not get their money when they are going to. I guess most people have problems when they don't get paid their pay when they're going, and the less you have, the worse it is. Here, people are facing serious payment problems, so they are facing debt collection claims and getting comments about their ability to pay. I expect the Government to now ensure that these people receive temporary benefits through the social services, that they are covered by their additional costs, and that the State compensates the municipalities for the additional costs that this has entailed.
