Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e43	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SEN	Eng, Sigrun	F	1951	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e75	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	notMP	Minister	V	Venstre	Coalition	Centre	person.TOSO	Skogsholm, Torild	F	1959	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e141	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SEN	Eng, Sigrun	F	1951	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e156	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	notMP	Minister	V	Venstre	Coalition	Centre	person.TOSO	Skogsholm, Torild	F	1959	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e171	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BJFR	Froyn, Bjørgulv	M	1945	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e184	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ABA	Andersen, Anne Berit	F	1951	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e193	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VA	Andersen, Vidar	M	1952	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e206	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.BYR	Rahm, Bror Yngve	M	1955	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e219	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e238	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HEIS	Sørensen, Heidi	F	1970	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e250	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.OAS	Starrfelt, Oddbjørg Ausdal	F	1948	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e261	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.IME	Søreide, Ine Eriksen	F	1976	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e274	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PB	Bredvold, Per Roar	M	1957	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e287	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SEN	Eng, Sigrun	F	1951	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e303	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Regular	notMP	Minister	V	Venstre	Coalition	Centre	person.TOSO	Skogsholm, Torild	F	1959	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e319	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2002-02-01	ParlaMint-NO_2002-02-01.ana.ud700e330	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-01	2002-02-01	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-01	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
