ParlaMint-NO_2002-06-05.ana.ud326e51	The representative Karl Eirik Schjøtt-Pedersen will make a private proposal.
ParlaMint-NO_2002-06-05.ana.ud326e54	On behalf of Jens Stoltenberg, Signe Øye and myself, we put forward proposals on housing measures for young people and economically disadvantaged people.
ParlaMint-NO_2002-06-05.ana.ud326e59	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2002-06-05.ana.ud326e76	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Minister for Foreign Affairs Jan Petersen Councillor Lars Sponheim Councillor Erna Solberg The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We start with the first main questions, from the representative Karl Eirik Schjøtt-Pedersen.
ParlaMint-NO_2002-06-05.ana.ud326e95	To the municipal minister: the Labour Party believes that we need to make it easier for young people to get a place to live. Then we have to build more dwellings, and we have to reduce the growth in housing prices. Now we see that the housing is falling. This means that prices will increase further. Youth is hit hardest by it. The strongest means of raising the housing structure is the availability of reasonable loans in the House Bank. But the House Bank now announces that it will run out in August. Mr. Bondevik and Mr. Solberg are in prison with their hands and let it happen. How can the Government with open eyes passively look at the House Bank running empty?
ParlaMint-NO_2002-06-05.ana.ud326e102	It is true that the building rate fell by 12 pst. the first quarter. All the signals indicate that it will go up in the second quarter. Most analysts say that the reason for the fall in housing construction is actually the uncertainty created after 11 September – an uncertainty that, therefore, mainly affects the most sensitive market we have in Norway, namely the housing and housing market. It is that all interest rate changes, all instability in relation to the economic future, have the greatest impact on the number of dwellings being built. No funding institution can counteract the kind of signals given when people are afraid of the future, because housing investment is the most important investment people make. This is why, in fact, the most important tool for raising housing in this country is to ensure stable growth, to ensure that we have framework conditions around people's housing investments that enable them to have confidence that interest rates will stay low. These are those who are to finance the construction, various contractors and others, but also those who are to buy housing. This is why the Government has chosen to ensure that it adds to a revised national budget that does not increase its activity further, thus pushing interest rates, in addition to what the rule of action says. I would like to say that any increase in the financial framework in the Husbank would lead to an increase in the pressure in the activity in Norway, because it would increase access to loan capital in the Norwegian market. So I think it's important that we have what's the most important instrument, I feel, that's stability. Trust in the investment made in housing is also crucial for the continued growth of housing construction in the years to come.
ParlaMint-NO_2002-06-05.ana.ud326e111	The main means of reducing the interest rate on mortgages is that more people can access cheap loans in the House Bank. It doesn't cost the government one penny in the budget, but for someone who borrows 800,000 kroner and has a deposit of 25 years, that means a loan advantage of $100,000. It repeats that more dwellings will be built than would otherwise have been, and that means that the pressure on the housing market will be less. It was also the case that at the autumn budgetary procedure, the Council of State Solberg said that the Government would ‘come back with an assessment of the loan framework in relation to the revised national budget to see if it is large enough’. We know it's not big enough! Nevertheless, the Government fails to increase the framework. And as I said, it doesn't cost the government one penny in the budget to let people benefit from that state, because it's a safe borrower, can borrow money cheaply and lend it to people, so they get lower interest rates, and so we get the housing, which is the most important thing to solve the housing problems for young people.
ParlaMint-NO_2002-06-05.ana.ud326e120	An increase in interest rates by increasing the activity, is going to cost all those who are going to buy a dwelling, and all the contractors who are going to build, expensive. It's going to be next year to make the mortgage rate also rise, because we have a formula for how we set the mortgage rate. It's based on the level of interest that we have. That means that we're spending too much money now, it's the owners, the housing buyers, the housing builders and the building rate that's going to get dizzy first. That is why we have put forward a responsible approach in relation to prioritising instruments. It's like 80 pst. the financing of residential purchases in this country takes place in the private market. 40 pst. the new building is financed by the Husbanken. But it's just 70 pst. of the loans financed only by the Husbank; the top level financing is already taking place today in the form of borrowing in the private market. We're going to weigh something more of the ordinary housing structure. What is not for the targeted groups has to enter the ordinary loan market, and then we're going to say that the priority groups are still going to have priority in the Husbank, and we have a loan framework to lend to, among other things. all youth projects.
ParlaMint-NO_2002-06-05.ana.ud326e125	There have been reports of quite a number of main questions, so the President will try two follow-up questions for each of the main issues initially. First follow-up questions – Sigvald Oppebøen Hansen.
ParlaMint-NO_2002-06-05.ana.ud326e130	The right has long gone in to turn the House Bank from the bank we know, which has lent to a million Norwegian houses, into a bank that is just going to lend to so-called deferred groups. This will lead to smaller housing and higher prices, and this is, of course, the worst for young people. The Christian People’s Party therefore agrees with the Labour Party that the House Bank should be as it is now. During the budgetary procedure last year, the Solberg Council of State said: ‘Rights have not given up this position, and we have said clearly that it is the establishment bank element that we are going to give priority to.’ Is this not the main reason why the Government will not now increase the lending framework of the House Bank, and not the strong focus on the interest rate issue that the Government had in its previous response?
ParlaMint-NO_2002-06-05.ana.ud326e142	I think you should have focus on interest as essential in all the government does. There are people who have borrowed almost to the pipe -- fortunately not as much as in the mid 1980s. There are very many young people who today are very concerned about what it will do with their private economy if we contribute to an economy that increases interest rates because they have large mortgages. Yes, it is right that the Right wants to turn the House Bank into a first home bank. In fact, it is true that the Government in the Sem-Declaration also says that the main business of the House Bank is to do its first home banking tasks. It is to support the construction of projects related to youth and housing, to provide grants to rental homes, to social purposes and to ensure that housing policies also have a social side. It is the public's role in housing policy in the future. The home bank will never be able to solve everything. We haven't said that people aren't going to get loans, but they're the lowest priority within the framework we have, and the framework is set to ensure that interest rates don't go up in this country.
