ParlaMint-GR_2021-12-15-S1-commons.u1	Ladies and gentlemen, the meeting begins.
ParlaMint-GR_2021-12-15-S1-commons.u2	Mr Couridi, you said the 'previous'. Mr. Courides, I also appreciate you as a professor of international law. Is it possible to go up to the Step and say such stories to the Greek people? Honestly, I'm sorry! I don't understand! If you did not understand what the honourable Member and a doctor, Mr Athanasios, said and described it as - and like all the Greek Solution - with this name - take it back now, please, too, because otherwise you will be considered a propagandaist and even a cheap propagandaist - if you do not understand what we are saying here, then I am sorry! How are you a professor? And when you talk about the budget, let go of what the Greek Solution, SYRIZA, and so on. You'll talk about the budget. Say something about education. That's where you belong. Thank you very much.
ParlaMint-GR_2021-12-15-S1-commons.u3	Mr President, please speak.
ParlaMint-GR_2021-12-15-S1-commons.u4	Mr. Courides, you have the floor. Very soon.
ParlaMint-GR_2021-12-15-S1-commons.u5	I understand, Mr President, and I do not want to blame the next speaker and the debate that is taking place. I didn't make any personal references. From there on, if you want to talk about fairy tales and various other beliefs and where they are being expelled, I think you will find yourself in a difficult position, Mr Mylonakis, with all due respect. However, let us not go into this debate, because I think we will not finish quickly and easily. Be well.
ParlaMint-GR_2021-12-15-S1-commons.u6	Good. Let's make an effort, I'm very interested in time. I am a two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two-two. Please keep the time. Mrs. Kafantaris has the floor.
ParlaMint-GR_2021-12-15-S1-commons.u7	Thank you very much, Mr President. Ladies and gentlemen, I wanted to start my position differently, but I cannot comment on some things from the position of the Member of the New Democracy, Mr Cairides, who preceded it. We cannot talk about funny things in this area, Parliament - by perimeter, I would say - when we had 30 dead yesterday. Nor can we talk about the great successes of this government. We cannot admonish ourselves, say that we have done well, yet say that we are going toward the end and to the pandemic - we have heard this many times, this 'last mile' by Mr Mitsotakis - and that we have this situation, which we have today. Nor can we - let me, Mr President - use the vulgar argument'monoclonal' and 'embolic' in order to develop a specific viewpoint. At the moment, the public health system needs active support, with staff, the creation of new IFs and wherever they exist, to have staff to operate them. Because we know well that there are IDs, as far as equipment is concerned, which cannot function and of course there is also a need for courageous reinforcement of primary health levels. What would the situation today, ladies and gentlemen, if SYRIZA had not ensured that our two more million uninsured fellow citizens have access to health? Why are you coming in isotopeically and compare the era of SYRIZA, a period of memorials, pressures and specifics. You come now and within the pandemic, ladies and gentlemen, New Democracy removes the possibility of prescribing uninsured doctors to private doctors. They should go to hospitals too. The primary grade has been very degraded. On the other hand, the insurers will also go to hospitals. In fact, take responsibility. The pandemic is here, it's present, and it's dangerous. In closing this parenthesis, before I said what I had decided on in the budget - what I have to say, Mr President - Mr Catherides said that we are waiting for twice as much growth. Let the New Democracy commit itself, as Mr Mitsotakis, to double the wage rise while growth rises. Wages, no talk of EUR 800 less wages, which we are proposing - and it is realistic - to give stimulus to the economy as it moves. So you come now and bring a budget away from society, a budget out of place and time, out of reality. One budget aims, as the Deputy Minister of Development said this morning, at a new development model, a growth model, which is for you - it says - investments and exports. Only the New Democracy Government, two and a half years now, has proved to be friendly to investors and not to investment. And the evidence shows that. You spoke of 'practical' budgeting - of course, we do not see it - and of course we do not see it - needs, needs and all that. However, a budget must respond to the needs of society and meet what is required. Does this budget respond to pandemic? Answering the truth? In the pandemic, of course, and it doesn't answer, because once again, as I said before, you think it's over. We'll see about that. I wish! However, unless measures are taken in the public health system in our country and government policy on health does not change, I fear that again here we will be one of the last. Why are you taking the lead and that we will be first in 1923 in investments - the Deputy Minister referred to, etc. - but we are, unfortunately, first in deaths per million. Of course, it does not respond to the huge wave of accuracy, which Mr Georgiadis, Minister for Development, does not see. Thus, it says that only energy went up, not up the goods, when GFCM itself says that 7.4% of workers' purchasing power decreased for October and about 10% in November. He said, of course, that the accuracy was due to the relaunch of the economy. It is, of course, not because of your energy policy! It is not because we are champions in wholesale trade in Europe. It is not because PPC has been privatised and will not play the dominant role - a guide to electricity prices yet, while RAE is seeing that it does not interfere with too much. But with 130 dead people we must be more serious and no one can rejoice. You create an optimistic climate with your basic assumption, as I mentioned before, that pandemic is over. Health expenditure reduced by about 1.7 billion. Today at the Atticon Hospital in the West Athens District of Athens, seventy ranjas - auxiliary beds, of course, you call them - and only one ICU bed available. This situation is reflected in the whole of Greece. COVID's here. On the other hand, after the huge ecological, economic and social destruction of the summer with your handling of fires where 1.4 million acres have been burned, you have created a new Ministry, which is essentially an empty shell, the Ministry of Climate Crisis and Civil Protection, without an organisational plan, without a specific legislative framework, because the new Minister has not committed itself and has not said whether to change the existing N.4662 that is inactive and where it has been used, because the results of this have failed, and of course you are talking about large purchases of equipment, land programmes and all of this. In the budget, however, of the 595 million planned, we will also have 50 of the Resistance Fund and 11 of the Public Investment Programme. In fact, for the purchase of goods and services in the General Secretariat of Civil Protection 522 million, while for the training of the Fire Corps only 531 000 are budgetd. You want growth without society. You underestimate the consequences of pandemic and accuracy, as I said before. You're talking about 6% growth. Is there going to be revenue? How? With fixed wages and pensions? Will we have growth by exacerbating inequalities even more? This development is not about society. Even local government, what development will it have without resources? Take a look at the letter the CEDEFOP sent to the Prime Minister and the issues he raises even for local government. In conclusion, I would say that we believe that the budget should of course be different and that is why we will vote against it. We have another concept of society, of the organisation of the state, of public support for the public sector, of common goods, of support for society, of vulnerable citizens. We want a model of a new society and a living and a existence for the needs of many, with citizens free, creative, with young and new dreams that can be realised, given opportunities, not the system to push them into authoritarianism, fear, individualism - and this is the big issue - on proprietaryity, on quick profit at the expense of everyone's lives and on the environment. These are just another democratic progressive government, and it will soon come. Thank you, Mr President.
ParlaMint-GR_2021-12-15-S1-commons.u8	Thank you, Mrs. Kafantaris. Mr. Vlasis from New Democracy is called at Step and on the basis of the list Mr. Kegeroglu follows from the Change Movement. Here, Mr. Vlassi, you have the floor.
ParlaMint-GR_2021-12-15-S1-commons.u9	Thank you, Mr President. Madam Minister, ladies and gentlemen, if I should have described the 2022 budget as three words, then I would just say that this is a budget governed by consistency, continuity and realism, and that is because, on the one hand, we are implementing a series of commitments from us to support society and the citizens, while, on the other, we continue to lay even stronger foundations to make the Greek economy even more resilient, making the most of our country's development potential. All this is to be approached with a realistic programme that takes into account the particular circumstances we are experiencing as a result of the continuation of the pandemic and of inflationary trends worldwide. I have heard some colleagues from Anti-Population condemn the increase in tax revenues, questioning the social amount of this year's budget. Obviously, they did not bother or want to investigate where this increase is coming from. Of course, the revenues of a country in which unemployment will decline to 15.9% in 2021 and 14.1% in 2022 will be increased. Of course we will receive greater revenue, since there is a marked increase of 21.9% in investment, while cumulative growth for the years 2021 and 2022 is of the order of 11.7%, making our country a pioneer in the Eurozone. Believe me, like all the members of the New Democracy, I listen carefully to the positions of the Vice-Presidents. This is also the essence of parliamentary dialogue. You will, however, allow us to disagree and not embrace your view that it wants the country to go with an economic policy of subsidisation and opportunity. We, when we took over the governance of the place, committed to bringing Greece back to normality and putting it into a development path and that is what we are doing. We choose not to give pocket money with temporary micropolitical benefit, but to take measures, the effect of which will be taken by all Greeks over time in their pockets and daily lives. This does not mean that we do not support citizens, households, business. Let us not forget that the total value of pandemic interventions amounts to EUR 43.3 billion over the period 2020-2022. This is the third largest package of support measures as a percentage of GDP in the Eurozone and the fourth world, according to a recent report by the European Stability Mechanism. Let us not forget that in the already existing package of measures for which we have committed and implemented, such as the reduction of HPAI, the reduction of the tax rate on natural persons, the reduction of corporate income tax and the reduction of insurance contributions, additional arrangements are added such as the exemption from the special levy on the solidarity of private sector workers, the reduction of the fee for mobile telephony subscribers and the abolition of young people up to 29 years of age, the reduced VAT rates on transfers, coffee and non-alcoholic beverages and other activities until June 2022. Ladies and gentlemen, the figures and indicators may be extremely useful for the debate we are having here today on the course of the Greek economy, but the truth is that the vast majority of our fellow citizens draw their conclusions in a much simpler way, looking at their pockets and developments around them. How can you convince my compatriots in Arcadia, for example, that things are not going well when they see their place moving forward and being done for the first time after a time when they see the construction of the natural gas network finally beginning when they see our Government having prepared an integrated plan for the liberation and fair growth and transition of Megalopolis? Greece, ladies and gentlemen, is changing. Our country is turning a page and effectively leaves behind the dawn of economic instability and instability. The exterior good testimony for our country that arrived to be described as a model of economic policy by the new German Minister for Finance is accompanied by the response of markets and investors who now see Greece as an attractive, investment destination. When Prime Minister Kyriakos Mitsotakis made our government's programming statements in July 2019, he said we would follow the policy of measure, logic and outcome and how to make Greece a pleasant surprise for the Eurozone. Today, almost two and a half years later, his words find full application. And some of you may not recognise what we have achieved, but the Greek people recognize it, and our partners and the international community recognize it, and that is a right to our work and guarantee for the future of our country.
ParlaMint-GR_2021-12-15-S1-commons.u10	Mr Kegeroglu has the floor from the Change Movement, followed by Mr Zebbles from New Democracy.
ParlaMint-GR_2021-12-15-S1-commons.u11	Ladies and gentlemen, the budget, as is well known, beyond a tool for the functioning of the State with revenue and expenditure, also reflects the content of the policies pursued by the government in question. The analysis of the figures in this year's budget reveals that he lacks a developmental, regional but, above all, a social dimension. In contravening George Papandreou's saying "the numbers are prospering, but people are unhappy" I say that the well-being of the budget figures is only about the few and it is a burden on the many. Growth rates are growing, but the level of life of each family's people is deteriorating. The government is talking about a return to normality which, on the one hand, costs expensive and, on the other, is unfair. In order to tackle the pandemic, 44 billion euros have been spent which, as a percentage of GDP, is one of Europe's largest. The recession at the same time, however, was higher than the European Union's average, and this testifies to the fact that they did not get this money. The big ones got more of their needs and made deposits that increased in 2020 by EUR 14 billion. Small and medium-sized enterprises took much less and had no access to banking liquidity either. Social inequalities have widened and this enlargement continues. The weaker people are now experiencing the margin range. Regularity is based on the distorted production model of the past, on the investment gap, on reduced exports, on oligopolistic structures and on accuracy, on the excessive indirect taxes and charges charged by the Greeks, on non-performing loans and credit contraction. We have a situation where there is no attempt to change with reforms and changes. The Government advertises the national recovery plan 'Greece 2.0', which is neither a 'national' nor a 'project'. These are lists of projects and expenditure fields that are not included in integrated planning. There was no dialogue with Parliament, nor with society and producer organisations. No synergies were foreseen at project and reform level between the resources of the Recovery Fund, the ESDP and the resources of the Common Agricultural Policy. It has a strong conservative political mark on employment and social issues, while demographic policy is missing. It does not overall form a new development and productive model that the country needs and will lead to sustainable development with social justice. The regional dimension and the distinctive role of local government which is valuable for regional sustainable development is lacking. Crete, which has all the prerequisites for its development plan, should it be given access to these sources of financing, can take the lead in the same way as the entire Greek region. There is the hope that there will be a new development that will face regional inequalities and social inequalities. We have, however, had and are constantly doing large-scale communications on the Lefkanopedio. He's gathered 50% of the population in the Lefkapedio. What do you want? Gather 70 percent, 80%? Politicians want each region. We want policies for both the cities and the villages, the countryside and the semi-urban centres of Greece. Only then will there be a new development that will exploit the productive, creative forces of our country and the comparative advantages that Greece has in each region. The energy is produced by the air, the sun belonging to everyone, but the wealth produced goes to the few, to the investors. And a lot of what are they doing? They pay double and triple energy bills. It is a typical example of the absence of a minimum social justice framework. The issues of green development, as we introduced them many years ago, have now been overcome. Today we are talking about 'energy democracy'. You're not listening. Ten years later you might understand that. But it'll be late. There are no initiatives and synergies for the defence and shipbuilding industry. While - as I will say below - we are moving on to the necessary armaments programmes, there is no synergy, added value, to stay at our place, to businesses and to workers. The social budget hides serious deficits. No expenditure is provided for the reduction of outstanding pensions, but neither are the expenditure necessary for the reimbursement of supplementary pension and gift reductions from June 2015 to May 2016, which is around EUR 2 to 2,5 billion, in accordance with the decisions of the Council of State. Reduced expenditure for the OAED is provided for in the OAED. Unemployment benefits are reduced by 200 million and OPEKA's preferential benefits by 86 million. They are indicative of the government's perception. The Prime Minister treats the country's retired people with a worse than a subsidised spirit, as New Democracy's former colleague said. Instead of an institutional reinstatement of the ESS with a new system that will strengthen the low pensioners and the weak, they announce just before the festivals of EUR 200, 250, so, in the form of charity, as if the state were a private donor that helps weak people in need. Finally! You were committed to abolishing the Katrugalu law and reintroducing the ESS. Not only did you not, but you come to argue that this can no longer be done. For the Ministry of Defence's budget, I draw attention to two issues. It is not enough to increase the appropriations in the ordinary budget to the major category of fixed assets markets to cover armaments programmes of the Armed Forces, or those which have been announced or already approved by Parliament. The second is that the required appropriations have not been provided for the major category of employee benefits and no problems have been resolved, as the political leadership has committed itself. We'll have to see the human resources. It's not just the equipment programs. It's for the human potential of the Department of National Defence of the Armed Forces. There should be special attention. I stress, ladies and gentlemen, the fact that once again it seems to be a great opportunity to use the many available resources with transparency and priorities and to pursue sustainable development and social justice policies aimed at a strong Greece in a country where its society will be brought to prosperity. This, however, is not just a question of the budget figures but, above all, of the policies on which the budget figures are decided. The Change Movement is here with its social-democratic progressive identity and with an integrated proposal for home and society and reliably demands citizens' confidence in promoting new change. We are voting against the budget. We are voting on the expenditure for the National Defence and the Presidency of the Republic. Thank you.
