Session,Date,Male,Female
ParlaMint-ES-CT-en_2015-10-26-0101-meta.tsv,2015-10-26,4,1
ParlaMint-ES-CT-en_2015-11-09-0301-meta.tsv,2015-11-09,7,6
ParlaMint-ES-CT-en_2015-11-10-0302-meta.tsv,2015-11-10,7,2
ParlaMint-ES-CT-en_2015-11-12-0303-meta.tsv,2015-11-12,7,3
ParlaMint-ES-CT-en_2015-11-19-0401-meta.tsv,2015-11-19,4,6
ParlaMint-ES-CT-en_2016-01-07-0501-meta.tsv,2016-01-07,0,2
ParlaMint-ES-CT-en_2016-01-10-0601-meta.tsv,2016-01-10,6,4
ParlaMint-ES-CT-en_2016-01-20-0701-meta.tsv,2016-01-20,17,9
ParlaMint-ES-CT-en_2016-02-03-0801-meta.tsv,2016-02-03,30,16
ParlaMint-ES-CT-en_2016-02-17-0901-meta.tsv,2016-02-17,28,29
ParlaMint-ES-CT-en_2016-03-02-1001-meta.tsv,2016-03-02,23,17
ParlaMint-ES-CT-en_2016-03-03-1002-meta.tsv,2016-03-03,17,21
ParlaMint-ES-CT-en_2016-03-09-1101-meta.tsv,2016-03-09,8,11
ParlaMint-ES-CT-en_2016-03-10-1102-meta.tsv,2016-03-10,4,4
ParlaMint-ES-CT-en_2016-03-16-1201-meta.tsv,2016-03-16,27,15
ParlaMint-ES-CT-en_2016-03-17-1202-meta.tsv,2016-03-17,21,11
ParlaMint-ES-CT-en_2016-04-06-1301-meta.tsv,2016-04-06,30,17
ParlaMint-ES-CT-en_2016-04-07-1302-meta.tsv,2016-04-07,25,17
ParlaMint-ES-CT-en_2016-04-20-1401-meta.tsv,2016-04-20,25,19
ParlaMint-ES-CT-en_2016-04-21-1402-meta.tsv,2016-04-21,26,12
ParlaMint-ES-CT-en_2016-05-04-1501-meta.tsv,2016-05-04,23,17
ParlaMint-ES-CT-en_2016-05-05-1502-meta.tsv,2016-05-05,32,24
ParlaMint-ES-CT-en_2016-05-18-1601-meta.tsv,2016-05-18,21,18
ParlaMint-ES-CT-en_2016-05-19-1602-meta.tsv,2016-05-19,30,20
ParlaMint-ES-CT-en_2016-06-01-1701-meta.tsv,2016-06-01,29,20
ParlaMint-ES-CT-en_2016-06-02-1702-meta.tsv,2016-06-02,31,25
ParlaMint-ES-CT-en_2016-06-08-1801-meta.tsv,2016-06-08,11,4
ParlaMint-ES-CT-en_2016-06-09-1802-meta.tsv,2016-06-09,18,11
ParlaMint-ES-CT-en_2016-06-29-1901-meta.tsv,2016-06-29,27,19
ParlaMint-ES-CT-en_2016-06-30-1902-meta.tsv,2016-06-30,18,23
ParlaMint-ES-CT-en_2016-07-13-2001-meta.tsv,2016-07-13,25,23
ParlaMint-ES-CT-en_2016-07-14-2002-meta.tsv,2016-07-14,27,22
