ParlaMint-IS_2016-09-28-159.u1	There's gonna be time for a meeting at the same time. 12,30-115 today.
ParlaMint-IS_2016-09-28-159.u2	A respectable president. I'd like to discuss the domestic flight here today. I feel that it is time for governments to recognize that the international flight is, in effect, the public transport of the country, especially in view of the fact that the roads of the country no longer carry all the heavy transport and traffic flows of increasing tourism. However, domestic flights are far too expensive for Icelanders to take advantage of. That is why there have been a quarter reduction in international flights in nine years at the time the number of tourists has tripled. However, the truth is that flying is the lifeblood of the much - distant settlements from the capital area, the city of Reykjavík, a center of administration and a large part of international service, especially health care, and transport between these must be readily available. If domestic flights were affordable prices for the public, it would be a revolution in the habitat of people in the country, as well as the structure of employment. It must be thought, though, that while the number of tourists has increased by only one third after the number of tourists has increased by about 150 percent. It says that the price of the flight costs, which, as a result, are an inhibitory factor for the development of this service. It is a worthy task for governments, especially in the face of the great pressures of the country's roads, to look for ways to promote this aspect of our transportation, including those of the United States. by having an effect on air traffic costs.
ParlaMint-IS_2016-09-28-159.u3	Mr. President. I will be like the last speaker and discuss the international flight that has been quite superficial in recent times and that had much to do with the last days. I have had doubts about the intentions of the present government, who, though, began to set up a committee on this project, i.e. how to reduce the cost of domestic flight. It has been a long time since that work was done, but nothing has happened. It costs about 200 million if the cost of fuel is dropped in internal air, lower costs at airports, etc., and the price can be reduced, it matters, by 15 ◯18%. There's less to fly in the country as much as it costs. It's both about maintaining the country, having the opportunity to perform innovation, family and so on. There are some things underneath. If we really want to have built in the whole country, the flight must be an option. That's for damn sure. There is also another factor that matters when it comes to the scattered farm, and it is the fiber - opticization that was to play a very important role. It was also an appointed committee, and it returned, but unfortunately it does not seem to follow in the way that was started, at least in the Treaty of the Government. Building policy needs to be stressed, and more money must be put on the project, and the rules of distribution must be set as originally planned. They were not supposed to be in such a situation that their rural communities were struggling with one another, as is the case today, and those who are most vulnerable are in pursuit. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u4	V.E.G. President. I'm going to use this part of the program that has the name of the council to discuss the activities of the council. As we all know, tomorrow is the last day of the Generals Work Programme. Yesterday we discussed a case that existed in the past. Um... a huge case involving the Penitentiary Fund of government workers... and a change in that law. A vote on the committee of that matter follows. We put it between parts of this discussion to which the Senate committee is going on, but it is obvious, however, that any supername as it is, that it is impossible to complete such a big matter in one day. We called a lot after yesterday to find out what subjects that were as high as possible. The government wanted to finish this council and find out what the plan was. Unfortunately, I have no knowledge that anything has been mixed up in these matters. This, of course, is a very sad situation, for although there are some things we would agree on where the emphasis should be placed, there is nothing. Of course, it is good that many subjects will also be on the program today, which is a matter for the rest of the year. or later discussion, it will help us to continue our work here. [[The president calls.]] But it remains that time is really running away from us. [[The president calls.]] So we have to call to the highest power. President and Chief. Governments that there's something they can do about how they're going to end this council. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u5	A respectable president. I would like to step toward the welfare system. Happily, one of the characteristics of an Icelandic society is that there is a strong social deal for the well - being of this country. Every time we enter the election, whether it's from a local partner or if it's for the General or Country Government, the discussion on the general welfare of the discussion is the core. First, that and then how we want to contribute to our expenses. The core of the welfare and welfare policy is the ideal and ideal view that everyone has the right to live with dignity regardless of social status, age, residence, sex, etc. Any action by the government should, then, be directed to minimize this difference. Why is that? Is it possible for society to show kindness in some way or good to its citizens and inhabitants? No, the goal of a strong welfare system is to ensure that all citizens are really involved in a powerful society. It is the participation, access, and right to being creative and participating in society, which should be the goal of a strong welfare system. The road system is not merely a currency team, it's a way to ensure that society has the power of everyone, and of all alike.
ParlaMint-IS_2016-09-28-159.u6	A respectable president. A shrinking campaign event is a concern that has become more serious for a while. There are speculations and theories as to why this is so. In short, the most common explanation I am simply hearing is lack of interest in politics. Not that it's too difficult or too complicated to attend, it's just a sincere lack of interest. And I'm told at least by people who are supposed to know. You may now be able to discuss what you can do about it for long periods of time. But I believe that one of the reasons why people lose faith in politics and, in part, in democracy is that they experience that their views are not important, that they don't matter what they choose, because in reality, a large wave is going rather than one vote. Therefore, I would think that the way in which we can develop faith in politics and democracy itself would be that we would concentrate on in the future giving the voter a better chance to influence, directly, in the course of matters, not only who are in this room or in the government but also to develop ideas such as how the public could set the priority. Instead of arguing about the other or this poll or how we look at priorities, modern technology provides a useful guide for the development of data and facts. There is a technology today to allow people to have any effect on this, not all of it, I'm not suggesting that funding will be in the hands of the public, I'm just saying that there are ways to promote public participation in decision making today. We've never had better and more opportunities to do so. We should take advantage of that opportunity rather than allow this bad trend to continue much longer.
ParlaMint-IS_2016-09-28-159.u7	President. I find it important to point to members of the Independence Party that the study published in The Lancet, which compared countries of the world with various health factors, does not put us in first place over the best health care systems in the world, but is a public health examination, so in view of recommendations. There's a town to be seen by the senators. I'd like to read up here some tips from Kári Stefánsson on the McKinsey National Hospital report, because I think it's very important that we face up to the fact that there's a certain lack of direction here. With President's permission, Kári says: In the United States, authors argue that there is no overall health policy. It is not clear, for example, what should be handled in the health - care departments of the Land Hospital, what in walking departments, or private rooms in the city or in the clinic or other clinics. There is no coordination, and individual aspects of health care have developed for themselves rather than for the needs of society. Healthcare professionals, especially doctors, have searched the most important parts of the system. As a result, the cost of serving in private rooms in a town has increased considerably at the time that has been cut down elsewhere. This cost increase is explained by the increase in activities and new contracts with health insurance that allow for higher remunerations for services granted. He ends these indications of lack of direction in part 3 of his article, saying: ▪ The fact is that the private room pizza has grown to the point that there are not many countries in Europe where there are a greater personal interest in health care than there are in Iceland. Now I don't know if there's anything the people wanted. I think it's a lot to think about, and I challenge the World of Congress to find ways where we can attend a long-term conference on such important events here at the council itself. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u8	A respectable president. I'd like to talk again about eating. From time to time you see news and pictures, e.g. on Facebook, where the piles of food are being discarded, often from stores. I really feel like I'm going so slow in this matter. In fact, there is a lot to do with people's awareness and the emphasis on consumers. But while shopping and even producers are able to drive food, which for some reason has not been used, directly into the scene and pay for that low price, I don't think that's going to happen very much. I don't want to understand how it could be more expensive to take organic waste to a swamp than to take it into custody. We're a country very close to the end of this line because we became very, very, very, very, very, very, very, very much. We have some country plan, but I don't think it's ambitious, I have to say. The 2013 national programme suggests the ban on waste from time to time with 2021 and a special tax laid on the watch. It's a suggestion. This should just be the policy. It's just something we should put on, and it's not like this's gonna happen. Besides, we don't really know how much food is disposed of from cafeterias, from producers, and now I don't talk about shops. This information can be called for. The natural secretary of the environment is due tomorrow to ensure that the number of organic wastes, derived from food, is no more. She's not welcome. If people plan to grow food, organic waste, they go to the mall, and it has to be inexpensive as they go to the emergency area. It has to be like that.
ParlaMint-IS_2016-09-28-159.u9	V.E.G. President. First, I'm going to thank you for your cooperation at the council of our general Congress. Councilmen. It is certainly called after the council and in charge of the highest priority. The government intends to complete. I feel that it is a spontaneous demand at the same time, and I feel that it is not unusual for us to continue to be tolerant that many important cases have been developed in committees and can fully argue that it is at least responsible to finish, although only with the effectiveness of the council in mind and the hard work that all members of Congress have contributed. I could mention some of the matters that we all know to be worth and that it would be wise to finish, not to wait, and possibly to be confused. But, of course, there is always the feeling in such circumstances, on the final meters, of trying to finish the most, that time is running out of control, working on important issues. People are burned by health issues. I can refer to RUS's campaign TV last night, and most political parties were saying that more money has to be put in the health system. I will not object to that need, but it should really be a challenge to prevent a steady expansion and try to consider the prevention and the consequences of such measures. A large proportion of diseases are life - style related diseases, and during this ideal period in three places, I have raised issues to promote volunteers and workers in the sports movement, a language that contributes to the well - being. to the physical and mental health of young people, in fact, a huge predestination issue. Well, time is certainly quick, but I will continue to exert myself and fight for such emphasis. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u10	A respectable president. The Senate will eventually pass. During the past few weeks, much work has been done in committees. The cooperation between government and government is usually good in the committees I work on. Cross - political agreements are often reached for changes or parts of them. In other matters there are differences, and in many cases such differences are an important factor in improving matters. Prominent work is now completed or finishing some important issues that I give high priority on making progress in the discussion and payment at the council. These are, for example, issues such as student loans and scholarship billes, the release of capital handles, and the support to buy at the first apartment. It matters to all of us here that most of the work we've worked on in different matters in all stages will pass through the council. So I think it's very important that we get the opportunity to continue working here for some day before the election. I'd also like to introduce a case that appears to be the interest of a small part of the country, but it's probably bigger than we think, that's the mail distribution in the country. As noted, during the spring months, the number of mail deliverers in rural areas was reduced. It may be wise, but it is entirely unlikely that the task will be carried out differently than the subsequent review of other aspects of the mail distribution, such as the switch to A and B mail, who can take on mail distributions and more. Then I'm amazed that the post - communications agency has agreed to the application by the Marketing Authorisation Holder to reduce the number of mail days in smaller urban areas, places either defined as urban or rural areas, apparently at a time's convenience. This is true, for example, in places such as the Offense and Honnath.
ParlaMint-IS_2016-09-28-159.u11	V.E.G. President. I'd like to call attention to a synopsis proposal made by some of the candidates on April 4 of that year. It's about to the highest. The financial minister of a group of workers who aims to identify the pros and cons of making changes in the calculation of inflation and insurance insurance so that a uniform index price will still be used instead of an index price. In this country, the index price for consumer consumption has been used as a cut-off of inflation and the calculation of price insurance since 1995, if I'm correct. The OECD countries use a consistent index of consumer prices, the purpose of which is to ensure a consistent anti-inflation in the OECD countries. The primary difference between these index measures is that in calculation of the agreed index price, the housing team is not included, i.e. The special property of the facility. The debate has now been high, and the figures and calculations of certain parties show that if we had used the uniform index price of consumers in the last 12 months, inflation would have been -0.9%, but not 0.9%, as it is today. What does that really mean? This means that within the last 12 months, the guilty debt of the households would have dropped 18 billion but not raised by 18 billion, which was due to current indicator calculations. I have to say, what? Congress and the highest. Mr President, I didn't realize how large my little councilion proposal is. I thought this was a fair matter for the country's home, not an enormous interest. I'd like to ask you what. The Senate can examine this matter during the last days of the council, whether it could be considered between 2 and 3. ... abouttheprecautionstowhat. The Economic and Business Committee. One will be irresponsible in my opinion when we have these calculations and these figures that demonstrate this tremendous difference. [[The president calls.]]
