Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	AsmundurFridriksson	Friðriksson, Ásmundur	M	1956	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	BjarkeyGunnarsdottir	Gunnarsdóttir, Bjarkey Olsen	F	1965	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OlinaTHorvardardottir	Þorvarðardóttir, Ólína Kjerúlf	F	1958	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	ElinHirst	Hirst, Elín	F	1960	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	ElsaArnardottir	Arnardóttir, Elsa Lára	F	1975	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	WillumTHorsson	Þórsson, Willum Þór	M	1963	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	LiljaMagnusdottir	Magnúsdóttir, Lilja Rafney	F	1957	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	ElinHirst	Hirst, Elín	F	1960	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	THorsteinnSaemundsson	Sæmundsson, Þorsteinn	M	1953	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SiljaGunnarsdottir	Gunnarsdóttir, Silja Dögg	F	1973	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u11	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	HelgiHjorvar	Hjörvar, Helgi	M	1967	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u12	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	ValgerdurGunnarsdottir1955	Gunnarsdóttir, Valgerður	F	1955	
ParlaMint-IS-en_2016-03-01-82	ParlaMint-IS_2016-03-01-82.u13	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-82, 01.03.2016.	2016-03-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	notMP	notMinister	P	Píratar	-	Pirate Party	SigurbjorgEgilsdottir	Egilsdóttir, Sigurbjörg Erla	F	1986	
