Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	RobertMarshall	Marshall, Róbert	M	1971	
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	IllugiGunnarsson	Gunnarsson, Illugi	M	1967	
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	RagnheidurArnadottir	Árnadóttir, Ragnheiður E.	F	1967	
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigrunMagnusdottir	Magnúsdóttir, Sigrún	F	1944	
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	HoskuldurTHorhallsson	Þórhallsson, Höskuldur	M	1973	
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	PallPalsson	Pálsson, Páll Jóhann	M	1957	
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u11	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2016-10-13-172	ParlaMint-IS_2016-10-13-172.u12	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-172, 13.10.2016.	2016-10-13	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
