Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-12-06-1	ParlaMint-IS_2016-12-06-1.u1	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-1, 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BirgirArmannsson	Ármannsson, Birgir	M	1968	
ParlaMint-IS-en_2016-12-06-1	ParlaMint-IS_2016-12-06-1.u2	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-1, 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-06-1	ParlaMint-IS_2016-12-06-1.u3	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-1, 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-06-1	ParlaMint-IS_2016-12-06-1.u4	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-1, 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-06-1	ParlaMint-IS_2016-12-06-1.u5	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-1, 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-06-1	ParlaMint-IS_2016-12-06-1.u6	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-1, 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-06-1	ParlaMint-IS_2016-12-06-1.u7	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-1, 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2016-12-06-1	ParlaMint-IS_2016-12-06-1.u8	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-1, 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-06-1	ParlaMint-IS_2016-12-06-1.u9	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-1, 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-06-1	ParlaMint-IS_2016-12-06-1.u10	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-1, 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-06-1	ParlaMint-IS_2016-12-06-1.u11	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-1, 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
