ParlaMint-IS_2016-09-08-149.u1	To answer, health minister, education and cultural minister, environment and resource minister.
ParlaMint-IS_2016-09-08-149.u2	A respectable president. The media are the cornerstone of democracy, and the strong and independent media are our best weapons against corruption. Therefore, there is a serious concern that their management environment has been rapidly deteriorating, cut, and tilted by both small networks, private lighting mediums, and on VOLV in recent losses. Therefore, I ask the minister of Education if he is prepared to promote changes in the tax environment and the media support in order to turn the defence into an offensive. There is a serious concern about how technology and international competition have been changing the environment of the Icelandic media. The Advertisement market is shrinking into bitter competition with large international companies such as Google and Facebook, who don't pay taxes here, however, there are heavy tax charges on the servers trying to carry out news and cultural coverage in a language that only 0.3 million people speak. There is also an ever - increasing desire for consumers to pay for content as we really need to maintain more than ever, which is critical, powerful media to provide the upkeep that needs to be provided by corruption in an increasingly complex society and in which we have to deal with such projects as overgrowding financial systems, Tortol scandals, and so forth. Private media have called for VOLV to withdraw from advertising markets. I say, the only solution that agreement can do is create all the media, the state radio, the private lighting mediums, including small Internet media and other media companies, healing old newspapers, better operating conditions, so that all the media still have better conditions. I'm asking the highest. Education minister whether he has allowed himself to be taken into account by this drive of the Icelandic media's troubled position and whether we will see better management conditions and increased support for them.
ParlaMint-IS_2016-09-08-149.u3	A respectable president. Thank you. A senator for the inquiry and would like to immediately comment on the last question raised, whether some sort of opinion or debate has been made in my Ministry on the state of the press market, then yes. This summer, I called to meet the head of the lights media, where they made clear to me the position they believe to deal with the media and was very consistent with the description. A senator here presented challenges and changes in the media markets in recent years. It is absolutely true that there is a complex situation, including because of the size of the state radio on the advertising market. You cannot overlook the fact that in the North countries there are no national radios at a commercial market and no wonder those who are in charge of the media companies ask how the government intends to employ it, to what will it take to level that position. Now I know that there have been opinions on the exact tax environment of the media, and there are reports on that. But I believe that one of the things we have to do, and should be able to advance a transpolitic stand immediately, is that we now use the next few months to determine exactly this position, to the council, for example, and I may cast it here to the why. A senator, the idea that the council is a work force, a crosspolitic, who has three months of time to submit a clear diagnosis of factors that may arise. A senator made a subject of his speech, i.e. changes in advertising markets, changes in technology, making the situation developing in the way of the above. At the same time, I'd like to say that in my department, special attention is being given to the environment of the optics, such as Translation obligations and other factors necessary to consider in line with the changes in technology that have occurred on this market. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u4	A respectable president. I am pleased with the proposal by the Secretary of Education on transverse cooperation to improve the labour conditions of the media in the country, and I was confident that it would be serious on both the Ministry of Education and the Government Secretary of finance, to let the actions speak in this subject. In many ways, we face a situation similar to that of the media before the publication of the book in the country 25 years ago. Then we had to ask ourselves, " Do I want Icelandic editions to produce books powerfully in English, and we decided to cancel the sales tax because the editions simply went under attack? ' I think we need to introduce some measures that may be consistent across the line to improve these management conditions, but they need measures that will not only cover special sources of light but also provide increasing networks, to the old newspapers, and to improve the terms of the Kingdom News.
ParlaMint-IS_2016-09-08-149.u5	A respectable president. That's how we agree, me and what. A senator, the need for a parapolitic stand for such action, and at the same time it should be noted that there is not a long time in front of him for action. That's why I'm so happy for this reaction. Senator. I believe it is well within the scope of this council that there will be an arrangement for Congress here and it will be agreed upon as they shall be laid upon the work of such a committee and laid down for the arrival of the classes now held at the General Assembly. I'd like to suggest, sir, a respectable president, that in addition to the Senate decree, there are groups that would then enter new ones at the council after the election might arrive at that job. But I want time to be used now for the next few weeks and months to allow such diagnostic work to exist. I have no doubt in any way that many of the officials of the media claim that the situation has become unbearable for many of them. I totally agree with what. In terms of the fact that it's not enough to just look at part of the media flood, we need to watch the broad market, at all the media, both large and small, both those who are available on paper and are online, because we need the powerful media, and I believe that there is an entirely parapolitic agreement about that view. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u6	President. Yesterday we had a very good discussion on the validation of the Paris Convention. I wanted to see that there were not many in the discussion to get some things from the highest. Environment Minister. First of all, I'd like to ask the highest. Ministers to the precise schedule that allows us to validate this contract, whether there is a time plan for something other than simply filling in a ditch, which in itself is a good price, but of course, we need to use it carefully, for I have not yet seen the exact interpretation of where to begin and where to end it. I also wanted to hear the highest attitude. A minister to see if there is any reason to go even further and to concentrate on molding some policy of infallibility or such, so that we can ensure that, for example, this is the case. can grow more vegetables. There's been talk of a certain course in that direction. I remember that it was VG talking about cabbages, not aluminums, a long time ago. At that time, many people laughed at it and thought it was silly. However, growing vegetables by using technology has now become a major development in controlling, e.g. growth in vegetables with light. I wanted to ask you if there's anything about it, e.g. In the Ministry, which could be made accessible and further discussions about future policy, sustainable development and long-term planning on how we're going to validate the Paris Convention.
ParlaMint-IS_2016-09-08-149.u7	A respectable president. Thank you for your excellent inquiry. It's nice to be able to recall the discussion that took place yesterday. Environmental issues and such climates are very wide and involve most aspects of human life. This is especially true in our everyday lives and behavior. Therefore, I am very happy that tomorrow we will open a presentation in the Pearl where both Fenur and the EEA, together with a number of free national organisations, work together against waste in all areas. I urge everyone to come there. That is a major part of our understanding of how we conduct ourselves, as individuals. There are a lot of things in there and that this has been done in the Ministry. Together for waste, there is work at the Ministry that has been linked to reduction food waste. We've worked together to prevent waste, to try to reduce plastic waste, and in this regard, we have a relationship to waste. it's been a state-of-the-art party resolution that's come from here on out. Truly, in our program of climate schemes, we plan to cultivate more vegetables, to cultivate more forests. We are very early in it, and we have a lot of land where we can certainly put down both vegetables and forests to bind carbon. On the contrary, we try to fill in ditches, such as whales. A senator took care of it. It's a project that land transplants do, and it doesn't do just one project, there's a few of the land - healing projects about it. We're trying to get the whole environment with us, and we've had a lot of people come to this, like the Presidency, the Bishop's office, and so on. The bishop arranged this. It's normal to do something about these things, including In a barracks where the President was with me in July.
ParlaMint-IS_2016-09-08-149.u8	President. It's a pleasure to hear that there's a job beginning, and I hope to see a detailed plan on these matters. It is clear that we cannot overlook the woes of global warming. Every day we see evidence that we are almost missing out on the opportunity to do something. We're in a time crisis, and that's why it's urgent, and I'd like to make the most of it. Ministers and all members of the council, to let climates live in the discussion, since these matters are too little to be discussed, and we need to find mutual solutions. I think it's very important and I'd like to ask the highest. Environment Minister if there is no greater interpolitical work to deal with the problems we face as mankind.
ParlaMint-IS_2016-09-08-149.u9	A respectable president. I'm a big fan of this, and I think it's normal for the nations of the world, not just Iceland, to come up to it. This is a common problem in the world, and it is important to counteract it cross - lax, both within the country and on the world. That was exactly what happened in Paris. Then the nations came together and decided that there had to be something to do, but before we had been arguing about what to do. But something happened there at the last minute. We are naturally doing a lot of work, and we also want to create a system here, a innovation in promoting good works. We read the magazines this morning, and what did the magazines say? It said that we had to start ensuring ships' land electricity, which could actually reduce emissions by 4%. That's a big job, and it's gonna cost money, and it's probably gonna cost some of the continuum transfunctioners too. It may take us to engage something in the north, if we go a lot to do it, so that the transport routes won't be too long.
ParlaMint-IS_2016-09-08-149.u10	Now that the latter part of the life span of the present government, it is appropriate to give counsellers the opportunity to look back and give us insight into the vision of the vision of the individual issues they have been privileged to perform. At the top. In fact, the office of the Icelandic language has at times been discussed by the minister of education and culture, and the current one has stressed that we support Icelandic language in a digital world. It has been both a conquistador proposal, a proposal for financial payment, and for other reasons. V.E.G. A minister in these conversations with me, and for other reasons, he has always explained the importance of having a good language, when it becomes evident that in some respects it is under attack. It is one of the ingredients of being a community on this island. V.E.G. The minister last spoke about it when we at the government stand made a suggestion to make a significant increase in the budget and the Supreme Court. The minister voted against, to support himself in the trade of these things. I'm asking the highest. Minister, because he's about to start packing up in the Ministry of Education and Culture, how will he understand this matter?
ParlaMint-IS_2016-09-08-149.u11	A respectable president. Thanks for the inquiry. I agree with it. A senator said the importance of this matter. In fact, I believe the tongue is one of the pioneers that we have an Icelandic society here. It's an independent nation. As for the situation, it is proper to recall that the government agreed at its meeting to provide special funds for this project, or its origin, as well as financial support. Then an employee was hired to review the situation, what would have been won, what was not done, etc. That employee has completed this crossing and returned to us, we've had a meeting with him, we haven't even gotten the report ourselves, but we've been over the next steps of the case. The proposal that has come out, and I have since produced my ideas on money supplies, is that the next phase of the project that is actually the project, i.e. what technology is needed to use and how it is used to make use of the databases we have and, in fact, what to do about the databases. But first and last, it is the complex technical problem to build, if I can use that expression, the machine that is there, describe it accurately, and what you might expect to do with it, and how best to do it with the technology companies, which we have to do. It is estimated that it works at an average of 50 million. What I've done is that I've suggested that this be done for the money right now, i.e. Go to work this year, and time will be used until New Year's Eve, and likely something until next year, in the assignment. It is of utmost importance because it must exist in order to attack the project, the individual aspects of the construction project, the interaction of the technical element with databases, and other factors. [[The president calls.]] [[The president calls.]] [[The president calls.]] I think this should explain why. A senator where this is exactly what it says.
