Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	ElinHirst	Hirst, Elín	F	1960	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	KristjanJuliusson	Júlíusson, Kristján Þór	M	1957	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	HoskuldurTHorhallsson	Þórhallsson, Höskuldur	M	1973	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	ElinHirst	Hirst, Elín	F	1960	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	KristjanJuliusson	Júlíusson, Kristján Þór	M	1957	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	PallBjornsson	Björnsson, Páll Valur	M	1962	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	KristjanJuliusson	Júlíusson, Kristján Þór	M	1957	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u11	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	SigridurIngadottir	Ingadóttir, Sigríður Ingibjörg	F	1968	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u12	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	HoskuldurTHorhallsson	Þórhallsson, Höskuldur	M	1973	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u13	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	PallBjornsson	Björnsson, Páll Valur	M	1962	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u14	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	KristjanJuliusson	Júlíusson, Kristján Þór	M	1957	
ParlaMint-IS-en_2016-05-30-120	ParlaMint-IS_2016-05-30-120.u15	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-120, 30.05.2016.	2016-05-30	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	ValgerdurGunnarsdottir1955	Gunnarsdóttir, Valgerður	F	1955	
