ParlaMint-IS_2016-10-06-165.u1	The program suggested at the end of a meeting yesterday has been called again.
ParlaMint-IS_2016-10-06-165.u2	A respectable president. We have received reports that the end of the council is likely to have been negotiated, and we can begin working on the current issues. I hope it's all over today. In the fall of this year, we have been blessed with good cooperation at the council on many fine matters, and there are many good things here that we have to do before the end of the council. I'd like to talk about issues like social security, where our ideal older citizens are very interested in us. I hope we can only add meat to the bones there and present a bill that will improve the interests of older citizens. It is quite clear that the bill that already contains simple ones, which sees the law and order very much, and that greatly benefits all who have to work around it and those older citizens who have just had trouble understanding their terms. I've studied it very accurately myself, and that's why I'm very happy about the bill that's being presented here. I hope we'll finish by the end of the council. I trust that in this hall, we will agree to meet older citizens in a way that is decent for us and that we can all agree in our campaign that their election needs to be improved and that we will improve their terms over the next few days and that they will be carried out for years. I think that there are a lot of situations in this community, that we show older people the respect that their benefits will be improved, and they can join us in a new year with joy in heart because the benefits have been improved.
ParlaMint-IS_2016-10-06-165.u3	V.E.G. President. When it turns out that an assembly is about to end and we can start running to the election, you've wondered about the other things and these things that are happening in society and how things have worked out in the past three and a half years. Clearly, there are a lot of economic growth and a number of things that look to better ways in Icelandic society. We can be happy about it, but there are still many things that can go better. This week I attended a conference or a seminar in the University of Iceland, where the headline was: Do we want a community without a teacher? There were some reports that over the years, there are a lot of problems in Icelandic education systems because we do not graduate enough teachers, neither as teachers nor as basic teachers. When you look at another major foundation in the health - care system, it has also been shown during the term that they face a real problem with design in medical institutions This is something we have to put ahead of us in this campaign, I think, and all classes. It was called after this conference to the university this week that a national agreement would arise on how we're going to handle these matters, if not badly. As a nation, it is clear to us that we must listen to this call and consider it. If we don't reach the two principals in modern Icelandic society, which are the health and education system, we're first in serious ice. Then there is no financial crisis that compares with that. I hope that during the campaign, these issues will be given a lot of discussion and will be discussed with a much greater enthusiasm and honesty than was, for example, the case. ... madethelastelection. These are key elements in every community today, i.e. Health and education systems. Without them, we're nothing.
ParlaMint-IS_2016-10-06-165.u4	V.E.G. President. I'd like to give a little consideration to yesterday's National Bank of Iceland decision to keep operating growth unchanged, in 5.25%. The decision at any given time is to reduce demand, but this is not enough because almost all of the country's homes have security loans and the Federal Bank's operating growths at any given time do not affect it. Who's benefiting? Yes, the dollar goes up. Inflation is low. The crown is rising, but inflation should be much lower, since the effects of a higher crown do not fully yield to consumers, but the traders are profiting from the decision made by the Federal Bank. A large sum also affects exporting roads, such as fishing roads and tourism. Therefore, the harbor bank has to resort to some kind of voodoo method to control everything, including by buying currency as never before to hold back the increase of the crown, which is a direct result of the direction of interest. However, there may be one group that greatly profites from the fact that fliers are very high here, foreign landowners. This is how the Council of Churches had to take special note of the Federal Bank in spring by putting on a sort of binding duty in order to prevent the flow of capitals into the country. That didn't quite work. But foreign farm owners are in a position to be like a teenager who does not want to leave his parents'home because he is so comfortable there. That's why these Afghans are lying on top of us Icelanders, and they don't want to leave the prison of Már May Guðmundsson. Every man sees that it's like that. Nothing else makes sense for a man who lives in Sweden who has a Swedish crown that is falling but to come to Iceland and buy new Icelandic dollars, which, of course, is growing on 5.5% interest instead of -0.25 in Sweden. It's natural crazy. We have to lower the growth rate.
ParlaMint-IS_2016-10-06-165.u5	Mr. President. Hv. paritaprevir Ásmundur Friðriksson, who was here the first to speak, was rather optimistic that it was now time for us to complete this council. I want to be optimistic. A senator and I certainly hope that the conclusion is coming from the way we complete this council. We are about to become a complete fraud here at the General Assembly, where we have worked without a plan or plan. Of course, that is not how we work forever. To my surprise, I must say, when I saw the program for today, that it was the job of the council that should be discussed here at the beginning of a council meeting. To be honest, I had been hoping that this would be an unprepared period of inquiry where members of the council could have a place of words and ask the highest degree of question. Minister of Questions. Of course, it is important for an election to have access to the highest level. Counsellors and can direct them to questions. I wanted to form a place to speak to the highest level. Secretary of State for the United Nations General Assembly, which is imminent. I know that it is to discuss proposals for nuclear disarmament in the world, but I have heard that the nuclear powers there are under intense pressure. I would have liked to have been able to talk here today, but I'm afraid it's not possible. [[The president calls.]] And I wonder, "Where are the highest? Ministers? They're off to the campaign while we're still here at the council? But I say once again: I hope we see a hook at the end of this council.
ParlaMint-IS_2016-10-06-165.u6	V.E.G. President. I'd like to start by celebrating it, like the rest of us. Councilmen, that the officers of the clans are at least at the moment, I believe, to agree on how we're doing here and how we can complete important matters and complete the council. This is important to all of us because the shape of the council is created. That's why it matters to all of us. The election has long since begun, so to speak, it may be said that there is an ongoing struggle and should not include a temporary divorce, a beginning or an end, but, of course, you have sensed here during the discussion and, especially, in the chairmanship of the president's program. I wonder what they'll vote for. That's just what you can ask yourself. The metals, the direction, the promises. I have a direct share in such a struggle now for the second time, and I can just say that it's exciting and exciting. I'm just looking forward to it, of course. There's been a lot of discussions on the subjects, on infrastructure, housing, health and welfare matters, even educational matters. This has been prominent in the discussion, and is that understandable, but will it really be chosen? Is it what matters, that we drum each other in promises and expenses? I don't think so, I think it's a real stability choice. That word in itself means that the success that has been achieved during this terms of economic building, home has dropped their debt, job life is on a solid foundation, living in stability - I think it will be a real choice for stability.
ParlaMint-IS_2016-10-06-165.u7	Mr. President. I've been thinking a little bit about the status of people 50 years of age and older in society, both the workforce and politics, and how people of that age are viewed, the way their participation is in society. I have felt as if he had spoken down to this group, that he had come to the last turn, and should not be in front. The media cannot be said to raise these people, either in business or in politics. When a person loses a job in the middle of his age, he may find it very difficult to get back to work in a job market and to get a similar job or to have a chance to go to new jobs to find a suitable job. I think this is a project that must be done on both the labour market partners, politics and especially the media, how they talk about people who have become 50 plus, as if they were already on the edge of the grave, and where they can squeeze anything more out of any sense, that the young people can only say something about it. This experience and knowledge there is, human beings - society such as ours, and, of course, all communities, to make full use of it. Now that we're about this age, 50 plus, we're supposed to talk honestly about these things. I know that much men 50 years of age and older are often spoken of in positions of authority, but it doesn't show that many women are in that sector. [[The president calls.]] I think it needs to be honest with you and that this should not be a shy matter.
ParlaMint-IS_2016-10-06-165.u8	A respectable president. As the election approaches, I'd like to discuss only a problem in our campaign system. We have a threshold, a 5% threshold, that may not necessarily be bad. But all votes that go to classes that do not reach this 5% threshold actually fall dead. In the last election, 12% of the votes fell dead in this way. As I say, there may be good reasons to have a threshold. However, it has been discussed, and I think it is a democratic way, to create the system so that the voter can choose the option two. Perhaps someone has the desire to select a class that will be measured by 2.5% in polls, but he decides to prefer rhythms instead of choosing with his heart. A dresser could then put one X to the category he chooses first and is his first choice, but then get another selection so that if the category he chose could not be 5% followed, the vote applied to the next category he chose. That's the method that Þorkell Helgason has established and is well - known and democratic. I think we need to look at this because it's incorrigibly when voters don't make their way, like the last election. Opinions are subjective. Therefore, in some places they are banned for some particular time before the election. But I want to encourage people, because, unfortunately, we haven't changed the system, to vote with the heart. Opinions may be misleading. We can see that, for example. with Pirata, who just got into Congress with 5% but reached a much larger panel of polls. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u9	Mr. President. I'd like to make it a subject of a statement by the presidents of the university that is published in magazines today, and they all sign, that they express deep concern over the affairs of the university of the country where the government financial programme for 2017-2021 assumes total tax gain to build up a community but leaves the university behind. According to OECD, U.S. universities are greatly subsidized and given twice as much money per student as colleges in other parts of the North countries. We've talked about it here before, and that has even been true. The direction of the Scientific and Technical Council to make a contribution to each student will be comparable to the North countries in 2020, but in accordance with the state-of-the-art programme established by the current government groups. There is no doubt that the research there is the driving force behind all developments in the country and university studies is, of course, the key to the success of the nations. The statement says that the university is essential for the development of Icelandic society and that I can accept that they prepare everyone for their job life, not just young people, but all who pursue college, making it possible for them to be active participants in the workplace. It asserts that continued subfundation of university levels will have negative effects on university, research, cultural and innovation, and thus on the future social development and competitiveness of Iceland. The declaration asserts that under the same conditions, the colleges cannot function normally and are actually in danger. It is an incentive for us politicians to ask us to reinvest ourselves in the infrastructure, invest in colleges, and therefore we have left greens and, of course, we will be assigned to do so by the voters.
ParlaMint-IS_2016-10-06-165.u10	V.E.G. President. I'd like to start by saying what a couple of people have. Councilmen have talked about here and are happy that there is an agreement between the heads of the administrations. I think it's very important on the shape of the council. But there are issues that are very important to finish and that I mention, for example. Social security and any step, most prominently, will be in the calculation of an index. However, there is something else I was going to discuss today. I'd like to discuss the regional policies that we assistants stress in today's campaign. We want to use the tax system in an indiscriminate way for the people of the country. These include a discount of travel costs to and from work, that those who have to go to work long distances get tax discounts against travel costs. This arrangement is recognized in the countries we compare with, e.g. in the North, and so for us Icelanders, it is perfect for us to examine and take up such measures. This action will undoubtedly strengthen the country's various sectors. In addition, we would like to consider whether a company in the country could have a lower insurance bill that encourages various companies and institutions to export their jobs abroad. Besides, we'd like to use the tax system in an indiscriminate way for the people of the country. More important, it is the use of the student loan system in an indiscriminate way for the people of the country. This could be done so that those who are determined to serve, e.g. in medical institutions where doctors or other specialists are lacking, they receive a discount from their student loans. This would be a major step toward increasing national availability to health care. It's nice to tell you that this was one of the very first works. Minister of the Future Party, Gunnar Bragi Sveinsson of Sveins, after he took over as the minister of agricultural and marine eviction in spring. [[The president calls.]] It will be very exciting to see what comes out of that work.
ParlaMint-IS_2016-10-06-165.u11	V.E.G. President. I'm here to pick up a case as a matter of course. paritaprevir Ragnheiður Ríkharðsdóttir did in a memorable way last night, i.e. The amazing story that the hour has been telling us and we received news about last night's judgment on the County Court of Reykjavík, where a five - year - old boy has been taking the power of his Icelandic grandmother, mother, and family to bring him to Norway for the next 13 years, where the child will be allowed to meet his mother twice a year for two hours, or four hours a year, and the grandmother who has cared for the child for a long time will not get to see the baby. I don't know any Norwegian child protection laws, but it seems harsh to me that they are such wickedness and such punishment. I'm not going to go through the history of this case. The mother came off the road of life but has found her again. I'm asking, "What's the right of the baby?" Does the boy have anything to say about whether he'll stay with his grandmother or save somewhere in the great Norway compared with what I said here? A respectable president. It seems to me that in the process there is a modern child robbery performed by the Norwegian Child Welfare. I cannot be a citizen of this country and of these people, and therefore speak here at the High Council. The boy's being sent to the Norwegian Children's Guardians must never happen. Why don't the people move from Norway to Iceland once they're back home? They were going to look for a better life just after a crash, but it seems to me that it's turning into a total nightmare. This can never happen. A respectable president. I have been in this program many times during my 17 - year session. However, I have never had my heart pierced to discuss a matter. [[The president calls.]] I'm going to leave this talk chair sad.
