ParlaMint-IS_2016-09-07-148.u1	The president reminds us that our votes will be here right after the 1st talk.
ParlaMint-IS_2016-09-07-148.u2	V.E.G. President. This morning an introduction to Mckinsey's health status report was conducted. In that report, the lights were directed toward the performance of the Land Hospital, his economy, and the conduct of hospital workers. The use of funds and goods provided by health care was also discussed. In addition, the association of the Land Hospital with other parts of the medical system was discussed, including health care and specialists in their own offices. It stated that much of the services served at a land hospital were emergency services for simple problems, and many operations were moved in private offices in 2012 ◯2015. In short, the Icelandic health - care system needs a clearer approach to where and in what amount to serve. The service of the Land Hospital should be organized according to that policy. It was observed that now that local authorities are once again putting extra money into the health system after surgery, there is a unique opportunity to reevaluate the system and to ensure that increased funds are most useful in health care. In this context, it is necessary to consider land and biological factors that affect the need for people of the country for increased health care. These findings are in much harmony with what we progressives have claimed and spoken for some time. We need a health plan for Iceland. Policy needs to be reviewed and the services to be performed in the health - care network throughout the country. That takes even more than that. taking into account the ages of the population, transportation, distance, and various other factors. Civilization procedures must be linked to this healthcare programme with the aim of getting health care professionals to work in many parts of the country. By strengthening health services in the country and by giving them additional work by strengthening them in nursing homes in many parts of the country, we can effectively reduce the pressures at the Land Hospital and no doubt increase the effectiveness of the system.
ParlaMint-IS_2016-09-07-148.u3	President. I'd like to start by saying my whole mind about what was presented in each case. paritaprevir Lára Arnardóttir. It's very important that we go on a long-term schedule of these large mails in our community. So I have wondered, " Do I not have to include more frequently the transnational committees of such major lawsuits in order to continue on some common journey that is not always up to who is in power? ' These are issues that all members of Congress are supposed to be concerned about and finding mutual solutions, and that was the main thing I wanted to discuss right now because I'm still thinking of this very up-to-date meeting with the General Agent last night where he repeated a lot of things we should have found to do. One of the conversations that the U.S. commission agent spoke at a meeting of a management and surveillance committee yesterday was the importance of a careful legal hearing and the application of the professional knowledge found, e.g. In less than a hundred years, the Court's work will be carried out in its own institutions, and in the councils itself, to be careful about the procedure. I remember that a fine book was designed to help you see how a good law is being done. Unfortunately, at the end of Congress and especially at the end of the term, all the quality standards seem to disappear, and all that seems to be watching for councilmen and senators is to set the law through as fast as possible in order to get the credit for having set things right. So I think it's very important that we find ways to work together, parapolitic, that large issues in a tricky way, since bad laws can have a bad effect on a very large number of people in our society. [[The president calls.]]
ParlaMint-IS_2016-09-07-148.u4	V.E.G. President. I'm going to step aside to an open meeting. The Commission and monitoring committee with the U.S. commission yesterday, in which the annual report was being discussed. This event in the relations of the Commission and its agent is very important, and the meeting yesterday was particularly successful, not solely to highlight the main emphasis and projects in the role of an agent in the interests of the citizens, but also to present that information publicly. There is a lesson in these meetings, such as the arrangement and development of decision - making committees, the classification of subjects, and the success of the office of the internal organization and its development, and the decrease in complaints. However, there are two main points I would like to mention, and it is a sincere desire to correct. The first is the possibility of an office to act on the initiatives, which, of course, have an undisputed advantage and is, at the same time, a powerful means of maintenance, along with other other means of making the council, have the means to maintain active control with the executive authority. Besides the fact that an agent as a secretary of the General to the Commission can fulfill his vital role and to the limit. In this form of law enforcement, it is designed to further promote reform in the administration and to further ensure the right of the citizens to the governments of the country. The second issue is being carried out in access to the office, the availability of motorists to the agency of the agent. In the larger context, equality is the essence of spontaneous human rights, and this is true of the legal protection, as indicated by the United Nations Convention on Equal Opportunities. One agent said and concluded his statement that the office would not be able to live up to such a lack of facilities and that it called for financial improvement. A respected president. We should answer that call first.
ParlaMint-IS_2016-09-07-148.u5	V.E.G. President. Finally, the bill has been submitted to legalize the social security law. It's taken the highest. Ministers for three and a half years putting that bill into the council. It's a big deal of justice to make changes in the social security system, but at the same time it's a big disappointment that the bill will not go further towards system changes and that it will not be more satisfied with older citizens' communities and that disability will be completely left behind in these changes. The case has not been measured, but already we generals are receiving objections and comments to the bill. I think it's a lot of concern because, as I said, it's a fair thing that we're changing the social security system. The main point of comment is that the limit for cutouts is too high and that the perfect minimum of vacation income will be very unfair, especially when viewed for employment. Then there is no objection in the bill to our claims, to the United States and to others in the smaller parts, to Pirata, to the VG, and to the Bjart's future. We've been trying to ensure that pensioners were provided with the same dresser compensation as other remunerations to prevent blundering and thus to increase the level of impurity. There's no evidence to suggest that social security should be brought up to 300 levels. K. as a minimum labour market wage and here is no attempt to compensate for the lack of correction by pensioners to May 1, 2015. [[The president calls.]] I'm worried about this. It is unfortunate that such an important matter is to come in here, and there obviously are such oppositions to some of the changes to take place here. [[The president calls.]]
ParlaMint-IS_2016-09-07-148.u6	A respectable president. When problems arise, either in an institution or in a member or something, most would agree that a good practice would be trying to understand the problem fully and try to find a solution. Then is the motivation to solve the problem, the motivation to find out the truth. But I've noticed in the short time I've been in politics, and actually longer when I was a common citizen, that in politics there is another motivation. There is another source that does not focus on finding out the truth, it is not about understanding things best, it is about understanding them as much as possible that they are dealing with political opponents. This is a normal part of politics. I feel that it underlines the point, so I think it's more important to get the message out of the way that we should refuse such a statement, which is clearly put forward to bring down someone else, not to find out what to do, let alone to offer benefits. There are certainly some defects in all human processes, inside and outside the council, but if we are not going to examine them in the light of finding out what is really wrong with them and how can we improve them, we are in the least chance of wasting our time and at worst if we are to be upset. That is why I would like to contribute to the audiences who listen to the politicians to appreciate their motives. What are they saying? And I'd like to encourage you too. Generals and other politicians in general, people in general, in an effort to understand things as best they can, not merely to try to make them look that way or queer. It is called dishonest when it appears in places other than politics. What I find strange is that political dishonesty is taken for granted. That underscores the point.
ParlaMint-IS_2016-09-07-148.u7	President. The money exchange has to be changed in the country. The national cake needs to be re-cuted. I don't know how many times I've said that in this sermon. But not only does it need to change how the income exchange is between people and businesses but it is not enough to reduce the gap between the rich and the poor; there is also a change in income exchange between the state and the community. To name just a few examples, societal communities handle enormously important classes of languages, schools, and elementary schools, the issues of the disabled and the cultural elements of any kind. The rural communities do not have enough money to care for such important projects because the money exchange between the state and rural society is old - fashioned and out - of - date. How can you change that, Mr. President? How can you make sure that your rural society is able to care for these responsibilities? We can do so by deciding in this hall that a larger portion of the government's income goes to the countryside. It would be minimal to accept a bill that has been held at the council since 2015 to share in a special tax on a financial firm to offset the loss of the income of the municipal organisations because of the allowing the provision of special savings to pay the mortgage and housing supplies. President. I try not to be paranoid, and in general I don't listen to conspiracy theories, but I wonder if I'm reluctant to make a fair contribution to the countryside because the government groups are in charge of the largest community. Is it possible, more dignified President, that there is a bite in play schools, elementary schools, disabled people's affairs, that they can't imagine giving enough money to the community because of the government groups run in Reykjavík?
ParlaMint-IS_2016-09-07-148.u8	A respectable president. I'm very interested in the affairs of Icelandic students, especially because recently a bill from the Ministry of Education was introduced, where some structural changes were proposed. The LAIN is in the debate process now. A top-of-the-art Board of Education. It is clear that in the case of the magnitude of change as we are talking about now in the LIN bill, there are a wide range of opinions on their quality, their quality, and e.g. What is the key to education? I don't understand why the process of communicating that was fundamental to this bill was as bad as it really is. It is almost unsurpassed, so those members who were invited to enter a review complain that it was a sort of virtual conspiracy in the process of the bill. That's why I don't see what it's like. The General and Education Committee should be able to deliver the bill, as that is not a well-worked job for the Ministry. It's, for example. no economic analysis has been performed on the effect of higher subsidies of low-paying classes will have for the development of women and certain classes. President. I think it would be better if we were to try to create a transboundary field of cooperation, a territory of consultation, to discuss such extensive system changes. This sort of thing happens only in harmony, or the next government will make the whole thing look good. We need to take to heart what we have learned during this ideal period, that parapolitic committees, such as the foreign committee, are effective. We can imitate it.
ParlaMint-IS_2016-09-07-148.u9	V.E.G. President. I am moved to discuss a slight bill to legalize the social security laws, especially with the rightness of words. paritaprevir Sigríður Ingibjargr Ingadóttir. No wonder that the bill appeared after three and a half years because the first two years of this election period was a committee on the review of this system, a large and large committee that worked well in the distance and gave results on February 29th of February. In that committee, as I said, a good worker was in the longest, but it took about two months for the committee to come because her acting chairman then, the one standing here, tried to achieve as many of the proposals of the Committee. It did not succeed because of one large interest group, i.e. An alliance of disability, at the end, decided to take control of anti-continent groups at the council rather than try to continue to influence the work of the Committee and its conclusions. That, of course, is bad. Nevertheless, these suggestions appeared in February last, and the suggestions are actually the biggest and true change in this system for decades. That's why I don't know how to represent the level that has become the longest welfare business in Iceland for decades, without doing anything else, except for the twits being here and making little of what is now being done by this bill, which is the first step in developing the proposals of the Commission to benefit all those involved, and to extend the right share of the castle foot in society. [[The president calls.]]
ParlaMint-IS_2016-09-07-148.u10	V.E.G. President. The media's review of the last few days of the defense of animal life is quite strange, in reality unscrupulous, and gives a misleading picture of the situation. No senator has been involved in the defense of animal life. The proposals offered to a professional professional committee were both imperfect, and much more was needed to prepare for such a change. To eliminate such fractional support or direct payment is a complex task, and we want this to be done well. Therefore, the matter was taken back into consideration, and more than a part of the employment committee has won the case and the current proposed proposal is implemented. However, it is proper to draw attention to the fact that MAST has rich sources and resources to use in such cases. One of them is perjury. If a farmer has been removed from his farm, he does not normally get paid according to a livestock contract. Then MAST has the legal authority used to press reforms, the fines can easily confiscate any amount of pay available to farmers. V.E.G. President. There's no cost to it. We live in a civilized society where we do not approve. In general, the animal welfare issues are in good condition in Iceland and depositers are very aware of their responsibilities. With new animal legislation, there were new rules on how to use them. Many farmers in all their habitats now face the challenge of making expensive house - to - house improvements to improve equipment. At least the cost is billions of dollars. There is no need to build new buildings in order to improve the size of new buildings. V.E.G. President. No one wants to ignore the fact that there have been serious cases where animals are affected by bad equipment. Sadly, these events will continue. What matters is that we are all concerned about such things. These events are more common than not rooting out other problems, such as social status, sickness, and other factors than those that are always there for such problems. [[The president calls.]] Monitoring and rules never replace all things, surveillance agencies such as Food Organization also have obligations, and they should also be guided in their jobs. [[The president calls.]] So I refuse to have a discussion that when a member of the council wants a legal problem, they will defend an animal. [[The president calls.]]
ParlaMint-IS_2016-09-07-148.u11	V.E.G. President. What a joy it was when it was the highest! A minister of education decided to transfer diplomats to police school for active police officers at the University of Akureyri. Despite the fact that criticism would come at that decision. Minister of Education, I'd like to say that the University of Akureyri was truly well versed in this course. It has been observed that more than 170 people have already applied for this study course. It is happy that there is a gender ratio to do anything equal to that already the university accepted 130 applications. I'd like to go over to a little bit that the terms of distribution are, for example, 18% of those applying from the Northwestern District are 15.5%, from Reykjavík 25.5%, the South American District 14.5%, 25.5% and 1.2% of the students from abroad. When I read those figures, I recall I was at a conference in London a few years ago, where I met a school principal from a U.S. university and told me that there are 4,000 local students, but 40,000 students around the world. That is exactly what the University of Akureyri offers, for students to be able to do the study at home, to be in places of courses, and to take a long - term school, which makes it seem that there are many more people who feel that they can do this well. [[The president calls.]] Congratulations, University of Akureyri.
