ParlaMint-IS_2016-10-12-169.u1	There'll be time for a conference at the same time. That's 1,3β-14 today.
ParlaMint-IS_2016-10-12-169.u2	V.E.G. President. Already the end of this council is two issues that show that we do not get a walk. That's very sorry. First of all, it's the bill on the LAIN and secondly the Department of Pension, i.e. Pays government funds to pensions. To be honest, I'm very sad. This is one of the conditions associated with so - called contracts between government and government opposition at any time in which the government of the day tries to get a position by stopping a national agreement that would go through here. This is the pressure I hope will be on the decline of the next day and be done away with. I also hope that students who have prayed for the LIN bill to become a law, recall the time they entered the booth in the fall, who were preventing the bill from becoming a law and taking good care of it before they vote in the fall. In terms of the pension fund, it's very sad that it's been around here. As a result, their clients, a representative of the employee, will likely have to pay 20% more in the pension fund at the end of the New Year's Day. This is going back to the beginning of other matters that hang out there, like the SALEK convention and other things. To be honest, I am very concerned that this could have a long - term effect, so it is very sad that in these last days neither of these matters has been gained far from the eyes of a whole body of Congress. I second that voters need to bear in mind what responsibility this is.
ParlaMint-IS_2016-10-12-169.u3	V.E.G. President. There are a number of interesting and interesting times in the politics, both in the all - time campaign, and then at the Council, where each big issue runs second on the agenda of the council. Last night we agreed here at the General Act Act, where musicians are reimbursed 25% of the costs of recorded music in Iceland, the same applies to the law on reimbursement on filmmaking. Nothing good about saying, a respectable president, this will promote Icelandic music and Icelandic filmmaking and will hopefully attract extracurricular activities, just as the film is tested. Thus, in another form, I am convinced of more money than is offered by the State Fund, including innovation, a wide variety of employment opportunities, and, especially, lists. Similarly, we should look to the interests of established non-particical organizations, which here in many ways take the yoke from the authorities and save the tax of the common people. I'm a lover of sports, youth and teenage partners. There, tens of thousands of people do most of the volunteer work, a job that we should defend and promote. These activities need to be built, and these buildings must be maintained, and in many places these are social services that promote health, physical, and spiritual health. There, young ones learn discipline and practice, set goals, and have a self - image that will benefit them in a wide variety of ways in learning, playing, and working. This is at the same time, I appreciate, the cheapest, most powerful building and preemptive work we can do and support in a way that we support these articles, the recordings of music and filmmaking.
ParlaMint-IS_2016-10-12-169.u4	V.E.G. President. I'm glad that the results are in the case of the songing of electrical lines to the Backwaters. It is clear that the uncertainty that has existed over the past few days has had a very unpleasant and disturbing effect on the inhabitants of the Northern Parliament and the House of All. We are completely aware that at stake there is a work structure that is important to the area. At stake are the property of people who would have been greatly dejected if that assignment were to fail. At stake is the work of those who have at this moment's work because of building up the heavy equipment there will be. It's all about it. These are not little ones, and this is nothing that can be wiped off the table with one hand swing. It is the life of these people. It is not about a wealthy garden to shine. When people consider that such vehicles are more than others, let us also be aware that there is a tremendous and even greater contamination of the transport of tourists to the land. But what really matters is that the decision seems to be coming into this situation that will be successful for us and that this work structure will continue. That's what we celebrate here today. I hope we don't have to face another new thing coming up. It would be a huge shock to this community.
ParlaMint-IS_2016-10-12-169.u5	A respectable president. Iceland continues to struggle to see whether a small group will continue to take on much more than others, whether the fishing team and the Panamaate are still going to make more money at the expense of the others. The head of the Independence Party is not concerned about this position, but it is enough to increase the balance in society. Every day we see that the rich grow richer and more divided. Among these things, a respectable president, will be chosen for the freedom of a few to make money, for the benefit of natural resources, for the well - being, for the benefit of sick people, or for the freedom of the community of all to enjoy education, for the well - being, in order to enjoy health regardless of the economy.
ParlaMint-IS_2016-10-12-169.u6	A respectable president. It is only hope. paritaprevir Sæmundsson thinks it's crazy that the LIN case can't get through, huh? Clearly, a senator has not studied it well enough. This case was in trouble. A global and educational committee was underestimated that all calculations available were bound to some kind of magic. They were conning a world of Congress by saying that 85% of students would get out better. It was released by assuming that a single mother with two children on student loans would only remove from the school loan system equivalent to 115 of yours. K. in a month and would therefore reduce their total income by 190 you. K. per month. That was the basis of the bill. Similarly, there was no way for some students to take student loans, as students must. I have an example of an art student who goes to the LHI, where the semester costs 490 you. K. and then in a master's study in concerts where the semester costs 796 you. K. If he took a full staging loan, which is very natural, that is what students do now, and a school loan would be his payment per month about 30 yards. K. It would double for the current system. Is that great? Despite your 65. K.? This bill is a very good reason why we got up and said, "No, that's not good enough. They are breaking down certain equations, making sure that the rich get the strength and come out of college, make sure that students at parents'homes can come out of debt while those who have children pay the bill. Got it. A senator's Fairness? No, I don't think so either. As a result, I resisted this bill and am very comfortable with it.
ParlaMint-IS_2016-10-12-169.u7	A respectable president. I would like to, perhaps, in the final talk I give in this talk, to speak only about consumers. I led a group as Minister of Internal Affairs who was to propose a Senate hearing on consumer matters. Among them were members of all categories here at the council. We have concluded that I should rightly hope that the next Minister of the Interior will step out of the drawer and enforce. We bring up a number of things that will improve consumer rights, and most of them have been identified in previous times, even in reports since 2007, that can be done so far back. One of the things we recorded was to collect special loans on a consumer loan, but now we're just about to agree here at Congress that the loan rate is no longer allowed to be borrowed from the loan level, end up -- a respectable president, I'm sorry that I crashed - it doesn't hurt. A loan management may not necessarily be a percentage of the money. For example, now I see that the Lands Bank has begun to advertise, he is not going to use it anymore. Then you might reason: There is now legislation that is developing, has been called for years, and even for decades, and when the legislatures finally decide to do something, the companies respond. You see, the market is not the solution to everything. For example, when the European Union saw that the telecommunications companies were charging their clients for ridiculously high sums of radio phone calls, legislation was placed in which they said: The market is not capable of this, we need to respond. We'll put a roof on the amount of money the companies can collect. It is very important that there are groups here at the council that put the consumer issues first and, when needed, intervene. [[The president calls.]] The market won't take care of everything by itself.
ParlaMint-IS_2016-10-12-169.u8	A respectable president. From the time I mentioned from the General's symposium what I considered to be a violation of human rights in a five - year - old boy whom the Norwegian authorities called after being transferred to Norway, I have received a number of mails that reveal that there is a pot broken in the line of communication between parents and children. Children will be in the midst of their parents, who are unable to get along in the rights of society, and one parent blocks it and hinders the other parent from having contact with their children. Children's protection laws and child law make it clear that the Lawgiver or the government should react. I believe that the law we have to follow requires better to ensure that adults don't take a conflict between children, that people try to ensure that laws can come in there and solve such matters for the child, not about the differences between adults, but about the differences that cause the child not to enjoy associating with his parents, mother, or father's family. It matters, Mr. Honorable President. We need to fix this. A respectable president. Because I'm most likely speaking here as a senator for the last time in the council, I want to thank you very much. I have had the privilege of sitting here as a senator since 2007. We've been going through the sour and sweet in this institution at the time. I've made many good, trustworthy friends. I wish the Allied Parliament, its employees and the Agency itself, especially a success in the years to come and say, "Thank you for me.
ParlaMint-IS_2016-10-12-169.u9	The president would like to say good-bye and wishes for members of the council and thank you. A senator for a very good cooperation for many years, especially during this terms of interest. A senator has been president of the Party of Independence. As president of Congress, I've had very good cooperation with it, as do other council presidents. Of course, trying to bring things together is a real challenge for all members of the council, especially members of the government. Hv. A senator has done so with deep respect and has proved himself to be, as everyone knows, a successful senator when she has handled a case that she has handled, and there are several.
ParlaMint-IS_2016-10-12-169.u10	A respectable president. It is vital that members of Parliament speak clearly in big interests. How amazing it is to have witnessed how the government's situation has opposed very big interests, even here at the end of a council! It's important that we don't go in our hideouts, we talk straight out. In fact, they have been getting in the way of pension rights, one of the most equal cases ever presented in recent years. They've been getting in trouble for losers in the community. They have stopped the efforts of the General Assembly to pay for the work to the north of Bakka. They're getting in the way of a case about sea-and-grain development on the Brefjörður known as a rural community, including for building up between 30 and 40 people in Stykkisolmi. They're getting in the way of the student loan bill, changes in it, in the frame plan, with the consequences of electrical power building on the West, and electrical supply on the Skaga or on GDP. They've stood here against taxes. It is good for voters to first understand the emphasis of these categories in the aesthetics that come from them. Whether you are young or old, whether you're in a job market or you're an employer, what interests are being cared for in this exercise? A respectable president. I'd like to mention only the remarkable results that have been made new in the economy during this most ideal period. Secretary of the trade. We've changed taxes and simple regulations around innovation. This year, we have increased contributions to Technical Development Funds by 975 million making contributions to 2.5 billion. There has been a revolution during the season when it comes to professional emphasis. During some discussion, it is held that the two governmental groups represent a major policy, which is entirely false. [[The president calls.]] This is revealed in all of our data, all our work and what is explained by the emphasis that has been placed on promoting the innovation of the economy during this term. [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u11	President. I'd like to start by correcting that as a good thing. paritaprevir Jón Gunnarsson just said that the government was responsible for the failure of the government to solve the agreement to equalize the rights of the country's pension fund. It just doesn't have anything to do with the smaller parts. This has all to do with the way the law was written and how those who were negotiating with the government experienced a betrayal. You should be right, Mr. President. I would like to draw attention to the fact that it is often the case as children of inmates, children born here on land, and children who take refuge here are suddenly sent out of the country. All too often reports are received that people, and especially children, who have taken refuge here and have waited a very long time for the decision, receive a call from the police station that they should be on hand to excommunication. In view of the fact that children's interests are never put first, I don't think it's scary. The children are never asked. Children's manager has, among other things, criticized the circumstances of children who come to the country in search of international protection and say that the treatment conflicts with the United Nations Children's Convention. According to him, children should always have the right to express themselves before making decisions about them, but in most cases children will have the opportunity to express themselves before making a decision. I think it's a problem for us. My heart hurts to speak repeatedly to people who live with children under impossible circumstances. Now it's time to expel a pregnant woman from the country, a woman who bore a baby here, and it understands only English. And they're being sent to Nigeria. Enough of the inhumanity around here, don't you think?
