ParlaMint-IS_2016-01-28-69.u1	There are: Social and Housing Ministers and Environment and Resource Ministers.
ParlaMint-IS_2016-01-28-69.u2	A respectable president. Now, the inquiry is not relevant to the Minister of Social Affairs and Housing, but as associate minister of the Northlands. I don't think it's often that the national co-work minister is asked questions in question class. I think there's a good reason to have words at the top. Minister who responds in the power of this office this time because of new illegal legislation in Denmark. It's only a matter of controversial legislation. I would say that it is precarious based on all sorts of opinions about human rights and humanity that we would like to adopt, especially as a northern nation. The legislation assumes that the property of refugees and refugees can be confiscated, and it contains many other laws that are very inhuman from my standpoint and that of many others. I think it's a road to a certain baseline Northland community service with it. So I want to ask the highest. Minister how she sees this law in Dana's life. Of course, we respect the national and national rights of self - determination to establish our own laws, but we northern nations have repeatedly defined us as one body based on values and attitudes toward human rights. That's why we have this office, the head of staff of the Northlands. The Ministers of Collaboration, the Ministers of the United States, and we have a coalition in the form of the Northern Council. I'd like to ask the highest. Minister if it has expressed objections to these Dana legislations and if it has not done so, whether it intends to do so and whether it feels that it is the right thing for me to believe that there are some baseline values that have come here to unite the northern nations. That is where I talk about the attitude toward human rights and about the kind of humanity that we are trying to develop.
ParlaMint-IS_2016-01-28-69.u3	A respectable president. Thank you for this inquiry. The senator's words are true. I think this is the first time I've ever been asked a question as a fellow minister of the northern countries. The situation in Europe as it has been in recent months is something we are deeply concerned about. The news that has been received since Denmark is something that is truly reason to discuss here and how people have been responding to this assignment. What we have heard most in the media around here is just about to take money from the inmates. However, there is another matter that I would also like to mention that I am deeply concerned about, but there are limitations on family unity and the effects it can have on the inmates who receive the status of refugees and their chances of adjusting in Denmark or in another country where they get asylum. We have seen that it is difficult for an individual to start a new life if he is deeply concerned about the lives of his family. We have thus been thinking about what we can do to facilitate family unity in Iceland. There is a meeting next week in Finland, including will consider how we can expand and improve cooperation with the northern countries, which are involved in helping refugees and immigrants in general to enter the norse community. As far as I can see, that proposal is based on exactly the Norwegian values mentioned by the senator, but I certainly believe this case will be discussed at that meeting as well. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u4	A respectable president. I hope to the highest. Ministers present the clear protests of Iceland, and hopefully the government that it deals with that thought. I think northern society is most likely a matter of sharing values, and we share attitudes and emphasis on human rights in this cooperation. We are democracies. These are open societies. I think it's to confiscate refugees' property completely contrary to these values and as much as the highest. A minister mentions the family regulations, much more rigid arrangements for family unity. I'll tell you right here, our deputy in the Northern Union, why. paritaprevir Róbert Marshall has presented a clear stand for the future of Birts against these legislation in cooperation with groups in the Northern Council. [[The president calls.]] There are two groups that are our sisters, they are now the same sisters, and they are sisters of the Agency. Venstre supports this, but Radikale Venstre's been on his feet.
ParlaMint-IS_2016-01-28-69.u5	A respectable president. I once again thank the senator for the encouragement. It's as if I've given a tremendous task, as indicated by the proposal that is being proposed by the Norwegian Minister. It shows that this is not something we should assume to be just happening right now, but, as I have said repeatedly, we are looking at a changed world picture, a changed reality. This is what they're discussing at European level. This is being discussed within the Norwegian Ministerial Committee and I firmly assume that, of course, members of the Parliament will discuss this, not only the reactions we see now in Denmark but also in other countries and how it will be best to process them. This will be done on the basis of the emphasis the senator here referred to, on the basis of what has characterized our Norwegian communities, normological values, on the basis of respect for human rights, and on how we can support each individual who comes to us and those who live in our society in the best possible way. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u6	A respectable president. I'd like for this occasion to agree with the last thing. A senator and an illuminator of the measures taken in Denmark, and in particular a concern with the Northland co-work minister of the state of which the Norwegian passport partnership, the cooperation of the borderless North countries, has arrived in the year 2016. I don't know. I'm here to ask the highest questions. Minister of affairs, housing matters in Iceland, and measures in them. Sadly, though, the remainder of this terms has not been so much mixed up in them and is now at the end of it, it should be delighted that they have reached the highest level of bills in this country. Minister for action on these topics. There are positive things to support my view. However, it is a concern that what has been fine in housing, large and strong communities such as the National Social Services and Social Services in Reykjavík, the people at a housing market, who have been able to provide resources for thousands of people who have needed safe housing, are concerned about the issues and the premieres. Social Services strongly opposes the general bill because there is a much greater need for funding from the European Commission, but social institutions call attention to the time to recruit stock loans, but they don't expect any subsidies this year. They are particularly concerned that stocks may not be funded this year and that they will not make loans, and that this will result in a hole between the old and new system, an increase in the present year's problem. [[The president calls.]] I'm asking the highest. Minister if she intends to take some action for this reason.
ParlaMint-IS_2016-01-28-69.u7	A respectable president. Thank you. paritaprevir Helgi Hjörvar for the query. In terms of the individual organizations mentioned in the inquiry, it is particularly important to them in the primary projections of the general apartments where it is certain that these communities will not have to change their activities in any way. They can continue to work in either part - time or as an automaton, but if they choose, they can continue to work in a new arrangement, a general residence society, with the possibility of taking along the funding they have obtained at 3.5% into these new communities. However, they can continue to function as they have so far. The societal community is the society that has, like, what has. A senator knows, be in the greatest project of social housing ever since a collapse. For a while, I think it was the only one in Reykjavík who built a house. I am absolutely convinced that when the company examines the added support of the founding process, where we're talking about 18% standard payment into the club plus 12% co-finances that are also required by their rural communities, and after that, in turn, they're going to make a substantial contribution. Homes have not increased their apartments but have plans to do so. The same is true, the law turns to the fact that the company can continue to operate, and we are working hard at the Ministry to ensure that as soon as the U.S. Council is finished, we can go to advertise for sponsorship. I have encouraged my rural society to prepare for this, since the Council has delivered 1.5 billion for this year's provision. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u8	A respectable president. It's the highest. Minister to say that the Board of Social Services merely misunderstands the bill? Then I'm concerned because, as the Minister says, the Social Services is among the few people who have worked in social facilities in recent years. She has made new resources and has built with great variety. I'm asking the minister: Is this new arrangement worse for the student camp than it was already? Then I'd like to ask the Minister for Social Relations. Is it not to the minister's schedule, if not provided solids this year, to put aside contributions to subsidize growth, such as was in the earlier system, so that in the present year there is no greater problem because neither systems work, nor are the old, nor are the new ones being activated? Enough is the problem, though.
ParlaMint-IS_2016-01-28-69.u9	A respectable president. I emphasize that the bill is now being treated by the welfare committee. The management committee is reviewing the comments that have been received on the subject, and of course they will be considered as much as possible. As I have stressed, this contribution is related to collective agreements and a tremendous amount of consultation has been made since everyone had to contribute something and give something left to work together on the bill. What I would like to mention, however, in particular about the apartment loan fund and the formalities the fund has given is that we will meet with him on Monday and review the promises made by the fund. I expect that conclusion to come, so we can make sure that these communities do not have to worry about the new system, any more than any other organization or those who are interested in increasing the number of apartments and supporting the least. We're adding much support, and we're going to grow in the next four years by 2,300 apartments when it comes to the new social network and hopefully more when we look further into the future. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u10	A respectable president. I agree with the members of Congress who have expressed their hatred for more recent legislation at the Danish Parliament, which is least said to be a tragic conclusion. But I would like to direct a question to the highest. The social and housing minister for the United Nations Children's Fund, published last week and presented striking results. 6,100 children aged one to 15 years suffer a physical shortage in this country, of which less than 1,600 children suffer a serious shortage. The most important factors are parental education, parents'job involvement, and housing status. I'd like that at the highest. Minister, who has already responded to the results of the report by saying that they will strengthen her in their own knowledge of the basics in the housing and in their actions which are not clear whether the agreement will remain as compared to the data received through the bills, that she will further explain her actions and responses to the results of the UNICEF report and exactly what her actions will be in behalf of children suffering from a material shortage in Iceland.
ParlaMint-IS_2016-01-28-69.u11	A respectable president. Thank you. paritaprevir Rósa Brynjólfsdóttir Brynfjörðurdóttir for this inquiry. I think if anything happens. A senator would be interested in why we discussed this in detail, but we can do so at this brief, unprepared time of inquiry. I would like to use the opportunity to thank the United Nations Children's Fund especially for this initiative, but first of all, I would like to point out that what the Children's Fund published here is in the evidence that has been performed in cooperation with the Ministry and that has been published in one or another in the so - called sociology that had been introduced in the past and the initiative of a former senator and Minister of the Guðbjartur Son of Hannesson. The effects of the crisis are very clear. On the one hand, statistics are being compared at the beginning of 2009 and then at the beginning of 2014, respectively, over a five - year period. We see the effects of the crisis on our children very clearly. What is very clear, by digging a little deeper, is that even though we have usually seen that these are children of single parents, the situation is very important, and then the position that the person is in the rent due to limited income is very important. As a result, the tenet market is a fundamental factor in strengthening the social tenant pool system that we are doing with a bill on the general apartments where we greatly increase the donations so that more apartments can be built. Then there are the changes we are making in our housing repairs. Inside these are also growing funds for the rural communities to enter the special mortgages that are left with them in order to be supportive of those who especially need it. [[The president calls.]] These are the actions I have pointed out, but in addition to this, we hope to soon bring in a new family policy that has been closely cooperated with various free organizations, which are further measures to meet these children.
