Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Sf	Samfylking	-	Centre-left	KristjanMoller	Möller, Kristján L.	M	1953	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Sf	Samfylking	-	Centre-left	KristjanMoller	Möller, Kristján L.	M	1953	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Sf	Samfylking	-	Centre-left	KristjanMoller	Möller, Kristján L.	M	1953	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ArniArnason	Árnason, Árni Páll	M	1966	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ArniArnason	Árnason, Árni Páll	M	1966	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u11	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u12	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u13	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	OlofNordal	Nordal, Ólöf	F	1966	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u14	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u15	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	OlofNordal	Nordal, Ólöf	F	1966	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u16	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	BrynhildurPetursdottir	Pétursdóttir, Brynhildur	F	1969	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u17	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u18	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	BrynhildurPetursdottir	Pétursdóttir, Brynhildur	F	1969	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u19	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u20	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ValgerdurBjarnadottir	Bjarnadóttir, Valgerður	F	1950	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u21	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	GunnarSveinsson	Sveinsson, Gunnar Bragi	M	1968	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u22	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ValgerdurBjarnadottir	Bjarnadóttir, Valgerður	F	1950	
ParlaMint-IS-en_2016-02-01-70	ParlaMint-IS_2016-02-01-70.u23	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-70, 01.02.2016.	2016-02-01	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	GunnarSveinsson	Sveinsson, Gunnar Bragi	M	1968	
