Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2020-08-27-S2-commons	ParlaMint-GR_2020-08-27-S2-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 195, 2020-08-27	2020-08-27	Unicameralism	18	1	-	195	-	COVID	English	Chairperson	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΚΩΝΣΤΑΝΤΙΝΟΠΟΥΛΟΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΟΔΥΣΣΕΑΣ	Kōnstantinopoylos, Odysseas	M	-	
ParlaMint-GR-en_2020-08-27-S2-commons	ParlaMint-GR_2020-08-27-S2-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 195, 2020-08-27	2020-08-27	Unicameralism	18	1	-	195	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΜΠΟΥΡΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΘΑΝΑΣΙΟΣ	Mpoyras, Athanasios	M	-	
ParlaMint-GR-en_2020-08-27-S2-commons	ParlaMint-GR_2020-08-27-S2-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 195, 2020-08-27	2020-08-27	Unicameralism	18	1	-	195	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΜΠΟΥΡΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΘΑΝΑΣΙΟΣ	Mpoyras, Athanasios	M	-	
ParlaMint-GR-en_2020-08-27-S2-commons	ParlaMint-GR_2020-08-27-S2-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 195, 2020-08-27	2020-08-27	Unicameralism	18	1	-	195	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΜΠΟΥΡΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΘΑΝΑΣΙΟΣ	Mpoyras, Athanasios	M	-	
ParlaMint-GR-en_2020-08-27-S2-commons	ParlaMint-GR_2020-08-27-S2-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 195, 2020-08-27	2020-08-27	Unicameralism	18	1	-	195	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΜΠΟΥΡΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΘΑΝΑΣΙΟΣ	Mpoyras, Athanasios	M	-	
ParlaMint-GR-en_2020-08-27-S2-commons	ParlaMint-GR_2020-08-27-S2-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 195, 2020-08-27	2020-08-27	Unicameralism	18	1	-	195	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-08-27-S2-commons	ParlaMint-GR_2020-08-27-S2-commons.u7	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 195, 2020-08-27	2020-08-27	Unicameralism	18	1	-	195	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-08-27-S2-commons	ParlaMint-GR_2020-08-27-S2-commons.u8	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 195, 2020-08-27	2020-08-27	Unicameralism	18	1	-	195	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-08-27-S2-commons	ParlaMint-GR_2020-08-27-S2-commons.u9	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 195, 2020-08-27	2020-08-27	Unicameralism	18	1	-	195	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-08-27-S2-commons	ParlaMint-GR_2020-08-27-S2-commons.u10	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 195, 2020-08-27	2020-08-27	Unicameralism	18	1	-	195	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-08-27-S2-commons	ParlaMint-GR_2020-08-27-S2-commons.u11	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 195, 2020-08-27	2020-08-27	Unicameralism	18	1	-	195	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
