Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2020-09-11-S1-commons	ParlaMint-GR_2020-09-11-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 3, 2020-09-11	2020-09-11	Unicameralism	18	1	-	3	-	COVID	English	Chairperson	MP	notMinister	MéRA25	European Realistic Disobedience Front	Opposition	Left	ΣΑΚΟΡΑΦΑ_ΗΛΙΑ_ΣΟΦΙΑ	Sakorafa, Sofia	F	-	
ParlaMint-GR-en_2020-09-11-S1-commons	ParlaMint-GR_2020-09-11-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 3, 2020-09-11	2020-09-11	Unicameralism	18	1	-	3	-	COVID	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΚΕΓΚΕΡΟΓΛΟΥ_ΑΛΕΞΑΝΔΡΟΥ_ΒΑΣΙΛΕΙΟΣ	Kegkerogloy, Vasileios	M	-	
ParlaMint-GR-en_2020-09-11-S1-commons	ParlaMint-GR_2020-09-11-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 3, 2020-09-11	2020-09-11	Unicameralism	18	1	-	3	-	COVID	English	Chairperson	MP	notMinister	MéRA25	European Realistic Disobedience Front	Opposition	Left	ΣΑΚΟΡΑΦΑ_ΗΛΙΑ_ΣΟΦΙΑ	Sakorafa, Sofia	F	-	
ParlaMint-GR-en_2020-09-11-S1-commons	ParlaMint-GR_2020-09-11-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 3, 2020-09-11	2020-09-11	Unicameralism	18	1	-	3	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	ΠΑΝΑΓΙΩΤΗΣ_ΤΣΑΚΛΟΓΛΟΥ	Tsaklogloy, Panagiōtīs	M	-	
ParlaMint-GR-en_2020-09-11-S1-commons	ParlaMint-GR_2020-09-11-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 3, 2020-09-11	2020-09-11	Unicameralism	18	1	-	3	-	COVID	English	Chairperson	MP	notMinister	MéRA25	European Realistic Disobedience Front	Opposition	Left	ΣΑΚΟΡΑΦΑ_ΗΛΙΑ_ΣΟΦΙΑ	Sakorafa, Sofia	F	-	
ParlaMint-GR-en_2020-09-11-S1-commons	ParlaMint-GR_2020-09-11-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 3, 2020-09-11	2020-09-11	Unicameralism	18	1	-	3	-	COVID	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΚΕΓΚΕΡΟΓΛΟΥ_ΑΛΕΞΑΝΔΡΟΥ_ΒΑΣΙΛΕΙΟΣ	Kegkerogloy, Vasileios	M	-	
ParlaMint-GR-en_2020-09-11-S1-commons	ParlaMint-GR_2020-09-11-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 3, 2020-09-11	2020-09-11	Unicameralism	18	1	-	3	-	COVID	English	Chairperson	MP	notMinister	MéRA25	European Realistic Disobedience Front	Opposition	Left	ΣΑΚΟΡΑΦΑ_ΗΛΙΑ_ΣΟΦΙΑ	Sakorafa, Sofia	F	-	
ParlaMint-GR-en_2020-09-11-S1-commons	ParlaMint-GR_2020-09-11-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 3, 2020-09-11	2020-09-11	Unicameralism	18	1	-	3	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	ΠΑΝΑΓΙΩΤΗΣ_ΤΣΑΚΛΟΓΛΟΥ	Tsaklogloy, Panagiōtīs	M	-	
ParlaMint-GR-en_2020-09-11-S1-commons	ParlaMint-GR_2020-09-11-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 3, 2020-09-11	2020-09-11	Unicameralism	18	1	-	3	-	COVID	English	Chairperson	MP	notMinister	MéRA25	European Realistic Disobedience Front	Opposition	Left	ΣΑΚΟΡΑΦΑ_ΗΛΙΑ_ΣΟΦΙΑ	Sakorafa, Sofia	F	-	
ParlaMint-GR-en_2020-09-11-S1-commons	ParlaMint-GR_2020-09-11-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 3, 2020-09-11	2020-09-11	Unicameralism	18	1	-	3	-	COVID	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΚΑΤΡΙΝΗΣ_ΙΩΑΝΝΗ_ΜΙΧΑΗΛ	Katrinīs, Michaīl	M	-	
ParlaMint-GR-en_2020-09-11-S1-commons	ParlaMint-GR_2020-09-11-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 3, 2020-09-11	2020-09-11	Unicameralism	18	1	-	3	-	COVID	English	Chairperson	MP	notMinister	MéRA25	European Realistic Disobedience Front	Opposition	Left	ΣΑΚΟΡΑΦΑ_ΗΛΙΑ_ΣΟΦΙΑ	Sakorafa, Sofia	F	-	
