Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Regular	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΒΑΡΒΙΤΣΙΩΤΗΣ_ΙΩΑΝΝΗ_ΜΙΛΤΙΑΔΗΣ	Varvitsiōtīs, Miltiadīs	M	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Regular	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΒΡΥΖΙΔΟΥ_ΠΑΝΑΓΙΩΤΗ_ΠΑΡΑΣΚΕΥΗ	Vryzidoy, Paraskeyī	F	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Opposition	Centre-left to left	ΑΜΑΝΑΤΙΔΗΣ_ΓΕΩΡΓΙΟΥ_ΙΩΑΝΝΗΣ	Amanatidīs, Iōannīs	M	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΚΕΦΑΛΙΔΟΥ_ΔΗΜΗΤΡΙΟΥ_ΧΑΡΟΥΛΑ_ΧΑΡΑ	Kefalidoy, Charoyla	F	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Regular	MP	notMinister	K.K.E.	Communist Party of Greece	Opposition	Far-left	ΣΥΝΤΥΧΑΚΗΣ_ΔΑΝΙΗΛ_ΕΜΜΑΝΟΥΗΛ	Syntychakīs, Emmanoyīl	M	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Regular	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΧΗΤΑΣ_ΑΧΙΛΛΕΩΣ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Chītas, Kōnstantinos	M	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΚΑΚΛΑΜΑΝΗΣ_ΜΙΧΑΗΛ_ΝΙΚΗΤΑΣ	Kaklamanīs, Nikītas	M	-	
ParlaMint-GR-en_2020-05-19-S1-commons	ParlaMint-GR_2020-05-19-S1-commons.u14	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 141, 2020-05-19	2020-05-19	Unicameralism	18	1	-	141	-	COVID	English	Regular	MP	notMinister	MéRA25	European Realistic Disobedience Front	Opposition	Left	ΑΠΑΤΖΙΔΗ_ΚΥΡΙΛΛΟΥ_ΜΑΡΙΑ	Apatzidī, Maria	F	-	
