ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u1	73. Oral inhalation
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u2	So today, with the participation of the verifiers, we have drawn the order of Members in which they will perform and submit oral interviews, first to Prime Minister Bohuslav Sobotka or to the Government of the Czech Republic, from 14:30 to 16:00, and then to other members of the government from 16:00 to 18:00. The lists of Members according to the winning order have been distributed to you in the benches. I am now giving the floor to Mr Adolf Beznosk, who was drawn in the first place to give an oral interview to the Prime Minister of the Czech Republic, Bohuslav Sobotka. A Member of the Antonín Seďa will be ready. Please, Mr. Ambassador.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u3	Good afternoon, ladies and gentlemen, Madam Vice-President, Prime Minister, members of the government. I have a brief question for Prime Minister Sobotka. In the media there is information about special privatisation of OKD. According to all expert opinions held by the Police of the Czech Republic, the Corruption Detection Unit, the correct price should have been about 7.5 billion. Crowns. Really, the business took place in 4.1 billion. CZK, which is likely to have been damaged by a state worth 3.4 billion. Crowns. At the time of privatisation in 2004, today's prime minister was a member of the Presidium of the National Property Fund. Among other things, the transfer included a transfer of 44,000 flats. The average price of that one apartment is 40 grand. Crowns. Two questions for the Prime Minister. First, if he considers the privatisation to be right, and if not completely, he will produce any personal consequences, at least political, and secondly, whether the price of one apartment of 40 thousand. The Czech koruna considers that it is appropriate to take the 2004 prices as well. Thank you.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u4	Thank you. The Prime Minister Bohuslav Sobotka has the floor.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u5	Thank you. Madam Vice-President, honourable Member, I think it is necessary to correct your claim that the privatisation of the State's residual stake in OKD in 2004 included the transfer of flats. There was no transfer of apartments at the time. Apartments unfortunately - and I stress for the second time: unfortunately - were introduced into OKD by former Minister of Industry and Trade Vladimír Dlouhý in the early 1990s. [[14.40 hours]] It was a wrong decision because OKD should never have been privatized including the housing fund and the housing fund should have been transferred to cities and municipalities. Unfortunately, Vladimír Dlouhý made a wrong decision back in 1990 or 1991, and Klausův' government, in which your political party, ODS, was also involved, launched the privatisation process of OKD. And maybe I'll surprise you, there's been a wild privatization of OKD, and the state has lost 51 percent of its shares. I want to ask you, do you happen to know how much the state got for the 51 percent of the shares? In case you don't know, I'll tell you, the State didn't get a penny for 51 percent of the shares. Not a penny! How is it possible that the police are still not investigating this? How is it possible that no one evaluated the role of those politicians who caused the state for 51% of the shares to lose its controlling majority and did not receive a single crown? In 2004, the government of which I was a member had already sold shares in an undertaking in which it had no control. She was selling about 45 percent of the shares. For these shares she received a market price of CZK 4.1 billion. The fact that this was a market price confirmed not only the Office for the Protection of Competition, but above all the European Commission, which examined the entire transaction and found that there was no public aid in the sale of the minority stake of the State in OKD. And as for apartments. The apartments have been part of OKD since the early 1990s. Nobody cared about the tenants. The first government to take care of the situation of tenants of OKD was only our government in 2004, which first established the pre-emptive right for tenants of OKD flats in the privatisation contract. The government then committed the acquirer not to sell these flats to anyone other than the tenants. And this is a permanent condition that is part of the privatisation agreement, and the government, too, must insist that the conditions of the 2004 privatisation agreement be fulfilled and complied with. And maybe one last remark in response to your interpellation. The ODS is undoubtedly a party that knows a lot about privatization of OKD. After all, your new Vice-President, Mr Tošenovský, undoubtedly a new face in Czech politics, knows more about the OKD than all of us here in the Chamber of Deputies together, because Mr Tošenovský, Vice-President of the ODS, sat in the Supervisory Board of OKD from 2005 to 2009, after privatisation, was even Vice-President of the Supervisory Board of OKD and only in 2007 and 2008 he received nearly CZK 5 million for sitting in this Supervisory Board from the owners of OKD. Your party vice-chairman. So I recommend if you have any further questions, please contact Mr. Tošenovský. It might also be worth asking why Mr Bakala put CZK 15 million on the Civil Democratic Party before the 2010 elections as an expression of support for its policy and its election campaign. Thank you.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u6	I thank the Prime Minister and ask the Member if he wants to ask the Prime Minister an additional question. It's not like that. I therefore now give the floor to Mr Antonín Seďa. Please, Mr. Ambassador.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u7	Thank you. Madam Vice-President, Prime Minister, there is high unemployment and fear of losing employment over the biggest problem at the moment. Your government has accused itself of one of the objectives of increasing employment and supporting investment. For a longer time, information on the construction of two distribution centres of the Amazon online shop, namely in Brno-Slatin and in Dobrovíz u Prahy. These investments could bring about 2,000 new jobs. However, there has recently been speculation as to whether these investments will be at all, because there have been problems with the transport connections of these warehouses to transport infrastructure, so as to make the environment of the citizens as little as possible difficult as possible. I would therefore like to ask, Prime Minister, how specifically will the government contribute to supporting this investment. Thank you for your answer.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u8	Thank you. The Prime Minister Bohuslav Sobotka has the floor. Please, Prime Minister.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u9	Thank you. Let me say, in response to this interpellation, that it is naturally not just a matter of investment by Amazon in the Czech Republic. The new government will monitor very closely and closely all the interesting investors who are interested in investing in our country and in promoting the creation of new jobs. The problem is that in recent years the Czech Republic has lost the lead it had in the region of Central Europe. We had CzechInvest here, which was a model for all government agencies throughout Central Europe in terms of the quality of its activities. This is all long gone. I think that the task of the new government should be to give a clear signal to those who want to invest in the Czech Republic that our country is ready. That she is ready to communicate with businessmen and that she is ready to provide them with the necessary service. It is also necessary to realise that we are moving in a competitive environment. Our direct competitors are countries in the region, Slovakia, which are already paying the euro, Hungary or Romania, Bulgaria, which have lower labour costs than in the Czech Republic, but naturally worse infrastructure. As far as Amazon's investment is concerned, there is a chance of building two distribution centres. There's a chance of employing maybe 3,000, maybe 4,000 people at the top. But since these are distribution centres, naturally they have a significant impact on transport, on regional transport where they will be established and built. Therefore, the main issue identified by the State, and I would like to note that the State participates in these negotiations through the CzechInvest Agency and through the Ministry of Industry and Trade, concerns transport infrastructure. As far as the municipality of Dobrovíz in Central Bohemia is concerned, it is the construction of a bypass communication that would carry transport connected with the operation of the distribution centre outside the municipality. A similar problem is in Brno, where it is a question of a highway ramp that would directly connect the industrial zone in which this investment is to be created with the D1 motorway. In both of these cases, state institutions offer an agreement, offering a memorandum which also contains State synergies. As far as Brno is concerned, synergies are the plan for the construction of the connection between the D1 motorway and the industrial zone in Slatina, where Amazon's investment is to be realised. As far as Dobrovíz is concerned, the municipality has not yet given an exact consent to the terms and conditions as proposed. A new meeting of the council in Brno is also expected. I want to assure you that the government will monitor the matter closely through the relevant institutions and ministries. We are ready to help make these investments in the Czech Republic not only for their own sake, but also to send out a clear signal that the Czech Republic is ready again for serious negotiations with investors who will come to support our economy, create new jobs and participate in the country's economic growth. So much for the issue of Amazon's investment very briefly. At this point, I cannot clearly answer you the question of whether the negotiations will be successfully completed, because this does not depend solely on the will of the state. If this mattered only to the will of the Czech Republic, then I can say: Yes, the Czech Republic is ready to agree, to provide suitable conditions. But now it depends on the decision of the competent authorities. This means the municipal council of Dobrovíz, it also depends on the decision of the city council in Brno and now the government has to wait for the opinion of the self-governing authorities. If the position is positive, if there is a chance of reaching a final agreement, then state organisations and institutions are ready to contribute to the final agreement. Thank you.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u10	I thank the Prime Minister and ask the honourable Member if he wants to fill in the question. Please.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u11	Thank you for your answer. Prime Minister, we really need to cooperate and find a consensus with the authorities. I would have one more specific request concerning the Zlín Region, because you know that in the past the Zlín Region has invested with the aid of state subsidies to the industrial zone in Holešov. She has a lot of problems at the moment. [[14.50 hours]] Therefore, I would like to ask you to cooperate to resolve these problems, especially for its transport connections to the nearby D1 motorway, because I believe it is a pity that this investment, which it has cost, if I remember vaguely, CZK 1.6 billion, does not allow 100% use to increase employment in the region. Thank you for your help.
