Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.1.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	Independent	Independent	-	-	MuroXavier	Muro i Bas, Xavier	M	1905	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.2.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	ERC	Esquerra Republicana de Catalunya	-	Centre-left to left	MaragallErnest	Maragall i Mira, Ernest	M	1943	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.3.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-CCP	Grup Parlamentari de Catalunya en Comú-Podem	Opposition	Left	RibasRut	Ribas i Martí, Rut	F	1990	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.4.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	ERC	Esquerra Republicana de Catalunya	-	Centre-left to left	MaragallErnest	Maragall i Mira, Ernest	M	1943	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.5.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	JuntsPelSí	Junts pel Sí	-	-	GomézGerard	Gómez del Moral i Fuster, Gerard	M	1989	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.6.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	ERC	Esquerra Republicana de Catalunya	-	Centre-left to left	MaragallErnest	Maragall i Mira, Ernest	M	1943	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.7.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Centre-right	ArrimadasInés	Arrimadas García, Inés	F	1981	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.8.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	ERC	Esquerra Republicana de Catalunya	-	Centre-left to left	MaragallErnest	Maragall i Mira, Ernest	M	1943	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.9.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Centre-right	ArrimadasInés	Arrimadas García, Inés	F	1981	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.10.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	ERC	Esquerra Republicana de Catalunya	-	Centre-left to left	MaragallErnest	Maragall i Mira, Ernest	M	1943	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.11.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	-	Centre-right to right	RodríguezSanti	Rodríguez i Serra, Santi	M	1964	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.12.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	ERC	Esquerra Republicana de Catalunya	-	Centre-left to left	MaragallErnest	Maragall i Mira, Ernest	M	1943	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.13.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	-	Centre-right to right	RodríguezSanti	Rodríguez i Serra, Santi	M	1964	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.14.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	ERC	Esquerra Republicana de Catalunya	-	Centre-left to left	MaragallErnest	Maragall i Mira, Ernest	M	1943	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.15.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-PSC-UNITS	Grup Parlamentari Socialistes i Units per Avançar	Opposition	Centre	IcetaMiquel	Iceta i Llorens, Miquel	M	1960	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.16.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	ERC	Esquerra Republicana de Catalunya	-	Centre-left to left	MaragallErnest	Maragall i Mira, Ernest	M	1943	
ParlaMint-ES-CT-en_2018-01-17-0101	ParlaMint-ES-CT_2018-01-17-0101.17.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2018-01-17 0101.ana	2018-01-17	Unicameralism	XII Legislatura	-	1	1	-	Reference	English	Regular	MP	notMinister	GP-CCP	Grup Parlamentari de Catalunya en Comú-Podem	Opposition	Left	AlamanyElisenda	Alamany Gutiérrez, Elisenda	F	1983	
