Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e515	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e543	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e778	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e798	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e841	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e871	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e962	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e984	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00663	Gusenbauer, Alfred	M	1960	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e1053	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e1071	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_01604	Scheibner, Herbert	M	1963	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e1133	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e1151	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig, Eva	F	1969	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e1252	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-18-022-XXII-NRSITZ-00026	ParlaMint-AT_2003-06-18-022-XXII-NRSITZ-00026_d7e1318	Sitting Number 26, Legislative period XXII, Wednesday, 18. June 2003	2003-06-18	Lower house	Legislative period XXII	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
