ParlaMint-RS_2002-12-13-0.u25062	I have a proposal based on Article 137 that the debate in particular takes three minutes.
ParlaMint-RS_2002-12-13-0.u25063	I put to the vote the proposal of the People's Parliament of Hope Kolundgia, that the debate in particular takes three minutes. I ask the Members of Parliament to declare this proposal by a vote. I conclude the vote: for 100, against 58, there were no abstentions, there was no vote of 31, out of 189 MPs. I find that the proposal has been accepted, that the debate in particular takes three minutes. Also, I remind you that I have announced that after the debate, and using business opportunities, we will do today's vote. We're moving on to a search in detail. The First Amendment was submitted by MP Veroljub Arsic. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. The applicant of the amendment wants a word, please.
ParlaMint-RS_2002-12-13-0.u25064	Ladies and gentlemen of the People's Parliament, the SRS, in principle, continued its policy when discussing the 2002 budget. In this regard, inflation was 12% in 2002, and the growth of gross national income in 2003 will be 4%. So with this amendment, we wanted to take a more realistic picture of the situation in our incomes and to relieve taxpayers, or domestic industry. It has already been said repeatedly for this speaker that the excessive fiscal policy of a government can exclusively have negative consequences for both the economy and the living standards of citizens. Most of all, because the tax policy this government is pushing does not protect the domestic industry, as he wanted in his presentation yesterday, Mr. Prime Minister. Moreover, we have a situation where other goods of foreign origin, and most Croatian and Slovenian, have privileged status on the domestic market. This was primarily achieved through the closure of Serbian banks, by replacing Western European currencies in the euro, and where capital was accumulated, about two and a half billion euros in four sides of the bank, which pay our citizens an interest of between two and two and a half percent, and the debts mostly for Slovenian and Croatian goods, which our citizens, of these same banks, take and amount to 12 to 15% on an annual basis. Tax policy does not protect the domestic industry, although in the event that goods are not imported by the principle of reciprocity, i.e. goods of broad consumption, as far as we place them on foreign markets, so much can be accepted in Serbia as well. We are in fact financing business industries, capital outflows, foreign exchange outflows in the Croatian and Slovenian industries, most of which is credit for Mr. Mladjan Dinic and Zoran Djindjic.
ParlaMint-RS_2002-12-13-0.u25065	Is there an application for a word from authorized participants in the debate? Yeah. ) Here you are, president of the SRS parliamentary group National MP Vojislav Seselj.
ParlaMint-RS_2002-12-13-0.u25066	Ladies and gentlemen, this amendment by Parliamentarian Arsic has been very rationally made, because this amendment advocates a much smaller budget that would relieve the economy and give it a break. No, as Zoran Djindjic said yesterday, that nothing is charged for two years, so that it develops, and that budget users die during that time. No, it's that what's most important for the state is to support from the budget 145 billion dinars is enough for pensions, for health care, for education, for the state's apparatus. So make savings in all budget items. We calculated yesterday, if only savings were made under these contracts of yours, special contracts, so that it would be the amount of half the 2000 budget. It's so irrational and it's so gross. Yesterday the ministers were trying to explain. Gašo Knezevic comes out and explains for nearly 300 million dinars, that he organizes seminars, scientific gatherings, symposiums, this, that. It's just a waste of money. He wants to requalified all teachers, all teachers, all teachers. How? He's giving them ideological political education. He's not gonna teach them anything new, except he's planning to brainwash them. So those savings are possible. We plead to save and achieve these, to dissipate taxpayers, and that the state, while the economy is in crisis, only funds what is really necessary. When you recalculate all expenditure items in the budget, you will see that in each item there is an opportunity to achieve savings. Item by item. They're very much in principle. You were supposed to make a draft budget law according to that final report of yours, the final bill for 2000, so that exactly what is financed, not a 300 million dinar item, would be taxed. It doesn't even say what that money's for. Covic's billion-and-300-million-dollar item doesn't even say what the money is for. Then we'll see, when we get there, what they're going for. There are opportunities for budgetary savings, and I propose that this amendment be adopted, that the total budget be significantly reduced, that the economy be disbursed, that it be given a break, and that the state finance only the most necessary.
ParlaMint-RS_2002-12-13-0.u25067	Is there any more word applications under this amendment? (No) National MPs Toma Busetic, Jovan Todorovic, Dusan Cvetkovic, Joca Arsic, Radojko Petric and Ljubomir Mucic submitted to the 1st amendment. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. The floor has a representative of the proposing National MP, Joca Arsic.
ParlaMint-RS_2002-12-13-0.u25068	Dear fellow Members and fellow MPs, respected journalists, Socialist Party, or its parliamentary group in the Serbian Parliament, submitted an amendment to Article 1. The draft budget law for the Republic of Serbia for 2003, provided that in Article 1(1), the economic classification of the amount of 190.000 million is to be replaced by 39,500,000 and the amount of 214,600,000 thousand is to be replaced by 235,000,000,000, with the reason that the privatisation revenues should be estimated as regular budget receipts of an increase of 20,000,400,000 dinars, which would be tasked with assessing the value of the real implementation. Also, these revenues should be real budgets for carrying out expenditure, not for financing the budget deficit coverage. We are basically against the fact that the revenues achieved by selling businesses are calculated as the cost of the budget and going to the purpose of spending the budget. We are principled to see that this revenue goes from sales, as envisaged here, in a small amount, and we believe that this amount should be increased and realistically assessed what needs to be sold, and that these funds should be used for the promotion of production, for new production, for increasing new values, and thus allow the budget to be filled in an economically more justified way than this transfer is by means of clean sales and investment in consumption. For these reasons, the parliamentary group believes that these revenues should be transferred from the budget deficit item to this part of the financing of the budget's needs, when your proposal is already envisaged, and that in this way, it is correct to take account of this proposal and allow for a better assessment of how much of the budget needs are financed, as you have already foreseen by this bill. To that end, the parliamentary group is asking the Assembly to accept this amendment and thus improve and make better use of these intended funds.
ParlaMint-RS_2002-12-13-0.u25069	The word is by MP Ljubomir Mucic, an authorised representative of the SPS parliamentary group.
ParlaMint-RS_2002-12-13-0.u25070	Ladies and gentlemen of the People's Parliament, there's something wrong with the ministers, have they woken up? Last night, at the end of this debate, we will try to prove, in principle, that this debate has given some results and indeed through this amendment, which is the beginning of the 2003 budget, the Socialist Party parliamentary group, and Comrade Joca Arsic has brought forth here what it is about, suggested that the budget deficit, which is planned in the 2003 budget, is only 20%, 20 billion and that it is half smaller than the one that was designed by the government. Only by certain accounting operations, not by redistributing funds in the budget, although they have proposed to rationalise the total volume of funds for some 5 billion, we believe that this should be the beginning of a rationalisation of public spending in Serbia, and that through the planned budget deficit they are not funds that will come from privatisation revenues, but rather funds to be the regular revenue of the budget. I can't agree with the government's argument that the increase in other revenues, where we didn't get an explanation of what 19 billion and 100 were, consisting of the increase in other revenues in the budget covering 20 billion dinars as much as we predicted that there should be funds and revenues from privatisation in 2003, given that in 2002 these funds were achieved and achieved, at least according to Minister Djelic's report of 13.8 billion. So, our proposal is that, as part of the global funding of the privatisation budget, the revenues will enter the regular revenue of 2003, to reduce the planned budget deficit from 46 to 20 billion and the proposal is that the current budget deficit for 2003 is covered by donation income and credit funds. For these reasons, I urge you to vote in favour of this amendment and show good faith that this government is also ready at this time to go together to streamline public spending, and also to move towards a reduction in the budget deficit below 3.8%, as it was in the previous and planned for 2003.
ParlaMint-RS_2002-12-13-0.u25071	Is there any more applications under this amendment? (No) National MP Bratoljub Janackovic submitted to Article 1 of the amendment. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. The word has an amendment.
ParlaMint-RS_2002-12-13-0.u25072	The Honorable Presidency, ladies and gentlemen of the People's Parliament, by its amendment to Article 1. I have proposed that paragraphs 2 and 3 be deleted, and paragraphs 2 and 3 of this law speak about the way and percentage of the distribution of revenues collected from sales taxes and excise duties between the Federal Republic of Yugoslavia and Serbia. I am aware that this amendment in this proposed form cannot be adopted at this time, but I wanted to point out with this amendment all the seriousness of the problems and the need for this Parliament to discuss very quickly how to finance the future community or the union of Serbia-Montenegro. Since yesterday in the debate, I spoke in detail about why it is important to redecorate the way Serbia-Montenegro's future community should be financed, and this time I only want to briefly repeat how we see a solution to Serbia-Montenegro's future relations, and as regards joint funding. We want Serbia in the future federal state, that is, in Serbia-Montenegro's union, which will finance the future 95% of the total cost of the common state, to know where and how the taxpayers' money is spent and how to control it. Therefore, we believe that all revenues collected from the taxpayers of Serbia should be poured into Serbia's budget in the future. Also, all expenditure financed by a taxpayer from Serbia, referring to Serbia-Montenegro's union, to be shown in the Republic of Serbia's budget with the same level of detail as for other divisions. Thirdly, to carry out all obligations exclusively through the vault of the Republic of Serbia, because through a joint administration that will exist in a future federal state, we cannot do well enough and in a quality way to co-roll the spending of these funds. With this, the fourth request to parliament is that control, both internal and external, by the institutions of the Republic of Serbia, is carried out in terms of everything the taxpayers in Serbia finance. I am aware that this amendment may have come at too soon, but I believe that when it comes to the agenda, the Constitutional Charter and the laws to regulate its application, this amendment will find its place and make a concrete contribution to resolving the issue of financing the future common state.
