Session,Date,Left,Centre,Right
ParlaMint-GB-en_2015-01-05-commons-meta.tsv,2015-01-05,67,0,59
ParlaMint-GB-en_2015-01-06-commons-meta.tsv,2015-01-06,41,0,44
ParlaMint-GB-en_2015-01-06-lords-meta.tsv,2015-01-06,29,0,22
ParlaMint-GB-en_2015-01-07-commons-meta.tsv,2015-01-07,79,0,74
ParlaMint-GB-en_2015-01-07-lords-meta.tsv,2015-01-07,32,0,19
ParlaMint-GB-en_2015-01-08-commons-meta.tsv,2015-01-08,55,0,39
ParlaMint-GB-en_2015-01-08-lords-meta.tsv,2015-01-08,47,0,19
ParlaMint-GB-en_2015-01-09-commons-meta.tsv,2015-01-09,7,0,15
ParlaMint-GB-en_2015-01-12-commons-meta.tsv,2015-01-12,55,0,52
ParlaMint-GB-en_2015-01-12-lords-meta.tsv,2015-01-12,33,0,18
ParlaMint-GB-en_2015-01-13-commons-meta.tsv,2015-01-13,79,0,69
ParlaMint-GB-en_2015-01-13-lords-meta.tsv,2015-01-13,34,0,18
ParlaMint-GB-en_2015-01-14-commons-meta.tsv,2015-01-14,84,0,49
ParlaMint-GB-en_2015-01-14-lords-meta.tsv,2015-01-14,43,0,26
ParlaMint-GB-en_2015-01-15-commons-meta.tsv,2015-01-15,66,0,59
ParlaMint-GB-en_2015-01-15-lords-meta.tsv,2015-01-15,34,0,21
ParlaMint-GB-en_2015-01-16-commons-meta.tsv,2015-01-16,8,0,14
ParlaMint-GB-en_2015-01-16-lords-meta.tsv,2015-01-16,18,0,21
ParlaMint-GB-en_2015-01-19-commons-meta.tsv,2015-01-19,39,0,28
ParlaMint-GB-en_2015-01-19-lords-meta.tsv,2015-01-19,36,0,17
ParlaMint-GB-en_2015-01-20-commons-meta.tsv,2015-01-20,70,0,44
ParlaMint-GB-en_2015-01-20-lords-meta.tsv,2015-01-20,33,0,14
ParlaMint-GB-en_2015-01-21-commons-meta.tsv,2015-01-21,79,0,62
ParlaMint-GB-en_2015-01-21-lords-meta.tsv,2015-01-21,29,0,19
ParlaMint-GB-en_2015-01-22-commons-meta.tsv,2015-01-22,75,0,43
ParlaMint-GB-en_2015-01-22-lords-meta.tsv,2015-01-22,61,0,30
ParlaMint-GB-en_2015-01-23-commons-meta.tsv,2015-01-23,12,0,18
ParlaMint-GB-en_2015-01-23-lords-meta.tsv,2015-01-23,26,0,14
ParlaMint-GB-en_2015-01-26-commons-meta.tsv,2015-01-26,62,0,64
ParlaMint-GB-en_2015-01-26-lords-meta.tsv,2015-01-26,37,0,23
ParlaMint-GB-en_2015-01-27-commons-meta.tsv,2015-01-27,43,0,45
ParlaMint-GB-en_2015-01-27-lords-meta.tsv,2015-01-27,34,0,18
ParlaMint-GB-en_2015-01-28-commons-meta.tsv,2015-01-28,72,0,59
ParlaMint-GB-en_2015-01-28-lords-meta.tsv,2015-01-28,34,0,12
ParlaMint-GB-en_2015-01-29-commons-meta.tsv,2015-01-29,52,0,52
ParlaMint-GB-en_2015-01-29-lords-meta.tsv,2015-01-29,40,0,35
ParlaMint-GB-en_2015-02-02-commons-meta.tsv,2015-02-02,63,0,48
ParlaMint-GB-en_2015-02-02-lords-meta.tsv,2015-02-02,32,0,17
ParlaMint-GB-en_2015-02-03-commons-meta.tsv,2015-02-03,63,0,71
ParlaMint-GB-en_2015-02-03-lords-meta.tsv,2015-02-03,38,0,27
ParlaMint-GB-en_2015-02-04-commons-meta.tsv,2015-02-04,82,0,65
ParlaMint-GB-en_2015-02-04-lords-meta.tsv,2015-02-04,44,0,16
ParlaMint-GB-en_2015-02-05-commons-meta.tsv,2015-02-05,54,0,49
ParlaMint-GB-en_2015-02-05-lords-meta.tsv,2015-02-05,46,0,23
ParlaMint-GB-en_2015-02-06-lords-meta.tsv,2015-02-06,21,0,22
ParlaMint-GB-en_2015-02-09-commons-meta.tsv,2015-02-09,44,0,48
ParlaMint-GB-en_2015-02-09-lords-meta.tsv,2015-02-09,38,0,23
ParlaMint-GB-en_2015-02-10-commons-meta.tsv,2015-02-10,70,0,63
ParlaMint-GB-en_2015-02-10-lords-meta.tsv,2015-02-10,37,0,17
ParlaMint-GB-en_2015-02-11-commons-meta.tsv,2015-02-11,80,0,70
ParlaMint-GB-en_2015-02-11-lords-meta.tsv,2015-02-11,38,0,25
ParlaMint-GB-en_2015-02-12-lords-meta.tsv,2015-02-12,20,0,18
ParlaMint-GB-en_2015-02-23-commons-meta.tsv,2015-02-23,54,0,73
ParlaMint-GB-en_2015-02-23-lords-meta.tsv,2015-02-23,44,0,20
ParlaMint-GB-en_2015-02-24-commons-meta.tsv,2015-02-24,52,0,43
ParlaMint-GB-en_2015-02-24-lords-meta.tsv,2015-02-24,35,0,25
ParlaMint-GB-en_2015-02-25-commons-meta.tsv,2015-02-25,79,0,63
ParlaMint-GB-en_2015-02-25-lords-meta.tsv,2015-02-25,36,0,23
ParlaMint-GB-en_2015-02-26-commons-meta.tsv,2015-02-26,66,0,59
ParlaMint-GB-en_2015-02-26-lords-meta.tsv,2015-02-26,34,0,26
ParlaMint-GB-en_2015-02-27-commons-meta.tsv,2015-02-27,7,0,14
ParlaMint-GB-en_2015-02-27-lords-meta.tsv,2015-02-27,15,0,16
ParlaMint-GB-en_2015-03-02-commons-meta.tsv,2015-03-02,53,0,57
ParlaMint-GB-en_2015-03-02-lords-meta.tsv,2015-03-02,29,0,17
ParlaMint-GB-en_2015-03-03-commons-meta.tsv,2015-03-03,66,0,53
ParlaMint-GB-en_2015-03-03-lords-meta.tsv,2015-03-03,44,0,20
ParlaMint-GB-en_2015-03-04-commons-meta.tsv,2015-03-04,62,0,54
ParlaMint-GB-en_2015-03-04-lords-meta.tsv,2015-03-04,32,0,19
ParlaMint-GB-en_2015-03-05-commons-meta.tsv,2015-03-05,49,0,47
ParlaMint-GB-en_2015-03-05-lords-meta.tsv,2015-03-05,38,0,16
ParlaMint-GB-en_2015-03-06-commons-meta.tsv,2015-03-06,7,0,18
ParlaMint-GB-en_2015-03-09-commons-meta.tsv,2015-03-09,51,0,43
ParlaMint-GB-en_2015-03-09-lords-meta.tsv,2015-03-09,35,0,22
ParlaMint-GB-en_2015-03-10-commons-meta.tsv,2015-03-10,72,0,55
ParlaMint-GB-en_2015-03-10-lords-meta.tsv,2015-03-10,30,0,15
ParlaMint-GB-en_2015-03-11-commons-meta.tsv,2015-03-11,35,0,37
ParlaMint-GB-en_2015-03-11-lords-meta.tsv,2015-03-11,39,0,22
ParlaMint-GB-en_2015-03-12-commons-meta.tsv,2015-03-12,39,0,60
ParlaMint-GB-en_2015-03-12-lords-meta.tsv,2015-03-12,36,0,23
ParlaMint-GB-en_2015-03-13-lords-meta.tsv,2015-03-13,13,0,10
ParlaMint-GB-en_2015-03-16-commons-meta.tsv,2015-03-16,42,0,40
ParlaMint-GB-en_2015-03-16-lords-meta.tsv,2015-03-16,29,0,19
ParlaMint-GB-en_2015-03-17-commons-meta.tsv,2015-03-17,56,0,43
ParlaMint-GB-en_2015-03-17-lords-meta.tsv,2015-03-17,28,0,15
ParlaMint-GB-en_2015-03-18-commons-meta.tsv,2015-03-18,58,0,42
ParlaMint-GB-en_2015-03-18-lords-meta.tsv,2015-03-18,28,0,16
ParlaMint-GB-en_2015-03-19-commons-meta.tsv,2015-03-19,60,0,41
ParlaMint-GB-en_2015-03-19-lords-meta.tsv,2015-03-19,29,0,20
