Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2015-11-20-senat-02-3	ParlaMint-PL_2015-11-20-senat-02-3.u1	Report of the session of the Senat of the Republic of Poland, Term 9, Session 2, Day 3 (2015-11-20)	2015-11-20	Upper house	9. kadencja Senatu	2. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2015-11-20-senat-02-3	ParlaMint-PL_2015-11-20-senat-02-3.u2	Report of the session of the Senat of the Republic of Poland, Term 9, Session 2, Day 3 (2015-11-20)	2015-11-20	Upper house	9. kadencja Senatu	2. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	SławomirRybicki	Rybicki, Sławomir	M	1960	
ParlaMint-PL-en_2015-11-20-senat-02-3	ParlaMint-PL_2015-11-20-senat-02-3.u3	Report of the session of the Senat of the Republic of Poland, Term 9, Session 2, Day 3 (2015-11-20)	2015-11-20	Upper house	9. kadencja Senatu	2. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2015-11-20-senat-02-3	ParlaMint-PL_2015-11-20-senat-02-3.u4	Report of the session of the Senat of the Republic of Poland, Term 9, Session 2, Day 3 (2015-11-20)	2015-11-20	Upper house	9. kadencja Senatu	2. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	AleksanderPociej	Pociej, Aleksander	M	1965	
ParlaMint-PL-en_2015-11-20-senat-02-3	ParlaMint-PL_2015-11-20-senat-02-3.u5	Report of the session of the Senat of the Republic of Poland, Term 9, Session 2, Day 3 (2015-11-20)	2015-11-20	Upper house	9. kadencja Senatu	2. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2015-11-20-senat-02-3	ParlaMint-PL_2015-11-20-senat-02-3.u6	Report of the session of the Senat of the Republic of Poland, Term 9, Session 2, Day 3 (2015-11-20)	2015-11-20	Upper house	9. kadencja Senatu	2. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	-	-	-	-	BohdanPaszkowski	Paszkowski, Bohdan	M	1965	
ParlaMint-PL-en_2015-11-20-senat-02-3	ParlaMint-PL_2015-11-20-senat-02-3.u7	Report of the session of the Senat of the Republic of Poland, Term 9, Session 2, Day 3 (2015-11-20)	2015-11-20	Upper house	9. kadencja Senatu	2. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2015-11-20-senat-02-3	ParlaMint-PL_2015-11-20-senat-02-3.u8	Report of the session of the Senat of the Republic of Poland, Term 9, Session 2, Day 3 (2015-11-20)	2015-11-20	Upper house	9. kadencja Senatu	2. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	-	-	-	-	JanRulewski	Rulewski, Jan	M	1944	
ParlaMint-PL-en_2015-11-20-senat-02-3	ParlaMint-PL_2015-11-20-senat-02-3.u9	Report of the session of the Senat of the Republic of Poland, Term 9, Session 2, Day 3 (2015-11-20)	2015-11-20	Upper house	9. kadencja Senatu	2. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2015-11-20-senat-02-3	ParlaMint-PL_2015-11-20-senat-02-3.u10	Report of the session of the Senat of the Republic of Poland, Term 9, Session 2, Day 3 (2015-11-20)	2015-11-20	Upper house	9. kadencja Senatu	2. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	-	-	-	-	BohdanPaszkowski	Paszkowski, Bohdan	M	1965	
ParlaMint-PL-en_2015-11-20-senat-02-3	ParlaMint-PL_2015-11-20-senat-02-3.u11	Report of the session of the Senat of the Republic of Poland, Term 9, Session 2, Day 3 (2015-11-20)	2015-11-20	Upper house	9. kadencja Senatu	2. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
