Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2022-07-14-PT13-2398	ParlaMint-LV_2022-07-14-PT13-2398-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-07-14	2022-07-14	Unicameralism	13. sasaukums	-	Regulārā	2022-07-14	-	COVID,War	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2022-07-14-PT13-2398	ParlaMint-LV_2022-07-14-PT13-2398-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-07-14	2022-07-14	Unicameralism	13. sasaukums	-	Regulārā	2022-07-14	-	COVID,War	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2022-07-14-PT13-2398	ParlaMint-LV_2022-07-14-PT13-2398-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-07-14	2022-07-14	Unicameralism	13. sasaukums	-	Regulārā	2022-07-14	-	COVID,War	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2022-07-14-PT13-2398	ParlaMint-LV_2022-07-14-PT13-2398-U4	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-07-14	2022-07-14	Unicameralism	13. sasaukums	-	Regulārā	2022-07-14	-	COVID,War	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2022-07-14-PT13-2398	ParlaMint-LV_2022-07-14-PT13-2398-U5	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-07-14	2022-07-14	Unicameralism	13. sasaukums	-	Regulārā	2022-07-14	-	COVID,War	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2022-07-14-PT13-2398	ParlaMint-LV_2022-07-14-PT13-2398-U6	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-07-14	2022-07-14	Unicameralism	13. sasaukums	-	Regulārā	2022-07-14	-	COVID,War	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2022-07-14-PT13-2398	ParlaMint-LV_2022-07-14-PT13-2398-U7	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-07-14	2022-07-14	Unicameralism	13. sasaukums	-	Regulārā	2022-07-14	-	COVID,War	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2022-07-14-PT13-2398	ParlaMint-LV_2022-07-14-PT13-2398-U8	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-07-14	2022-07-14	Unicameralism	13. sasaukums	-	Regulārā	2022-07-14	-	COVID,War	English	Regular	MP	notMinister	AP	Attīstībai/Par!	Coalition	Centre	TēraudaVitaAnda	Tērauda, Vita Anda	F	-	
ParlaMint-LV-en_2022-07-14-PT13-2398	ParlaMint-LV_2022-07-14-PT13-2398-U9	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-07-14	2022-07-14	Unicameralism	13. sasaukums	-	Regulārā	2022-07-14	-	COVID,War	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2022-07-14-PT13-2398	ParlaMint-LV_2022-07-14-PT13-2398-U10	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-07-14	2022-07-14	Unicameralism	13. sasaukums	-	Regulārā	2022-07-14	-	COVID,War	English	Regular	MP	notMinister	AP	Attīstībai/Par!	Coalition	Centre	TēraudaVitaAnda	Tērauda, Vita Anda	F	-	
ParlaMint-LV-en_2022-07-14-PT13-2398	ParlaMint-LV_2022-07-14-PT13-2398-U11	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-07-14	2022-07-14	Unicameralism	13. sasaukums	-	Regulārā	2022-07-14	-	COVID,War	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
