Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U4	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U5	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U6	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U7	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U8	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U9	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U10	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U11	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U12	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	RancānsJuris	Rancāns, Juris	M	-	
ParlaMint-LV-en_2022-02-28-PT13-2365	ParlaMint-LV_2022-02-28-PT13-2365-U13	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-28	2022-02-28	Unicameralism	13. sasaukums	-	Regulārā	2022-02-28	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
