Session,Date,Male,Female
ParlaMint-RS-en_1997-12-03-0-meta.tsv,1997-12-03,11,1
ParlaMint-RS-en_1997-12-29-0-meta.tsv,1997-12-29,27,2
ParlaMint-RS-en_1998-02-19-0-meta.tsv,1998-02-19,4,0
ParlaMint-RS-en_1998-02-20-0-meta.tsv,1998-02-20,8,1
ParlaMint-RS-en_1998-03-24-0-meta.tsv,1998-03-24,14,1
ParlaMint-RS-en_1998-04-06-0-meta.tsv,1998-04-06,1,0
ParlaMint-RS-en_1998-04-07-0-meta.tsv,1998-04-07,57,5
ParlaMint-RS-en_1998-05-26-0-meta.tsv,1998-05-26,39,5
ParlaMint-RS-en_1998-05-27-0-meta.tsv,1998-05-27,17,4
ParlaMint-RS-en_1998-09-28-0-meta.tsv,1998-09-28,31,3
ParlaMint-RS-en_1998-10-20-0-meta.tsv,1998-10-20,29,1
ParlaMint-RS-en_1998-11-17-0-meta.tsv,1998-11-17,32,4
ParlaMint-RS-en_1998-11-18-0-meta.tsv,1998-11-18,22,2
ParlaMint-RS-en_1998-12-07-0-meta.tsv,1998-12-07,28,5
ParlaMint-RS-en_1998-12-08-0-meta.tsv,1998-12-08,15,3
ParlaMint-RS-en_1998-12-28-0-meta.tsv,1998-12-28,15,1
ParlaMint-RS-en_1999-02-04-0-meta.tsv,1999-02-04,24,3
ParlaMint-RS-en_1999-03-23-0-meta.tsv,1999-03-23,21,3
ParlaMint-RS-en_1999-07-15-0-meta.tsv,1999-07-15,8,1
ParlaMint-RS-en_1999-11-09-0-meta.tsv,1999-11-09,15,3
ParlaMint-RS-en_1999-11-10-0-meta.tsv,1999-11-10,16,1
ParlaMint-RS-en_1999-11-11-0-meta.tsv,1999-11-11,4,2
ParlaMint-RS-en_1999-12-21-0-meta.tsv,1999-12-21,12,3
ParlaMint-RS-en_2000-04-11-0-meta.tsv,2000-04-11,14,1
ParlaMint-RS-en_2000-05-03-0-meta.tsv,2000-05-03,7,1
ParlaMint-RS-en_2000-07-12-0-meta.tsv,2000-07-12,24,0
ParlaMint-RS-en_2000-07-13-0-meta.tsv,2000-07-13,27,3
