ParlaMint-BE_2019-02-07-54-plenair-ip269x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u2	In accordance with the opinion of the Conference of Presidents of 6 February 2019, I propose that you register on the agenda of this afternoon's plenary session: the appointment of the effective members of the Central Supervisory Board for the Prison Service, No. 3531/1. In accordance with the opinion of the Conference of Presidents of 6 February 2019, I propose that you include in the agenda of this afternoon's plenary session: the appointment of the effective members of the Central Prison Supervision Board, No. 3531/1. Are you sure you don't mind? [[No.]] Thus shall be done. No observation? [[No]] That will be the case.
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u3	Prime Minister, the climate youth, the grandparents for the climate, eleven professors from no less than five universities, 11.11.11, Bond Beter Leefenvironment, bpost, Colruyt, De Lijn, KBC, Lidl, Proximus, Telenet, Triodos, Umicore, Unilever, VRT and WWF are all in favour of a national climate law. Among the doubters are CD&V and Open Vld, your government parties, Prime Minister. I therefore ask you today a very specific question for help. There is a clear political majority in Parliament to work on a national climate law, to anchor ambitions, to outline a clear framework for a lot of concrete measures to be taken later on for a major climate breakthrough. However, for such a climate law, we need a special majority. We need the support of all your government parties. You've already lost the N-VA. Perhaps the N-VA will not be convincing for such a climate law, but my group hopes to be able to count on the government of current affairs to be an ally to the climate law. So I can ask a lot of questions, Prime Minister, but I only ask one. Over the last few months, you have expressed your climate ambitions in the gallery a number of times. You are the youngest Prime Minister in the history of our country, but you must come up with a firm answer to all young people coming out. That is what we should expect from the youngest Prime Minister in the history of our country. So there is only one question I would like to ask you at this stage: are you, as Prime Minister, a fan of a climate law and do you want to convince, together with us, your current majority parties, Open Vld and CD&V, of the need for it? The answer doesn't have to be difficult, but it has to be clear.
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u4	Prime Minister, a special climate law is being considered today, and I must say that it is also special. There's a seventh state reform at stake. The powers of the Länder in the field of environment and climate are being completely undermined and improved by this proposal, because we are now going to impose the federal objectives. I thought this government had declared a Community standstill, but that could have been your previous government. I don't know. That's what I'm asking you. By incorporating these objectives into a special law, we are on our way to a climate issue as in the Netherlands. The judges will determine climate policy and not parliaments. In addition, the climate objectives are to be registered in a special law. So we're gonna lock them down, we're gonna do that à la belge, like we're used to. It must be clear that we absolutely do not need new locks. Belgium is already locked enough. Let's stop doing that. This proposal will even take Lazarus out of his grave, because we are going to give the Senate new powers. I thought it was clear in the minds here that the Senate was a useless institution that could be phased out, but apparently not. What else is in that proposal? There will also be new institutions: an inter-ministerial climate conference, an inter-parliamentary climate committee, an inter-federal climate agency, a permanent independent committee of climate experts with a permanent secretariat, three regional independent climate committees. So we're going to set up seven new institutions. I want to be clear. Belgium already has too much government. It's gotta be less, not more. Your climate minister says she supports this proposal, Prime Minister. It would even be on her question that that text was drawn up. I don't hear your partner Open Vld react so positively. What is the position of this minority government, Prime Minister?
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u5	Prime Minister, I am surprised by the inconsistency of your minority government on the climate issue. At this end of the legislature, you have placed the climate at the top of your political agenda. "The fight against global warming is the battle of the century," you said. "Make more, faster, stronger," you said at the King's house. Your Minister of the Environment, Mrs Marghem, whom I do not see here, strongly demands the motherhood of the climate bill, drafted by a group of academic experts from the north and south of the country. This bill sets out ambitious climate goals, but also aims to break the deadlock between federal and federated entities. It's, she says, "his law." At the same time, two parties in your government, the CD&V and the Open Vld, clearly do not support it in any way. Where's the mistake? Is climate no longer your priority? Would Mrs Marghem not be the mother of this climate bill, contrary to what she claims? Did your minister, Ms. Marghem, act without government support and your support? It's complicated. It is up to you, as Prime Minister, to convince members of your minority government to support this climate law, since we need it to reach a two-thirds majority. This is the only way, Prime Minister, for you, to convince that what you have said – giving the climate a lot of importance – is not an electionist posture. This is not only about your credibility, but also about the credibility of the political world in the face of all those who are mobilizing, young and old, in a strong but also peaceful way, for the future. Yes or no will you support this climate law?
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u6	Mr President, Prime Minister, "the power of the street" – this is not a title of the PTB newspaper – was a part of the title of the Soir edition signed by Béatrice Delvaux a few days ago, which wrote: "To those who still wonder what it's for to fight and go down the street, it is necessary to show how the climate, which was the great forgotten of many political statements, is now at the top of the agendas." Indeed, we see politicians and even the government, all of a sudden, trying to wake up on the issue of climate. We even see a series of bosses supporting the call "Sign for my Future". However, ladies and gentlemen, let us beware of greenwashing, that is to say, statements that we wash greener, but that would be contradicted by the facts. As far as I am concerned, I do not share our colleague Kristof Calvo's somewhat flattered enthusiasm for the bosses and their sudden awareness. Indeed, among these bosses, we find the boss of BNP Paribas Fortis, the fifth global player in fossil energy financing, the boss of Danone, the world's fourth largest plastic user. Luminus was awarded a score of 2 out of 20 by Greenpeace because this producer invests heavily in fossil fuels. Essent belongs to a consortium that is destroying a forest in Germany to expand coal mines. Solvay is a member of the European Plastics Lobby. I could go on for a long time because the list is long. It is the head of the FEB who raises the question of what is the big problem for the climate, what is the fundamental obstacle that prevents us from moving forward in terms of climate, and who answers these questions by saying that it is the indexation of wages. The indexation of wages therefore prevents us from moving forward in terms of climate. What's he saying again? He says we need even more eco-taxes for the population. As this will increase prices, wage indexation must be abolished. I do not believe that the young people who are still demonstrating today are fighting to reduce the wages of their parents. Prime Minister, will we continue to trust the bosses? I am thinking in particular of the Pact for strategic investments with management bosses. I am thinking of the Energy Working Group. Indeed, it is three members of the FEB, including its former president, who lead this working group. Will you finally follow the advice, remove the index and increase the eco-taxes? Do you have a concrete measure to propose, such as the one requested by young people, to make rail transport free of charge or at least to reduce the price of train tickets rather than to continue to increase it, as you are currently doing in a matter that is federal?
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u7	Mr President, ladies and gentlemen, first of all, I would like to remind Members who have spoken that the government is in the business of day-to-day business. He is in day-to-day business because the hand that was stretched a few weeks ago, in the month of December, was not seized. A number of parties could have seized it to give a government operational capacity until the last day of the legislature. It seems to me that some have short memories on this subject! This does have consequences for the way in which debates are conducted in government and Parliament. Secondly, Mr Calvo, I want to be clear. I am very proud that over the last four years, the current federal government has decided a lot of interfederal powers over the climate. It can be repeated that everything is disputed, but today, for example, the offshore is seen as an asset for our country at international level. So everyone can now recognise the important efforts that have been made in this area. Another example is the investment pact, both for mobility issues and in the field of energy, which has a very great ambition directly linked to the desire to grasp the issue of climate as an opportunity to stimulate economic development, innovation and research. We also need to prepare our infrastructure to make the country more socio-economically sound and meet our climate commitments. I come to a third example, the Burden Sharing. We are the first government to have managed to reach an agreement in this area. That too is a strong commitment. Specifically, I'm the leader of a federal minority government in ongoing business. As I announced a few days ago, I confirm that we have taken the decision to ask the Planning Bureau to examine the concrete effects of our objectives. Mr Calvo, I would like to tell you that, week after week, coming to this forum proclaiming ambitions is very good. We support you in proclaiming ambitions! But that is not enough! I would like to challenge those who cry out loud their ambitions to formulate, with us, as we have been doing for four years, concrete measures that have an effect, a financial impact for the people who work and for the beneficiaries. It is with seriousness that we must conduct this debate, precisely because our dignity vis-à-vis the thousands of young people who are demonstrating is not to come here to proclaim and repeat ambitions but to implement concrete measures. As far as I'm concerned, I'm very concrete. I met with the Climate Coalition on behalf of the government. They provided us with a first memorandum containing a few measures, some of which are relatively concrete and some of which are not concrete. I'll see them again before the end of the month. I do hope that, for each of the concrete measures, we can determine the climate and social impact. We need to analyse the impact for people, jobs and investments so that, knowingly and perfectly informed, this Parliament can make decisions. It is good for Parliament to take up a debate on the basis of work initiated by experts. I have obviously read the text. This text proclaims ambitions, which is good, and proposals for methods, which is good too, but that is not enough. We will also have to consider what concrete measures will be taken. Mr Calvo, I would like you to communicate to us next week the addition of concrete measures to achieve the stated objectives so that we can submit them to the Plan Office, the National Bank and independent experts, to see what this means for purchasing power, investment and jobs. You have a climate partner, yes, but a serious partner!
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u8	Mr President, I would like to repeat three points. I hear several Members warning that we should not be working with all these big companies. Our group fundamentally disagrees with this. The debate should not be taken naive, but the climate is too important, it is a theme of the 21st century and we should not therefore be locked up in the fault lines of the last century. Anyone who wants to work for the climate in one way or another, including late converts, should be embraced to work together. The same mistake is made by Mr Wouters, who wants to turn it into a Community debate. According to her, there is a Dutch-speaking and French-speaking climate. Colleagues, look at what those young protesters are doing in the streets. Our four climate ministers do not manage to meet together, but the young people, Mr Walen, Mr Flemings and Mr Brusselsers, together organize events and joint actions in a few days' time. Prime Minister, now I am addressing you. What a lame little reaction! You have a very large support base. There is an incredible political majority to get to work, but instead you choose a game of majority and opposition. You say that Ecolo-Green has no concrete proposals. As no other, however, you should know that we do have concrete proposals. Ladies and gentlemen, a year ago we were invited by the Prime Minister in Rue de la Loi 16 because we, as the only group, took the trouble to put an investment plan on the table. We had coffee together, and we were gonna do that together.
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u9	Mr Calvo, you have to finish.
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u10	But what was the problem? A while later, Charles Michel was not convinced of the N-VA, CD&V and Open Vld.
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u11	Mr Calvo, you have to finish.
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u12	Now, Prime Minister, the problem is not our programme, but that our programme is not being implemented. There's a national climate law in front of it, and I'm counting on it...
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u13	Who will pay for that, Mr Calvo?
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u14	Mr Prime Minister, instead of looking for the difference, you need to look up the agreements. At least that is what a prime minister can be expected to do at this time.
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u15	Mr Calvo, you have to stop.
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u16	Mr President, I will conclude with a repeat of my invitation...
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u17	No, it's over.
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u18	(...) national climate law. I hope that we can count on the Prime Minister to convince the colleagues of Open Vld and CD&V in the coming period. That is not the only solution, but it is an important part of it. [[In the meantime, the President closed Mr Calvo's micro]]
ParlaMint-BE_2019-02-07-54-plenair-ip269x.u19	Thank you, Prime Minister, for your reply. If I understand correctly, you will not support the climate law, nor will you back Mrs Marghem's words. The question is who supports the story. Those are the French-speaking parties, we know that. I assumed MR would do the same. That's what I was told. On the Flemish side, sp.a would do the same. Now I ask my Flemish colleagues. I can't believe the Flemish interest will approve of that. Open Vld was already clear, CD&V was not quite clear and I hear from the N-VA colleagues that they will vote against, because they will simply refederalise the matter. That is no longer a Community stop, it is even a Community decline. You said yourself that you need a special majority. I'm afraid, Mr Calvo, you won't make it. You want a climate policy. Climate policy must be inventive and creative. Then we certainly should not lock that in a special law. That is the worst solution. What do we see now? The citizens are asking us to take action in the area of climate change. And what's the political answer when I look at the climate bill? We will do it at its Belgian level and organise another seven institutions. Who will pay for those seven institutions, Mr Calvo? The commoner. You know that, too.
