Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	DedryAnne	Dedry, Anne	F	1956	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	SchlitzSarah	Schlitz, Sarah	F	1986	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	SchlitzSarah	Schlitz, Sarah	F	1986	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	SchlitzSarah	Schlitz, Sarah	F	1986	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	SchlitzSarah	Schlitz, Sarah	F	1986	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	SchlitzSarah	Schlitz, Sarah	F	1986	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	DedryAnne	Dedry, Anne	F	1956	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	DedryAnne	Dedry, Anne	F	1956	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	SenesaelDaniel	Senesael, Daniel	M	1957	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	DedryAnne	Dedry, Anne	F	1956	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1072x	ParlaMint-BE_2019-04-02-54-commissie-ic1072x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	MarghemMarieChristine	Marghem, Marie-Christine	F	1963	
