ParlaMint-BE_2019-12-11-55-commissie-ic071x.u1	Question No 55001113C by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u2	Madam President, Minister, you yourself confirmed that, as far as we are concerned, there is a long waiting list for those who want to buy years of study to get a higher pension. We could also read this in an article in De Standaard some time ago. Applicants sometimes have to wait more than a year and the waiting list is still growing. The problem is getting worse. Apart from the measures needed to eliminate this delay, I hope that you are in the process of determining this delay and, consequently, the excessively long period of treatment, as you have already admitted, will require me to ask the following questions, which concern our citizens as well. In fact, Minister, it is getting even more stringent. The transitional period for workers will end next year. However, the transitional period for officials expired on 1 December 2019. A number of citizens, who were in the transition period, therefore wonder what will happen to those long waiting lists. What is the basic amount to be paid by the applicant who wants to pay off? Is this the amount applicable at the time of the application or the amount at the time of the proposal/decision of the pension service? Next question touches many more people who are concerned because the answers to this question are diverse. What is the time of the tax reduction, the tax deduction? What amount is applicable in this case and in what year should it be transferred? Finally, I have a budgetary question. What are the reductions achieved so far due to the delay in treatment? What is the relationship between realised revenue and budgeted revenue per year for the recent past and 2019? You have recorded a budgetary return on the installation of the measure and on the transitional period. What is the relationship between the recorded budgetary revenue and the actual amounts received?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u3	Madam President, Minister, I asked a question on this matter in October. I told you at the end of October that there was a problem with the period when people have to wait for school years to be bought off. My questioning and the e-mails I had received showed that people had to wait a long time, sometimes even a year and longer, before they received an answer. You admitted that and said you were going to see if more staff needed to be deployed. You also wanted to deal with the problem. That is right, because one has the right, of course, to know whether or not one is paying off one's years of study. Mr Bertels, that was effective in the media at the time, including in De Standaard and on the radio. As a result of this question, people have also contacted me with other problems. The service estimates now say that they will no longer make simulations for people under 57 years of age. That is remarkable because the longer people wait to buy off years of study, the more expensive it becomes. Anyone who wants to buy the years of study should have the opportunity to check whether regularisation is interesting in his or her particular case. One should be able to check this, even if one is under 57 years of age. That statement of the estimates service is therefore very remarkable. Mr. Secretary, are you aware of these new problems? Do you know that the service estimates no longer make simulations for people under 57? Why is that the case? Do you agree that anyone who wants to buy off his studies should be able to make a simulation? How do you want to make sure that anyone who asks for a simulation gets it? This must of course be done within a reasonable period of time. In October, we had already stated that this should not last a year, which should be possible within a month at most. You also promised to check whether there are enough officials available to deal with the applications. You said you'd check that out and put in extra staff if you wanted to. Is that what happened in the meantime? Is there any need for additional staff and has it been deployed? What is the current state of affairs? What are the expectations of eliminating the backlog of requests for information on the regularisation of academic years? Thousands of people are still waiting for an answer to their question. Due to the delay, some questions may be submitted before the deadline of 1 December 2020 but will not necessarily be answered in time. It is, after all, the date of submission which counts for obtaining the regularisation and not for the reply. There is nothing people can do about it. However, I would like confirmation. I am sure you agree with me that the date of submission will count. I am also getting signals that the communication between the staff of the Pension Service and the filing body is also not working smoothly. If there are errors in a file or data have been entered wrongly, applicants will not be notified accordingly. Does that happen often? I've seen cases, but is it common? Have you noticed that, too? Complaints may be submitted to the Pension Service itself. How many complaints about regularizing the years of study have already been received? In what way will the complaints be followed up?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u4	Madam President, Mr Bertels, Mrs Lanjri, in reply to the question on the estimates to be made to persons under 57 years of age, I can tell you that the FPD confirms that he is currently restricting the delivery of tailor-made and detailed estimates to persons aged at least 57 years. However, the vast majority of citizens have access to an estimate of their future pension rights as well as to a simulation of the impact of purchasing one year of study or several years of study through mypension. If an anomaly in the career prevents an automatic estimation via mypension, the FPD shall correct the career to allow such an estimate to be made at a later date. These automatic estimates can also be sent by letter to the citizens who wish to do so. However, I understand that in some cases the estimates available through mypension are not sufficient. Citizens should then be able to receive a tailor-made estimate from the FPD. I will ask the FPD to analyse the possibility of delivering tailor-made estimates to citizens under 57 years of age, if they explicitly ask. As regards the appointment of additional officials to deal with the requests for purchase, I can inform you that, thanks to the budget allocated by the government, the FPD has been able to recruit 22 staff to deal with these applications. These 22 employees have been able to strengthen the already existing team. It should be noted, however, that, despite a sufficient number of officials to deal with applications for regularisation, the time-limit for processing remains too long. Like you, I am asking questions about this situation. I have again asked the FPD to take the necessary steps quickly to deal with these requests within a proper time limit. I make a table available to you with the statistics on stock evolution of the number of requests for regularisation and intelligence. The citizens who have questions about the handling or state of their files can, of course, always contact the FPD. At present, the citizen is not automatically informed if a problem at career level or a problem at the level of verification of the diploma delays the examination of the file. Since such automatic communication seems useful, I intend to ask the FPD to provide a communication for citizens in future explaining the reasons for the delay in handling the file. I also confirm that the date of submission of the application is decisive in order to benefit from the transitional measures relating to the amount of the regularisation contribution. The lump sum of the regularisation contribution is currently EUR 1,530 per regularised year. According to the information provided to me by the FPD, I can inform you that the FPD received 22 complaints in 2018 and 34 complaints in 2019. Those complaints mainly concern waiting times and the absence of an acknowledgement of receipt. The complaints will be answered within 15 days. However, this number of complaints does not give a complete overview of the situation, as citizens use different channels to deliver their complaints, for example through the FPD or through the Ombudsman. For example, an important number of citizens have turned directly to my cabinet. The complaints received by my cabinet mainly concern complaints relating to time limits for handling. As regards the deductibility of the regularisation contribution, I can confirm that it is linked to the date of payment of the contribution. The FPD automatically sends a tax certificate during the year following the payment, so that the person concerned can deduct the contribution for the relevant year of income. You also asked about the proceeds. I'll keep a table of the figures at your disposal.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u5	Thank you, Minister. As a minister responsible for pensions, I do not need to remind you that trust in pensions is a key concept. People need to be able to trust that they will receive a pension and trust the information on the amount of pension they will receive. Trust is a key element in our social security system and all the more so in the pension system. I also hope that your staffing measures will have an effect on the excessively long period of treatment. I'm also curious about the table. You should certainly insist and not just ask that the federal pension service informs those concerned if, for example, there is a problem in the composition of the career for the calculation. One of the problems is indeed the difficult contact with that service. If one gets in touch with it, it is not obvious to explain where the problem is, if one does not know the problem, but only knows that an application for regularisation has been submitted to which one does not receive an answer. The employee who picks up the phone can't always do it. In any case, the result is often more frustration, because the employee cannot provide a complete answer. The service should proactively inform the person concerned if there is a problem. These systems exist, in the computer applications of the FPD one can see whether the problem is being dealt with or whether it has not yet been detected. One can at least give that information, because now the people involved often get an unsatisfactory answer when they have finally got someone on the phone. Then there are two frustrated, both the one who has to give the answer and the one who asks the question. Please fix that. Finally, I would like to thank you for confirming that the date of submission of the application applies, while the date of payment is taken into account for taxation. Please put that on the website as well. I checked this morning in the hope that it would be, but that is still not the case. The website with regard to regularization already contains a number of standard responses. Why can't the problems that exist now be addressed on that website as well? That saves you and our work. Communicate that clearly. Now it doesn't say when to pay, which creates uncertainty because people get different answers, right or wrong. Wake confidence by acting proactively. Mr. Secretary, let the FPD add that this afternoon. After all, it is not so difficult to add a few sentences to the website that provides the basic information. After all, that is information that is absolutely needed.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u6	Mr Minister, I would like to begin with a positive note. When I asked you a question about this in October, you admitted that it went wrong, adding that you would address the problem. I think it is a good thing if a minister wants to do something about problems that have been identified by Parliament. It is also a good thing that in the meantime 22 employees have been appointed as a result of my question on how to deal with the backlog. That's good news, but apparently the problem hasn't been solved yet. You really need to keep following the issue, so that people get a reply within a reasonable period of time. In normal cases this should not take more than a month, in very complex cases it may be a little longer, but there must be feedback to the citizen. I had pointed out another problem to you in the question I raised a month ago, namely why people no longer make calculations for people under 57 years of age. I now hear that you also believe that this is not possible and that you will ask the Federal Pension Service to provide that calculation if a citizen expressly requests it. That's a good thing. I found it strange that the Federal Pension Service itself apparently decides that it does not make calculations for certain persons. I find it strange that you, as a minister, have not been consulted on this issue. By the way, where does that 57-year-old limit come from? Every citizen has the right to information. If it is not automatically available via MyPension and one has to request it from the Federal Pension Service, these calculations must also be made for persons under 57 years of age. After all, the longer one waits to buy off years of study, the more expensive it becomes. I hope that you will speak with the Federal Pension Service and urge him not to take such a decision without you, Parliament or the Government being aware of it. Finally, I assume that the date of filing counts. You confirmed that here today. That date creates uncertainty for a lot of people. That is why I asked my questions last time, and that is why I am doing it again. If people don't know, they probably won't buy off their years of study, although in some cases that can be very beneficial to them and also to the government. You're counting on buying off for the government to generate a number of returns. You have already taken this into account in your budget. So you must do everything you can to ensure that workers who want to buy off their academic years do not let themselves be stopped by the fact that it takes a year for them to get an answer to their questions and indeed make their application. Ensure better and clear communication in this area, at least via the website and at the Federal Pension Service as individuals directly address their questions to that service. I find it particularly hallucinating that the Federal Pension Service has decided no longer to do calculations for workers under 57 years of age. I trust that this practice will cease immediately, as you yourself find it objectionable and will ask the service to stop doing so.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u7	Madam President, Minister, on October 14, the South Press Group published an article on pensions. Two researchers, Mr. Pierre Devolder and Mr. Jean Hindriks, who served on the Committee on Pension Reform 2020-2040, spoke. Their comments are alarming. According to them, social benefits would increase by 20.7 % between 2020 and 2024, which amounts to 46 to 55 million euros. Health expenditure would increase by 23.9 per cent and pensions by 22.6 per cent, while social contributions would increase by only 14 per cent over the same period. These figures are surprising, since, some time ago, the Committee for the Study of Ageing (CEV) made somewhat different comments. In summary, according to the Committee's projections, due to ageing, social expenditure is expected to increase to 27.6% of GDP in 2070, compared to 25.2% in 2018. With regard to pensions, this expenditure is expected to represent 12.5 % of GDP in 2070 instead of 10.7 % in 2018. But according to the VEC, it is important to note that not all social expenditure will increase: while expenditure on pensions and health care will increase by 3.9 percentage points of GDP between 2018 and 2070, other social expenditure, especially those related to unemployment and family allowances, will decrease by 1.5 percentage points. Thus, according to the CEV, our social system remains completely viable and we are not facing a disaster. Minister, what is your position on these figures? The two experts interviewed by the Sud Presse group propose, among other things, a solution to extend the working hours of Belgians. Does the postponement of the statutory pension age by one or two years really have a significant impact on the cost of ageing? If so, how much? Be careful not to focus on the pension at age 67, but on those who leave at age 61 or 62. The aim is to raise the pension age slightly without focusing on the 67.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u8	Madam President, Minister, I will probably repeat what has already been said, because I am also referring to this press article that referred to these two UCL researchers you know well, since they had participated in the debates on pension reform 2020-2040. They propose this alternative: the individual pension account, derived from the point pension to which the government was in favour, if I am not mistaken. According to the Monitoring Committee, which has already been the subject of numerous presentations, social benefits would increase by 20.7 per cent between 2020 and 2024, health expenditure by 23.9 per cent and pension expenditure by 22.6 per cent. The two researchers talk about an increase in pension expenditure of almost 15 billion in 10 years. It's huge, and I know you're sensitive to it. Seventy-five per cent of this increase would be caused by the increase in the average pension. The individual pension account is mentioned by these researchers. It would be fed every year of work by a theoretical pension amount equal to the annual individual wage – obviously capped – multiplied by an annual rate of purchase. Minister, my questions are simple: what do you think of this system? Is this reform possible in our country? In advance, I thank you for your follow-up on this matter.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u9	Madam Chair, Minister, I will not repeat what my colleagues have said about the item in question. Do you confirm the numbers mentioned by the two professors? What are the pension costs involved? Can you give us the report in terms of GDP? Finally, what is the increase in pension expenditure in proportion to GDP between 2020 and 2024?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u10	Madam President, ladies and gentlemen, with regard to the development of pension expenditure, it should first of all be pointed out that the analyses of Mr. Hindriks and Devolder, cited in the article published on 14 October in the newspapers of the group Sud Presse, cover the period 2020-2024. Those of the Study Committee on Ageing, to which you refer, concern, on the other hand, the period 2018-2070. In its report, the Study Committee states that the cost of ageing will increase by 25.2% of GDP in 2018 to 26.6% of GDP in 2024. It will continue to grow to 29.1% of GDP in 2040. This analysis therefore does not contradict that of Messrs. Hindriks and Devolder, on the contrary. They are totally complementary. By 2070, the Study Committee on Ageing plans to increase expenditure on pensions and health by 3.9% of GDP, compared with a 1.5% decrease for other social expenditure. This means that in total, the cost of ageing continues to increase by 2.4 per cent in GDP. It is therefore clear from both analyses that the costs of ageing will continue to increase in the short, medium and long term. In addition, where the Committee for the Study of Ageing is limited to an analysis of expenditure trends according to GDP, MM. Hindriks and Devolder also analysed the evolution of social contributions. Their study shows that the latter increase significantly less than that of expenditure. This reinforces the conclusion that it is obviously necessary to pursue reforms to control the cost of ageing. With regard to Mrs Moscufo's question on pension expenditure, I can tell you that the July 2019 Monitoring Committee report contains a total amount of EUR 31.5 billion for pensions for employee and self-employed schemes. According to estimates by the Federal Pension Service (SFP), this expenditure will increase to an amount of EUR 38.8 billion by 2024. For public servants, spending will increase, according to SFP figures, from 17.5 billion in 2019 to 19.07 billion in 2024. According to figures from the Committee for the Study of Ageing, pension expenditure for the three schemes will increase by 10.9% of GDP in 2019 to 11.7% of GDP in 2024. With regard to the impact of an increase in the length of citizens' careers, I would point out that in 2014, the average age of exit from the labour market was just over 59 years. Today, five years later, he is 61 years old. There is already a very significant increase. The Federal Office of the Plan estimates that by 2060, raising the legal age of the pension and raising the age and career conditions for early retirement will reduce the cost of ageing by 1.6 per cent of GDP. This estimate demonstrates that these are two important measures to maintain the financial sustainability of our pension system. As regards Mrs Reuter's question in relation to the solution proposed by Messrs. Hindriks and Devolder, which would introduce a new pension system based on points accumulated throughout the career, with a focus on career length rather than pension age, I can tell you that as a personal person, I believe that future pension reforms should further strengthen the link between the career actually provided and the pension amount. We talked about an increase of 15 billion euros in ten years between 2009 and 2019. I would point out that it consists essentially of an increase in the amount of pensions, contrary to sometimes widespread ideas. Of the EUR 15 billion in ten years, EUR 11 billion relates to the increase in the amount of pensions and only EUR 4 billion relates to the increase in the number of pensioners. This means, therefore, that in our country and in the context of pension reform, we have always ensured that the increase in pensions per se is a reality, which is not the case in other countries. I would point out that in many European countries the amount of pensions has been reduced or deindexed, which has never been the case in Belgium. The analysis of Messrs. Hindriks and Devolder show it strongly. I repeat: of these 15 billion increases in ten years, 11 billion relate to the increase in the amount of pensions. I believe that future pension reforms should therefore further link pension to career. Each euro contributed should eventually generate pension rights, regardless of the scheme in which you work and whatever type of occupation you work. I also believe that further measures should be taken to encourage further career development. It will be up to the next government to take the measures it deems appropriate to continue the work to ensure the financial and social sustainability of our pension system.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u11	Minister, I really expected the last part of your speech. I could have pronounced it for you. Thank you, though, for your different answers. As you said, you will really have to keep an eye on the various contributions because they do not follow the movement, they do not increase. I'm glad to hear you say that you should refer to a career rather than a legal retirement age. Socially, I believe that the opposite would be unfair and that this would impoverish, in particular, women pensioners, who are already heavily punished in terms of wages and pensions. On the other hand, you say that in other countries pensions are reduced. I would remind you, however, that Belgium has the lowest pensions in Europe.
