ParlaMint-BE_2019-11-21-55-plenair-ip014x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2019-11-21-55-plenair-ip014x.u2	Ladies and gentlemen, we shall begin this sitting with the oral questions. Mr De Roover has asked for the floor. I guess I know the reason. Several members of the government are absent. Some government members are in China. Some other government members, who are not in China, have called me for a valid reason for their absence. The whole, however, gives the impression that many members of the government are absent. The Prime Minister is present to answer oral questions. Mr De Roover, I give you the floor.
ParlaMint-BE_2019-11-21-55-plenair-ip014x.u3	Mr President, thank you for showing us your talents, as if you were Madame Blanche.
ParlaMint-BE_2019-11-21-55-plenair-ip014x.u4	I know you.
ParlaMint-BE_2019-11-21-55-plenair-ip014x.u5	You're very close. Mr President, it is not without surprise that we have noted the absence of a very large group of members of the government today. It's like they've got a bus trip planned. In the overview we have received, I read that questions to Minister De Backer are taken over by his colleague De Croo. Since Minister De Croo is absent, these questions are taken over by Minister De Block. I am glad that Mrs De Block is here, otherwise the questioner would almost have to answer his own questions. We are not very far away from the situation in which the Member of Parliament himself has to answer the questions asked. I understand the trade mission to China. Of course, it is not possible to come across from China for a moment before our plenary session, and I fully understand that. However, I do not wish to ignore the fact that the list of absences is a little too impressive to bring peace as a Chamber.
ParlaMint-BE_2019-11-21-55-plenair-ip014x.u6	Mr Verherstraeten also asked to speak in this connection.
ParlaMint-BE_2019-11-21-55-plenair-ip014x.u7	Mr President, I naturally understand Mr De Roover's point. However, several excellences are present on a foreign mission; that makes the number. In connection with Deputy Prime Minister Koen Geens and Minister Muylle, I can inform you that their absence is due to the funeral ceremony this afternoon after the death of the wife of a cabinet employee.
ParlaMint-BE_2019-11-21-55-plenair-ip014x.u8	That message had reached me, too. The mission in China is of course important. The regions are also involved, which has also led to the absence of a number of ministers in the regional parliaments in recent days. It is a lot and it is a coincidence, but you know, Madam Prime Minister, that this cannot be repeated. The government is in current affairs and it has a duty to appear in Parliament, especially at weekly Question Time. Mr Hedebouw, I think you agree with me.
ParlaMint-BE_2019-11-21-55-plenair-ip014x.u9	Mr President, I wish I could, but I can't. I do not think I remember from the last four or five years that there were ever so many absent ministers. I cannot get rid of the idea that there is a link between the current affairs and ministers who are very quickly absent from Parliament. I think that's a problem. It's not about two or three ministers. I think it's the first time half the government hasn't been around. If it is a political signal that the government has nothing to say, nothing to do and no more to decide, and there is no point in having a control debate on Thursday, say it right away! I believe that this is a bad signal that would be given because there are many social and democratic emergencies. Mr President, can you please convey a strong message from Parliament to demand the presence of ministers on Thursday afternoon.
ParlaMint-BE_2019-11-21-55-plenair-ip014x.u10	Mr Hedebouw, Mrs Wilmès has heard Parliament's message, which I share in part. There are mitigating circumstances, but that doesn't make up for everything. This cannot be repeated. This won't happen again.
ParlaMint-BE_2019-11-21-55-plenair-ip014x.u11	Mr President, Madam Prime Minister, the International Convention on the Rights of the Child was celebrating its thirty years yesterday. Thirty years that children finally have their own rights because of their vulnerability. 30 years that Belgium is obliged to respect the rights of these children without distinction of any kind, regardless of their national or social origin or the status or legal status of their parents, and therefore to act in the best interests of these children. Unfortunately, however, the word holiday is not really appropriate, as I agree, since, as the Coordination of NGOs for the Rights of the Child (CODE) and the Delegate-General for the Rights of the Child pointed out yesterday, progress still needs to be made in this area by Belgium. In particular, they denounce structural inequalities between categories of children, stressing that migrant children in situations of great insecurity or in the face of justice – children who therefore need more support from the State – are neglected by that State, thereby depriving them of some of their fundamental rights. They point specifically to the following situations, which concern the federal level: abused children trapped in domestic violence, unaccompanied foreign minors, children detained in Syria who, for the vast majority, have between one and three years of age, children locked up in the family units of Centre 127bis and children whose images are exploited for child pornography. Unfortunately, this list is not exhaustive. Madam Prime Minister, what measures are you planning to take care of children who are victims of domestic violence or child pornography? Do you intend to end this family unit project at Centre 127bis? It is strongly criticized both by the Council of State and by the United Nations. Do you intend to make cosmetic arrangements for this project without answering the fundamental question of the confinement of children? Finally, I would like to hear from you about the double request made by the CODE. On the one hand, it calls for the protection of children's rights to be seen as a cross-cutting issue in all areas, as we have done in the area of gender mainstreaming and, on the other hand, for a single minister in your Government to be in charge of coordinating all measures relating to the rights of the child.
