ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u1	Mr Laaouej is not present and therefore his question No. 26387.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u2	Madam Minister, students can be employed for a quota of 475 hours of work per year to reduce RSZ contributions, i.e. to a solidarity contribution of 8,13 %, of which 5,42 % are borne by the employer and 2,71 % are borne by the employee. The RSZ has apparently recently accepted that students subject to the solidarity contribution will have access to the scheme of net overtime in the hospitality sector. This is a specific system in which overtime is exempt from overtime and catch-up and is not subject to social contributions or to corporate tax. This particularly advantageous scheme for employer and employee applies to voluntary overtime and overtime due to exceptional increase in work or unforeseen need, which should not be caught up at the employee's request. These exemptions on social security, taxation and overtime apply to a maximum of 360 hours per employee per year. All employees employed full-time by an employer in the hospitality sector or by a temporary agency with a user of the hospitality sector are eligible for this measure, including occasional workers and flexi-jobbers. Until recently, the RSZ considered that students indicated with a solidarity contribution could not make use of it. That used to be the rule. The RSZ seems to have recently revised its position in the sense that students now have access to this scheme. This means that no solidarity contribution is due on these overtime hours either. Moreover, these overtime hours are not included in the quota of 475 hours. This change in RSZ's position affects the maximum quota of 475 hours per year that students may be employed to reduced RSZ contributions. In addition, it has an impact on social security income. After all, students are already employed on reduced social contributions and this measure allows them to be employed up to 360 hours a year in addition and completely untaxed. Moreover, unlike for other employees in the hospitality industry, these hours should not be indicated in the DmfA. Why did the RSZ's position change on student access to net overtime in the hospitality industry? What's the reason for that? This measure is nevertheless contrary to what has always been the starting point of student labour, in particular that students can be employed only 475 hours a year for reduced RSZ contributions. With this measure, 360 hours will be completely free of charge for students working in the hospitality industry. Where did this switch come from? Why shouldn't this be reported in the DmfA? How will it be checked that these students perform only 360 overtime as this should not be indicated in the DmfA? This means that students working in the hospitality industry can be employed more hours a year on reduced RSZ contributions compared to students working elsewhere. Isn't that contrary to the principle of discrimination?
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u3	Mr Vercamer, if there is discrimination, this can happen on both sides. In other words, the scheme applies to all. If that's what you want... all madness on a stick, here's my answer to your question. Together with you, I take note of this amended interpretation of student labour regulations on the one hand and of the legislation on net overtime in the hospitality sector on the other, by the RSZ. It is up to the RSZ to correctly interpret and apply the rules. The RSZ shall do so under the responsibility of its Management Committee. It seems to me that the regulation on net overtime in the hospitality sector would also apply to students. Any full-time employee in the hospitality sector may benefit from the net overtime scheme. However, the 475-hour quota is the total quota within which the student can work, free of contributions but with payment of the solidarity contribution. If, by applying the net overtime scheme in the hospitality sector, there is no solidarity contribution to these hours, these hours should, in my view, be included in the 475-hour quota. In other words, whether a student works in the catering industry or elsewhere, the quota is 475 hours. It has always been said that the same rules apply to all students. I must, of course, look at this with Minister Peeters, the Minister for Employment, Economics and Consumers. We're both authorized to do this. We will contact the RSZ together. That it can't be done this way, that's right. Even if students perform less hours and work overtime, they should not exceed their quota of 475 hours. That remains the principle, as was agreed.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u4	Clearly, Madam Secretary. So 475 hours is the total package, regardless of the form they are performed. With that position, you will go to the RSZ, to discuss and settle the matter.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u5	Madam Minister, for new employers there are a lot of target groups reductions, such as the first recruitments. New employers are employers who have never been subject to the RSZ for the employment of an employee for at least four consecutive quarters prior to the quarter of recruitment of a first employee. For them, we have a lot of target group reductions. There are also several advantages for these new employers. The problem is that there are a lot of questions about the interpretation of the concept of a new employer. This concerns in particular situations where a company or an independent activity is discontinued or taken over or goes bankrupt and is taken over after the bankruptcy. In these situations, there is a great deal of discussion about whether it is a new activity or whether it is a continuation of the previous activity or business. In practice, I see signs that it depends on the auditor whether it is a new activity or whether it is a continuation. I have a number of questions about this, because legal certainty is important for those who carry out a new activity. Madam Minister, can you clarify how the notion of "new employer" should be filled in in situations where an enterprise or self-employed activity is discontinued and then another company or self-employed activity is operated at the same location? What criteria do you think should be used to determine in those cases whether that other undertaking or self-employed activity is new or whether it is a continuation of the previous activity or undertaking? Can you confirm that if an undertaking or an independent activity is discontinued, whether or not it is failed, and subsequently another undertaking or an independent activity is operated at the same location, that undertaking or an independent activity is new if it has no standing with the previous undertaking that was present there and focuses on another market and another clientele? What is your answer if that company or activity is related to the previous company, possibly through a takeover? In this case, is there also a new activity or a new employer?
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u6	Mr van Peteghem, questions about the criteria for defining a new company often come back to this committee. A distinction must be made between the conditions which apply to be regarded as a new employer of a first to sixth employee, the conditions which apply to assess whether that new employer is part of the same technical unit of business and the question whether or not the newly recruited worker replaces an employee previously employed by one of the employers forming part of the same technical unit of business. The conditions for determining whether there is a new employer are therefore assessed solely on the basis of the employment of the natural or legal person who recruits the employee for whom he wishes to apply a reduction in contribution. In other words, only the number of employees employed simultaneously by that natural or legal person during the four quarters preceding the quarter in which the new employee is recruited shall be considered. If the conditions for being considered a new employer are met, the question must be asked whether the new employer, together with other natural or legal persons, constitutes the same technical unit of business. The RSZ uses fixed criteria to assess that, which criteria are generally known and are also mentioned in the administrative instructions of the RSZ. It should be noted, even though the legislation governing this reduction does not contain an explicit definition of the concept of the same technical unit of business, that the criteria applied by the RSZ are generally very well followed by the courts and courts. As part of the harmonised reduction, there is a single technical business unit where two or more legal entities are linked by at least one common person, who can be both an employee and a manager, and who have a common socio-economic basis. Some of the elements that may indicate this are the fact that the place or buildings where the activities are carried out are either at the same location or in each other's vicinity; the activities, in the case of related and/or complementary activities; the operational equipment, which may be partially or entirely the same; the businessmanship, whether the business activities of the companies address the same customers. These criteria do not therefore imply that the various employers must have been active together in order to have the same technical unit. The same technical unit may also be formed by employers in succession over time. In the case of an undertaking in failure where another undertaking continues a similar activity at the same site and re-acquires one or more employees who previously worked there, there will be the same technical unit, even if the management is carried out by a completely different person. The principle that an employer who continues an activity after a failure constitutes the same technical unit with the company that went into failure has already been confirmed several times by courts and courts. As far as the first part of your second question is concerned, this means that if it is a very different activity, there can be no single technical unit. As regards the second part of that question, given that it concerns two similar activities, there will be the same technical business unit if there is at least one employee or manager in common. It is clear that the application of these criteria in practice involves a certain assessment factor, for example as to whether the activities are complementary. However, it certainly does not depend on the individual auditor's assessment as suggested in the question. Doubts are assessed by a limited number of RSZ specialists to ensure the most unambiguous application possible. In the case of the same technical unit, it is necessary to establish the highest number of employees that all employers who form the same technical unit have worked together in the four quarters preceding the recruitment of the new employee. If the recruitment of the new employee does not result in an increase in the total number of employees employed by all employers who make up the same technical unit, then there is a replacement and the reduction cannot therefore be applied. If it is established that an employer fulfils the conditions for being regarded as a new employer, but the employee for whom he applies for the reduction of contribution according to the rules set out above must be regarded as a replacement within the same technical unit, the employer will have to repay the reduced contribution applied to the RSZ and there will continue to be no entitlement to the reduction in contribution for that recruitment. In other words, the right shall be definitively established at the time of recruitment. The principles set out above must be applied again and again when an employer recruits an employee for whom he wishes to apply the reduction. I can therefore recommend that this be examined in advance so that there are no surprises.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u7	Madam Minister, thank you for the very clear answer. The comments on the auditors mainly dealt with the fiscal aspect, but I have to be honest that this is a very clear answer. It is important that people who take over a company know effectively whether they are considered to be new employers. I believe that the application of these rules shows a very clear vision and also gives certainty to those companies.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u8	Madam Minister, the government agreement states that the government would take an initiative in consultation with the Regions to combat the abuse of the au pair statute. The practice shows that this is necessary. An au pair younger is a youngster who is temporarily admitted to a host family where he costs and enjoys accommodation in exchange for light daily household duties. However, he is mainly there to complete his linguistic and cultural knowledge of the country where he lives, by participating in the family life of the host family. In this way he can also broaden his overall development. According to the Royal Decree of 9 June 1999, people from outside the European Union should apply for a work permit B. That is what is needed so that one can monitor. In any case, the au pairer is not a nanny, babysitter, servant or servant. In the spirit of the au pair system, cultural education and linguistic enrichment must prevail. In order to avoid the employment aspect becoming the main objective of residence, the legislator has imposed a number of conditions to prevent any abuse. For example, the participation of the au pair in the household tasks should be limited to a maximum of 4 hours per day and 20 hours per week. Moreover, the host family must agree that supervisory officials will have access to the property, if requested. However, a study carried out by the Flemish Social Inspectorate shows that 72 per cent of the host families checked comply with the rules. Furthermore, evidence shows that the employment aspect often takes precedence over cultural education and the exchange aspect and that the au pair status is seen by some as a channel for legal labour migration. Sometimes the au pair itself thinks that it can work in this way in Europe. Since European au pairs do not need to be registered, it is difficult to identify abuses with them, although of course there are. Following the figures of the Flemish Social Inspectorate, the Flemish Parliament asked the SERV to consider what could happen to prevent the abuses. One of the recommendations relates to your policy area, Madam Minister: the SERV recommends that every au pair, both European and non-European, should have a dimona for the employment relationship. The contract of employment must take account of the specific obligations for the au pair system, namely that an au pair works up to 20 hours a week and that the main objective is cultural exchange. Thanks to the dimona system, we know at least who is working as an au pair in our country, we can exercise control and abuse. Madam Secretary, what is your opinion on the proposal to deal with abuse of au pairs, inter alia, through this instrument? Does that seem feasible to you? I realize that the government is in ongoing business, but I would like to hear your views on the problem so that we can pick it up after the elections.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u9	The only regulation relating to au pair young people is the Royal Decree of 9 June 1999 implementing the Act of 30 April 1999 on the employment of foreign workers, a decision falling within the competence of the Minister for Employment. The au pair younger is defined as a young person who is temporarily admitted to a host family, where he costs and enjoys residence in exchange for daily household duties to perfect language skills and expand general development through better knowledge of the country, by participating in the family life of the host family. The au pair and the host family must meet certain conditions specified in the mentioned KB. The conditions are laid down in the agreement for the placement of an au pair to be concluded between the family and the younger person, otherwise the family will not be given a work permit. In particular, the young person must undertake not to carry out an employment during the au pair placement. It is provided that the participation of the au pair in daily family responsibilities, including babysitting, shall not exceed four hours a day and twenty hours a week. That should also not be the main objective of the stay. The dimona is the electronic message by which the employer indicates every take-up and exit of an employee at the RSZ. That declaration is mandatory for all employers in the public and private sector. Since there is no real contract of employment in the case of au pairs, there should also be no dimona declaration. In the event of non-compliance with the conditions of the Royal Decree, the au pair shall be presumed, in the absence of proof to the contrary, to enter into a contract of employment of domestic aid with the host family, with all its consequences in the field of social security, such as the payment of social security contributions. Where appropriate, a dimona declaration should be required. I am not in favour of providing for derogations from the system of dimonas for situations where there is no contract of employment. I agree, however, that control must be carried out and that there can certainly be sanctions, which means that families will indeed have to pay social contributions. Moreover, this would create an impossible administrative burden for families who do follow the rules. I am in favour of a more comprehensive system of control for those who do not follow the rules. In this respect, I look forward to the initiatives of the Minister for Employment, who is responsible for the regulation of au pairs. If I have to cooperate within my competence, I will be delighted to do so.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u10	Madam Secretary, thank you for your reply. I already recognised in my explanatory statement that au pairs are indeed not employees; we do not make them. I understand that for you dimona is necessary for an employment relationship. But if the SERV itself comes up with the proposal, the members of it have thought about the matter; they are not stupid - and so, as I see, that some form of registration helps to control who is in the country, who is staying with the au pair and whether or not the maximum number of working hours is exceeded, then I think we should examine that slope. You say you don't want to work through dimona. Do you have other solutions, such as another registration system? The problem is that today, even for the European au pairs, there is nothing at all. They don't even have to apply for a work permit. There the number of abuses is probably even higher. In its opinion, the SERV suggests that, like other countries, a contract of employment should be introduced, just to protect those concerned, in which work is still not primed, but cultural exchange. I'm comparing it to the regime for the job student. For a job student it is also the number of hours...
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u11	Student labour is indeed subject to a contract of employment.
