Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ThiéryDamien	Thiéry, Damien	M	1963	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ThiéryDamien	Thiéry, Damien	M	1963	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	Minister	MR	Mouvement Réformateur	Coalition	Centre-right	ReyndersDidier	Reynders, Didier	M	1958	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	BuysroggePeter	Buysrogge, Peter	M	1976	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CorthoutsMichel	Corthouts, Michel	M	1952	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	Minister	MR	Mouvement Réformateur	Coalition	Centre-right	ReyndersDidier	Reynders, Didier	M	1958	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CorthoutsMichel	Corthouts, Michel	M	1952	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CorthoutsMichel	Corthouts, Michel	M	1952	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	Minister	MR	Mouvement Réformateur	Coalition	Centre-right	ReyndersDidier	Reynders, Didier	M	1958	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CorthoutsMichel	Corthouts, Michel	M	1952	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	Minister	MR	Mouvement Réformateur	Coalition	Centre-right	ReyndersDidier	Reynders, Didier	M	1958	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CalomneGautier	Calomne, Gautier	M	1980	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1036x	ParlaMint-BE_2019-02-13-54-commissie-ic1036x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ThiéryDamien	Thiéry, Damien	M	1963	
