Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-04-02-54-commissie-ic1075x	ParlaMint-BE_2019-04-02-54-commissie-ic1075x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1075x	ParlaMint-BE_2019-04-02-54-commissie-ic1075x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	WittoeckPeter	Wittoeck, Peter	U	-	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1075x	ParlaMint-BE_2019-04-02-54-commissie-ic1075x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1075x	ParlaMint-BE_2019-04-02-54-commissie-ic1075x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1075x	ParlaMint-BE_2019-04-02-54-commissie-ic1075x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TemmermanKarin	Temmerman, Karin	F	1958	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1075x	ParlaMint-BE_2019-04-02-54-commissie-ic1075x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1075x	ParlaMint-BE_2019-04-02-54-commissie-ic1075x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1075x	ParlaMint-BE_2019-04-02-54-commissie-ic1075x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TemmermanKarin	Temmerman, Karin	F	1958	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1075x	ParlaMint-BE_2019-04-02-54-commissie-ic1075x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1075x	ParlaMint-BE_2019-04-02-54-commissie-ic1075x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	WittoeckPeter	Wittoeck, Peter	U	-	
ParlaMint-BE-en_2019-04-02-54-commissie-ic1075x	ParlaMint-BE_2019-04-02-54-commissie-ic1075x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-04-2019	2019-04-02	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
