ParlaMint-BE_2019-12-17-55-commissie-ic076x.u1	Good morning, everyone. Sorry I'm late. First of all, Mrs Van Hoof has the floor.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u2	Madam Minister, on 31 May 2018, my bill on the approach to genital mutilation was adopted in plenary. The Act entered into force on 1 September 2019 and consists of two elements. Firstly, genital mutilation is mentioned in the medical record. When a woman or girl underwent a form of genital mutilation, it must be well documented in the medical record. Information on the type of genital mutilation and on the country and region of origin of the woman concerned should be included and any re-infibulation demand recorded. Secondly, the right of medical reporting was extended. When doctors establish genital mutilation, they are no longer bound by professional secrecy in the Criminal Code. In the meantime, there is a demand from hospitals for guidelines on the registration of genital mutilation. Firstly, what have you already done in this respect? Secondly, can you send a letter of instruction or a circular letter to hospitals with guidelines on the registration of genital mutilation?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u3	Ms Van Hoof, following the entry into force of the Law of 18 June 2018, the patient's medical records kept in the hospital, as provided for in the amended Article 2 (1) of the Royal Decree of 3 May 1999, should contain a number of elements, including the identity of the patient, the family and personal backgrounds, the current history of disease, the data of prior consultations and any hospitalisations, all data related to the results of clinical, radiological, biological, functional and histopathological examinations, plus the advice of the consulted doctors, the preliminary and final diagnosis. If a woman or girl, regardless of her age, has undergone any form of genital mutilation, it shall be well documented in the medical record, including the type of genital mutilation. The country and region of origin of the woman or her family concerned shall also be mentioned. If a question is asked about re-infibulation, this shall also be documented in the medical file. The government thus determines which elements the medical record should contain at least, but not how the doctor should fill them in. For none of the elements listed in Article 2 (1) of the Royal Decree of 3 May 1999, the way in which they are to be interpreted was made explicit by letter of circular. I would also remind you that the FPS administration has no access to the medical records. The Act entered into force on 1 September 2019. I have not yet received any questions from hospitals about problems with this or specific directives to comply with the legislative amendment. If that is the case, this can be investigated. As far as the extension of the right to report on doctors is concerned, a code of conduct has been available since March last year and has been developed by the Order of Doctors in cooperation with the government. It is intended for doctors and hospitals and should help them to act carefully when confronted with female genital mutilation. In recent years, there has rightly been a growing focus on preventing female genital mutilation. It is recommended that a subsequent government also evaluate the impact of the various measures in a few years' time.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u4	Madam Minister, we must indeed be able to evaluate; that is important. The entry in the medical record should allow us to identify the regions from which the maimed women originate and which type of genital mutilation is the biggest problem in our country. After all, today we have absolutely no idea of this, which makes prevention much more difficult. Hospitals had already informed me that they could themselves give details of the way in which they are registered, but it is good that we can eventually compare and examine the data in this area, in order to improve prevention and guidance.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u5	Mr President, Madam Minister, as every year, Belfius published, a few weeks ago, the financial situation of our hospitals through his study MAHA (Model for Automatic Hospital Analyses). If the study shows a slight improvement over 2017, it cannot be said that the situation is comforting. Thus, three observations are highlighted: First, almost one in three hospitals is in the red. While hospital revenues continue to grow, 32% of hospitals closed 2018 with red accounts. Secondly, between 2014 and 2018, it appears that the number of admissions increased by 0.5% per year. On the other hand, the number of days has fallen by 0.8% per year. Tertio, in 2018, while staff remuneration increased by around 3%, Belgium remains a country where the number of patients per nurse is too high, with about 10.7 patients compared to a European average of 9. Minister, the situation remains a matter of concern and we must address it as soon as possible. The budgetary context in which our hospitals have evolved in recent years is not foreign to them. I am thinking of the 1.5% growth standard in Belgium under your government, while the Plan Bureau estimates that it should be at least 2.5%. I am also thinking of the significant savings that have been made in health care, which are in the order of EUR 2 billion. Minister, the reform of the hospital landscape is on the way, and that is so much better. It will probably be more efficient and I hope that we will build networks for the benefit of the patient, but it will not address all the difficulties the hospital sector is facing today. A reform of hospital funding was also on the agenda. Where are we? If I am not mistaken, except for a project on low variability care, nothing has been submitted to this assembly under the previous legislature. Hospitals, on the other hand, have lived with a very difficult budget framework. So what are the next steps in this reform that is essential to ensure the sustainability of our system, its quality and its effectiveness for the patient? Finally, one of the elements highlighted by the Belfius study is the glaring lack of nursing supervision. We've already talked about it over and over again. Where are we? Do you confirm the situation? Are you considering reviewing these standards with the impact they will have on the budget? Nor should we forget the need to reform nomenclatures, as has been announced for several years.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u6	Mr Rigot, the MAHA study carried out annually by Belfius in recent years, sums up once again the financial situation of hospitals, this time on the basis of figures from 2018. The overall figures remain the same, although they show a very modest improvement. It is not surprising that we are not seeing any major changes yet, because the fundamental reforms of the sector, after many consultations, studies and preparations, have only begun during the previous legislature. I have never claimed that we could achieve such a reform in its entirety, in the space of a legislature, let alone perceive the results. I presented the reform on 28 April 2015. I said then that the reform would last beyond this legislature. But the reform is under way in the area of hospital networks, where a first obstacle has been overcome. In the coming years, it will also be necessary to work to build trust between hospitals within the networks. Locoregional clinical networks are an instrument and not an end in itself. The profound change in the hospital landscape will only be a reality when the provision of locoregional care is less fragmented and public funds are invested in a less fragmented and therefore more efficient way. While networks continue to provide access to basic health care, they must stop the competitive overbidding between hospitals. I agree with you that the locoregional clinical networks would have more room for manoeuvre if, in other areas, both federal and federal, the relevant legislation were aligned in this direction. But we must remain realistic. The macro-economic context will no longer allow for an increase in health care budgets as was the case before the 2008 crisis. It is only by optimizing health care that we can maintain their quality and accessibility. Federal entities – for accreditation standards and the infrastructure funding – and federal authorities – through programming, standard setting and funding – have their role to play. Innovation should be encouraged financially. In this regard, I will cite as an example the continuation of the conversion of conventional hospitalizations into day hospitalizations. This is also essential in order to be able to improve the number of nurses compared to the number of patients in Belgium. Hospital funding needs to be made more transparent and simpler. Here, too, we have not been able, as planned, to reach the end of the previous legislature. But with the introduction of funding for low variability care, we have given a strong boost by providing the same funding for the same patients in all hospitals in our country. You saw yesterday that it was still necessary. It is strange that the price varies. It's not normal. This is especially the case in Wallonia. You've seen that the most expensive hospitals are located in Wallonia. That's a fact. I'm not happy about that. Not at all! For the moment, it's only for fees. But in the coming years, this will also be the case for drugs, implants and budgets. We are preparing this. We're working on it. That will be our legacy. During the previous legislature, the partners of the organs of INAMI launched a reform of the whole nomenclature. This issue has been discussed for more than 30 years. I've been here for 20 years, but it's been 30 years. During the previous legislature, work really began. We await the conclusions of the working group. Like you, we hope that the reforms will take place. The challenges are now identified. We share the concern to keep our country at the top level in health care. On the growth rate, I would like to listen to you when you say you need more than 1.5%. I still have problems when I see the hole in front of us. I hear in the field that it will be the minimum minimorum. But it is possible that this is even less. You've seen the paintings, which have been proposed by someone you know well. It won't be easy. That will not be obvious.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u7	Minister, thank you for this clear and detailed answer. I want to assure you that I am aware of the long-term work you are doing, which aims to empower the entire sector in order to achieve effective management, with respect for all patients. Beyond all economic logic, which could also come from the hospital community, we must be careful to maintain our hospitals and to prevent them from cutting in the way, to the detriment of the staff who are at the bedside of the patients. For my part, I am an alderman of a city of 15,000 inhabitants. We are fortunate to have two high-quality hospitals, of which I know the importance for the inhabitants of the basin where we live. There is no question that one of them is paying for a purely economic underfunding or logic that is not yours, Madam Minister, but that could be that of the hospital community. This is why these future dangers need to be addressed. Finally, I would like to remind you of the absolute need for the optimal funding of the White Blouse Fund, which we voted for a few weeks ago. 2020 is already tomorrow. It is therefore important to work hard on it. In fact, the patient must be able to be assisted by medical staff, whether he is a doctor, a nurse or a caregiver. Benefiting from high-quality health care is the key issue in our fight.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u8	Madame Minister, on 16 July 2019 the FAGG published circular No. 648. The letter provides some clarifications in relation to the Royal Decree of 11 June 2015 on the regulation of products containing one or more tetrahydrocannabinols as regards raw materials for magistral preparations. The letter allows pharmacists to make majestic preparations based on cannabidiol, if the presence of THC is less than 1 microgram per kilogram of body weight per day. If a raw material is not authorised, which is the case with substances from the plant cannabis sativa, a pharmacist can only use them in majestic preparations and if there is an analytical certificate, delivered by an approved laboratory. Delivering cannabidiol based preparations can only be made as a majestic preparation, i.e. on prescription. Official free-selling preparations are prohibited. The circular rightly states that training is necessary in order to acquire the necessary competences to carry out CBD-based preparations correctly. Firstly, could you clarify the impact of the letter in practice? Will patients soon be able to obtain customized majestic preparations based on CBD on prescription? Secondly, what kind of preparations will become available? Is it about oils, sprays or pill-shaped drugs? For which pathologies will doctors be able to prescribe CBD-based preparations? Thirdly, what are the risks and benefits associated with this? Is there sufficient knowledge in both doctors and pharmacists about the risks associated with medicinal products containing the cannabis plant as a raw material?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u9	Mrs Van Hoof, due to the relevant letter, the raw material CBD is available to pharmacists. Patients can indeed be treated with this if prescribed. However, the maximum daily exposure to tetrahydrocannabinol should be taken into account and the dosage of CBD should be adjusted on the basis of the THC content specified in the analytical certificate. Different forms of manufacturing are possible. The most common is the solution in oil. It is the doctor who decides for which pathologies he wishes to prescribe CBD. The existing evidence for the medical properties of CBD is currently limited and also fragmented. The existing literature describes, among other things, use in certain forms of epilepsy, such as the syndrome of Dravet and Lennox-Gastaut. CBD has no psychoactive activity. The risk of addiction is therefore limited. Like any medicine, CBD has natural side effects. Moreover, the long-term effects have not yet been properly studied or mapped. Physicians and pharmacists treating patients with it should therefore adequately raise their scientific knowledge of that raw material and medicinal cannabis or cannabinoids-based medicinal products. A specific advantage of making CBD available as a raw material is that doctors who identify a therapeutic need to treat their patients with CBD can prescribe that and can also rely on the correct delivery of a preparation via the official pharmacists. This contrasts with cannabis oil, which is made illegal on the basis of coffeeshop cannabis, whose quality and purity are not guaranteed. In particular, it concerns the THC content and also the possible presence of heavy metals; insecticides have even been detected. In the case of cannabis oil, the user also risks seizure or a positive drug test in traffic. There is therefore still a need for knowledge so that the doctor knows what he prescribes, as the doctor is always responsible for the prescription, as the pharmacist is responsible for the correct delivery.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u10	Madam Minister, earlier this year we adopted legislation on the recognition of the cannabis agency. Companies can now produce plants, allowing them to make raw materials available to universities and pharmacists. I think we should follow that evolution very closely. It is true that the supply on the market is large today. For example, there are CBD shops, but control indeed shows that the THC level is in many cases far too high. That's why I'm an advocate, along with you, for this to be controlled, under surveillance. The necessary training must indeed be organized, as I fear that neither doctors nor pharmacists have sufficient knowledge at present. In that sense, I am in favour of the royal decision. We must ensure that the product is properly placed on the market. Due to a lack of knowledge, the correct medicines may not be prescribed, so patients still purchase in the Netherlands. That is why, even in the future, follow-up is necessary.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u11	Minister, Esophagus cancer reaches about 1,400 Belgians every year. Two treatments are generally offered in this context. In the face of a small cancer, it will be surgery. In the face of advanced cancer, doctors will direct the patient to chemotherapy and/or radiation therapy. However, it is my responsibility that chemotherapy and/or radiotherapy sessions are only reimbursed in the context of phase 4 oesophageal cancer. Minister, could you tell me what are the indications for which chemotherapy and/or radiotherapy sessions are recommended as part of the treatment of the oesophagus? Do you confirm that only stage 4 patients are currently eligible for reimbursement for these sessions? If so, why? If necessary, could a broader refund be considered in the future? What would be the cost?
