ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u1	Debates of the European Parliament Mr Thiéry's 26069 will be dealt with in the Committee on Health.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u2	Madam Minister, the CREG published a follow-up study on the organisation of group purchases in the energy market in October 2018. The study showed that there are still some improvements. For example, the energy regulator currently has no or insufficient information on such group purchases. Nor can they be included in the CREG Scan, which makes it difficult for consumers to compare the offer of the group purchase with the regular offer, which means a fairly large defect if we want consumers to be able to make the necessary comparisons, all the more so since the share of group purchases on the market is not insignificant. Following these findings and other shortcomings, the CREG requests that its powers be extended and makes some recommendations to this end, including the introduction of the possibility for the CREG to request information from the organisers of group purchases. This could be done by extending or adding to the definition of intermediary in the Electricity and Gas Act. I have included in the text of my question what such an addition might look like. A new version of the charter for the provision of good information in the price comparison of electricity and gas can also include a clear definition of the term "saving potential'. Madam Secretary, are you aware of the study? I suppose so. What actions do you intend to take in this regard? Are you prepared to consider, together with us, an amendment to the Electricity and Gas Act concerning the definition of intermediary and the definition of savings potential?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u3	Mr Calvo, in her recent study on group purchases in the retail market for electricity and natural gas, the CREG made it clear once again that the request for information from, among other things, group purchases organisers is currently not within the competence of the CREG, as they are included in the Electricity and Gas Act. In the study, the CREG is in favour of extending its powers to request information from, among other things, group purchasing organisers by extending the definition of intermediary in the Electricity Act and including the definition of intermediary in the Gas Act. What's a middleman? I quote: "Every natural or legal person directly or indirectly involved in: analysing contracts, carrying out price comparisons with or without the possibility of switching, bringing suppliers and final customers together, organising group purchases, allocating energy supplies to suppliers and/or concluding energy contracts for final customers." This implies an extension of the powers of the CREG, which should be given the possibility to request information on this matter, and an adaptation of the Electricity and Gas Act. At the end of 2018, VREG published a study on the same theme. The VREG also calls for an extension of the regulatory framework at regional level in order to better monitor the organisation of group purchases. In July 2018, the CREG approved a new version of the charter for the provision of good information in the price comparison of electricity and gas. The new text of that charter, which entered into force on 1 October 2018, is addressed to the price comparison service providers, including the group purchase organisers. A new provision was added to the Charter for the provision of good information in the price comparison of electricity and gas, namely § 2, 8, as the CREG wishes to clearly define the terminology used for the comparison of products and the potential for saving. Suppliers have the possibility to adjust the product portfolio and prices or price formulas. In addition, certain suppliers have specific comparison contracts for certain products offered in the past. The monitoring of the CREG shows that suppliers have changed a product portfolio several times, so that a user does not find its product in the list of existing products, and/or have modified a product with the same name, price or price formula, so that a user does not know which version of the product was endorsed. The consumer agreement provides that each tariff card remains available as long as there are contracts based on the tariff card. At the simple request of the consumer, the tariff card applicable to his contract is immediately provided to him by the energy supplier. It is also permanently available in its digital customer zone, as long as its contract runs. The CREG wishes to make a clear distinction between a comparison of the products of the existing offer and the comparison of the existing offer with the current contract. The CREG notes that potential savings for the user are often miscommunicated and a potential for savings that does not correspond to reality is reported. The CREG Scan is a starting point and indicates for a standard consumption whether the contract previously concluded is an asset or other contract and how it relates to the cheapest and most expensive product in the current market. Moreover, the provisions of the charter do not in any way affect the legal provisions that may apply to online price comparisons, such as the rules on unfair commercial practices and on misleading and comparative advertising. It may be possible to examine with the Minister of Economy whether it is indeed appropriate to define the potential savings in economic legislation or in energy legislation.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u4	Mr President, I would like to thank the Minister for her comprehensive reply.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u5	Mr President, these are two questions of a different order, so it was not the very best idea in the history of our committee. That said, Madam Minister, the first question concerns the speech by Secretary of State Pieter De Crem at the International Atomic Energy Agency and the role he was given as a special envoy for the MYRRHA project. That speech took place on 18 September 2018. He has committed himself to funding by the Belgian government in the period 2019-2038, for as much as 558 million euros. A first installation should be completed by 2026. The Secretary of State also announced that the Belgian Government will establish a structure to promote the project and allow interested partner countries to participate in the project. I have the following questions. If I am not mistaken, the establishment of this non-profit organisation was announced as early as October 2017, when the Secretary of State was appointed as Special Envoy. Has it been established by now? Why did the foundation take so long? One of the missions of the Special Envoy was to seek external funding. In the meantime, what's the outcome of the search? What impact does the role of Special Envoy have on the budget? Are there any additional fees, resources, staff deployment and expenses associated with that mandate? To whom and by what frequency is the Special Envoy accountable? Until when does Mr De Crem's mandate as Special Envoy run? Will he be followed? Has his mandate ended in the meantime, given that he, as the Minister of the Interior, has something more to do with him? My second series of questions concerns the state of funding for MYRRHA. This is also quite topical because some party chairmen have turned it into their own. In addition to the questions about the role of the Special Envoy and Mr De Crem, I would like to know more about the general state of affairs, in particular about funding, Madam Minister. What is the project status of MYRRHA? There is a regular project evaluation. What are the main findings of the project evaluation? Which investors, whether or not driven by Pieter De Crem, have now made concrete commitments to invest in MYRRHA? I would like to hear the actual figures. In addition to project funding, does part of the basic funding of the SCK-CEN go to the MYRRHA project? If so, what share? What exactly are these funds devoted to? How much additional funding will be provided for the MYRRHA project in the coming years? How do you account for this amount in a time of scarce resources, in which all the resources for the real energy transition must be collected?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u6	Madam Minister, the Research Centre for Nuclear Energy in Mol is one of the world's leading nuclear applications research centres and is one of the largest producers of radioisotopes in the world. To maintain this leading position, the SCK is currently developing a new type of nuclear reactor MYRRHA. The SCK aims to embed the development of this reactor in an international cooperation for which other countries are also wanted to cross the line. They also look at the Länder, including Flanders. A collaboration with the Netherlands already exists for medical applications. The reactor in Petten and the BR2 reactor in Belgium provide almost 100 percent of the European medical isotope requirement. Both reactors date back to the 1960s and therefore a new infrastructure is desirable. On 7 September 2018, the Council of Ministers decided to release more than 550 million euros for structural funding in the period 2019-2038, in order to give the project every chance of success. However, as a result of the government crisis, the budget has gone into twelfths. What impact does this have on the resources, funding and implementation of the MYRRHA project? Is there any interest or agreements with other countries, Flanders or other states to participate in MYRRHA? In the Netherlands we are working on the PALLAS reactor, in Belgium we are looking at the MYRRHA project. Is there any interest from the Netherlands in investing in the MYRRHA project? Are there any other forms of cooperation with the Netherlands in this area?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u7	Mr President, ladies and gentlemen, as a preliminary remark, I should like to point out that Mr De Crem made the statements at the IAEA General Conference, to which you refer, not as MYRRHA's special envoy, but as head of the Belgian delegation. In addition, at the general conference, Belgium's declaration also included a number of other themes, including security, proliferation and international geopolitics. He also took the opportunity to make various contacts in Vienna, as should be the case. In the context of the gradual core step, the Belgian Government considers it a priority to maintain Belgian knowledge and expertise in the nuclear field and remain a world-class player in the field of innovation in key areas such as nuclear medicine, the production of medical radioisotopes, research into new materials, particle accelerators and the study of transmutation of long-lived radioactive waste. The latter is one of the most important and aims to make progress through scientific developments on new and complementary solutions for responsible management of radioactive waste, a subject of common international interest. For this reason and in order to achieve that objective, the government decided on 7 September 2018 to build a new large research infrastructure in Belgium, the only one identified by the European Commission through its ESFRI programme, in particular MYRRHA. In order to ensure every chance of success of the project, the Council of Ministers decided to allocate a structural funding of EUR 558 million for the period 2019-2038 to cover investments in the MINERVA plant by 2026 and, on the other hand, the future operating costs after 2027 and the studies and developments of the MYRRHA installation. The government wanted to make as many decisions as technically, scientifically and financially possible at this stage. It is intended that the decision is structural and that the project is maximum self-sufficient. I do not need to underline how much interest there is in the technology of particle accelerators in that area. The decision was already the result of a real team effort, namely by myself and my colleagues, Minister Peeters and Secretary of State De Crem. You understand that a decision of EUR 558 million must be weighed and ripened. The breakdown of funding is as follows: Firstly, the investments related to the construction and commissioning of phase 1 of MINERVA for the period 2018-2026 amount to EUR 287,3 million. The operating costs of MINERVA for the period 2027-2038 amount to EUR 156 million. Finally, the design costs for the preparation of Stages 2 and 3 relating to an application for authorisation for the period 2019-2026 are EUR 115 million. The project was financed by SCK-CEN, mainly from the ordinary budget, for a total amount of EUR 22.6 million during the period when the project did not yet receive a special grant from the Belgian Government. In addition, from 2010 to 2017, the MYRRHA project received a special donation from the federal government, which also accounted for the largest share of the funding, for a total amount of 101.9 million euros. During that period, the project was financed by SCK-CEN, from the ordinary amount and own resources, for a total amount of EUR 39.7 million. Including European grants or contract research, the total amount of funding for the MYRRHA project between 1995 and 2017 was therefore EUR 178,2 million. Through the government agreement, the federal government has committed itself to supporting the MYRRHA project. In order to ensure that promotion at the international level is as effective as possible at the lowest possible cost, the SCK-CEN supervisory ministers, namely myself, as Minister of Energy, and Kris Peeters, as Minister of Economy, also responsible for Foreign Trade, decided on 6 September 2017 to ask the Secretary of State for Foreign Trade to support the MYRRHA project within the framework of its powers. What are the possible budgetary implications? On 11 October 2015, the Council of Ministers ruled that "this appointment does not involve a request for additional budgetary resources'. He can rely on SCK-CEN and the MYRRHA ad hoc group. The Council of Ministers of 7 September 2018 decided to continue the existing efforts to promote the project internationally, as agreed between the Ministers of Economy and Energy. Mr De Crem held that difficult position since October 2017. Why is it a difficult position? Although it is true that the MYRRHA project continues to interest foreign partners, the main question of those partners was that Belgium would first take the risk and decide to invest in the project itself. This is one of the reasons why no agreement has yet been reached with another country to participate in the implementation of the project. The ministers concerned shall consult each other on how to report on the actions undertaken and on future actions; the Cabinets concerned shall exchange the necessary information. In order to attract partners and convince them to join the project, the government decided on 7 September 2018 to establish an international non-profit association as a successor structure in 2019, with the aim of promoting the project and encouraging the participation of interested international partners. Once operational, the Ivzw will be the owner of the installations, responsible for the international promotion of the MYRRHA project and bringing together the participations of other partner states. In order to strengthen synergies, in particular at the level of international action, the Council of Ministers of 7 September 2018 invited the future Ivzw in formation, assisted by SCK-CEN, in consultation with the AD Energy of the FPS Economy, SMEs, Small and Medium-sized Enterprises and Energy, and in cooperation with the FPS Foreign Affairs, Foreign Trade and Development Cooperation, to develop an international outreach strategy. A representative of the FPS Foreign Affairs, Foreign Trade and Development Cooperation will also be present in the body. This presentation will give you the status of the MYRRHA project, a financial overview of both the past and the budgetary aspects for the future of the important decision that was taken by the Council of Ministers on 7 September 2018. With regard to the impact of the budgetary means in twelfths for 2019, one must of course regret such a situation. The issue is currently under discussion between the budget teams of the offices concerned, i.e. the office of the Minister of Budget and the SCK-CEN. As far as your other questions are concerned, it seems to me, Mr Calvo, that I have already had the opportunity to give a detailed answer to them at the committee meeting on 7 March 2018 (question No 23405). As far as my observations on this subject are concerned, as you already asked me, I am making my own those that the government made on 7 September 2018 and in particular, as I explained, that "Belgium should remain a major player in the areas of particle accelerators, new materials, advanced material testing, etc." Scientists and researchers have stressed the need to maintain knowledge in the nuclear field in the context of our gradual exit from nuclear energy, in order to allow responsible management of spent fuel from our nuclear power plants and thus comply with our legal and moral obligation to ensure, on a graduated basis, a high level of safety in the long-term management of these materials in order to avoid leaving undue burdens to future generations. This time interval and infrastructure will also enable scientists to develop useful solutions for radioactive waste management. From a socio-economic point of view, the socio-economic impact of MYRRHA in terms of value-added creation, in its entirety, is estimated at €6.4 billion over its lifetime until 2065. This impact is divided between construction for a total of EUR 1.5 billion (23%) and the impact generated by a total of EUR 4.9 billion (77%). Moreover, it has been found that many collaborations have already taken place since the origin of the MYRRHA project between the SCK-CEN and the universities, research centres and Belgian sister organisations, such as UCL, MRIM, VKI, KU Leuven, UGent, ULB, ULg, VUB, UZ Leuven, or foreign authorities. More than 100 PhD or Master's theses were done on the MYRRHA project between 1998 and 2018. In this dossier, as in other dossiers, the government places innovation and engagements in strategic and structural investment at the heart of its action.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u8	I have a small technical question, following on from Mr Wilrycx's question. Because the government is in ongoing business, the new structural funding of MYRRHA has not yet started, if I am not mistaken?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u9	Structural financing is guaranteed by the decision I mentioned to you. Of course, its implementation in a system of provisional twelfths, in which funds are released on a quarterly basis, requires agreements with the Minister of Budget. We're discussing it. I will of course keep you informed of the decision that will be taken, since we are in the first quarter.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u10	Madam Minister, thank you for the explanation. In this respect, we should perhaps consider current matters as an opportunity, because I am quite sceptical about the new subsidy. In any case, it is not politically evident to launch such mega-subsidies in current cases. Moreover, there are a number of serious reasons for doubting this today. You yourself have said how much MYRRHA has already cost for the basic operation of the SCK, while perhaps other things could happen with that basic operation, such as extending the centre into a key player and becoming a top in nuclear safety and decommissioning. I will go over the report again, but a good amount of own resources has already gone to MYRRHA. More importantly, many public funds have so far gone to MYRRHA and not to the hoped-for success. After all, you are telling a very different story today than what has been told to us so far. You say that there are no foreign resources yet because the foreign partners are waiting for a structural commitment from Belgium and that you now hope that this structural commitment will provide for those foreign partners. That is your story now, whereas earlier it was the story that subsidies over the past few years served to initiate international cooperation and financial partnerships. That was the idea. Colleague Wilrycx can confirm that. That is why the Belgian government has subsidised MYRRHA for a number of years, but even this multi-annual subsidy has not yet produced any financial agreement. You confirm that today. No financial agreement was concluded around MYRRHA, after we have already invested more than EUR 150 million of SCK funds and public funds in that project. What kind of project can such treatment be expected in Belgium? And now you say that you want to open your checkbook even in current cases for the next ten, fifteen, even twenty years, if I am not mistaken. In my view, this is neither an act of good governance nor a well-thought-out energy policy. We'll look into this. I will question the Minister for the Budget on this in order to ensure that funding cannot take place. In this way, this will be a decision that belongs to the next government. This not only has to do with our substantive concerns, but it also has to do with proper governance. I don't think it's up to this government of pending cases to open a checkbook for a long time.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u11	Madam Secretary, thank you for your detailed answer. You will not be surprised that I do not agree with Mr Calvo's statement. You have clearly described the importance of nuclear research and applications in Belgium. You have listed various applications and I think it is important to continue to play a leading role in this area in the future. We are world leaders in this respect. It's important to stay that way. We are also very pleased that the Minister approved structural funding in September. It is a pity that the government has fallen and we have had to move to provisional twelfths. I hope that you will get out with the Minister for the Budget, Mrs Wilmès, and that you can guarantee the structural funding of MYRRHA. This can attract other players abroad. We are satisfied with this decision by the Council of Ministers.
