Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ZanchettaLaurence	Zanchetta, Laurence	F	1972	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ZanchettaLaurence	Zanchetta, Laurence	F	1972	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ZanchettaLaurence	Zanchetta, Laurence	F	1972	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ZanchettaLaurence	Zanchetta, Laurence	F	1972	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	AouastiKhalil	Aouasti, Khalil	M	1986	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	AouastiKhalil	Aouasti, Khalil	M	1986	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2019-09-25-55-commissie-ic015x	ParlaMint-BE_2019-09-25-55-commissie-ic015x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-09-2019	2019-09-25	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
