ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u1	Question No 26820 by Mr Blanchart is transformed into a written question.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u2	Minister, in the context of the further modernisation of consumer law in Belgium, you organised a consultation in November between the representatives of consumer organisations and those of businesses, the FPS Economy and the European Commission. A number of proposals from the European Commission, including on-line consumer rights and on creating better conditions for our businesses, were the starting point.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u3	Chairperson: Griet Smaers.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u4	Minister, can you summarise how you will continue to work with the organisations concerned to apply the European Commission's proposals in Belgium? Have you set a specific timeline for this? Did a number of quick wins emerge from the first discussion? Will Parliament soon be able to take a legislative initiative in this area? Can you explain the Commission's proposal to revise the modalities of the right of withdrawal? To what extent does the European Commission wish to change the modalities? How does the government deal with this in current cases? How do the different national organisations respond to this?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u5	Mr Janssen, in the context of the New Deal for Consumers, the European Commission made two proposals for directives in April. On 12 November, the FPS Economy organised a consumer dialogue, where the Commission presented its proposals and the stakeholders who participated in the initiative expressed their views. As can be expected, consumers' views are not similar to those of companies. However, the initiative was useful for further discussions in the Council's expert group. Designing a timeline is not possible at the moment. That will only be possible once the directives have been adopted. As regards specifically the changes to the right of withdrawal, the Commission intends to respond to the abuse of that right. Abuse, both by businesses and by consumers, must be combated. So solutions are being sought. My position on this is that the rules must be precise and clear so that they cannot lead to abuse in the opposite direction. The text before us does not exclude the unilateral refusal of the withdrawal of undertakings, as it would have been used well. I hope my answer is clear in that regard. As a government of current affairs, I am open to any initiatives being taken here. I will have to repeat that a few more times in my answers. If initiatives are taken here, I will be happy to participate and participate in the discussions.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u6	Thank you, Minister, for the clear answer.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u7	Debates of the European Parliament No 27659 by Mrs Lambrecht and others Mrs Dierick's 27677 will be converted into written questions. The next item is the debate on the following motions for resolutions: 27702 by Mrs Ceyssens. It is not present and has not sent a message.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u8	Madam President, Minister, at the beginning of 2018, I once again asked you a number of questions about the future of the solder and fence period in our country. A survey carried out at that time did not give a clear picture of the position of traders with regard to the survival of these periods. For example, there were striking differences between Flanders and Wallonia. You then indicated that you would continue to consult with the organisations concerned in order to clarify matters. In 2016 I also asked you a number of questions about shifting the solder period. The NSZ then launched the proposal to shift the solder and guard periods for a month. From your answers, it was possible to conclude that not every sector was in favour of this. Yesterday or the day before yesterday the NSZ again suggested to shift the solder period, which should be postponed from January according to the NSZ to February. Mr Minister, which organisations have had an exchange of views since the beginning of 2018 on the solder and bond period? What decisions can you make from these conversations? Is a change, e.g. a shift of the barrier period, a possibility?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u9	That is a very interesting discussion, Mr Janssen. It's moving in all directions. The discussion I wanted to open concerned the abolition of the barrier period. A direct survey of traders was organised on this matter. The poll was carried out by the Ipsos office. The results confirmed the different views in the North and South of the country. They were also explained to UNIZO and the UCM. This additional questioning has not allowed agreement to be reached within the government on a change in the legal rules, but I would ask Parliament, if possible, to take an initiative to deal with the problem. I am happy to make the draft law that I have prepared on this subject available to Members of Parliament. You can then make a proposal, which can be discussed further.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u10	Thank you for your clear answer, Minister. So you want to leave the initiative to Parliament. If there are so many differences in the results of the survey between the North and the South of the country, however, we should not be too quick to hope to find a majority in this committee, but perhaps we will try.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u11	Madam President, Minister, in recent weeks a number of media reports have been published on the impact of online reviews on shops and restaurants. At first sight, this system is to the benefit of both traders, catering operators and consumers. However, it also repeats reviews that are falsely submitted, by critics who have not visited the store or restaurant in question, or by competitors who want to put each other in a bad light. It provides information which is detrimental to the business in question but which also gives wrong advice to the other consumers. In October 2017, I asked you a number of questions about this. You then stated that there was an investigation going on and that you would discuss the results with the Restaurant Federations. Has the investigation of false reviews been completed? What conclusions have been drawn from this? Have you been able to discuss the results with the federations? Which federations were involved? What were their views? My final question is about a legislative initiative, but I will have to drop it.
