ParlaMint-BE_2019-02-21-54-plenair-ip271x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2019-02-21-54-plenair-ip271x.u2	I have received amendments to the draft law introducing the Code of Companies and Associations and laying down various provisions (No. 3119/01). I have received amendments to the bill introducing the Code of Companies and Associations and introducing various provisions (No. 3119/1). In accordance with the opinion of the Conference of Presidents of 20 February 2019, I propose that these amendments be sent to the Trade and Economic Law Committee (Art. 93, No. 1, of the Rules of Procedure). In accordance with the opinion of the Conference of Presidents of 20 February 2019, I propose that these amendments be referred to the Committee on Commercial and Economic Law (Art. 93, No. 1 of the Regulation). Are you sure you don't mind? [[No.]] Thus shall be done. No observation? [[No]] That will be the case. Consequently, and in accordance with the opinion of the Conference of Presidents of 20 February 2019, I propose that the discussion of points 2 and 3 be postponed. Therefore, in accordance with the opinion of the Conference of Presidents of 20 February 2019, I propose to postpone the discussion of items 2 and 3. In accordance with the opinion of the Conference of Presidents of 20 February 2019, I propose that you postpone the next item to the plenary session of 28 February 2019: Appointment of alternate members and members of the Office of the Central Supervisory Board for the Prison Service (No. OJ L 347, 20.12.2013, p. 671. In accordance with the opinion of the Conference of Presidents of 20 February 2019, I suggest that you defer the following item to the plenary meeting on 28 February 2019: Appointment of alternate members and members of the Bureau of the Central Prison Supervision Board (No. 3531/1). Are you sure you don't mind? [[No.]] Thus shall be done. No observation? [[No]] That will be the case.
ParlaMint-BE_2019-02-21-54-plenair-ip271x.u3	Mr President, to my disappointment, even if it is not unexpected, my question about the cost of nine new gas plants that the government wants to build, a question I had addressed to the Prime Minister, will not be answered by him, but was passed on to Mrs Marghem. Last week we addressed a very clear and precise question to Minister Marghem asking for a clear answer. Today it appears that the answer was not so precise at all, quite the contrary. What is in the paper today indicates that it was wrong. That is precisely why we want to question the Prime Minister. After all, it makes little sense to question the Minister again about something that she did not want to give the right answer to last week. I repeat my request to assign the question to the Prime Minister so that we can talk about the government's position. After all, we had Mrs Marghem's show last week.
ParlaMint-BE_2019-02-21-54-plenair-ip271x.u4	Mr Wollants, I fear you know my answer. The answer is that after consultation it was decided to have the answer given by Mrs Marghem, who commits the entire government to the position and who responds on behalf of the government.
ParlaMint-BE_2019-02-21-54-plenair-ip271x.u5	Mr President, I take note of your answer, but I read something quite different. I read in it that the Prime Minister prefers not to interfere in the dossier. I read in it that the Prime Minister clearly does not want to put his hands in the fire for Mrs Marghem. I take note of this and will make my comments on the whole for Mrs Marghem shortly, but rest assured, they will be addressed to the government, particularly to Mr Michel.
ParlaMint-BE_2019-02-21-54-plenair-ip271x.u6	Mr President, Prime Minister, a tweet by US President Trump was needed before the Belgian Government realized that there could be a huge potential security problem in the possible return of the famous Syrian fighters. After many years of sending hundreds of these IS fighters from Belgium to Syria, we have now finally come to the understanding that it is best to try them there. But, says this government, it must be a fair trial there in Iraq. There's a polite silence on Syria. Much is not enough because this government is also going to oppose the use of the death penalty. Prime Minister, let us be clear, these IS terrorists do not deserve our naïve opposition to the death penalty in principle. The Belgian IS terrorists will receive a more just punishment in Iraq and certainly in Syria than they could ever get here with us. The punishment for these ISIS executioners can only be the death penalty for hanging or execution. The fact that our country is now taking advantage, for the umpteenth time, of that famous European Convention on Human Rights to plead for so-called humane punishment for these IS killers is too crazy for words. Eye for an eye, tooth for a tooth. No UN tribunal, no velvet glove justice and no fuss, Prime Minister, about human rights for these mass murderers. The right to humane punishment has been forfeited by these terrorists themselves. Those who, Prime Minister, cannot count on human punishment, compassion, compassion, let alone a fair trial, are the victims of the IS terrorists here with us, in our own country, in Europe, but certainly also in Syria and Iraq. The death penalty for the IS terrorists is the only possible, just punishment for these monsters. The death penalty can save the lives of many citizens. Let us therefore respect the sovereign states of the rule of law, Iraq and Syria, their justice and their criminal laws, instead of wanting to be the moral conscience of the world once again and to give the Iraqi and Syrian governments the moral lesson.
ParlaMint-BE_2019-02-21-54-plenair-ip271x.u7	Mr President, Prime Minister, the military situation in Iraq and Syria is evolving favourably with the end of the Caliphate and the takeover of the last pockets held by the jihadists. Since Belgium has been actively involved in all operations, it seems that we can only welcome this outcome. In view of the military developments on the ground, the President of the United States undertook to withdraw his troops from Syria by the end of April. On Sunday, he also urged his allies to repatriate their nationals, those who had joined the Islamic State group. This is in addition to the request made with, I think, increasing insistence by the Syrian Kurdish authorities who feel that they should not assume this responsibility. Prime Minister, as of Monday, you have indicated your wish as to the fate to be reserved for foreign and Belgian fighters detained in Syria. This position was endorsed this morning by the National Security Council, which stated that "Belgium's preference is towards a form of international justice, in consultation with other countries facing a similar situation." The trail is thus that of the detention of FTFs in the camps in the area. Is the Prime Minister aware of the precise figures of the number of individuals involved in the problem and, in particular, of Belgian or bi-national individuals? Is a form of international justice likely to reach consensus at European level? Has a European consultation started and, if so, according to what timetable?
ParlaMint-BE_2019-02-21-54-plenair-ip271x.u8	Mr President, Prime Minister, there is a lot of talk about the Syrian fighters. Some say that we should take Belgian nationality away from them, which means that it is no longer our problem, precisely as if there are not many people on the territory without Belgian nationality and even without papers, even illegal. The taking of nationality will really not prevent a Syrian warrior from coming back here. The second point is that we must try the Syrian warriors here, in our country. I wonder how evidence will be gathered. At the first interrogation, the Syrian fighters will all declare that they drove an ambulance in Syria or worked as a nurse in a hospital. That research assignment will be impossible for the court. The Syrian fighters have committed crimes in Syria and Iraq. The applicable penal law is therefore the penal law of the country where those crimes were committed. There are many crimes involved: people were cut over their throats, people were set on fire, women were stoned and gays were thrown off the roofs. The Syrians and the Iraqis have the right to bring those perpetrators to justice, just as we have the right to bring the perpetrators of these attacks to justice. Now it is suddenly discovered that there are several legal orders on this planet. Anyone who attacks here will be tried in accordance with the rules of enlightenment democracy. It is now being discovered that there are different rules in countries without enlightened democracy, and that the death penalty still exists. However, that information is not new, it has been around for a long time, and so did those Syrian fighters. The European Convention on Human Rights is not applicable in Syria, nor in Iraq, and that situation has not existed since yesterday, which has always been the case. My group therefore strongly advocates an international court in which the main role is given to Iraq, Syria and the Kurds. That court must sit on the spot so that evidence can be gathered there. There, the Syrian fighters can be tried according to the rules of that rule of law, which we can regret, but which we cannot change. In my opinion, it would be very good if Belgium were to invest in such an international court, which will also improve our security. I look forward to your opinion on that.
ParlaMint-BE_2019-02-21-54-plenair-ip271x.u9	Mr President, Prime Minister, I believe that citizens are right to be concerned about the potential return of Syrian fighters, Syrian fighters who have turned their backs on our society and who have committed atrocious acts in Syria and Iraq. They are directly complicit in the attacks that have taken place in our country. It goes without saying that they must be punished, that they are best placed behind bars and preferably as long as possible. That's beyond a shadow of a doubt. We must do everything in our power to do that. For the warriors holding Iraq today, the problem may not be so great because they will get their trial there. With the warriors held by the Kurds and residing in Syria, we may have a problem. There is indeed a chance that they will be released and once again pose a risk to our citizens. That is why my party has always been in favour of international cooperation. We have never been in favour of actively retrieving the Syrian fighters. I believe that clear commitments have been made in the government, Prime Minister. It was therefore with surprise that I found this weekend that certain parties have changed their views. Fortunately, reason seems to have returned today. I do not think it is wise to bring the Syrian fighters back to our country. Why? Because the federal prosecutor himself says there's a problem with the evidence. If we cannot prove crimes, this means that they are released and once again a potential danger to our citizens, and we cannot tolerate that. That is why we have advocated international cooperation, an international tribunal, preferably in the region itself. I have just heard Mr Vuye say the same thing and we agree with that. We have argued in favour of this. I am pleased that there seems to be a consensus on this. Ladies and gentlemen, I would therefore like to make an appeal in this House. To those who claim that we have slept, I say: the opposite is true. Today we are discussing in the Committee on Justice a proposal tabled by Mrs De Wit, Mrs Becq and Mr Goffin, in which we wish to strengthen cooperation with international tribunals in order to better guarantee the preservation of evidence. That's what we do. Prime Minister, will our country advocate the establishment of an international tribunal? Did you decide that in the Security Council?
ParlaMint-BE_2019-02-21-54-plenair-ip271x.u10	Mr President, ladies and gentlemen, on Sunday, the President of the United States sends a tweet, which, as we know, poses a threat, namely that if the international coalition partners do not assume their responsibilities and do not cooperate in a controlled return, the 800 foreign fighters will be released. On the same day, a large part of the Rue de la Loi is in a cramp and there are all kinds of explanations to be heard. We hear the Minister of Justice say that this is about four fighters. The next minister says it's about six fighters. The Minister of Justice states that he wants to find a basis for them to return in a controlled manner. Others do not want that and evolve in a few days' time, as was the case with Mr De Wever. The view was that a controlled return could be made for certain cases, but that position was subsequently corrected, and it could not be punished enough. Mr Prime Minister, what bothers me very much is that we need a tweet from the President of the United States for a problem that has been on our table for a long time, has been living in our society for a long time and has been addressed by our security services, in particular the question of what will happen to foreign forces or IS fighters at the time when the IS is defeated. So it is absolutely not a new issue. So the cackling I'm hearing makes me very worried. I am therefore asking my question today, particularly in order to try to clarify the federal government's policy in the interests of our country, but also in the interests of everyone who has a responsibility in terms of security policy in our country and beyond. Prime Minister, I would like to know the following, for example. First of all, is this about four or six fighters? Is this perhaps about the dozens of Belgians who are actually active in that region? That would be 60 or 70 people, I hear. What's it about? Secondly, Minister, we must also work internally. After all, you know that many convicted FTFs and Syrian fighters will be released from our prisons tomorrow. You also know that resolutions adopted unanimously have not been implemented in the current ostrich policy. Mr Minister, I am talking about the provision of people who are released. I would also like to know the government's position on this point. Does the government intend to contribute effectively to the implementation of this proposal in order to better organise our internal security?
ParlaMint-BE_2019-02-21-54-plenair-ip271x.u11	Prime Minister, the United States has asked the States of the European Union to repatriate some 800 fighters from the Islamic State currently detained in Syria. Since this media release by the President of the United States, we have been given several positions. The Minister of Justice said he wanted a solution at European level to avoid finding jihadists freed, in nature and without control. The former Secretary of State for Asylum and Migration opposed the idea of bringing back fighters from Daesh to Belgium to lock them up in our prisons and instead proposed to withdraw Belgian nationality from these people. Deputy Prime Minister Open Vld pleaded for international cooperation and the creation of an international jurisdiction to try European jihadists in Iraq. And you, Prime Minister, have pleaded that Belgian jihadists detained in Syria should be tried as far as possible in the region of their misdemeanours, while not rejecting the possibility of creating an international jurisdiction. Given the diversity of statements made by the various members of your former majority, can you tell me what the resigning government's position on this issue is? The establishment of an international tribunal for the trial of Syrian combatants seems to be a solution that combines both respect for our international obligations and the need to set up an exceptional tribunal commensurate with the international scale of the facts. Does Belgium intend to embark on this process? When and within what framework will the issue be addressed at European and international level?
