ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u1	Debates of the European Parliament Mrs Schlitz has converted 27687 into a written question.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u2	Minister, according to the reports, at the beginning of this year the National Police College relaxed the promotion procedure for Chief Commissioner because too few candidates had been found suitable. In this way, weak participants were able to move on to the next round. At the end of 2017, the federal police placed a vacancy for a promotional training as chief commissioner. There were 100 places vacant. According to the Royal Decree of 9 October 2017, a candidate had to reach at least 60% in order to pass the test. Apparently, out of the 150 participants, only 20 were successful. Instead of registering a new vacancy, it was apparently decided to revise the results of the knowledge test. Participants were not required to achieve 60%, but 60% of the best performing candidate. The minimum score was therefore not 90/150 but 66/150. Some candidates would have appealed to the Council of State. The hearing officer would have indicated in his opinion that the decision to relax the rules would be contrary to public policy and would have to be destroyed. Federal police confirm that the National Police Academy has modified the results. It claims that it has received the approval of the Integrated Police Coordination Committee. Your cabinet does not mind the adjustment of these results. It is particularly important that the test of knowledge has been conducted correctly and fairly. In connection with this, I would like to ask the following questions. Can you confirm the story that the procedure was modified to allow sufficient candidates to succeed in filling the public vacancies? Do you recognise that this derogates from the Royal Decree of October 2017? Why didn't a new selection procedure be organised? Is it true that the hearing officer stated in his opinion that the decision to relax the rules is contrary to public policy and must be destroyed? Will this advice be followed? Do you share the view of Open Vld that chief directors should have a minimum level of knowledge and thus achieve at least 60% on the knowledge test? If a derogation is made, what is the point of setting a lower limit?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u3	Mrs De Crom, there is no reason to organise a new selection procedure for the executive licence. Article 12 of the Royal Decree of 9 October 2017 provides that the candidate who has obtained at least 60% is laureate of the knowledge test. That provision has been complied with. All candidates participating in the knowledge test were subject to the same correction coefficient. There is therefore no discrimination between candidates. Moreover, the classification remained unchanged after application of the correction coefficient. After application, only those candidates who achieved a minimum of 60% were successful. The minimum standard has proved its worth. I can also inform you that the Council of State has already delivered a number of judgments in this area, in particular with regard to the application of the correction coefficient to the inadmissibility of the actions brought. In this respect, the Council states, inter alia, that "in so far as the applicant considers that it is still possible to derive an interest from the fact that the contested decision must be set aside because the decision to apply a correction coefficient, whatever, conflicts with Article 12 of the Royal Decree of 12 October 2006, as amended by the amending decision of 9 October 2017, he or she cannot gain any benefit from the destruction of that decision on his own account. In that case, he also does not obtain the 60% required for the knowledge test, so that he or she remains unfit." In the meantime, the Federal Police Legal Service has again received three petitions to suspend and annul the new recovery decisions on non-beats for the knowledge test and the decision to apply the correction coefficient of 25 September 2018. Those procedures are still ongoing. No auditor's report has yet been received.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u4	Thank you, Minister, for your reply.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u5	Minister, my colleague Stefaan Van Hecke has already asked you about this unfortunate event ten days ago. Nevertheless, I maintained my question. Indeed, like other colleagues here, I do not think that you have responded at all. In the face of this non-response, I'm coming back to you. On 1 October 2018, some 20 migrants on a train were arrested and handcuffed by law enforcement officials at Landen station. A citizen and passerby, Diego Dumont, filmed the scene with his smartphone. His video toured social networks at the time. That's when the police asked Mr. Dumont to stop filming. He refuses, arguing that he has the right to film a police intervention in a public space. As a result, he is grounded, deprived of liberty and can be seen on the video that he is subjected to certain violence. When he asked why he was arrested, a policeman would have said to Mr. Dumont, "Because you're a Walloon." As a result of this altercation, Mr. Dumont was taken to the hospital in a state of psychological and physical shock. Your predecessor, Minister Jambon, had responded to the plenary session on October 4, 2018. He had then read a report that is hard on this citizen who is accused of being under the influence of alcohol. I quote the discussion report: "The man immediately starts screaming that he has the right to film. The person in question shouts very loudly, as does the second man who accompanies him. He had clearly been drinking. The on-site team established it." Yet the medical report transmitted by the League of Human Rights denies the information. Mr. Dumont would only have 0.20 g of alcohol in the blood at the time of the incident, while the legal alcohol limit for driving a vehicle is 0.50 g. The video of the event, posted online, does not show a scene of screams. Both Mr. Dumont and the League of Human Rights filed a complaint with the King's prosecutor. According to the Human Rights League, this kind of event is unfortunately not uncommon. It is therefore particularly disturbing that the statements of your predecessor, Minister Jambon, in plenary session, do not at present correspond to the information contained in the medical report or to the video describing the incident. I repeat my questions. This is not an annoyance but a serious situation. The description of events by your predecessor does not correspond to the established facts. Can you give us today the version, possibly amended, of Mr Jambon's October 2018 reply? Do you confirm that between the statements of the report read in plenary on October 4, 2018 and the version of the facts, there is indeed a difference? Can you correct the report if necessary and give us the version of the facts that corresponds to reality? Minister, with regard to the police officers who intervened, has an internal investigation at the level of the police services been requested, in parallel with the ongoing judicial investigation, to establish the truth about this particularly serious incident?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u6	Mr President, Minister, my colleague has just referred to the facts. On October 4, 2018 in plenary session and on October 17, 2018, I asked the Minister of the Interior why Mr Diego Dumont was arrested on October 2, 2018 during an arrest of migrants at Landen station, as he came to pick up his daughter. At the time, Minister Jambon responded to the question in plenary by reading a report. From the plenary, I asked myself about the truthfulness of the facts which absolutely did not correspond to the version of Mr Dumont that I had had online the day before. On October 17, 2018, in committee, I again asked Minister Jambon about this arrest. He also stated that it was not prohibited to film or photograph during a police intervention, provided that it did not make the intervention impossible. On the other hand, it is prohibited to make any use of it other than personal. The taking of images is therefore not a criminal offence. It shall not give rise to a judicial seizure of the apparatus or to the seizure or destruction of images. The arrest of an author of the photograph cannot be justified on the basis of the taking of images alone. The minister had stated that the evidence justifying the arrest had not been brought to his attention. Minister, I discovered through a report by the League of Human Rights, relayed by several media, that the version contained in the report that was read in the plenary of the House on 4 October 2018 is at least wrong. Several facts have drawn my attention in this video. Mr. Dumont calmly responds to the police officers he can film, and he directs his ID card without yelling, contrary to what was said in the report. Mr. Dumont is a few metres from the scene and does not prevent the police from working. The police want to seize the device. Minister Jambon had stated in committee that the device could only be seized if images were used for other than personal purposes. It was also said in the report that he was trying to put himself as close to the action as possible and continues to scream. The video does not show that at all. At no time does he raise his voice. Mr. Dumont will be forcibly dragged to the wharf. Minister Jambon spoke of a second man who accompanied him. No doubt it is about his daughter who, at the same time, notes that his father's face is in blood. There was no second man. When Mr. Dumont again asks the police officer why he's arrested, because he didn't do anything wrong, he answers, "Because you're Walloon." The Minister's report justified Mr. Dumont's arrest by excessive alcohol consumption. However, the medical report, highlighted by the Human Rights League in its recent video, proves the opposite. Diego Dumont has only 0.20 g of alcohol in the blood while the legal level that forms the limit for driving a vehicle is 0.50 g. The state of drunkenness is therefore absolutely not an argument. Minister Jambon, then Minister of the Interior, read a police report containing certain elements that are false. He thus dishonoured the honour of a man who had already suffered a great deal from an unwarranted aggression. Minister, I would like to know who provided this report and on what basis it was prepared. Given the inaccuracy of the report, will you request a new report? How could this content be released in plenary by the Minister without an audit? Are you aware that he cheated on Parliament and cast discredit on a man? What do you intend to do to remedy the situation and restore the truth? Thank you.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u7	Mr President, Minister, I will obviously not repeat the history or the reading of the report, but I agree with what my colleagues have said. When questioned in plenary, your predecessor had given the House of Representatives a police report on the intervention, which gives a completely different version of the events. He concluded his reading by saying that "the facts speak for themselves", to say that ultimately it was the attitude of the citizen in question that caused the events. In the light of the information we have had, as my colleagues have just pointed out, all the evidence leads us to believe that not content to exceed their rights in the course of the operation conducted that night, these policemen also led the then minister not to tell the whole truth in the House, not to tell him to lie. Minister, have you read the images of the intervention broadcast by La Ligue des Droits Humaines? Do you maintain your predecessor's version of the events in plenary? What measures have been taken or are you planning to take following the dissemination of these images, which clearly contradict the version of the police report? Has the IGA (General Police Indictment) been seized to investigate all elements of this operation? Apart from possible criminal follow-up, were disciplinary measures taken or would they be taken against police officers who had resorted to violence outside the legal framework? More generally, what follow-up do you intend to give to this case?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u8	Mr President, I have already said in committee, in response to a question put by Mr. Van Hecke on 9 January, that I did not wish to comment on this case since the investigative department of Committee P is currently conducting an investigation at the request of the prosecutor of the King of Leuven (Leuven). I would like to make it clear, Mrs Fernandez Fernandez, that it is not the General Inspectorate of the local police and police, the IGA, which is responsible for carrying out the investigation. In addition, the chief of corps of the local police area concerned has so far taken no disciplinary action, also awaiting the results of this investigation. Mrs Matz, the responsibility for my predecessor's words belongs to him. I shall therefore refrain from commenting on them, pending all the light in this dossier. Finally, Mr Vanden Burre, for any question relating to the complaints that have been brought by the League of Human Rights, I must – to my deepest regret – refer you to my colleague from Justice.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u9	Minister, this is a report that Mr Jambon had read in plenary. He had therefore not simply expressed himself in his personal capacity. It is important to know the ins and outs of the report, in order to arrive at the truth of the facts. Clearly, what was said in plenary does not correspond to the truth. Did Mr. Jambon invent this version on his own? I really don't think so. That is the purpose of our concerns. You don't answer the question, but I don't know why. I know that an investigation is under way, but I would like to know why this report contains a version that does not correspond to reality. That is simply what we are trying to understand. I therefore believe that you could tell us more about this.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u10	I believe that the Committee's investigation could clarify this possible tension between the statements and the report. She should do it.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u11	Minister, at the time, Minister Jambon told us that an investigation would be opened by Committee P. However, part of this investigation was revealed in a public sitting – and the minister told us to read a police report – by messing up the image of a man. Indeed, Mr.Jambon claimed that the person concerned had been arrested because he was drunk, although it seems to me that this is not a sufficient reason – except in the event of a disturbance of public order. It was his version. So he publicly smeared a man's honor. On the other hand, the exculpatory elements are included in a hidden Committee P investigation, sheltered from everything. I think there's a dissonance between two points of view. Of course, there is an inquiry by Committee P. But once a party has been publicly delivered to the press, to parliamentarians, on these points, it is up to you to give us public information, telling us who prepared this report, on what basis, etc. Minister Jambon referred the rest to Committee P. But on this point, I am sorry, it is certainly a piece of the report, but it has been delivered publicly and we need to have answers on this. I find this unacceptable. But in addition, this man has to suffer from the fact that his reputation was tainted because a minister did not worry too much about the actual follow-up to what had actually happened. Theo Franken was there to advertise that night. We also wondered what the then Secretary of State was doing about an ongoing police operation. Basically, we were treating each other's communication campaigns. That's not how it works. I think you should be able to correct, in any case on elements you would have, this completely wrong police report.
