Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	GoffinetAnneCatherine	Goffinet, Anne-Catherine	F	1978	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	GoffinetAnneCatherine	Goffinet, Anne-Catherine	F	1978	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	GoffinetAnneCatherine	Goffinet, Anne-Catherine	F	1978	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VandenBerghJef	Van den Bergh, Jef	M	1973	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2019-01-29-54-commissie-ic1022x	ParlaMint-BE_2019-01-29-54-commissie-ic1022x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 29-01-2019	2019-01-29	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VandenBerghJef	Van den Bergh, Jef	M	1973	
