ParlaMint-BE_2019-03-26-54-commissie-ic1065x.u1	Debates of the European Parliament Mr Wilrycx converted 28544 into a written question.
ParlaMint-BE_2019-03-26-54-commissie-ic1065x.u2	Mr President, Minister, my question dates back to January, but I think the figures have not changed. In Belgium, there are 350,000 ghost enterprises, representing 23% of enterprises. These companies exist only on paper and do not carry out any real activity. This is evident from a large-scale study conducted by Graydon Belgium. In Brussels, one in three companies would be phantom and 33 000 companies would not have deposited their accounts in the last three years, out of the 110 000 which have their headquarters in Brussels. In many cases, they are front companies, companies that do tax evasion or money laundering. Companies of this kind are an easy prey for fraudsters who seek to swindle honest traders. Indeed, 60% of all frauds are committed through ghost companies or through the recovery of such a company. For a few thousand euros, one can take up such a business and restart an activity. "With this solvency, the company, for example, succeeds in using a leasing company for fifteen cars. Two weeks later, the cars disappeared," illustrated Eric Van den Broele in Graydon's report. Recently, legislative changes have made it possible to move in the right direction. Since 17 May 2017, the law has made it easier to dissolve a fraudulent company. The processing of cases was also facilitated. In 2018, this new law would have allowed more than 5,000 dissolutions in the first ten months of the year. However, industry experts continue to sound the alarm. For some analysts, this legislation is not enough: the definition of phantom society is limited and the chambers of commercial inquiry are still lacking in resources. In April 2018, the president of the French-speaking commercial court in Brussels highlighted his lack of resources and a disproportionate number of companies to be removed. Minister, are you going to put in place concrete actions to go further in the fight against these ghost societies that often have fraudulent objectives? Do you have details of the number of fraudulent companies that have been cancelled in the last five years, by Region or by sector? Are businesses without activity systematically tracked? Are any managers contacted, using data mining and the Business Carrefour Bank (BCE)?
ParlaMint-BE_2019-03-26-54-commissie-ic1065x.u3	Mr Vanden Burre, I note with you that ghost societies are a serious social and economic problem. The law of 17 May 2017 amending various laws in order to complete the judicial procedure for the judicial dissolution of companies already makes it possible to act more strictly and effectively against this phenomenon. However, this Act falls under the jurisdiction of the Minister of Justice. As far as the practical application of this legislation is concerned, unfortunately or fortunately, I invite you to address my colleague Minister Geens. A total of 14,233 enterprises were automatically cancelled by the ECB for non-filing of their annual accounts for at least three consecutive accounting years. These figures are provided for the period from March 18, 2014 to March 18, 2018. The breakdown by region is as follows: - 5,250 enterprises in the Flemish Region; - 4,365 enterprises in the Walloon Region; - 4,618 companies in the Brussels-Capital Region The three main sectors of activity are: - catering (1,827 enterprises); - retail trade (1 742 enterprises); - wholesale trade (1 562 enterprises). In addition, 8 287 companies were dissolved in court during the period mentioned above. The breakdown by Region is as follows: - 3,175 in the Flemish Region; - 3,095 in the Walloon Region; - 1,161 in the Brussels-Capital Region. The three main sectors of activity concerned are: - retail trade (630 enterprises); - restoration (621 enterprises); - wholesale trade (493 companies). Secondly, the ECB may make itself available to authorities and services in the context of the fight against fraud. However, the very management of ghost societies does not fall within my competence. For the second time, therefore, I invite you to address Minister Geens. In particular, with regard to the use of ghost companies for the purpose of social dumping, under my competence in the field of employment policy, I would like to clarify this. The concept of social dumping must be seen in a broader sense than that of dumping within our borders. Indeed, the problem is essentially cross-border. This is, for example, the case of "letter boxes" companies. A joint European approach is therefore desirable. European social inspection services are a typical example of cooperation between Member States. For several years, the labour inspectorate has been at the forefront in terms of the use of the IMI (information system for the internal market of the European Union), through which electronic data are exchanged between foreign services. Within this framework, approximately 700 applications are sent annually. At European level, Marianne Thyssen's policy has enabled many initiatives to be taken to combat cross-border social dumping. I am very explicitly referring here to the drafting of the amended directive on the posting of workers, based on the principle of equal pay for equal work in the same place - which must be transposed into our legislation by June 2020 - and to the imminent creation of the European Labour Authority.
ParlaMint-BE_2019-03-26-54-commissie-ic1065x.u4	Minister, thank you for your answers. There is a real problem, we see it in the figures, and we will have to go further than has already been done.
ParlaMint-BE_2019-03-26-54-commissie-ic1065x.u5	Debates of the European Parliament Mr Calomne's 28685 was converted into a written question.
ParlaMint-BE_2019-03-26-54-commissie-ic1065x.u6	Mr Minister, an article in The Importance of Limburg shows that the number of tattoo shops in the province of Limburg has increased from 3 to 88 in ten years. There are concerns from the sector. The threshold for starting a tattoo shop would be far too low. A short training on hygiene appears sufficient to start as a tattoo artist. According to the reports, consumers are increasingly confronted with tattooists who do not use the right technique. There is no training for this and there is no condition for starting. Consumers are saddled with a tattoo that does not meet the requirements, and have to pay again to have it updated by another tattoo artist. The FPS Public Health indicates to check for hygiene. There would be 140 controls per year. Firstly, can you give an overview of the evolution of the number of tattoo shops in Flanders over the past ten years, broken down by province? Secondly, does the administration receive complaints about tattoo shops? Do you have figures and data on the nature of the complaints? Thirdly, do you consider that additional conditions for exploitation are necessary? If so, which one? Fourthly, do you have any figures on hygiene checks? How many tattoo shops committed an infringement in this area and what action is being taken?
ParlaMint-BE_2019-03-26-54-commissie-ic1065x.u7	Mr Janssen, you were right to point out in the written version of your question that the federal regulations, in particular the Royal Decree of 25 November 2005 on the regulation of tattoos and piercings and their control, are powers of the Public Health Office and of my colleague De Block. The aim of the Royal Decree is to protect public health and provides, inter alia, for the obligation to undergo prior hygiene training and to obtain recognition. Secondly, as a result of the sixth state reform, the power of access to the profession has been transferred to the Regions. Since 1 January 2019, a certificate of professional competence is no longer required to start a business in Flanders. Since you have asked, we, generously as we are, have, of course, asked for the figures to be at your service until the end, Mr Janssen O'Brien. We have here for you an overview of the tattoo shops based on the search in the KBO under NACE-BEL code 96.062, placing tattoos and piercings. We've broken that down nicely for you, over several years. It is something with which you can at least try to convince The Importance of Limburg to publicise it. In total we count 2 319 of these shops in 2019. In 2010, there were only 280. So there is a serious increase. In Limburg there were 32 in 2010 and now there are 280. Your province is overtaken by the province of Antwerp, where there are 434, and also by East and West Flanders. I put all that on paper for you. In the last three years, the Department of Economics has received 11 reports on tattoo shops. The notifications were of purely economic nature and do not refer to the public health aspect or to the tattoo artist's professional skills. All reports were examined and these investigations gave rise to four warnings, two of which were in one file, and a report of infringements of impropriety and counterfeiting. I can't give you any more details on that. To serve you, we have delivered your question to Minister De Block ourselves. I hope to get an answer from her, then I can tell you. Of course, you can ask her the question yourself. The information I have at my disposal, we have brought together for you in a table, which I would like to hand over to you.
ParlaMint-BE_2019-03-26-54-commissie-ic1065x.u8	Thank you, Minister, for the answer and the search you have done. We'll see if The Importance of Limburg is interested in bringing the story.
ParlaMint-BE_2019-03-26-54-commissie-ic1065x.u9	Mr.President acting, Mr.Minister, on February 2, 2019, the newspapers of the Sudpresse group reported that an old practice in the field of non-establishment of energy contracts was still ongoing in the province of Liège. The process is known; the gaiter sounds at the door of a consumer and requests access to the electricity meter by pretending to be an agent of the distribution system operator (DSO), in this case RESA. In front of the meter, he notes the number and raises the index. He then requested a signature at the bottom of the document attesting that he had carried out the use check. In two phases three movements, the consumer has just changed his energy supplier by signing a new contract without his knowledge. The gaiter only has to enter the meter number in a professional database to obtain his EAN code and the identification number of his connection to the network. RESA, often confronted with these practices since the liberalisation of the energy market, regularly complains to the Finance FPS. However, it is not always easy for the authorities to trace the culprit(s). It seems to me inconceivable to allow such a practice to continue, without taking concrete measures to deal with it. Minister, can you give me the evolution, in recent years, of the number of complaints for this type of behaviour, both on the part of the DSOs and on the part of consumers? Without restricting consumers' freedom to change energy supply contracts, is it not possible to reinforce the formalism required by energy suppliers in order to limit these practices? For example, they could be required to obtain confirmation by SMS or e-mail before validating the contract change. Does this not highlight the need to ban outright sale of this type of contract? Last year, in an answer to a similar question, you told me that the consumer agreement must provide for a longer period than the legal withdrawal period of 14 days for energy contracts. Has there been any progress in this regard?
ParlaMint-BE_2019-03-26-54-commissie-ic1065x.u10	Mr.President, Mr. de Lamotte, since 2017, the number of complaints relating to non-establishment contracts in the energy sector has again increased. However, the Economic Inspectorate has never registered a complaint from a distribution system operator. Non-establishment contracts are already subject to stricter rules in accordance with the European Directive on Consumer Rights, including the right of withdrawal. The agreement "Consumer in the liberalised electricity and gas market" adds to this directive a series of commitments for the energy suppliers concerned. Thus, they must send confirmation of the contract themselves. The change of supplier can only be made after. So there is already some formalism. According to the case law of the Court of Justice of the European Union, door-to-door selling is a commercial practice, so that Member States cannot regulate it further or prohibit it. Only codes of conduct allow more stringent rules for companies to be agreed. The Unfair Commercial Practices Directive and the Consumer Rights Directive aim at almost complete harmonisation. At European level, the Omnibus Directive is currently being discussed in a trialogue. The Romanian President's compromise proposal contains a provision that would allow Member States to regulate more strictly certain forms of non-establishment contracts, including unsolicited door-to-door sales. Our country has approved the mandate given to the Presidency to continue negotiations with the European Parliament on this text. Finally, the code of conduct provides for a longer withdrawal period. This does not begin until the contract has been confirmed by the supplier and not the day after the contract has been concluded, as provided for by law.
ParlaMint-BE_2019-03-26-54-commissie-ic1065x.u11	Mr President, Minister, thank you for your clarification. Work is therefore under way to amend the Directive with a view to providing further guidance. Having said that, you said that the number of complaints was increasing without mentioning any figures. Is this increase really significant? Do you have a chart on this subject?
