Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	MetsuKoen	Metsu, Koen	M	1981	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	MetsuKoen	Metsu, Koen	M	1981	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DegrooteKoenraad	Degroote, Koenraad	M	1959	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DegrooteKoenraad	Degroote, Koenraad	M	1959	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2019-02-20-54-commissie-ic1042x	ParlaMint-BE_2019-02-20-54-commissie-ic1042x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-02-2019	2019-02-20	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
