ParlaMint-BE_2019-10-15-55-commissie-ic030x.u1	Debates of the European Parliament Mrs Soors' 55000785C will be converted into a written question.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u2	Madam Minister, first of all, allow me to congratulate you on your assumption of office. It's starting hard for you, as this story shows! On Tuesday, 8 October, the Belgian company Bicky Burger broadcast on the Facebook social network an advertising image depicting a scene of domestic violence. Despite the indignant comments of the netizens, the brand posted comments defending its campaign rather than removing the image, demonstrating its willingness to make the buzz last as long as possible. This image was finally deleted by Facebook seven and a half hours later. I imagine that the promoters of the campaign rubbed their hands, hoping to reap profits as a result of the controversy they had just triggered.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u3	This advertising is particularly shocking in terms of its context. Indeed, since 2017 in Belgium, 97 women have been killed because they were women. In 2016 alone in Wallonia and Brussels, 18 000 complaints of domestic violence were registered. However, we know that not all victims file complaints. This is not the first time a commercial company has undertaken a marketing approach by conveying gender stereotypes that trivialize violence against women. Minister, what tools do you have to counter the spread of sexist advertising? Are you currently in a position to sanction the authors of messages promoting violence against women? Would you be in favour of a strict ban on sexist advertising? Have you contacted the Jury of Advertising Ethics about this case? How many complaints did he receive? What steps has he taken with regard to the advertiser? What sanctions does Bicky Burger face?
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u4	Thank you, Mrs. Schlitz. I would also like to publicly congratulate our new minister, as I had the opportunity to do on the telephone.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u5	Mr President, I would also like to join the congratulations to the Minister. Of course, we are pleased that an additional woman is coming to the federal government, particularly to deal with this issue. Minister, according to the survey carried out by the European Union Agency for Fundamental Rights in 2014, 24% of women reported having been victims of violence by their partner or ex-partner since the age of 15. In 2014, the Public Prosecutor's Office recorded more than 60,000 cases of inter-partner violence, or nearly 170 cases per day. At the beginning of October, the site "Stop femicide" recorded 37 victims in 2018 and already 19 victims in 2019. In 2018, the Belgian call number Listening to Domestic Violence was composed 15 360 times, which represents an average of 42 calls per day. These figures, if we keep reminding them, are above all a reminder of how important this problem is. For, even so fortunately, we can see a release of the word and an awareness of the matter in recent years, it must be noted today that it is still necessary to continue to intensify our fight against such violence in all spheres of our society. On Tuesday, October 8, a Belgian hamburger company, to which I will not do the honor of quoting it, dared to broadcast an advertisement on Facebook representing a scene of domestic violence. Hitting a woman to better sell hamburgers is simply abject. The image caused a real outcry. In such a way, the violence is totally unacceptable. It was really a very bad buzz. This advertising was finally removed from the social network. Minister, what flexibility do you have to prevent and sanction the dissemination of sexist and encouraging advertising content, or at least trivializing, domestic violence? Have you contacted the Institute for Gender Equality and the Jury of Advertising Ethics in this context? How many complaints have these organizations received? What sanctions does this company face? Thank you.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u6	Madam Minister, it is sufficiently underlined how reprehensible and shameful the advertising in question is. It has unleashed a whole social debate, because although most people call it reprehensible and shameful, some do refer to freedom of expression. I belong to the group that thinks that the advertising in question cannot be done: it is reprehensible that they use visual art taken out of context to advertise for Bicky Burger. This does not mean that all the paintings on which violence is shown must be shielded, so one tries to conduct the debate, but rather that one should not tear things out of context, as has happened here; here violence has been normalized and banished in order to sell a piece of meat in this way. The figures are well known. An action plan against intra-family violence is still needed. There have been many reports, as there are still a lot of reports of intra-family violence: according to police statistics, there are still 26.643. In addition, there are daily cases of intra-family violence that are not reported. On average, 30 times the victim of blows and injuries must be reported. Thus, banning or normalising such violence is really not the issue. Madam Secretary, what action have you taken? You've probably already filed a complaint with the Ethical Practice Jury regarding advertising. What is the reaction or when can we expect it? Where is the national action plan to combat all forms of gender-based violence, which you are preparing and where partner violence has always been a priority, including the roll-out of the Family Justice Centers? Could there possibly be a chapter devoted to the fight against the banalisation of partner violence in advertising? There is no specific action on this subject.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u7	Madam Secretary, I too saw Bicky Burger's scandalous advertising campaign on Tuesday morning, in which a woman gets beaten because she didn't bring the right Bicky Burger. It is scandalous that such a thing is still possible today. Fortunately, a lot of people have responded to that. It seems that more than 300 complaints have been lodged with the Jury for Ethics in advertising. It is not the first time that a company banishes violence against women in advertising in this way. What measures can you take in relation to Goodlife Foods? Are sanctions possible? The Ethische Praktijken Jury on advertising declared itself unauthorized, since the company operates from the Netherlands. The advertising has of course appeared on Belgian screens. In view of this element, what steps can you take against international companies that launch such campaigns that also end up in Belgium? The Institute for Gender Equality is investigating whether the advertising campaign violates gender law. Can you explain how far the investigation is going? Are there sanctions? It seems to me that it is also time to look more closely at the problem of violence against women in connection with this advertising campaign. We have seen that you have reacted indignantly to advertising, but there is an opportunity to take more structural measures in the fight against violence against women, not just the advertising that promotes it. The Istanbul Convention on the Prevention and Combating of Violence against Women and Domestic Violence was ratified by Belgium in 2016. In 2019, a report by civil society organisations and NGOs showed that 80% of the articles of the Istanbul Convention are not being implemented enough or at all. Can you confirm the numbers? What measures do you propose to change this? The Institute for Equality between Women and Men is responsible for the coordination, implementation and follow-up of Belgian policies. What budget and resources does the Institute have at its disposal? How many people are employed on files relating, for example, to partner violence? How has human resources policy evolved in recent years? Do you also confirm that subsidies to organisations fighting against inequalities between women and men were completely discontinued earlier this year? Are organisations still subsidised by the federal government today?
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u8	Minister, I will not go back to the content of this filthy publicity that has really been buzzing. I come back to my questions and to the context that I wanted to stress. This advertisement was the subject of more than 500 complaints to the Advertising Ethics Board. We know that every year, this jury receives between 150 and 200 complaints, for all reasons. That is the extent of the indignation that this type of advertising is today. It is happy because such advertisements have no place in a society that we want to be equal and respectful of everyone. We await the decision of the jury, but this publicity raises questions and deserves a reaction. Firstly, the company may have apologized, but no one is fooled: it was a bad buzz, intended to shock the opinion so that we could talk about the brand. It must be noted that this has worked. In fact, this company is not in the process of being tested. After damaging the image of the woman by referring it to its only sexual dimension, the brand today spreads an advertising that legitimizes and trivializes the real scourge of our society, namely violence against women. These images are a breeding ground for such violence, rooted in a retrograde vision of the woman, according to which she should be punished and beaten if a man so decides. Then we come to tragedies that are neither diverse facts, nor passionate crimes but femicides. Thus, every day in Belgium, a woman dies under the blows of her spouse or former spouse. In Belgium, the CSA and the Advertising Ethics Board may intervene to remove these sexist advertisements, but with broad discretion. As a result, the level of violence or sexism often has to be very high for advertising to be finally withdrawn. Madam Minister, I come to my questions. Should the Sexism Act of 22 May 2014 not apply to advertisements and therefore allow, in the event of an infringement, their immediate withdrawal, in addition to the fines already provided for? Do you consider, like your colleague the Minister of Justice, that femicide has no place in the Criminal Code? In any case, that is what he replied to me in response to a question I addressed to him in the Committee on Justice. When will we finally have official figures on violence against women? Indeed, as my colleague Merckx explained, this is an obligation to which we are bound, under the Istanbul Convention, which Belgium ratified in 2016. What is your assessment of the 2015-2019 national plan to combat all forms of violence against women? When will the next National Action Plan (NAP) be put in place? What will be the main lines of action? Will federated entities and associations participate in the development of this plan? If so, how will these associations be selected? Thank you for your answers.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u9	This concludes the questions on this subject. Madam Minister, the floor is yours.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u10	Mr President, my answer will be long. There were a lot of questions. I shall therefore exceed the normal speaking time for the answer to a question. In a context where the fight against femicide and violence against women is a priority in Belgium, Bicky Burger's advertising campaign seems unthinkable and arouses indignation. Like so many others, I was deeply shocked by this image that combines domestic violence with the sale of a product. Meanwhile, this publication has been removed from the web rightly because the violent, sexist and degrading message conveyed by this advertisement makes it unacceptable. To answer your questions, there are several instruments to combat sexism. First of all, there is the law of 22 May 2014 on combating sexism in public space and amending the law of 10 May 2007 on combating discrimination between men and women in order to punish the act of discrimination. However, this sexism law does not make it possible to combat sexist advertising, as a victim must be identified for criminalisation. However, advertising is aimed at abstract groups, in this case women as a whole. In this context, it should be examined whether an amendment to the conditions of application of the law is possible and desirable. Secondly, the Act of 10 May 2007 to combat discrimination between women and men, known as the Gender Act, punishes incitement to discrimination, segregation, hatred and violence against a person or group on the basis of sex. Incitement is punishable by imprisonment from one month to one year and/or a fine of EUR 50 to 1000. I contacted the Institute for the Equality of Women and Men, which informs me that it has registered some 40 complaints about the advertising campaign broadcast by Bicky Burger. It is currently studying the application of the Gender Law and is independently analysing the follow-up to this case. Thirdly, at the request of Unia and the Institute for Equality between Women and Men, the outgoing government has included Article 150 in the list of constitutional articles to be amended by a subsequent government. Why is Article 150 important? It provides that the jury is to be set up for all criminal cases, as well as for political and press crime, except for press crime motivated by racism or xenophobia. All press offences, except those motivated by racism or xenophobia, therefore follow an assistive procedure. This procedure is very cumbersome and very rarely gives rise to criminal prosecution, resulting in de facto impunity for reprehensible sexist hate speech spread in written form. It is therefore very important to amend Article 150 of the Constitution and to provide for a derogation for gender-specific press offences. There's also text in advertising. In this way, it is also regarded as a press crime. The prosecution of such acts will thus be facilitated. Sexist hate speech would therefore be treated in the same way as racist hate speech. Then, the Advertising Ethics Board can still be seized. As a self-discipline body of the advertising sector, it examines the conformity of the content of advertising messages with the rules of advertising ethics based on self-discipline laws and codes. It may either declare the complaint unfounded or issue a notice of reservation, leaving the advertiser, the agency and the media responsible for the action to be taken, or formulate a decision to modify or discontinue the advertisement. For the latter decision, the jury may also ask the advertiser to submit his or her next campaign(s) for pre-release review. To date, the Ethical Practice Jury has received more than 600 complaints concerning advertising. Then what's their jurisdiction? Since the advertiser is a foreign company, the JEP has transferred this to the Dutch competent counterpart, the Advertising Code Foundation. The procedure followed and involving two independent bodies working together also follows the procedure of the European Alliance for Ethics and Advertising. It's not because the JEP passes this on to the Dutch that this wouldn't work. The procedure is therefore under way and we expect results in the coming weeks. The Institute for Gender Equality also offers training on gender-sensitive communication. Finally, my services are currently preparing a new action plan to combat violence against women, following the 2015-2019 plan. This National Action Plan is fully in line with the Istanbul Convention, which was also ratified by Belgium. The previous plan already included measures relating to the media. Civil society is also heavily involved in the development of a new action plan against gender-based violence. The Institute has a very extensive and up-to-date network of organizations working to combat domestic violence. All these organizations have already been invited in writing to provide their comments and observations in the overall fight against domestic violence. This information will be analysed and will lead to an inventory of issues that would be drafted by the Institute. This inventory will then be communicated to all relevant political bodies, which will then take the political decisions they consider to be priorities. The evaluation report of the Istanbul Convention Expert Group, GREVIO, will also be taken into account in the development of a new plan. Now I come to the interim report. Mr Merckx asked to what extent the measures of the convention have already been implemented. Well, we have transposed this into a national plan and for us the implementation of the measures included in it is important. Most of the 235 measures have now been implemented, which is important, and 152 measures are still ongoing today, which is normal, as they are work in progress. 12 more measures had to be launched in 2018 and 39 were already fully completed. This year 32 measures are still to be launched. In short, most of the 235 measures have been launched and what could already be concluded is as well. We are therefore fully engaged in this matter and I believe that we will be able to produce a much better result than the 80% to which you refer, according to which this figure is correct. With regard to statistics on violence against women, I can tell you that the police and the prosecutor's office have a wide range of statistics on this subject. There are also statistics on domestic violence. However, since the sex of the victim is not registered, it is not possible to have accurate data on this subject. However, it can reasonably be assumed that the phenomenon of domestic violence in Belgium affects women in a sustainable and more serious way. As an independent policy body, the Institute for Equality between Women and Men is responsible for the coordination, implementation, follow-up and administration of Belgian policy. A total of 50 people work there. This increase is mainly due to the additional recruitments for the Care Centres after Sexual Violence. My predecessor, Minister Peeters, was able to release a structural funding of EUR 4.5 million for the care centres. This budget is supplemented by 1.5 million euros of grants from the National Lottery, which means that there is actually 6 million euros of funding available. Nine people work in the cell gender-related violence. These staff work on three pillars: sexual violence, partner violence and honor-related violence. Mrs Merckx, as far as funding is concerned, I can tell you that there is still structural funding and very specific funding for Amazone, the Women's Council, le Conseil des femmes francophones de Belgique, the AVG-Carhif and Sophia. All these organisations are important and can contribute to the fight against gender-based violence and do so regularly, but their design is wider. My predecessor has awarded a grant to Punt vzw, a start-up non-profit organisation in Antwerp, which is committed to providing better support for victims of sexual violence. With this subsidy, Punt vzw organises support groups for victims. You can see the different possibilities that exist. We are active in various areas today. We keep our finger on the pulse, also in the coming weeks following the assignments given. I welcome the many questions and I think it is important for us to be able to debate them today. What happened there is in no way acceptable to me. I therefore reacted immediately. We must prepare ourselves, especially in the context of the formation of the government, in order to have strong instruments in the future to combat such cases.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u11	I'd just like to point out that there's a fault in the transmission, but I understand everything's okay with reporting. I am being asked to suspend the sitting. I am inclined not to do so, but I would like to wait a minute until there is more clarity about the consequences of the defect.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u12	There is no problem with the integrated report. Everything could be recorded verbatim. I therefore propose that we continue our work and proceed to the replies.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u13	Minister, thank you for your answers. Attention will have to be paid to the treatment which will be given to this case by the equivalent of the Dutch JEP. They did not feel indignation in the same way as in Belgium. I am surprised by this rule that it is this Dutch body that deals with it, since it is obvious that the campaign was directed towards the Belgian public, since the messages broadcast were in both national languages. I would like to stress that this is a matter of self-regulation of the sector. I have been able to cover some of the responses to complaints in other cases and this does not go far. So I think that this kind of system has its limits. I've seen advertisers indignant in the press and we notice that they're mostly afraid of regulation. I think we're gonna have to tighten the screw at some point. As has been done with regard to the ban on tobacco advertising, I think we could move forward with the Regions on the prohibition of certain types of advertising. That is what we are advocating. The announcement of an action plan is good news. We must not forget to act in consultation with the associations, which have drawn up a relevant report on Belgium's progress in implementing the Istanbul Convention. Many elements can be removed and their contribution will be very beneficial. You say that combating violence against women is one of the government's priorities, but that is not quite the case. It ranks sixth in police priorities after cybercrime, when it is a scourge that has killed 87 women since 2017. I recently questioned your colleague Geens and I regret that he refused to admit the specific nature of the crimes committed against women because they are women. Until we properly identify the problem of femicides, we will not be able to combat them. We insist on that. I'm glad you're ready to discuss the creation of new tools to arm yourself against this phenomenon. We are fully prepared to support you in this mission and discuss it in the context of potential negotiations.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u14	Madam Minister, thank you for your response, your commitment to the fight against violence and your willingness to move forward. The particular case discussed here deserves to be analysed on the intention that lies behind this advertisement. It is obviously not inadvertently that this drawing was published. There was a clear intention to show violence. As such, it is doubly reprehensible. It is not just an image that has been forgotten among so many others. There is a real will on the part of the distributor of these products to do the buzz and enjoy with its burgers. All complaints should be closely monitored and follow-up and possible sanctions should be taken into account. We must avoid letting this go to the water when the media pressure has come back. Furthermore, like my colleague, I welcome the willingness to put in place a powerful instrument to make the fight against violence a real priority in our country. We call for a new inter-federal national plan of strong action to be taken very soon, but above all it must be given financial but also human resources. We welcome the initiatives that are being taken on the ground. Many associations are already fighting today. There are call centres and Family Justice Center projects. We need to be aware of the justice aspects of this case, but there is all the prerequisites! Let us not forget the accompaniment of people on a daily basis, especially in the care services, and the mental health aspect as well. You have to cover a very wide space so that women can dare to talk about it. It's still a phenomenon that we're silent about today. We must be able to talk about it and, beyond the reprehensible fact, we must allow all these categories of people – sometimes there are also men who are victims of violence – to express themselves and offer them a place to do so. More resources, including human resources, are needed to combat such violence.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u15	Madam Minister, it is clear that you have taken the steps you need to take in this particular case. The JEP may eventually withdraw the advertising, but the company itself has already withdrawn the advertising. You noted that the file was passed on to the Dutch counterpart. The question is, of course, whether they do not have more resources than, for example, the JEP, which until today cannot be punished. Perhaps the Dutch counterpart has more resources to act against the company in question. That element can be examined. We also have, of course, the Institute for the Equality of Women and Men, which can act in court. It must be able to prove that there really is an incentive to violence. The question then is, if the institute considers to what extent this advertising message leads to violence, whether we have any other means of action than through the institute. I'm just making a suggestion on the subject. You have listed all the efforts that have been made in the past legislature. They are certainly considerable. For example, there are the Family Justice Centers and the Care Centers after Sexual Violence. There is also the excellent Istanbul Convention, on which we have based our gender action plan. It is also a good thing, as you say, that civil society organisations are involved and have drawn up their own shadow report. It is perhaps an element to bring forward in Parliament. After all, the Istanbul Convention is the only convention that involves Parliament very literally in the work on the report. Of course, the elections and everything that follows have not yet done so. The committee may be able to hold a meeting to see how far the report stands and what the reaction of civil society is. This will enable us to implement our work better under the Istanbul Convention. In general, a lot of things have happened. You yourself point out a number of gaps, such as in the sexism law and in anti-discrimination legislation. It is a good thing that you are aware of this and that we use everything to ensure that violence against women or intra-family violence is not banned in any way. I wish you every success in your actions.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u16	Madam Secretary, thank you for your answer. I must note a discrepancy between your explanations and what really happened with regard to the application of the Istanbul Convention. I see two movements there. We note that the organisations fighting against violence against women in the field now have fewer people and fewer resources. That is also clear from the report and I recommend that you read it correctly. Maybe we can talk about it here. The report, which dates from February 2019, literally states that the IGVM has had two savings rounds of 21% of the funds. Since the last state reform, they have lost five employees. Furthermore, provincial coordination platforms on violence against women are no longer subsidised. If you say that the fight against partner violence and all violence against women is a priority, then I believe that we need to strengthen the IGM rather than weaken it, which has happened in recent years.
