ParlaMint-BE_2019-11-13-55-commissie-ic052x.u1	Debates of the European Parliament Mr Calvo has been converted into a written question.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u2	Madam Minister, a planned economic mission from a dozen Belgian companies to Congo has been cancelled at the last minute. However, during his state visit to Belgium in mid-September, the President of Congo warmed up dozens of companies to invest in Congo. It was therefore decided to organise an economic mission at the beginning of November, but it was cancelled. Why was this economic mission suddenly cancelled? Was the government involved in the organization of the trip? There is a new economic mission to Congo in mid-March next year. Is this correct? If so, who will send the Belgian Government?
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u3	Mr President, Mrs Samyn, I am afraid I will have to answer your question briefly. It is true that, following economic contacts during President Tshisekedi's visit in September 2019, there was a intention of the Chamber of Commerce, Industry and Agriculture Belgium, Luxembourg, Africa, Caribbean and Pacific to organise an economic mission to the DRC at the beginning of November 2019. On 22 October 2019, after consulting the local partners, the Chamber of Commerce decided to postpone the shipment. The Chamber of Commerce has given reasons for the delay that the chosen timing was probably too close. Nevertheless, the Court maintains contacts with the regional partners in Belgium to provide them with the necessary support and expertise in organising a successful mission to the DRC in 2020. Mrs Samyn, the initiative in this area lies entirely with the Chamber of Commerce. The federal government is not involved in the file. Nor am I aware of any detail regarding the timing or composition of the economic mission. Unfortunately, therefore, I cannot say much about it either, simply because we are not in a position to do so.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u4	Mr President, Minister, thank you for your reply.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u5	Madam Secretary, at the end of October 2018, Apple and Samsung were sentenced in Italy to fines of 5 million euros each for deliberately delaying older smartphones through software updates. In addition, Apple was also sentenced to a fine of EUR 5 million for withholding necessary consumer information on lithium batteries. The purpose of the updates is, of course, to slow down the operation of the appliances in such a way that consumers are encouraged to buy a new appliance, while their current appliance is technically still perfectly in order. It would also be a common practice of Apple to charge customers absurdly high repair costs in preventing a small and easily repairable defect. The costs are often so high that the customer should actually just buy a new device, which ultimately is the purpose of the whole story. This not only penalises consumers financially, but also creates a pile of unnecessary end-of-life phones, which, of course, is a waste of raw materials and creates a lot of electronic waste or e-waste that can be avoided. It is to be assumed that these practices are not limited only to Italy, hence my questions. Do you have any idea whether the practices of Apple, Samsung or other manufacturers are also common in Belgium? If not, are you prepared to have these practices applied in Belgium? What steps will be taken to correct, sanction and compensate consumers for the damage caused by this, if it appears that manufacturers have also applied these practices in Belgium? How can such practices be prevented in Belgium?
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u6	Mr Gilissen, it is true that the FPS Economy has set up a contact point where consumers can report a suspicion of premature ageing of goods. The aim is to identify, in a structured way, potential problems in the field of artificial ageing. So far we have not received any repeated reports about the brands Apple and Samsung. The analysis of last year's statement in Italy can, of course, also be useful for our approach. That is why I asked the services of the FPS Economy to further analyse this case. If, on the basis of an investigation by the competent supervisory authorities, it is decided that consumer protection rules, for example in the field of fair commercial practices, are not complied with, the undertaking concerned will be subject to criminal sanctions. In the case of compensation for damage, the rule is that the injured party will have to claim it. A collective recovery claim is also possible, but the government cannot bring such a claim. In my opinion, the practices we are talking about here are by definition cross-border and really require a European approach. In this respect, I would like to mention that a new European CPC regulation has been adopted. This Regulation will enter into force at the beginning of next year and should promote cooperation between national authorities monitoring consumer protection rules in the event of cross-border infringements. I can also refer to the new Guarantee Directive published in May this year. For digital content and services there will also be rules on warranty. This new Directive shall apply from July 2022. I would like to refer to the proposal for a directive on representative progress which is being discussed today. The Finnish Presidency intends to take an initiative in this area and will present it to the COMPET Council at the end of this month. We hope to be able to reach a general approach at that meeting. I myself will be present at that meeting and hope to be able to support those initiatives. There have been and will be various initiatives at European level in the future. That seems to be the right level to tackle this problem. I will play my part in this at the end of November in the Council.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u7	Madam Secretary, thank you for your reply. As you say, this is cross-border. A verdict has been passed in Italy, but that is equally true for other countries, including Belgium, hence my questions. I await what the FPS Economy will do, whether it will examine further on the substance of whether this is also the case in Belgium and what will happen at European level in the area of regulation.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u8	Mr. Bayet is not present.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u9	Madam Secretary, there has been a pop-up squat on a bank machine in our country 22 times, as we could hear in the news. The situation is getting rather dramatic. Seven puff squats were committed at Argenta's ATMs. Following the latest puff squat, Argenta decided to close its 364 ATMs for security reasons, so that its customers, office owners, employees and residents would feel safer. As a result, as many as 1.75 million Argenta customers can no longer collect cash from an ATM from their bank for an indefinite period. A reduction in the number of vending machines reduces the risk of puff squatting, at least according to Argenta's reasoning. This rather far-reaching measure has a significant impact on Argenta's customers. If they want to collect cash, they have to go to the vending machines of other banks or they have to go to an Argenta office within the opening hours. It does cause some inconvenience for consumers. Madam Secretary, do you have a view of the extent of the impact on Argenta's clients? How do the customers react? Will customers have to pay an additional fee if they collect money from another bank's vending machine? What are your views on the responsibility of the banking sector with regard to the availability of ATMs and counters? This demand is wider than Argenta, because we have also heard from several other banks that a number of ATMs are disappearing in the smaller villages and cities. Where appropriate, the question arises as to whether a local administration should provide for an ATM, whether or not it should be in a bank office. Hence the demand for the responsibility of the banking sector. Are you prepared to consult with Febelfin to make some arrangements?
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u10	Mr President, Madam Minister, I heard from the press that two banking agencies were going to close in Tournai and the only agency in Peruwelz, forcing the Peruvians to go to Quevaucamps. Minister, I'm worried. While it is said that digital is the future, the digital divide is real. The Digital Agency, in its citizen barometer, is also clear: "34% of Walloons, i.e. one million Walloons, are in a situation of weakness or delicacy with regard to digital technology, either because they do not have access to the Internet or because they do not have the minimum skills to use it properly." Not all Belgians are ready to live without an agency. A third of the Walloons will be wronged! Besides, I'm afraid for local businesses. Many of them are not equipped with a bank terminal. I therefore fear that the closure of these agencies will have more direct and indirect consequences than is suggested in terms of employment, service to the population and local economy. Minister, what is the government's position on the closure of these agencies? What is the government's position on imposing a minimum number of agencies per municipality? Shouldn't a clearing mechanism be put in place, allowing banks to make contributions based on how they contribute to financial inclusion? Access to banking agencies and bank notes is part of a service of general economic interest. It seems to me that it would be useful to collectively commit the banks to assume more of their social responsibility.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u11	Colleagues, on the practical side, the closure of Argenta ATMs has an impact on customers. If they wish to collect cash, they must turn to offices during opening hours, or they can turn to vending machines from other banks that are still available, or to supermarkets that also provide cash. I understand that Argenta card holders do not pay any fee at the pick-up at another bank's vending machine and that until further notice they will remain so. So the temporary closing of the Argenta vending machines park doesn't change anything about this either. The Argenta measure is far-reaching, but I understand that it is a temporary and, by definition, non-structural measure. I would also like to refer you to the Minister for the Interior, De Crem, for more explanation, especially in the context of the security aspect, Mrs Dierick. Last week, he had talks with, among others, Febelfin and some banks to discuss the phenomenon of puff squatting and the possible security measures. Bank rates are not subject to the price regulation largely transferred to the Regions by the Sixth State Reform. It is therefore initially a commercial decision of the bank itself to adjust its rates and charge costs for certain services. In principle, the provision of ATMs by a credit institution is also part of that commercial freedom. For the moment, my administration is not aware of any real complaints or major problems with regard to the lack or absence of banking agencies in Belgium. There is therefore no immediate reason to impose a minimum presence of agencies or distributors per municipality. There is a general trend towards an increase in electronic payments. This cannot be ruled out either; other European countries are already further away from our country in this respect. Electronic payments have important social benefits. It ensures greater security for traders and consumers. It is an effective measure against money laundering and tax and social fraud. From a practical point of view, it is an easy way to pay for most consumers, where consumers can check their transactions via the bank app on their smartphone. I am in favour of a low-cash society, not a cashless society. Cash still has a social function, which cannot always be taken over by digital means of payment. Certain groups, often vulnerable consumers, depend on cash payments. These groups should not be excluded from payments and therefore from active participation in our society. Banks have an important social role and a duty to provide a minimum service in terms of geographical distribution and availability of ATMs. For the time being, ATMs are sufficiently spread. This is also apparent from the figures of the European Central Bank. The number of ATMs in Belgium is around the European average. Our country has 670 ATMs per million inhabitants. This is slightly less than France, with 807, and Germany, with 707, but it is almost double the Netherlands, with 345. After Spain and France, Belgium also has the highest number of bank offices per million inhabitants in the European Union, i.e. 496. Germany scores by 338 significantly lower. The Netherlands has 90 offices per million inhabitants according to the figures of the European Central Bank, five times less than Belgium. In order to ensure that sufficient distributors are available, bpost is already making distributors available in places where there are no distributors under its management contract as a public undertaking. Thus, it helps to guarantee the availability of cash when it is the only means of payment. It is important that this social service be maintained. Most supermarkets and gas stations also offer the possibility to withdraw cash upon purchase. I also took note this morning of the initiative of four banks and bpost to manage their ATMs together. Cooperation is based on reducing costs and making necessary investments to purchase new and safe devices. Then, to date, no contact has been established with regional employment actors. There is also no question of collective redundancies. With regard to your question about my intention to ask BNP Paribas executives to report on their decision, I would like to point out that, in accordance with the OECD's corporate governance guidelines for state-owned companies, it is not up to a minister to intervene in daily management choices. Similarly, the State is supposed to respect the independence of the Board of Directors. Finally, I also note that some regions, cities or municipalities still levy their own taxes on vending machines or banking agencies. Thus, several cities impose taxes of 400 euros or more, as is the case in Tournai. Such tax measures seem counterproductive to me. I therefore call on the decentralised authorities to take the necessary steps to promote not only local employment but also local services in banking agencies. Thank you for your attention.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u12	Madam Minister, thank you for the very comprehensive answer. I am pleased that you acknowledge the impact of the decision on customers and at the same time underline that it is a temporary decision to guarantee security. We hope that the problem can be resolved quickly. I will certainly also ask your colleague from the Interior about security and consultation with Febelfin. You are right to point out the trend towards more electronic payments, which we can only endorse. Recently, we heard here in a hearing that Belgium is lagging behind and that we should encourage electronic payments. We have therefore drawn up a legislative proposal on this subject, which we hope will soon be able to be discussed here. I am satisfied with the number of ATMs in our country compared to other countries. That's important information, which we need to spread more. Every time a bank machine disappears somewhere, there is a lot of fuss about that. However, if we compare the total figure for Belgium with that for other countries, we may be able to draw different conclusions.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u13	Minister, I am not as happy with the answer as my colleague. You have said a lot and I thank you for this complete answer. You say that there is no real complaint, and that it is necessary to promote electronic payment. I'll hear it. Moreover, what is said about the digital divide is not an invention either. We can always go to more digital, but we cannot hide reality. We cannot tell elderly people that they have to go to Quevaucamps when they live in Peruwelz, nor can we tell local traders to send the person to the ticket distributor in a supermarket, i.e. in a competing brand. It's hard for me to hear that. You say this is about commercial freedom, and the government doesn't have to interfere. But at the level of Parliament, can we not imagine a different policy to collectively commit the banks to assume more of their social responsibility? No collective dismissal does not mean an absence of dismissal. I am not reassured and will remain attentive. I shall consider, if necessary, the possibility of reflecting on the matter with other parliamentarians. Thank you.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u14	Mr President, I have a practical question. I tabled my next question together with a question on the Brexit and the measures in this area, but I see that it has not appeared on the agenda. I don't know if the Minister has prepared an answer, so I suggest I suggest next time.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u15	We'll check that on the computer. The computer may have said "no." You can always do that.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u16	I also put a question on the Brexit and I was informed by the services of the Chamber that this question had been referred to another minister and that she would be dealt with in another committee. Could you check to see if that's the reason?
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u17	We'll see if we can find out the reason, and if we can find out, we'll let you know.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u18	Thank you.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u19	Your question about the preparation of the Brexit in the port of Zeebrugge has apparently been referred to the Finance Committee.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u20	That's why. Thank you.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u21	Normally, you should get a message about that.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u22	That would be useful indeed.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u23	Mr President, Minister, 40 to 50 billion tonnes of sand are extracted worldwide, including on our coasts. Every year Belgium wins 3 to 4 million m3 of sea sand from the North Sea, which yields huge profits for our country. In 2018, our country was the third largest sand exporter in the world. However, several studies show that this use of sand is out of control in our country and that if everything remains as it is today, we would be in serious trouble within a number of years. Madam Secretary, I have the following questions. First of all, are you planning to increase the price of our sand, as this is becoming more and more a precious commodity? Secondly, how is it that Belgium is one of the largest sand exporters, but at the same time one of the largest importers? That seems contradictory at first sight, but perhaps there is a very logical explanation for that. Thirdly, does the government have plans to prevent Belgium from running out of sand in a number of years? What actions are being taken to try to recycle as much sand as possible? There are a lot of new technologies already in place for this.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u24	Mr President, may I first make a statement on the order of business? There is indeed a second Brexit question, but it is about European social funds. It would have been forwarded to the Social Affairs Committee, not to the Treasury.
ParlaMint-BE_2019-11-13-55-commissie-ic052x.u25	Colleagues, perhaps pay attention, because the Minister does not have a standing committee. It also depends on matter.
