Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanPeteghemVincent	Van Peteghem, Vincent	M	1980	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanPeteghemVincent	Van Peteghem, Vincent	M	1980	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanPeteghemVincent	Van Peteghem, Vincent	M	1980	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanPeteghemVincent	Van Peteghem, Vincent	M	1980	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanPeteghemVincent	Van Peteghem, Vincent	M	1980	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanPeteghemVincent	Van Peteghem, Vincent	M	1980	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanPeteghemVincent	Van Peteghem, Vincent	M	1980	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanPeteghemVincent	Van Peteghem, Vincent	M	1980	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2019-02-19-54-commissie-ic1041x	ParlaMint-BE_2019-02-19-54-commissie-ic1041x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 19-02-2019	2019-02-19	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
