ParlaMint-BE_2019-10-15-55-commissie-ic029x.u1	Mrs. Taquin is absent.
ParlaMint-BE_2019-10-15-55-commissie-ic029x.u2	Mr Minister, at the beginning of July we were shocked by press reports on polluted water, due to lead water pipes, in a number of political azerns in Brussels. I would like to make some abstraction of the specific dossier. I have tabled a written question to ask whether the presence of lead water pipes in a building managed by the Government of the Buildings is a one-off situation. The answer was somewhat consternation for me anyway. There is no overview, there is no register. There have been data on asbestos for 20 years, but apparently not on lead water pipes. You said that the proposal is to conclude a framework agreement to establish a register of risk zones. Mr Minister, has progress been made on the framework agreement?
ParlaMint-BE_2019-10-15-55-commissie-ic029x.u3	Mr President, if you don't mind, I am at the same time responding to Mrs Taquin's question.
ParlaMint-BE_2019-10-15-55-commissie-ic029x.u4	Mrs. Taquin is not here. She didn't ask her question. It's up to you!
ParlaMint-BE_2019-10-15-55-commissie-ic029x.u5	Yes, but the questions were attached. If Mr. Ravyts wishes, I can instantly translate the French-speaking answer into Dutch, with a few possible quiucs.
ParlaMint-BE_2019-10-15-55-commissie-ic029x.u6	You will do this very well, Minister!
ParlaMint-BE_2019-10-15-55-commissie-ic029x.u7	Since June 2019, the Government of the Buildings has taken note of the results of an analysis of the water that the Brussels water company VIVAQUA had done, in June 2019, at the request of the federal police in the Geruzet barracks, the Witte de Haelen barracks and the Crown Quarter of the federal police in Brussels, as employees' employer. The results show that the water for the three sites is generally of good quality, but for a number of measurement points values were set above the standards. As an employer of local personnel, the federal police have taken immediate protective measures. For example, posters were placed at the water points where higher values were measured, and bottled water was made available. It was therefore immediately ensured that the staff had access at all times to drinking water which meets all standards. In consultation with the federal police, the Buildings Regie has then proposed a procedure to identify the problematic water pipes per building and floor by means of additional tests in the complexes of the Witte de Haelen and Geruzet. Afterwards, the necessary adjustments to those sections of the pipeline network may be evaluated. The possible replacement of lead water pipes should be analysed, taking into account potentially significant works, with an impact on the floors, walls and structures of the building. That analysis will be carried out shortly. There will also be a register of the federal building heritage, so that there is a clear overview of complexes that may still contain old lead pipes. This is the basis for a more detailed analysis of the buildings concerned. In the case of major renovations, the pipeline network is of course always dealt with. For the answer to the question about the medical investigations, I have to refer you to the Minister responsible for the federal police.
ParlaMint-BE_2019-10-15-55-commissie-ic029x.u8	Thank you, Minister, for the answer. I hope that the proposed land register of the buildings providing statistical data will be made available as soon as possible. I would not like to see reports of lead water pipes re-emerging in the federal heritage in a few months' time. I hope everyone takes responsibility.
ParlaMint-BE_2019-10-15-55-commissie-ic029x.u9	The next item is the debate on the following motions for resolutions: 5500005C by Mrs De Wit, but she is not present.
ParlaMint-BE_2019-10-15-55-commissie-ic029x.u10	Mr President, Minister, I shall begin with a brief history review, even though I was not there myself. Your predecessor, Mr Jambon, once replied to a parliamentary question that he was fond of the idea of partial opening up of the royal domain of Laeken. At that time, he indicated that it should be legal and that consultation with the royal family is necessary. In the meantime, it has been four years since he gave that answer. He then announced a study. We understand that this study would have been carried out by now. I say we should be, because we do not have the study. You can already feel my question coming. What is your position on this partial opening? Can you agree with what your predecessor has ever said here? Is this study available and is it available to us?
ParlaMint-BE_2019-10-15-55-commissie-ic029x.u11	Mr President, it may be a good chance of timing. On this day, we talk a lot about the partial opening of the Laeken estate to the public. This draft has already been tabled by Ecolo and Groen in the last parliamentary term, a motion for a resolution that we have put to the Federal Parliament. We have carried the same to the Brussels Regional Parliament. This morning we presented it again in the Committee on the Interior. In recent years, we had had the impression that your predecessor, Mr.Jambon, who had the supervision of the Régie des Bâtiments, had given answers. He had commissioned a study but I am not aware of the results of this study; I do not know if it exists. Indeed, we believe that it is essential to move forward on this issue, because in our view it has only advantages: to offer more green space to citizens in a place that is very lacking in this area of Brussels so that they can enjoy a space that is two and a half times the wood of the Cambre. To make things clear, we're just asking for a party to be open to the public. We also believe that this should be done in a concerted, constructive manner, in discussion and dialogue with the royal family, with the Régie des Bâtiments, with the Royal Donation. All these elements are important to us, but once again, we see only benefits for the quality of life of the citizens – and of the whole country, all those who will be able to access them will be delighted given the size of this territory – and for the royal family, because such a gesture – in my opinion – would be very much appreciated by our fellow citizens. This was the case in Norway, where the royal family opened a very important park in Oslo. It is in this context, Minister, that I ask you the following questions. What about the study announced by Minister Jambon and requested from the Régie des Bâtiments for the legal analysis of the case in order to complete this partial opening of the Laeken estate, especially for the whole security aspect? Do you think it's an interesting idea yourself? Because Minister Jambon had already spoken out in favour of this idea, but I wanted to know if you shared that view. For, of course, if there is the political will to move forward, it is always easier. And I wanted to see what you were planning to do following the analysis done by the Régie des Bâtiments. Do you also intend to contact the Royal Donation which is also co-owner of this park with the Régie des Bâtiments?
