Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DepoortereOrtwin	Depoortere, Ortwin	M	1970	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VanLangenhoveDries	Van Langenhove, Dries	M	1993	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	MetsuKoen	Metsu, Koen	M	1981	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VanLangenhoveDries	Van Langenhove, Dries	M	1993	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VanLangenhoveDries	Van Langenhove, Dries	M	1993	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	MetsuKoen	Metsu, Koen	M	1981	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	SoorsJessika	Soors, Jessika	F	1988	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThiébautEric	Thiébaut, Eric	M	1969	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DepoortereOrtwin	Depoortere, Ortwin	M	1970	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	SoorsJessika	Soors, Jessika	F	1988	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThiébautEric	Thiébaut, Eric	M	1969	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	KirEmir	Kir, Emir	M	1968	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCremPieter	De Crem, Pieter	M	1962	
ParlaMint-BE-en_2019-07-16-55-commissie-ic002x	ParlaMint-BE_2019-07-16-55-commissie-ic002x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 16-07-2019	2019-07-16	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	KirEmir	Kir, Emir	M	1968	
