Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	OnkelinxLaurette	Onkelinx, Laurette	F	1958	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	OnkelinxLaurette	Onkelinx, Laurette	F	1958	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	DeWitSophie	De Wit, Sophie	F	1973	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2019-02-06-54-commissie-ic1028x	ParlaMint-BE_2019-02-06-54-commissie-ic1028x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-02-2019	2019-02-06	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
