ParlaMint-BE_2019-10-08-55-plenair-ip008x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2019-10-08-55-plenair-ip008x.u2	Ladies and gentlemen, ladies and gentlemen, the House is meeting today, as a matter of law, under section 44 of the Constitution. Ladies and gentlemen, ladies and gentlemen, today the Chamber meets automatically on the basis of Article 44 of the Constitution. I declare the legislative session 2019-2020 open. I declare the legislative session 2019-2020 open.
ParlaMint-BE_2019-10-08-55-plenair-ip008x.u3	The next item is the nomination of the final Bureau. The next item is the appointment of the Permanent Bureau.
ParlaMint-BE_2019-10-08-55-plenair-ip008x.u4	1. The Bureau shall be composed of: - the President, - three Vice-Presidents, - and members of the Bureau. The Agency shall consist of: - the President, - the three Vice-Presidents, - and the Bureau members. 2. The Bureau shall be supplemented by: - former presidents, members of the House; - the presidents of the political groups; - one associate member per political group with fewer than 12 members and without a member of the Bureau referred to in point 1. The Office shall be supplemented by: - former Presidents, member of the Chamber; - the chairmen of the political groups; - an additional member per political group with fewer than 12 members who are not members of the Committee on Economic and Monetary Affairs and Industrial Policy. 1 member of the Office referred to. The President shall be appointed in accordance with rule 157 of the Rules of Procedure. The President shall be elected in accordance with Rule 157 of the Rules of Procedure. The Vice-Presidents and members of the Bureau shall be appointed by the Chamber in accordance with the first sentence of Rule 158(1) and on the proposal of the political groups, provided that the Presidency is taken into account for the assignment of these functions in accordance with the rule of proportional representation of political groups and that as many appointments are made as is necessary for each political group of at least 12 members to have at least one member on the Bureau." The Chamber shall appoint the Vice-Presidents and Bureau members in accordance with Rule 158 No. 1, first sentence, on a proposal from the political groups. The Presidency shall be included in the allocation of these functions according to the proportional representation of the political groups. In addition, as many members as are necessary to ensure that each political group with at least 12 members has at least one member of the Bureau."
ParlaMint-BE_2019-10-08-55-plenair-ip008x.u5	The only appointment to be made is that of the Speaker of the House. The only election to be held is that of the President of the Chamber. Is anyone asking for the floor? Is anyone asking for the floor?
ParlaMint-BE_2019-10-08-55-plenair-ip008x.u6	Mr President, I would like to suggest, at the discretion of my fellow Members, that we reconfirm the existing Bureau.
ParlaMint-BE_2019-10-08-55-plenair-ip008x.u7	Are there any other suggestions? Are there any other observations? [[No]] Since there is only one candidate, there is no vote. As a result, Mr. Patrick Dewael was elected Speaker of the House. As only one candidate is nominated, no vote shall be taken. Consequently, Mr Patrick Dewael was elected President of the Chamber.
ParlaMint-BE_2019-10-08-55-plenair-ip008x.u8	The three Vice-Presidents and the members of the Bureau should be appointed. The next item is the appointment of the three Vice-Presidents and the members of the Bureau. I have received the proposal to renew the Bureau in its current composition, and I propose that you consent to it. In view of the proposal to reconfirm the current composition of the Bureau, I propose that you agree. No observation? [[No]] That will be the case. Are you sure you don't mind? [[No.]] Thus shall be done.
ParlaMint-BE_2019-10-08-55-plenair-ip008x.u9	The Chamber is constituted. This will be made known to the King, the Senate and the community and regional parliaments. The Chamber has been declared lawful and complete. This will be notified to the King, to the Senate and to the community and regional parliaments. That Kammer ist zusammengestellt. Seine Majestät der König, der Senat sowie die Regional- und Gemeinschaftsparlamente became hiervon in Kentnis gesetzt.
ParlaMint-BE_2019-10-08-55-plenair-ip008x.u10	Colleagues, I see that Minister None is yet present. Perhaps he had calculated that there would be a very extensive, complex vote. That didn't happen. Nevertheless, I must, of course, thank you for your confidence. Deputy Prime Minister De Croo may be able to get off the hook immediately, so we don't waste any time. As far as the questions for Minister De Croo are concerned, they are actually addressed to Mrs De Block. Mrs De Block has an international mission and is currently in Luxembourg. Minister De Croo will answer those questions. I have one more question to ask the Minister. Mr De Croo, there were four questions addressed to Mrs De Block and I think the PVDA-PTB Group had addressed a question on the same subject to Minister Muylle. Taking note that you are replying on behalf of Minister De Block, do you agree that Mrs Merckx's question on the same subject will also be answered by you?
ParlaMint-BE_2019-10-08-55-plenair-ip008x.u11	Mr. Chair, Minister, it is the history of age-related macular degeneration (AMD) treatment that is an eye disease that can lead to blindness. It is a surreal story, and I have been asking Minister De Block about it for years. On the one hand, there is the Lucentis of the Novartis firm, whose injection amounts to 600 euros and which is registered for the treatment of this disease in Belgium. On the other hand, there is the Avastin of the Roche laboratory which, on the other hand, returns to about 40 euros per injection. It is effective but not registered for the treatment of this disease in Belgium. The cost difference between these two medicines represents several hundred million euros for social security. In the name of profitability, I think we can clearly say that it is a real monopoly that has been organised by these firms to ensure that all the space is given to the most expensive medicine. The evidence is that these firms have now been convicted of these practices, notably in France and Italy, by the competition authorities, with the approval of the Court of Justice of the European Union. Minister, you are responding instead of Minister De Block who yesterday said what she has never told me despite my various inquiries over the past few years. She said the price of these two drugs is similar. However, the official Lucentis prize in this morning's Belgian compendium is 686 euros. Minister, what about it? What is the price? And most importantly, since when? Other countries have made very clear provisions as early as 2014 so that the cheapest medicine, Avastin, can be administered for this disease, in this context and to avoid an extra cost. It was the proposal I had made to Minister De Block that always refused it. Why does she refuse it? The safety argument is not valid because several studies have shown the efficacy of Avastin but also the absence of side effects. What about it?
