Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2018-09-27	ParlaMint-EE_2018-09-27_U1	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 27.09.2018, 10:00	2018-09-27	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-09-27	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-09-27	ParlaMint-EE_2018-09-27_U2	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 27.09.2018, 10:00	2018-09-27	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-09-27	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	j_adams_19471122	Adams, Jüri	M	1947	
ParlaMint-EE-en_2018-09-27	ParlaMint-EE_2018-09-27_U3	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 27.09.2018, 10:00	2018-09-27	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-09-27	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-09-27	ParlaMint-EE_2018-09-27_U4	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 27.09.2018, 10:00	2018-09-27	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-09-27	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	j_adams_19471122	Adams, Jüri	M	1947	
ParlaMint-EE-en_2018-09-27	ParlaMint-EE_2018-09-27_U5	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 27.09.2018, 10:00	2018-09-27	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-09-27	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-09-27	ParlaMint-EE_2018-09-27_U6	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 27.09.2018, 10:00	2018-09-27	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-09-27	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	a_herkel_19620814	Herkel, Andres	M	1962	
ParlaMint-EE-en_2018-09-27	ParlaMint-EE_2018-09-27_U7	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 27.09.2018, 10:00	2018-09-27	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-09-27	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-09-27	ParlaMint-EE_2018-09-27_U8	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 27.09.2018, 10:00	2018-09-27	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-09-27	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	a_metsoja_19781125	Metsoja, Andres	M	1978	
ParlaMint-EE-en_2018-09-27	ParlaMint-EE_2018-09-27_U9	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 27.09.2018, 10:00	2018-09-27	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-09-27	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-09-27	ParlaMint-EE_2018-09-27_U10	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 27.09.2018, 10:00	2018-09-27	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-09-27	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2018-09-27	ParlaMint-EE_2018-09-27_U11	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 27.09.2018, 10:00	2018-09-27	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-09-27	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
