Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U1	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U2	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	j_ligi_19590716	Ligi, Jürgen	M	1959	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U3	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U4	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	j_ligi_19590716	Ligi, Jürgen	M	1959	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U5	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U6	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U7	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_aunaste_19531107	Aunaste, Maire	F	1953	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U8	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U9	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	j_ligi_19590716	Ligi, Jürgen	M	1959	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U10	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_aunaste_19531107	Aunaste, Maire	F	1953	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U11	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U12	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_aunaste_19531107	Aunaste, Maire	F	1953	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U13	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U14	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_aunaste_19531107	Aunaste, Maire	F	1953	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U15	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U16	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_aunaste_19531107	Aunaste, Maire	F	1953	
ParlaMint-EE-en_2018-04-05	ParlaMint-EE_2018-04-05_U17	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Thursday, 05.04.2018, 10:00	2018-04-05	Unicameralism	XIII Riigikogu	VII regular session	-	2018-04-05	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
