ParlaMint-FR_2021-10-25-O1029.u1	The next item is the debate on the second part of the finance bill for 2022 (No. 4482, 4524).
ParlaMint-FR_2021-10-25-O1029.u2	We are dealing with the examination of appropriations relating to justice (No 4524, Annex 28; 4525, Volumes III and IV). Mr Patrick Hetzel, Special Rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2021-10-25-O1029.u3	In 2022, the Justice Mission will benefit from EUR 12.8 billion in commitment authorisations (EA) and EUR 10.7 billion in payment appropriations (CP) The draft finance bill respects the budgetary path provided for in the Justice Programming and Reform Act. With regard to the staffing of the Ministry of Justice, the proposed budget provides for the creation of 1220 additional posts, including 720 in 2022, and 500 pre-recruitment posts by the end of 2021. This draft budget is positive. We can only congratulate ourselves on that. The communication of the Government is well-rounded: the trajectory is respected, and even more than respected, we say, Mr. Keeper of the Seals. All the signals are green: all that remains is to applaud and repeat that everything is going for the best in the best of the worlds.
ParlaMint-FR_2021-10-25-O1029.u4	That's right!
ParlaMint-FR_2021-10-25-O1029.u5	Unfortunately, reality is a little more contrasting. As you know, budget appropriations do not do everything. It is true that the kerosene has been filled and that the aircraft's tank is filling, but the aircraft will not be able to fly without a pilot. This is where the pack hurts, because the pilotage remains largely defective. Let me explain to you why I am making this harsh judgment. As far as judicial justice is concerned, let us take the concrete example of the costs of justice, which will amount in 2022 to 648 million euros, i.e. 150 million euros more than in 2017, and with a systematically higher execution than expected. Where's the pilot, Mr. Keeper of the Seals? With regard to trial time, the budgetary blue suggests – once it is not customary – an improvement in trial time, but only for criminal proceedings. That's the big deal. A great deal of work remains to be done in civil proceedings. The number of cases pending before the courts now exceeds 1.1 million. You have heard: more than 1 million cases! In addition, many indicators remain above their 2019 level. In the case of the Registry, the vacancy rate remains at 6 per cent for all categories, i.e. 1,335 vacant posts, of which 661 are Registrars. Contrary to what you're trying to make us believe, Mr. Keeper of the Seals, the situation remains very tense, as we can see when we interrogate judicial officials. With regard to the prison administration, the increase in the prison population over the past year is worrying: with an additional 200 to 300 prisoners per month,...
ParlaMint-FR_2021-10-25-O1029.u6	You need to know what you want!
ParlaMint-FR_2021-10-25-O1029.u7	... we will soon return to the record level we knew in 2019. However, nothing is ready to reduce prison overcrowding. I have been warning for several years about the delays in the prison plan. Now we're here: Mr. Keeper of the Seals, you've formalized the delivery lag. The first 7,000 places announced for 2022 will not be ready until 2023 or 2024. As for the 8000 other places, scheduled for 2027, we are now talking about 2029. President Macron announced in 2017: 15,000 places. Result five years later: 2000. Credit increases well, but it is still necessary to direct these investments. In these circumstances, how can we hope for an improvement in the conditions of detention? While the number of staff in the prison service is increasing, 1300 posts are still vacant. Things can still be significantly improved. As far as the digital transformation of the Ministry of Justice is concerned, the appropriations are there. Wonderful! At the same time, however, delays are accumulating. It's always the same problem: is there a pilot on the plane at the Ministry of Justice?
ParlaMint-FR_2021-10-25-O1029.u8	That's kind of you!
ParlaMint-FR_2021-10-25-O1029.u9	Monitoring and piloting tools are far too weak. The Chancellery still does not have a master plan to indicate the state of implementation of the appropriations and the actual progress of the projects. Without this, the announced acceleration cannot take place. Finally, with regard to legal aid, section 44 of the draft finance bill proposes a further increase in the remuneration of lawyers. This is simply the increase that you refused us last year, Mr. Keeper of the Seals! We, together with several of you, had tabled amendments in line with the recommendations of the Perben mission. We were right a year too early. Let us hope that this sheds light on the discussions that we will now have in the meeting. As you will understand, my dear colleges, there are, on the one hand, great media announcements of the keeper of seals and, on the other hand, a daily newspaper that struggles to improve for litigants and justice personnel. From now on, we need concrete and real developments. So this budget is still very perfect, so I invite you to vote against it.
ParlaMint-FR_2021-10-25-O1029.u10	When you see what you've done, congratulations!
ParlaMint-FR_2021-10-25-O1029.u11	I certainly don't!
ParlaMint-FR_2021-10-25-O1029.u12	Your family!
ParlaMint-FR_2021-10-25-O1029.u13	I call Mr Bruno Questel, draftsman of the opinion of the Committee on Constitutional Laws, Legislation and General Administration of the Republic.
ParlaMint-FR_2021-10-25-O1029.u14	The Law Commission has issued a favourable opinion on the appropriations of the Prison Administration and the Judicial Protection of Youth (PJJ) for 2022. For the fifth year in a row, we are pleased to endorse the increase in resources, both human and material, allocated to these two administrations of the Ministry of Justice. In payment appropriations, this represents a significant increase over the previous year, Mr Hetzel: 7.4% increase for the prison administration and 4.2% for the judicial protection of young people. In addition, the budget for 2022 provides for the creation of 599 jobs for the prison administration and 51 jobs for the judicial protection of young people. Who could complain about it? This dynamic is positive and should be welcomed, Mr. Hetzel, not vilipendate. Of course, one can always criticize and demand more, but the facts are there: the budget of justice is increasing, and in a lasting way. Since 2017, our majority has taken on its responsibilities in this area and this new draft budget demonstrates once again the importance we attach to these two administrations facing particularly sensitive and essential challenges for the future of our society – and, more broadly, to the Ministry of Justice. I would also like to take advantage of the examination of these appropriations in the Chamber to pay tribute to the women and men who work in the prison administration and the judicial protection of young people, who are very much involved in the overall balance of the Republic. In our discussions, we have always kept in mind the difficulties they face and the great adaptability they have demonstrated in managing the health crisis in detention. This budget report was an opportunity, as it was last year, to take stock of the progress of the real estate programme for the construction of new prison places. First of all, I would like to point out that this programme should not be seen as a desire to incarcerate more, but as a demonstrated and assumed will to incarcerate better. Construction progresses well, despite the slowdowns caused by the health crisis and, sometimes, by some local blockages as to the possibility for the administration to acquire certain land. The figures show this: 1926 new places are being put into service, 123 more places will be opened by the end of 2021, 2541 places whose work is being completed and 2500 places will be launched by 2022. In summary, by the end of next year, 7090 places have been opened or will be in the process of being completed.
ParlaMint-FR_2021-10-25-O1029.u15	That's not the case!
ParlaMint-FR_2021-10-25-O1029.u16	Yes, it is!
ParlaMint-FR_2021-10-25-O1029.u17	Here again, our majority takes on its responsibilities and fulfils its commitments. Beyond this, this report has enabled me to take stock of the last few months that we have experienced by analysing precisely the management of the health crisis in prisons. The record is also very clear: when we were told – if we did not wish – that there was an epidemic disaster in prisons, it must be noted that this disaster did not take place. The measures taken by our prison administration have made it possible to limit the spread of the virus and thus to protect the health not only of prisoners, but also of prison staff, their relatives, families and all prison workers. Although these measures have proved effective, they have, however, disrupted detention and have sometimes been very difficult for detainees to live with. The suspension of external ties, the reduction of human exchanges with families and the limitation of activities have made detention not only more difficult to live but also more difficult to manage. [[Applause on the benches of the LaREM and Dem groups]] We must all learn from this crisis in many areas, and of course also in prison. As we have seen, it is possible to put an end to overpopulations. It is therefore our duty to go in this direction, and I wish today that Parliament will not reduce its vigilance in this area in the coming years.
ParlaMint-FR_2021-10-25-O1029.u18	I call Mrs Laetitia Avia, draftsman of the opinion of the Committee on Constitutional Laws, Legislation and General Administration of the Republic.
ParlaMint-FR_2021-10-25-O1029.u19	[[Mr Vincent Bru, Mrs Naïma Moutchou and the draftsman of the opinion applaud]] I would like to tell you how proud I am to present to you, with this last Justice budget for the first term of office of our majority, a budget that carries in it a very strong and necessary message in politics: that of respect for the word given. We said it, we did it!
ParlaMint-FR_2021-10-25-O1029.u20	It's self-satisfaction!
