ParlaMint-FR_2021-11-23-O1069.u1	The next item is the question to the Government.
ParlaMint-FR_2021-11-23-O1069.u2	Mrs Marie-George Buffet has the floor.
ParlaMint-FR_2021-11-23-O1069.u3	[[Applause on the benches of the groups LaREM, Dem and Agir ens and on some benches of the LR group]] My question was to the Prime Minister, but, as you know, he was diagnosed positive at Covid-19 and is not present today. I wish him a speedy recovery.
ParlaMint-FR_2021-11-23-O1069.u4	You have to be careful too!
ParlaMint-FR_2021-11-23-O1069.u5	Everyone can be in touch!
ParlaMint-FR_2021-11-23-O1069.u6	Next Thursday, 25 November, the International Day to Combat Violence against Women will be a moment of mobilization for women's rights. On the evening of the day, women will continue to resist patriarchal domination, violence, humiliation, wage inequality and the glass ceiling that women face in positions of responsibility in the family, work or public sphere. Several laws reflecting the feminist struggle for human emancipation have made progress. I am thinking of those against the commodification of the body, against violence against women or for parity and equal pay. However, the task of our Assembly is also to assess the practical implementation of these texts. However, we recognize that there is still a great deal to be done in this area. Our assembly must continue to act and defend women's demands for their rights and freedoms to be effective in France and around the world. I am thinking in particular of Afghanistan, where, as soon as they took power by force, the Taliban targeted women. To subdue them and make them invisible, they have established prohibitions in the fields of education, culture, sport, dress and the right to dispose of their body, while encouraging forced marriages or – what a shame! – the sale of little girls. There, women rose up with unheard of courage. They demonstrated by chanting "Our word is our weapon! " The repression then fell. [[Applause on the benches of the GDR and FI groups and on some benches of the LaREM and SOC groups]] Afghanistan is no longer one of the media. Yet solidarity is more necessary than ever: there is an urgent need! France must help restore the word and their rights to these women by welcoming in France those who want to, but also by supporting them, in their country, in their fight against inhumanity. France cannot ignore the struggle of women, here and there, to be free, simply. What actions does the Government intend to take alongside them?
ParlaMint-FR_2021-11-23-O1069.u7	The Minister for Gender Equality, Diversity and Equal Opportunities has the floor.
ParlaMint-FR_2021-11-23-O1069.u8	I thank you for this very important question just a few days before 25 November. You are right, since the capture of Kabul on 15 August, a long night has fallen on the fate of Afghan women. Violations of rights have increased, including the replacement of the Ministry of Women's Affairs by a Ministry for the Promotion of Virtue and the Suppression of Vice, the exclusion of girls and women from education, attacks on places of reception and associations, searches of homes or arrests. Through the voice of the Minister for Europe and Foreign Affairs, Jean-Yves Le Drian, France strongly recalled the need for respect for human rights, including women's rights, at the heart of our feminist diplomacy and at the foundation of our values. In a complicated and uncertain context, we continue to use all the levers at our disposal to influence the policy of the Taliban. I would also like to welcome the commitment of parliamentarians and associations, whose mobilization is not slowing down. France also deployed, on 15 August, at the request of the President of the Republic, Operation Apagan, which helped to evacuate Afghan women threatened by their trade, engagement or ties with France. It is the honor of our country to have saved these women. I would like to pay tribute to the courage of all our officials in this House, who have made our country proud. [[Applause on the benches of the LaREM and Dem groups]] We demand that the Taliban comply with Afghanistan's international humanitarian and human rights obligations. There can be no double speech or false appearance in these areas. As the President of the Republic has said, international recognition has a price and the dignity of Afghan women is a non-negotiable condition.
ParlaMint-FR_2021-11-23-O1069.u9	We'll see in the next few months!
ParlaMint-FR_2021-11-23-O1069.u10	I call Mr Guillaume Vuilletet.
ParlaMint-FR_2021-11-23-O1069.u11	My question is for the Minister of the Interior. I would like to associate my colleague Olivier Serva, who could not be present today, with my colleagues Justine Benin and Max Mathiasin. For almost a week, Guadeloupe has been experiencing a social movement initiated by the trade unions of health workers and firefighters aimed at opposing the health pass and the vaccination obligation. Dams were built all over the island. Caregivers are slowed down or even prevented from entering the university hospital centre (CHU). The movement is now experiencing disturbing spillovers, which have led to the arrest of more than 70 people following clashes with the police, urban violence and looting. The Government responded very quickly to these spills by deploying an additional 200 police officers and gendarmes. A total of 2,250 police officers and gendarmes are present in Guadeloupe to restore order, with 50 RAID (Research, Assistance, Intervention, Deterrence) and GIGN (National Gendarmerie Intervention Group) officers also sent to the area. The La République en marche group joins with all the Guadeloupe elected officials in condemning the violence that has been committed. looting and fires have nothing to do with health claims – I note that almost 90% of caregivers are now vaccinated. To justify their actions, the perpetrators take the pretext of a difficult social and economic reality and aggravated by the health crisis. However, Guadeloupe's difficulties had been alleviated by the emergency measures taken by the Government to support the Overseas Territories during the health crisis. In addition, the delays that she suffered existed before the health crisis and the Government had been working for several months to deal with them with the Guadeloupe elected representatives. [[Applause on the benches of the LaREM and Dem groups]] Violence solves nothing and destroys Guadeloupe by the destruction it causes. A violent minority must not take hostage the Guatemalans who want to lead a normal life and who respect the rules. Yesterday, I noted the announcement of the creation of a forum for dialogue to accompany unvaccinated caregivers, and I thank you, Mr. Minister of the Interior, for your clarification. More broadly, what measures does the Government wish to take to help Guadeloupe regain its serenity?
